Region\Year,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
saurashtra,742,1167,796.5,1014.75,607,805.75,605.5,2697.75,868,908.25,1435,1163.5,1194.75,1991.75,1331.25,1478.75,1070.5,745.75,1196.5,796.75,896,1112.25,956,2211.25,950.5,1385.75,1205.5,1032.25,204,1679.5,410.75,1013.5,1380,406.25,627,1162,1009,1064,1430.75,1617.25,217.75,1596.25,1770,1362.75,458.25,1076.5,1466.75,216,977.25,1007.5,1351,755.75,453.25,705.5,649,2156.5,1423.5,1116,957.25,931.75,614.5,935.75,1556,930.75,1175.5,785.5,1062.5,738.25,369.5,779.25,1013,690.75,1132.75,1584.25,1580.25,1105.25,1073.25,360.75,1331.25,1382,593,963.75,1618.75,1295.5,815.25,1566,918.5,1216,2680,694.5,1880.5,911,705.5,1213.75,1004,751.75,1668,780.5,618.5,1937.5,1040,515.75,921,243.5,1051.5,1176.75,1253.5,1098.75,2133.75,1530.5,1224.75,580.5,1517.25,970,496,533,155.5,1769.75,1297.25,986.75,681.5,1161.5,545.25,1611.5,913,945,1320.75,1243.25,432,724.5,1106,849.75,1489.5,983.75,1425.5,1692,2345.75,1378.5,1414.25,2234.75,1640.75,
Siliguri,4596.5,4812.5,3891.75,5653.25,4425.5,4650.5,4167.75,6372.75,6249.25,4802.25,4562.75,5170.25,5185,3961.25,5645.75,5647,4801.75,4430.25,5630,6846,3011.5,5798.5,5450,5297,4786.5,3510.75,4397,5133,6094.25,4405.25,4454.25,6296.5,4615,3691.25,6113.75,5403,5323.75,3575.75,5264.5,6074,5499.75,4634,5375,4289.25,4046.5,6415.5,5262.5,6111.5,4839.75,6025.5,5684.75,5938,4941.75,5938.75,5432.75,5115,5130.75,4995.5,4395.75,4060,5136.75,4896,4724,4997.75,5716.75,5263.5,4356.75,6358.75,5242.75,4621.75,4436.5,4230.25,5393.25,4700,4823.5,4631.75,4299.25,5002.75,4779.5,6516.5,4534.75,5399.5,4413.5,5103.25,5845.25,4728.25,4060,5595.25,3609.5,4641.75,4184.5,4506.25,5098.5,6205.5,5385.5,5115.25,4459,4691.5,4750.75,5148.5,4825.75,3943.5,4478.5,5704,5238.75,4474.25,4198.75,3752.5,4036,5043,4594.75,4090.5,5127.25,5790,5171,4885.75,6661.25,6118.25,5455.5,4735.25,5941.75,3824.25,4721.5,3394.5,6748,5000.5,4888.75,6547.25,5605.75,5316.5,4433.25,4974.75,4524.25,4648.25,4317.25,4233.5,4809.5,5636.75,3901.75,5674,4662.25,
south interior karnataka,1023.25,1030.75,1000.5,1577,890.75,905.75,1152.25,1425.5,1240.75,1178.25,965,1837,1341.5,874.75,1096.5,1515,1160.75,1243.75,1882.75,1049.75,953,1414.25,1181.75,890,1371.75,1644.75,1940.5,1453.75,1036.25,1447.75,1127,1012.5,1718,1028.25,875.75,1660.75,1443.75,1003,1358,1561.25,1032,1550.75,1206.75,1147.75,1394.5,1491,1422.25,660,1377.25,1158.5,1075.5,878.25,1327.75,1547.75,1120.5,1274,1215.25,1004.25,1152,947.5,1301.5,1331.75,1665,864.75,1406.25,1371.25,988.25,1433,1059.5,1304.5,1317.5,1211.75,1025.75,1146,1000.75,1359.5,1400.5,1305.25,1167,1384,1292,903.5,1558.75,1357.5,1166.75,1264.25,984.25,1362.25,1842.25,1131,1591.75,1224.75,1148.5,1784.25,1005.25,1350.75,1110.75,1307.75,1083.5,977,1335.5,1129.5,1375.5,1312.5,1543,790.75,1266.75,1382.25,1571.25,1422.75,1420,940,1497.75,1248.25,1014,1390.25,1139.25,1673.5,1522.25,936,1446.5,1472.75,1326,1111,1068.75,1504.5,1203.25,1699.75,1092,1248.5,994,717.5,704.25,1284.5,1849,1094.25,1566.5,1494,1600.5,1393.75,1203,
telangana,1186,1359,1313.5,1767.25,1276,1138.75,927.5,2407.25,1627.5,1562,1334.75,1881.5,2381.25,1991,1499.75,2235.75,1664,1302,2128.75,2013.75,1452.5,2644.75,2840,2160,1869.75,1393.75,1787.5,1954.25,1043.5,2007,1418.75,1415.25,2392,1370,1550,1998.75,1695,2493,1576.5,1889.75,1419.5,1562.75,1492.25,2229.5,1957.5,2144.5,2273,1096,1304.25,1044,1793.75,1453.25,1495.5,1665.5,1752.5,1373,1818.25,1956.75,1525.5,1541.25,2106.5,1827.75,2031.5,1893,1828,1760.75,1488,2619,1274.75,1698.75,1262.5,1735,1685.5,1790.5,1976.25,1674,2259.75,1621.25,1916,1823.25,1617.5,1290.75,2264.75,2232,2409.25,2238.5,1808.75,1800.5,2521.75,1646,2044.75,2115.75,2022.25,2016,2001.5,1860.25,2104.25,1436,1964.25,2256.25,1293,1095.25,1834.25,1358,2202.5,2101,1403,2675,1454.25,1919.5,2288.5,1819.25,2707.75,1438.25,1386.5,1775.5,1446.5,2964.75,2635.25,2011.25,1641.5,1488,1497,1379.5,1214.5,1739,1204.25,1897.25,1640,2012.5,1350.75,1134.5,1656.5,1288.5,1994.5,1660.5,1851.75,1890.75,1182.25,2382.5,1534.5,
vidarbha,1879,2512.5,1925.75,2219.5,2621.75,1936.75,1701.5,2966.5,2540.75,1962.25,2778.5,2326,3428.5,3182,2227.75,2211,3326,2250.5,2491.5,2645.25,2980.5,2883.75,2167.25,2603.25,2160,2630,2230.25,2370.5,957,2834,2351.25,1685.25,2726,1639,2171.25,2755.5,2143,2959.5,2311,2898.75,1992.75,2306.25,2595.25,2363.75,2285.5,2941.25,2585.25,1641,2258,1443,2382.25,2507.75,2246.5,1774.75,1889.25,2337.75,2575,1966,1917.5,2225.25,2665.75,2487,3273.25,2638.75,2552.75,3014.5,2432.25,2926,1918.75,3052.5,1946.5,2763.25,1862.75,2795,2831.25,2440,2471,2392.25,2899.5,1708,2076.5,1684.75,2438.75,2664,2664.75,2406.25,2253.25,2692.25,3355.5,2077,2939,2290.5,2295.5,2577.25,1846.25,2387.25,1925.25,2050.25,2313.5,3221.75,1736,1443,2647.75,1644,2799,2211.75,2401.5,2460.75,2416.75,2452,2839.5,1814,2593.5,1531,1820.25,2505.5,1574.25,2908.5,2016.25,3148.5,1948.5,2466,2081.75,2973.5,1979.25,1674.5,1758.75,2176.75,2182,2217.75,2160.75,2371.5,2332,1837.5,2517.5,2703.5,2277.25,2238.25,1603.25,2946.75,2228.5,
west madhya pradesh,2945.25,2327.25,2252.5,2722.5,2724,2618.5,1247.25,2369.5,2108.5,2030,2450.25,2590,2192.5,2728.75,1992,1730.75,2651,1970.75,2358.25,2273.25,2434,2468,2124.25,2410.5,1700.75,2008.5,2129.5,2218.5,1350.25,2392.5,1576.5,1934.5,2117.5,1569,1738,2397.75,1488.25,1990,1921,2282.75,1515.25,1823.25,1831.25,2098,1471.5,2606.25,2712,1157,2802.25,1572,1937,2077.25,2456.25,2226.25,1599.25,2172.25,1790,1814.25,1718.75,2081,2534.5,2370.75,2864,2840.5,2101.25,1932.75,2418.75,2291.75,2075.75,2460.25,1798.25,2839,2152.5,3127.25,2515.75,2753.5,2583.5,2916.75,2084.5,2097.5,1486,2111.5,1945.25,2564,2397,2231.25,1954.5,2575.75,2630.75,2011.5,3169.75,2059.5,2087,2266.75,1580.25,1518.75,2193,2072,2544,2545.25,2577.25,1830,3307.5,1890,2398,2422.5,2481,2522.5,1444.25,2067.25,1951.25,2056,2527.25,2169.75,1929.75,2163.25,1534,2151.25,1738.75,2691.75,1888,1712.25,2446,2914,2047,2053.25,1999,2118.25,2174.25,1370.25,1663,1561,1984.25,1574.75,1610.5,2538.5,2077.25,1779,1592.75,1803.5,2684.75,
west uttar pradesh,2376.25,2056.25,2179.5,2673,2016.75,1646.25,410.75,1739,2814.25,1524.25,2060.5,2103.25,1161.25,2404.75,2418.25,2130.25,2313.5,2449.75,1927.75,2338.75,2395.75,2116.75,2090.25,2476.5,2222.5,1371,2310.5,1771.75,1536,1912.75,1692.5,1815,1501.25,2026.75,864.25,2115,1107.5,2099.75,1993.5,1824.25,1379,1862.25,1015.75,1959.25,1576.25,2564.25,2330.5,841.5,1896.75,1527,2311.5,2361.75,1798.5,2327.5,2243.75,1814,1905.5,1092.75,1332.5,1606.25,2048.5,1849,2239.5,1889.25,1728,2827.25,1471,1623.75,1731,1825,1130.5,2601.5,2109.25,1413,2073,1945.25,1891.5,2354.25,2097.25,2068,1548.5,1845.5,1880.5,1725.75,1983.75,2014,2073.25,2474,1551.75,2289.25,2705.75,1772.25,2361.5,2260.75,1403.5,1928.75,2644,1596.75,2143.75,1712,2156.25,1492,1708.25,1560.75,2409.75,2153,2142.75,2620.25,935,2031,1595.5,1702.5,2646.25,2033,2069.5,1429.75,1117.25,2337,1677.25,1751.25,1391.25,1617.25,1658.5,1655,1820.25,2352.5,1931,2234.75,1999.5,2171,1856.75,1367.25,2740,1636,1896.75,1443,1729.75,2541.5,1076.5,1893.5,1871.25,
west rajasthan,732.25,723.5,747,610.75,717.75,718.75,183.5,749.75,818,610,792.5,762,389,906,407.25,649.75,399,555.25,627.75,560.5,406.25,962.5,1133.5,800.5,495.25,598.75,824,526.75,121.5,678,340.25,477.25,686.5,413.25,230,605.5,842.75,1432.25,980,737.5,212.25,598.25,441.5,653,197,916.25,1410,83.25,621,474.25,569,513.75,634.5,596.25,306.75,913,654.5,624.5,698.25,447.5,834,620.5,806,715.25,505.25,570.5,580.75,465.75,217.25,648.75,466.25,776.25,630.25,1353.25,757.5,472.75,685.5,466,592.75,754.5,435.75,558.5,897,609.25,935.5,865,509.5,617.75,829.75,526.75,908.5,666.25,391,796.25,515.75,548.75,671,226,229.5,782.75,510,492,1007,375,1186.75,1020.5,859.75,869.75,667.75,445.5,536.75,491.25,956,520.25,521.5,411,245,679.75,661.5,1195.75,380.25,1230.25,759.75,818.75,784.25,1015.75,825.5,666.75,400.5,486.5,571.75,200.25,720.25,364.5,386,698.25,461,626.5,363.75,1080.25,993.75,
"Chandigarh
",828.5,1599.75,1009.25,822.25,2365,997.25,799,1347.25,890.75,1219.75,1620.75,1294.25,947,1317.5,696.75,1298.25,1280.25,1266.25,1119.5,1128.75,619.25,1787.5,1730,2014,964.5,764.25,948.25,1100,514.5,2165,867,912.25,1290,679.5,685.25,1272.25,1017.25,1573.75,1606.5,1453.75,646.5,1083,928,1534,695.5,1376,2185.75,645,825,861,754.25,1102,1436,1133,1489,1218,854,779,805,1111.5,1249.75,1025.5,1965.75,826.25,883,1240.75,872,888.5,655,1198.5,1098.5,1609.5,831.5,1114.75,1604.25,847.5,1543.75,1132,1345,2138,844,1101.5,1482.75,1216,1314,1291.25,1143,1639.75,1479.75,1340.25,1617.75,2112,1038.75,1917.5,808.75,1439.75,1304.75,1056,949.75,1523,2529.5,1000.5,1922.5,1606.75,2114,1750,1425.25,1475,778,1667.75,707,845.75,1031,1371.25,1253.75,1111,377.5,2420.5,1065.5,1584.75,1015.75,1037,1858.5,1795,1937.75,1326,1234,1675.5,1345.5,1385.75,1174.5,1017.5,1249.25,678.25,1088,1094.25,761.75,1954.25,800.25,1138,1181.5,
haryana,939.75,1562.75,1300.5,1049.75,1766.75,928.75,402.5,1144.25,979.75,1217.25,1101.5,898.25,705.5,1454.5,1599,1056.5,1683.5,1254,950.25,1268.5,1081.75,1574.75,1362.75,1499.25,934.75,721.75,1082.5,745,534.25,1369.25,734.5,994.75,931.5,952.25,576.75,1164.5,789.25,1462.75,1502.75,1133.75,887.75,1095,913,1450,696,1291.25,1924.75,486.75,965.5,758.25,1027.75,1249.75,1093.5,1260.5,1320.25,1338.25,917.25,764.5,673.25,1226.25,1098.5,998.25,2240.5,1080.75,1099.25,1202,993.75,492,596.25,725.25,709.5,1715.25,958.75,838.75,1648.25,872.25,1150,1310,1233.5,1260.5,643.5,1159.25,1293.5,905.75,1133.25,1254.75,1185.5,1601.25,1096.25,1663,1192,1220.5,1354.75,1815.75,832,1384.5,1458.75,1151.25,1247.5,1204.75,1355.5,1011.5,1136.75,852,1979,1669.5,1512,1574.75,739.75,1252,1087.5,786.5,1555.75,1241.5,1331.5,765,355.75,1963.75,583.75,1374,863.5,977.25,1421.25,1616.5,1597.5,1557.75,1091,1640.75,891.5,1215.25,1364.75,827.5,1265,934.5,1362.75,722.25,827.25,1231,766.5,1379,971.25,
