PUNJB1939R,88,604,634,59,6,470,913,785,452,12,0,0,335.25
PUNJB1940R,362,415,118,29,35,750,1521,2286,237,0,3,8,480.3333333333
PUNJB1941R,512,90,88,1,146,926,1546,1570,352,37,0,101,447.4166666667
PUNJB1942R,216,624,173,153,161,464,1981,2660,1333,50,0,392,683.9166666667
PUNJB1943R,630,16,90,80,101,208,1498,1275,345,2,0,1,353.8333333333
PUNJB1944R,359,547,492,462,10,312,1806,1590,751,45,8,128,542.5
PUNJB1945R,801,0,191,133,34,313,1456,1298,3350,73,11,1,638.4166666667
PUNJB1946R,17,185,58,27,212,708,1201,1441,40,344,98,435,397.1666666667
PUNJB1947R,205,141,83,0,86,27,700,2358,3090,25,0,455,597.5
PUNJB1948R,161,527,706,44,22,495,1446,2090,497,0,10,213,517.5833333333
PUNJB1949R,106,604,50,48,79,354,3573,918,535,11,0,45,526.9166666667
PUNJB1950R,510,270,392,16,60,145,2041,2230,4136,0,0,0,816.6666666667
PUNJB1951R,238,34,527,140,263,50,2045,1208,73,20,316,12,410.5
PUNJB1952R,197,261,297,11,53,645,1445,2316,0,3,1,30,438.25
PUNJB1953R,474,15,0,106,15,414,3171,1486,860,0,4,81,552.1666666667
PUNJB1954R,357,1045,103,0,17,262,1655,437,2510,222,0,0,550.6666666667
PUNJB1955R,308,43,233,166,165,404,1623,1853,1376,4253,0,37,871.75
PUNJB1956R,207,75,444,48,1,467,2221,2271,206,1391,4,49,615.3333333333
PUNJB1957R,1080,63,303,80,128,176,1851,1795,750,160,96,384,572.1666666667
PUNJB1958R,74,44,75,30,0,307,1360,1115,3777,377,0,490,637.4166666667
PUNJB1959R,417,243,95,76,232,236,2371,2021,1291,271,258,0,625.9166666667
PUNJB1960R,145,0,271,45,20,480,2435,2340,106,3,0,253,508.1666666667
PUNJB1961R,547,405,58,183,59,547,2418,2428,1078,252,29,58,671.8333333333
PUNJB1962R,301,153,547,101,45,313,2255,1468,4412,20,197,69,823.4166666667
PUNJB1963R,0,113,355,17,237,273,1331,1936,615,11,60,146,424.5
PUNJB1964R,98,27,113,70,237,111,3736,2490,1333,0,0,91,692.1666666667
PUNJB1965R,140,236,175,270,728,25,2281,874,55,427,186,1,449.8333333333
PUNJB1966R,1,415,206,32,330,1106,1381,1816,1456,143,0,17,575.25
PUNJB1967R,12,128,780,0,15,95,1923,2627,574,212,43,793,600.1666666667
PUNJB1968R,208,335,267,18,13,440,2181,1601,2,151,13,69,441.5
PUNJB1969R,171,243,242,103,227,55,1560,1084,1100,24,45,0,404.5
PUNJB1970R,567,173,81,10,187,1390,825,2927,950,39,0,0,595.75
PUNJB1971R,69,332,18,88,424,788,2396,3787,3147,16,58,0,926.9166666667
PUNJB1972R,116,226,93,83,0,345,1880,1481,296,13,121,131,398.75
PUNJB1973R,183,267,83,12,505,953,2745,3707,285,235,55,379,784.0833333333
PUNJB1974R,32,56,25,29,106,477,1721,2403,1826,0,0,108,565.25
PUNJB1975R,182,370,215,40,161,698,2338,1938,3482,3,0,0,785.5833333333
PUNJB1976R,337,467,225,123,88,675,1788,3507,1030,51,0,0,690.9166666667
PUNJB1977R,387,17,37,415,370,1150,1973,1613,965,167,0,180,606.1666666667
PUNJB1978R,50,252,745,73,13,994,2170,2060,676,17,93,6,595.75
PUNJB1979R,221,559,490,162,207,412,1666,539,495,22,86,40,408.25
PUNJB1980R,183,108,297,70,17,557,4448,956,710,296,74,560,689.6666666667
PUNJB1981R,557,196,547,17,48,237,1926,459,206,8,475,0,389.6666666667
PUNJB1982R,307,222,905,577,445,203,1000,2148,32,73,133,238,523.5833333333
PUNJB1983R,645,278,242,1208,520,243,1316,1998,567,162,0,17,599.6666666667
PUNJB1984R,27,617,173,111,3,517,2246,1711,1011,6,15,41,539.8333333333
PUNJB1985R,35,15,60,225,80,504,2336,1840,335,507,6,292,519.5833333333
PUNJB1986R,15,372,278,207,365,1149,1380,1498,417,146,101,118,503.8333333333
PUNJB1987R,193,195,236,108,900,266,387,764,93,248,6,40,286.3333333333
PUNJB1988R,41,175,402,17,35,425,3522,1760,3975,6,18,334,892.5
PUNJB1989R,417,53,285,22,81,372,1946,1570,374,3,120,222,455.4166666667
PUNJB1990R,27,527,400,61,74,173,2567,1813,1786,3,58,417,658.8333333333
PUNJB1991R,0,479,211,432,105,879,1026,1663,495,12,0,330,469.3333333333
PUNJB1992R,502,394,171,35,156,384,1328,1831,605,27,173,8,467.8333333333
PUNJB1993R,93,290,420,177,306,612,5390,237,1195,0,8,0,727.3333333333
PUNJB1994R,273,290,35,111,130,629,3157,2670,724,11,0,123,679.4166666667
PUNJB1995R,562,858,186,178,22,668,1891,3026,2166,12,18,27,801.1666666667
PUNJB1996R,439,964,217,103,27,1851,964,1628,861,237,0,20,609.25
PUNJB1997R,211,123,125,587,474,695,1401,2498,342,360,251,474,628.4166666667
PUNJB1998R,4,615,297,211,70,739,2617,1378,1968,605,0,0,708.6666666667
PUNJB1999R,512,64,64,5,290,690,2358,1528,806,11,5,4,528.0833333333
PUNJB2000R,357,422,387,11,440,1613,2720,740,470,0,11,0,597.5833333333
PUNJB2001R,217,20,98,297,507,946,2333,1004,415,0,0,126,496.9166666667
PUNJB2002R,25,208,135,118,332,434,1055,1100,1481,17,0,86,415.9166666667
PUNJB2003R,211,985,170,60,61,865,1821,1276,1035,1,39,81,550.4166666667
PUNJB2004R,532,88,0,65,484,467,522,1681,43,342,12,29,355.4166666667
PUNJB2005R,585,554,249,54,13,683,1481,1142,1046,16,5,0,485.6666666667
PUNJB2006R,95,31,312,3,155,553,1746,1022,1056,165,66,82,440.5
PUNJB2007R,36,752,446,89,105,872,546,1339,290,23,28,42,380.6666666667
PUNJB2008R,200,55,0,247,674,2785,910,2973,1149,68,10,56,760.5833333333
PUNJB2009R,110,199,94,230,44,123,1591,812,675,17,50,0,328.75
PUNJB2010R,28,143,4,3,35,426,2022,1205,899,37,3,175,415
PUNJB2011R,41,376,62,127,145,1121,825,1574,1206,3,1,39,460
