period;allindia;assmeg;bihar;chattisgarh;coastalap;coastal_kar;east_mp;east_raj;east_up;gnbwl;gujarat;haryana;jharkhand;kerala;kngoa;maratwada;mpmah;nmamt;northkar;orrissa;punjab;rayalseema;saurastra;shwbl;southkaar;tamilnadu;telangana;vidarbha;westmp;westraj;westup
10;46.9432431814;253.5482468783;2328.741390111;840.4393153859;257.1108826127;6646.3455569611;305.7666419704;710.1225987699;493.5191567734;1453.4341525043;2588.2628141859;1109.4592688066;229.812063543;6743.6382472964;805.8941340211;187.8274720312;493.8092288115;1119.9683411233;133.0228975498;363.5329941394;464.1324167427;472.3684466151;610.3533103212;850.8124433743;406.8207903464;200.9683831271;491.7576872668;50.8394541674;452.0276290172;97.6332219183;306.764661145
20;645.711380994;4591.1358512851;348.6584449016;740.2129257237;269.8687965919;4829.8181857735;802.7740388238;1626.3543190784;580.1086880274;444.1510390482;942.9095612468;763.2384005108;374.1198753382;637.5018164677;10292.6077780288;1513.3680268313;905.3442944527;1660.5551702769;1051.2166065182;1042.1519168258;2079.2138999598;650.5056960236;36.130739212;821.419987172;373.7926066958;353.2367769169;441.1158847004;393.6539366431;1367.2649706439;866.1272816871;79.1873204552
30;9652.6845542829;50432.7154429488;12562.1085839811;15446.2312602559;7240.5343385097;68454.6359950694;13746.0659747514;3607.1637129016;4143.00429717;35101.4732523255;10215.7123698424;2926.5453060345;21929.0370821906;61984.8097098416;25126.8883890833;4403.3874040329;6328.9181551419;40148.3539175902;3978.074565373;18186.5963689807;4063.2313286244;6826.2246433829;3255.7740279057;56071.3755578357;5069.6479092572;8649.5398831258;3615.8617635877;14473.8086753489;8237.0057029218;575.2445968657;3669.1854222203
40;28890.639724868;122225.469009028;27955.5476991742;35751.924873498;30803.3109914571;232919.396485732;40425.9144341226;11907.4921064662;18143.2073770122;56169.7550344335;30055.3184168756;11739.1256230431;40402.2831218858;210612.064271762;163164.249241563;22255.177410431;18528.6204714515;111935.92687709;18308.5378954945;55886.2317740281;12173.742177017;18066.8813380346;10667.6995135958;171522.613135395;17957.6756903324;22843.4845212838;13340.274871501;28257.0701570596;17375.2032015642;1835.935951425;24737.9892743872
50;15815.1492996693;78010.4289570145;22624.4329382448;31588.3080568846;12737.2909573671;122703.611986833;23767.7798758857;6158.0959258515;16305.8277832975;39456.2108885798;11435.4015787718;2358.868490257;24106.2192144371;43045.6057571036;88299.3548008696;12982.2959315251;7516.5684960943;58480.887502552;6848.9609959216;37423.8028129879;3698.6196599038;5290.0798267818;1276.5513369697;74721.9438389707;9992.8562412559;6334.222982219;13300.1743013088;22010.9878076686;14829.6227396396;1093.8808103101;8143.6942749093
60;56333.6857556517;242221.00174066;61897.7114633164;97520.068788254;51267.4500507799;464445.918061856;78841.0970278514;22481.0758018467;43566.5047128273;128064.969786859;52642.7281312925;10962.116262971;85810.8674983867;289688.82563872;329385.646670208;40351.3059066746;32812.9753735542;198870.004698106;29307.5717069593;127389.453537851;11645.6449176483;27864.9867533272;12589.5035496777;266275.642404067;35066.5390157425;33315.6689374041;27516.2577005971;64041.0491088401;46450.1168741236;3619.6167432312;33705.5675767961
70;1034.9679544591;2520.6090773455;218.0538862611;5617.6102617693;1601.2136627362;4601.275923184;2087.7509021659;1292.0678082098;167.6410812605;5291.9472378809;3615.5346358898;23.8752824936;1846.2569012683;5699.7939252064;16098.4710677297;1772.5704824236;1653.7496927221;3931.4824908749;1842.7225398497;5251.7960256123;698.8304717216;786.1801951048;980.5577348752;4678.2281690411;765.2495557347;268.8894697514;697.3994504834;2135.9852213725;3081.3296802196;28.4784549555;1528.9977464872
80;42433.1262186474;198201.782931399;73317.7798311055;48439.5266429617;36282.0691170568;408496.646343212;51253.6208622312;15080.7741342037;42381.9273829173;100214.453179426;22760.5403598222;15889.3631614858;63523.9306589819;249403.571944658;210454.775602945;30491.3485037017;18390.4335527138;150530.856932761;31060.9368295132;66537.6384041645;25110.0086429808;19997.3219281711;7799.7046036412;266089.021488929;31529.5643789508;35075.3026016044;39449.486662298;40581.6117601415;26740.7117199179;4202.7790492667;32264.0355230401
