Period,mpmah,orrisa,saurashtra,shwbl,southkar,telangana,vidarbha,westup,wmp,kngoa,chattisgarh,gujarat,kerala,coastalkar,gnbwl
10,1834.0307318688,4061.7883497604,6384.9418996113,6384.9418996113,2082.0769055761,913.4145279635,1033.8607213367,2341.3673196431,8052.1599232373,5335.0521920205,5580.7754899585,10363.1619572399,10363.1619572399,27386.2934420851,24666.6830580303
20,4924.0839790811,5877.7348187438,3560.7320096955,3560.7320096955,777.1706784961,4555.3623231881,3231.6297212143,133.1665711001,13579.3540708127,75916.2686244886,7797.7355375294,4634.7993126781,4634.7993126781,42691.8975010441,5801.1114136983
30,9321.5290262367,23080.7096978375,66416.9625728678,66416.9625728678,1926.758511123,83.2521537119,17354.9932618145,1700.1079221315,15652.5500737591,3185.4556615751,94993.4276568322,78605.8712417819,78605.8712417819,485247.792218278,5325.9697778183
40,95190.9487933507,274215.073159354,997171.227733241,997171.227733241,42166.0461024598,70984.1255111368,173028.887875859,170956.49628646,123404.903162755,1178894.28926513,230953.110282933,898578.666812912,898578.666812912,1310502.72606446,246223.100709926
50,28215.4048786134,193225.163748177,416822.972995977,416822.972995977,28119.8845345043,67704.4057878114,131211.172018987,61516.6470990201,106826.808607899,684645.582822812,226540.74653398,169835.939388029,169835.939388029,880292.492577426,94403.6248612959
60,166243.601387134,662611.121459418,1478690.09464439,1478690.09464439,81355.3540922588,144355.859118008,411554.361294548,255037.564777068,355188.261371956,2451097.65679025,685320.066428381,1115058.58968831,1115058.58968831,2892756.26970256,451237.06635006
70,7501.3049428618,22869.5326181354,16404.9162663933,16404.9162663933,721.2458626298,13645.546987037,18062.240656471,14955.4823765963,28902.169654269,108171.868002278,42141.2808698183,6002.7441540448,6002.7441540448,3258.8881843289,37374.0224112854
80,105333.819974739,380058.604841847,1604506.57456861,1604506.57456861,119757.159275513,249881.713215669,285497.447594189,214331.247391569,204516.663709605,1860815.96269661,363643.006820037,1213134.87543478,1213134.87543478,3170997.01802768,177688.210022395
