Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1950;6;202;243;349;2161;9234;5572;6945;4315;990;4;6;2502.25
1951;13;11;227;485;1891;5289;6415;3795;2640;853;258;0;1823.0833333333
1952;0;162;510;1596;4321;4805;5857;5292;5644;1206;196;1;2465.8333333333
1953;212;30;470;534;2066;4028;6757;2406;4463;835;5;6;1817.6666666667
1954;96;126;30;316;2702;7280;7870;3033;2230;532;0;0;2017.9166666667
1955;37;25;312;462;2181;5217;9760;5804;2600;420;37;20;2239.5833333333
1956;91;12;360;938;4163;7052;4426;4327;3108;2556;262;41;2278
1957;993;105;175;69;736;3963;5607;5430;1240;460;2;8;1565.6666666667
1958;133;120;188;1030;1905;5567;4260;9059;3495;1271;6;61;2257.9166666667
1959;963;18;629;860;1351;4060;4885;2621;2872;3452;0;0;1809.25
1960;0;45;460;43;2543;2571;5967;3172;6857;875;0;0;1877.75
1961;69;392;332;302;2173;3988;4670;5435;2645;1341;16;17;1781.6666666667
1962;223;148;98;658;2216;5192;4616;5472;2745;734;0;6;1842.3333333333
1963;20;1;377;855;3276;4068;6044;7289;2993;1173;146;22;2188.6666666667
1964;0;27;113;989;1606;5242;9505;4568;5507;1080;17;0;2387.8333333333
1965;0;158;444;472;1926;4567;6982;7432;2561;228;395;0;2097.0833333333
1966;395;35;4;310;2011;3177;7372;6885;3027;539;113;40;1992.3333333333
1967;15;0;1129;550;1948;5542;6267;2376;3651;1536;12;0;1918.8333333333
1968;103;27;196;212;1348;4651;6055;4477;3583;3837;12;5;2042.1666666667
1969;65;32;405;605;2905;5042;5512;4331;4118;494;247;0;1979.6666666667
1970;148;83;27;1361;1165;4987;6575;3765;5267;484;32;0;1991.1666666667
1971;103;30;282;1703;1706;6914;5207;4190;2992;3638;278;0;2253.5833333333
1972;32;198;156;605;1911;3687;5344;2445;4298;585;95;0;1613
1973;103;133;101;800;2218;5592;3218;4292;4812;2807;253;25;2029.5
1974;208;0;430;1671;2311;3640;8094;6605;4477;1863;12;50;2446.75
1975;25;56;50;549;2071;6507;7434;2093;4921;1241;0;8;2079.5833333333
1976;50;216;25;1048;1835;4977;5192;5662;2066;1099;30;0;1850
1977;0;3;93;1861;2173;3560;4457;5830;2948;2316;362;79;1973.5
1978;45;56;138;661;2165;3061;5845;2792;3312;470;158;20;1560.25
1979;65;141;12;795;1175;2273;6697;3657;3517;3627;165;653;1898.0833333333
1980;27;217;247;599;2128;3801;7285;6464;2622;1091;1;30;2042.6666666667
1981;290;108;241;1868;2215;3246;7910;3840;3383;140;27;266;1961.1666666667
1982;0;81;515;1081;1395;3740;7417;2133;3072;514;228;13;1682.4166666667
1983;128;37;167;424;2233;4676;7515;3153;5165;939;0;216;2054.4166666667
1984;340;128;96;1134;3467;5500;8315;3130;6215;1286;34;44;2474.0833333333
1985;8;156;143;282;2796;4606;9040;2936;4102;1915;0;202;2182.1666666667
1986;5;50;30;771;2642;4522;5597;4467;4957;2153;162;101;2121.4166666667
1987;22;213;464;700;1776;5244;7660;9145;4596;1506;61;29;2618
1988;37;430;337;855;1653;2982;7360;9170;4961;385;138;22;2360.8333333333
1989;91;206;153;106;3137;4922;6594;3097;7209;736;220;128;2216.5833333333
1990;3;427;597;860;3103;4576;5512;4785;4068;1158;0;0;2090.75
1991;192;73;151;382;1736;5944;5420;4456;7947;532;0;250;2256.9166666667
1992;40;172;32;517;1736;2536;6352;3767;2642;1064;22;83;1580.25
