1871,236.3333333333
1872,994.0833333333
1873,755.6666666667
1874,677.4166666667
1875,937.0833333333
1876,410.75
1877,505.8333333333
1878,859.75
1879,751.0833333333
1880,714.5833333333
1881,635.8333333333
1882,816.5
1883,973.1666666667
1884,674.1666666667
1885,582.4166666667
1886,933.5833333333
1887,788
1888,592.5
1889,826.6666666667
1890,749.75
1891,568
1892,1250.4166666667
1893,1082.8333333333
1894,823.5833333333
1895,827.3333333333
1896,481.4166666667
1897,664.5833333333
1898,554.3333333333
1899,295.5833333333
1900,545.1666666667
1901,784.25
1902,622.75
1903,835.25
1904,582.8333333333
1905,407.4166666667
1906,665.6666666667
1907,473.4166666667
1908,561.25
1909,778.9166666667
1910,907
1911,530.1666666667
1912,412.5833333333
1913,555.8333333333
1914,835
1915,839.25
1916,993.8333333333
1917,957.8333333333
1918,402.1666666667
1919,568.4166666667
1920,295.8333333333
1921,457.5
1922,682.25
1923,617.75
1924,556.9166666667
1925,498.4166666667
1926,614.8333333333
1927,635.8333333333
1928,692.6666666667
1929,507.6666666667
1930,537.5833333333
1931,885.6666666667
1932,706.8333333333
1933,891.25
1934,782.6666666667
1935,788.0833333333
1936,561
1937,601.9166666667
1938,914.0833333333
1939,469.0833333333
1940,698.5
1941,431.4166666667
1942,773.3333333333
1943,777.3333333333
1944,611.6666666667
1945,502.4166666667
1946,661.9166666667
1947,726.0833333333
1948,752.5833333333
1949,817.25
1950,595.3333333333
1951,588.3333333333
1952,559.75
1953,786.25
1954,804.6666666667
1955,965.5
1956,812.1666666667
1957,706
1958,834.25
1959,944
1960,649
1961,931.3333333333
1962,826.5
1963,860.1666666667
1964,615.4166666667
1965,584.1666666667
1966,619.0833333333
1967,656.1666666667
1968,630.9166666667
1969,654.9166666667
1970,839.6666666667
1971,547.5
1972,300.75
1973,767.75
1974,675.1666666667
1975,904.0833333333
1976,528.6666666667
1977,610.3333333333
1978,679.6666666667
1979,783.8333333333
1980,654
1981,779.5
1982,673.9166666667
1983,993.0833333333
1984,439.9166666667
1985,510.5
1986,487.25
1987,660.4166666667
1988,1081.3333333333
1989,953
1990,1089.3333333333
1991,460.5833333333
1992,599.4166666667
1993,711.75
1994,526.75
1995,646.25
1996,787.4166666667
1997,624.0833333333
1998,1070
1999,723.25
2000,740.25
2001,615.75
2002,677.3333333333
2003,562.1666666667
2004,582.8333333333
2005,946.0833333333
2006,919.5
2007,698.9166666667
2008,550
2009,564.9166666667
2010,836.8333333333
2011,567.8333333333
