Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1910,1938,1623,1875,4415,2462.75,2945.9592198582,,
1911,923,2441,1728,730,1455.5,4888.7593085106,,
1912,663,1821,1450,312,1061.5,117.5642730496,,
1913,1795,2408,770,680,1413.25,2704.2996453901,,
1914,3161,1766,1621,2486,2258.5,598.5124113475,,
1915,2166,1475,889,2923,1863.25,1558.3444148936,,
1916,1540,3685,1488,3126,2459.75,201.3634751773,,
1917,1783,1391,2595,3328,2274.25,4850.560283688,,
1918,829,658,786,920,798.25,1797.9592198582,,
1919,1598,1246,943,2278,1516.25,24.0642730496,,
1920,625,570,809,1170,793.5,8616.702570922,,
1921,1431,1776,688,1148,1260.75,2619.5749113475,,
1922,2116,1233,330,2088,1441.75,1434.5749113475,,
1923,182,2837,721,2973,1678.25,138.0159574468,,
1924,492,1295,1870,2043,1425,10379.397606383,,
1925,1195,789,1783,765,1133,334.7344858156,,
1926,820,1250,2658,1636,1591,953.9401595745,,
1927,1823,1490,690,1755,1439.5,168.7451241135,,
1928,1600,1508,1386,2772,1816.5,1606.9219858156,,
1929,1693,1025,480,1683,1220.25,26240.0868794326,,
1930,1336,525,794,2841,1374,11272.982712766,,
1931,1208,2712,1174,2371,1866.25,1260.0159574468,,
1932,1085,2546,1668,1701,1750,1474.7234042553,,
1933,1910,1873,1798,3183,2191,3012.6103723404,,
1934,981,2401,3088,1751,2055.25,2208.2553191489,,
1935,2118,1793,1911,2433,2063.75,5337.2783687943,,
1936,1093,846,1058,1366,1090.75,838.0429964539,,
1937,788,2406,286,1626,1276.5,3217.0372340426,,
1938,2286,3032,1481,2720,2379.75,8746.1719858156,,
1939,958,1761,1771,632,1280.5,10047.482712766,,
1940,1973,1756,2131,1333,1798.25,2.8368794326,,
1941,367,1045,1243,2118,1193.25,3782.0217198582,,
1942,2421,1718,2720,1169,2007,2925.4259751773,,
1943,1835,1253,567,3218,1718.25,3.3550531915,,
1944,891,2190,1121,1553,1438.75,60.6826241135,,
1945,1211,1215,1383,1728,1384.25,17.5536347518,,
1946,1711,1533,1075,1818,1534.25,5712.810283688,,
1947,779,1471,2925,2406,1895.25,925.5429964539,,
1948,2056,2273,1133,1655,1779.25,462.9804964539,,
1949,1960,2095,919,3905,2219.75,4099.1493794326,,
1950,680,1370,1181,3063,1573.5,492.4273049645,,
1951,1368,2553,1105,663,1422.25,3875.8195921986,,
1952,1368,1698,951,1485,1375.5,6380.5124113475,,
1953,2141,2296,1355,2562,2088.5,287.2451241135,,
1954,2013,3120,1065,2831,2257.25,167.6529255319,,
1955,2343,2178,3588,1968,2519.25,9465.2664007092,,
1956,919,2741,1670,2053,1845.75,5.2664007092,,
1957,1051,2271,2827,805,1738.5,347.1742021277,,
1958,685,3128,3942,895,2162.5,14005.1600177305,,
1959,2130,2128,1963,3006,2306.75,3761.3337765958,,
1960,1214,1596,763,2326,1474.75,546.1436170213,,
1961,1686,2893,1788,950,1829.25,1750.0749113475,,
1962,845,1401,2293,2881,1855,260.7664007092,,
1963,2106,1803,4276,850,2258.75,3894.1914893617,,
1964,1004,2116,1600,2200,1730,2504.4898049645,,
1965,1241,2535,2068,729,1643.25,279.4485815603,,
1966,683,2363,854,1973,1468.25,465.702570922,,
1967,1223,2493,1150,1363,1557.25,43.7039007092,,
1968,810,2278,625,2093,1451.5,3145.7872340426,,
1969,1298,2021,1598,2356,1818.25,2945.9592198582,,
1970,2173,1165,3907,1898,2285.75,4888.7593085106,,
1971,868,267,2013,1613,1190.25,117.5642730496,,
1972,1049,535,855,744,795.75,2704.2996453901,,
1973,921,1960,3595,1396,1968,598.5124113475,,
1974,1116,1330,1611,1521,1394.5,1558.3444148936,,
1975,1295,2241,2301,3328,2291.25,201.3634751773,,
1976,1150,2013,2066,560,1447.25,4850.560283688,,
1977,1163,1386,1313,1345,1301.75,1797.9592198582,,
1978,2308,1941,1200,849,1574.5,24.0642730496,,
1979,1413,1933,1571,2666,1895.75,8616.702570922,,
1980,2063,1179,3098,1134,1868.5,2619.5749113475,,
1981,1218,1585,1538,3225,1891.5,1434.5749113475,,
1982,729,2493,1005,1928,1538.75,138.0159574468,,
1983,1085,1946,3035,4473,2634.75,10379.397606383,,
1984,397,1190,761,1315,915.75,334.7344858156,,
1985,1185,2115,562,1035,1224.25,953.9401595745,,
1986,1381,1193,1171,1396,1285.25,168.7451241135,,
1987,1518,1306,2133,405,1340.5,1606.9219858156,,
1988,1881,2942,3230,4522,3143.75,26240.0868794326,,
1989,2061,4267,2546,1665,2634.75,11272.982712766,,
1990,2221,1276,4071,1583,2287.75,1260.0159574468,,
1991,2308,2066,360,442,1294,1474.7234042553,,
1992,2093,661,1838,1565,1539.25,3012.6103723404,,
1993,923,2368,1223,1475,1497.25,2208.2553191489,,
1994,1248,855,1413,1269,1196.25,5337.2783687943,,
1995,1260,1603,1606,1269,1434.5,838.0429964539,,
1996,367,2178,2013,3242,1950,3217.0372340426,,
1997,833,1495,1226,1523,1269.25,8746.1719858156,,
1998,1868,2253,2937,2825,2470.75,10047.482712766,,
1999,1825,1133,1403,2752,1778.25,2.8368794326,,
2000,1921,1511,3613,649,1923.5,3782.0217198582,,
2001,1316,522,2781,840,1364.75,2925.4259751773,,
2002,2657,719,2176,1408,1740,3.3550531915,,
2003,450,3837,1343,495,1531.25,60.6826241135,,
2004,733,1720,617,2268,1334.5,17.5536347518,,
2005,792,5184,1236,2515,2431.75,5712.810283688,,
2006,1487,1370,3618,2551,2256.5,925.5429964539,,
2007,1689,2731,1964,1755,2034.75,462.9804964539,,
2008,1112,933,1063,2730,1459.5,4099.1493794326,,
2009,575,1440,1455,1770,1310,492.4273049645,,
2010,1150,3105,2545,1846,2161.5,3875.8195921986,,
2011,682,2375,2073,1110,1560,241.420212766,,
