Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1957;0;0;150;191;360;1051;2271;2827;805;790;27;0;706
1958;0;0;70;207;202;685;3128;3942;895;290;592;0;834.25
1959;30;0;4;143;185;2130;2128;1963;3006;1616;123;0;944
1960;12;0;197;20;769;1214;1596;763;2326;676;210;5;649
1961;0;4;118;113;785;1686;2893;1788;950;2671;148;20;931.3333333333
1962;8;0;86;517;534;845;1401;2293;2881;377;424;552;826.5
1963;0;55;75;136;85;2106;1803;4276;850;930;6;0;860.1666666667
1964;0;0;121;76;18;1004;2116;1600;2200;197;53;0;615.4166666667
1965;20;8;3;123;16;1241;2535;2068;729;78;3;186;584.1666666667
1966;187;0;75;32;295;683;2363;854;1973;74;592;301;619.0833333333
1967;13;20;53;35;182;1223;2493;1150;1363;422;35;885;656.1666666667
1968;91;350;435;225;0;810;2278;625;2093;370;288;6;630.9166666667
1969;0;0;2;4;55;1298;2021;1598;2356;203;320;2;654.9166666667
1970;111;0;0;173;262;2173;1165;3907;1898;387;0;0;839.6666666667
1971;8;0;0;0;325;868;267;2013;1613;1476;0;0;547.5
1972;0;0;0;2;56;1049;535;855;744;3;365;0;300.75
1973;0;15;2;83;8;921;1960;3595;1396;1230;3;0;767.75
1974;0;3;24;63;754;1116;1330;1611;1521;1680;0;0;675.1666666667
1975;20;78;93;0;101;1295;2241;2301;3328;1391;1;0;904.0833333333
1976;0;0;27;96;43;1150;2013;2066;560;55;334;0;528.6666666667
1977;0;71;40;27;111;1163;1386;1313;1345;685;1175;8;610.3333333333
1978;158;217;126;81;197;2308;1941;1200;849;715;337;27;679.6666666667
1979;15;138;80;22;141;1413;1933;1571;2666;316;1094;17;783.8333333333
1980;0;0;53;101;12;2063;1179;3098;1134;0;30;178;654
1981;370;3;233;29;187;1218;1585;1538;3225;693;96;177;779.5
1982;272;6;437;160;412;729;2493;1005;1928;345;300;0;673.9166666667
1983;0;0;35;0;146;1085;1946;3035;4473;1105;1;91;993.0833333333
1984;20;302;0;1;0;397;1190;761;1315;1264;25;4;439.9166666667
1985;123;0;88;88;121;1185;2115;562;1035;784;1;24;510.5
1986;128;66;1;0;55;1381;1193;1171;1396;45;105;306;487.25
1987;136;93;27;3;312;1518;1306;2133;405;1531;387;74;660.4166666667
1988;0;0;5;91;91;1881;2942;3230;4522;98;86;30;1081.3333333333
1989;0;0;460;40;81;2061;4267;2546;1665;217;8;91;953
1990;20;0;0;0;1576;2221;1276;4071;1583;2293;32;0;1089.3333333333
1991;17;15;10;70;70;2308;2066;360;442;53;116;0;460.5833333333
1992;0;0;0;49;81;2093;661;1838;1565;557;349;0;599.4166666667
1993;0;22;78;75;115;923;2368;1223;1475;1861;90;311;711.75
1994;73;6;0;105;218;1248;855;1413;1269;809;325;0;526.75
1995;400;22;190;68;182;1260;1603;1606;1269;1150;5;0;646.25
1996;1;6;3;143;29;367;2178;2013;3242;1435;27;5;787.4166666667
1997;93;0;73;101;96;833;1495;1226;1523;945;632;472;624.0833333333
1998;0;0;13;34;262;1868;2253;2937;2825;2246;402;0;1070
1999;0;131;0;0;342;1825;1133;1403;2752;1093;0;0;723.25
2000;1;192;6;11;472;1921;1511;3613;649;447;50;10;740.25
2001;30;0;5;88;4;1316;522;2781;840;1803;0;0;615.75
2002;113;156;3;93;282;2657;719;2176;1408;517;4;0;677.3333333333
2003;0;18;12;17;0;450;3837;1343;495;75;499;0;562.1666666667
2004;55;6;0;111;615;733;1720;617;2268;537;332;0;582.8333333333
2005;205;13;132;59;47;792;5184;1236;2515;1170;0;0;946.0833333333
2006;0;0;319;14;949;1487;1370;3618;2551;640;86;0;919.5
2007;0;0;6;108;10;1689;2731;1964;1755;0;124;0;698.9166666667
2008;37;0;204;98;2;1112;933;1063;2730;287;109;25;550
2009;0;0;2;11;170;575;1440;1455;1770;561;707;88;564.9166666667
2010;169;94;89;8;32;1150;3105;2545;1846;573;417;14;836.8333333333
2011;0;75;7;171;110;682;2375;2073;1110;211;0;0;567.8333333333
