1871,1885.1666666667
1872,2059.5
1873,1492.4166666667
1874,2187.1666666667
1875,2074.0833333333
1876,1939.25
1877,1999
1878,2310.25
1879,2107.3333333333
1880,2188.4166666667
1881,2035.3333333333
1882,1949.6666666667
1883,1816
1884,1605
1885,1856.0833333333
1886,2039.6666666667
1887,1834.75
1888,1904.0833333333
1889,2098
1890,1924.8333333333
1891,1668.0833333333
1892,2140.75
1893,1980.75
1894,2062.6666666667
1895,1932.1666666667
1896,1553.1666666667
1897,1989
1898,1798.5
1899,2105.4166666667
1900,1634.3333333333
1901,1856.4166666667
1902,2146
1903,1963.3333333333
1904,2059.4166666667
1905,2057.6666666667
1906,2125.0833333333
1907,1794.6666666667
1908,1711.6666666667
1909,1754.3333333333
1910,2049.5833333333
1911,2139.5833333333
1912,2021.9166666667
1913,2087.3333333333
1914,1760.8333333333
1915,2385.3333333333
1916,1987.75
1917,1859.8333333333
1918,2206.75
1919,1674.8333333333
1920,1829.3333333333
1921,2210.4166666667
1922,1656
1923,1812.5833333333
1924,2021.6666666667
1925,1836.8333333333
1926,1888.25
1927,2079.4166666667
1928,1953.1666666667
1929,2214.3333333333
1930,1898.4166666667
1931,2116.6666666667
1932,2074.3333333333
1933,1767.3333333333
1934,2368.1666666667
1935,1866.5
1936,2023.25
1937,1822.5
1938,2049.25
1939,1826.75
1940,1885.9166666667
1941,2001.5
1942,2044.9166666667
1943,2111
1944,1851.1666666667
1945,2083.3333333333
1946,2207.4166666667
1947,2355.9166666667
1948,2570.75
1949,2194.8333333333
1950,1957.9166666667
1951,2192.1666666667
1952,2352.5833333333
1953,2116.75
1954,1983.1666666667
1955,2177.4166666667
1956,2200.3333333333
1957,1824.25
1958,1859.4166666667
1959,1912.3333333333
1960,1909.1666666667
1961,1831.8333333333
1962,1606.5
1963,2008.9166666667
1964,2054.3333333333
1965,1840.5833333333
1966,2188.4166666667
1967,1624.3333333333
1968,1902
1969,1764.6666666667
1970,2246.6666666667
1971,1740.5833333333
1972,1700.5
1973,2131.5
1974,2363
1975,1626.5
1976,1862.9166666667
1977,2164.25
1978,1556.0833333333
1979,1861.9166666667
1980,1788.1666666667
1981,1752
1982,1674
1983,2028.5
1984,1846.5
1985,1804.1666666667
1986,1745.9166666667
1987,1994.1666666667
1988,2585.4166666667
1989,2118.3333333333
1990,1839.5833333333
1991,1865
1992,1591.5833333333
1993,2551.0833333333
1994,2112.4166666667
1995,1928
1996,1852.6666666667
1997,1711.8333333333
1998,2022.5
1999,1964.25
2000,2005.5833333333
2001,1654.1666666667
2002,1862.9166666667
2003,1820.3333333333
2004,2069.5833333333
2005,1913.4166666667
2006,1476.9166666667
2007,1932.5833333333
2008,1796.5
2009,1304
2010,1720
2011,1309.8333333333
