1833;0;0;4;330;4717;5320;2726;1803;251;156;20
0;0;0;20;185;7522;6552;3116;2831;103;29;45
0;13;0;0;178;6759;7389;4152;2915;312;35;0
0;12;0;0;312;7085;15424;4188;3385;288;86;13
18;0;1;2;27;9124;9082;4016;4768;18;27;37
0;0;0;2;1;4765;7700;2632;1793;0;0;0
3;141;8;0;34;7234;3106;3608;2541;1693;69;30
1;0;0;4;4;7882;12346;10315;7000;1831;360;0
0;5;0;0;2191;6212;3910;9455;1413;417;30;0
0;0;0;0;6;6594;8599;2241;4743;582;96;0
0;0;0;0;61;4675;8175;5097;1936;765;232;0
13;0;2;0;81;9249;9420;1990;3983;874;20;0
113;0;0;0;106;7014;10015;3730;3953;2015;88;0
73;0;0;2;4;3820;8052;6284;5424;1308;17;258
0;0;0;20;50;3657;7855;6070;3057;1418;37;10
0;0;0;4;587;9712;12025;4310;1263;1685;123;4
0;0;1;13;193;9735;7912;5370;4131;660;390;24
671;0;0;40;115;7252;7852;5042;1224;155;440;0
0;0;0;0;48;8537;10775;3838;1288;1500;4;0
0;0;0;2;203;9617;9227;6095;1920;160;292;6
0;0;22;4;0;2266;12426;2677;5555;407;0;0
0;0;0;135;422;6769;8909;11889;5082;1578;231;2
0;3;0;50;1318;8599;5305;4685;2351;622;187;0
90;0;131;1;6;6485;9499;3325;3727;1531;2;0
0;13;0;6;15;4945;8270;4301;2611;1279;267;0
0;0;0;5;203;6480;10303;7047;661;70;86;8
0;0;0;1;73;4417;14679;5479;4335;1878;0;0
0;93;0;51;65;8920;10796;3190;4586;407;238;0
0;0;0;395;211;6330;1946;2321;1601;221;0;0
29;0;121;0;0;5725;6762;6604;3750;12;2;0
76;1;4;252;232;7777;7835;5305;784;210;116;0
0;0;0;0;8;4285;7354;3552;6704;764;330;349
0;0;4;0;2138;4947;10856;5710;2516;1606;50;3
0;1;163;22;30;10695;6704;2358;1598;690;0;0
0;0;0;2;37;2637;5957;2083;2151;845;197;0
45;10;0;0;41;5309;9312;4360;1866;200;50;8
22;8;0;116;0;6152;10428;5517;1203;25;3;1
8;8;0;0;8;4512;9755;4722;2493;110;18;0
0;0;0;2;5;7327;10022;3261;4051;25;0;0
