Year,Mean_asmmeg,Mean_chattisgarh,Mean_coastalkar,Mean_gnbwl,Mean_gujarat,Mean_kerala,Mean_kngoa,Mean_marathwada,Mean_mpmah,Mean_nwest,Mean_orissa,Mean_pen,Mean_saurashtra,Mean_shwbl,Mean_southkar,Mean_telangana,Mean_vidarbha,Mean_wmp,Mean_westup
1905,4132.25,2820.75,6060.5,2908.75,1833.5,4216.5,3207,1135.75,990,670,2772.25,1373,627,6113.75,875.75,1550,2171.25,1738,864.25
1906,4156.75,2998.25,6387.5,2448.5,2298,4309,5211.75,1841.75,1396.75,1228,2724.25,1791.75,1162,5403,1660.75,1998.75,2755.5,2397.75,2115
1907,3707.25,2738,6609,2708.5,2634,6486,5825,1212,1728.25,1195.25,3008.5,1677,1009,5323.75,1443.75,1695,2143,1488.25,1107.5
1908,3613.5,3073.75,8828.5,3003.5,2572.25,5124.5,5370.5,1635.75,1488.75,1695.5,3392.75,1669.25,1064,3575.75,1003,2493,2959.5,1990,2099.75
1909,3535.5,2612.25,6961.25,3492.25,2233.5,4570.25,6165.25,2117.5,1619.25,1512.25,2934.5,1840.5,1430.75,5264.5,1358,1576.5,2311,1921,1993.5
1910,4182.5,3538.25,6602.75,2523.5,2246,4334.25,5267.75,2462.75,1807.5,1373.25,3372.25,1891,1617.25,6074,1561.25,1889.75,2898.75,2282.75,1824.25
1911,3907.25,3507.25,5194.5,2643.5,842,4379.5,4282,1455.5,900.25,542.25,3035.75,1365.25,217.75,5499.75,1032,1419.5,1992.75,1515.25,1379
1912,3725.5,2713.75,7151.5,2413,2599.75,5942,5142.75,1061.5,1165.25,1347.75,2834.75,1818,1596.25,4634,1550.75,1562.75,2306.25,1823.25,1862.25
1913,3422.5,2550.5,5436.75,3643.5,2851.5,3884.75,5210.75,1413.25,1564,1217.5,2975.75,1319,1770,5375,1206.75,1492.25,2595.25,1831.25,1015.75
1914,3396.5,2841.75,8845.25,2534.75,2559,5050,7601,2258.5,2128,1392.75,3398,1778.5,1362.75,4289.25,1147.75,2229.5,2363.75,2098,1959.25
1915,4416.25,2689.25,5782.25,2473,922.25,5670.25,5682.75,1863.25,1756,517.25,2345.5,1833.25,458.25,4046.5,1394.5,1957.5,2285.5,1471.5,1576.25
1916,3591.5,2653.5,7440,3110.25,2326.75,5074.25,7192.25,2459.75,1684.75,1463,2620.5,1939.75,1076.5,6415.5,1491,2144.5,2941.25,2606.25,2564.25
1917,3743.5,3256.25,7815.25,2988.75,2905.5,4788.75,6490.75,2274.25,1263.25,2042.25,2986,1929.5,1466.75,5262.5,1422.25,2273,2585.25,2712,2330.5
1918,5198.5,3119,4003.25,2979,942.5,2875,2629.25,798.25,525.5,436.25,2866,1010.75,216,6111.5,660,1096,1641,1157,841.5
1919,3288.5,3468.75,6248.75,3059,2515.75,4881.75,5436,1516.25,1589,1233.25,3266.75,1655.75,977.25,4839.75,1377.25,1304.25,2258,2802.25,1896.75
1920,3538,2580,5742,2499.75,1434.75,5985.75,3644.25,793.5,1007.5,954.75,2958.25,1509.25,1007.5,6025.5,1158.5,1044,1443,1572,1527
1921,4207.5,2903.25,6663.25,2893.25,2938.75,4549,6159.5,1260.75,1299,1247.5,2780.75,1653,1351,5684.75,1075.5,1793.75,2382.25,1937,2311.5
1922,3566.25,2845,7000.5,3621.5,2118.5,5795.25,5767.25,1441.75,1007,1097.75,3393.5,1442.75,755.75,5938,878.25,1453.25,2507.75,2077.25,2361.75
1923,3606.25,2851.75,8123.75,2698.25,1109.75,6664,5981.5,1678.25,1356.25,1006.75,2320.25,1713.5,453.25,4941.75,1327.75,1495.5,2246.5,2456.25,1798.5
1924,4114.75,2374,7471.25,2577,1988.75,7788.25,5429.75,1425,1461.5,1254.75,2124.75,2091.75,705.5,5938.75,1547.75,1665.5,1774.75,2226.25,2327.5
1925,3192,4029.75,7173.75,2198,1408.25,4863.25,4230,1133,1105.75,860.25,3504.75,1576,649,5432.75,1120.5,1752.5,1889.25,1599.25,2243.75
1926,3617.5,2818.75,6266.5,3487.5,3193,5561.5,6574.25,1591,1495.75,1751.75,3044.5,1640,2156.5,5115,1274,1373,2337.75,2172.25,1814
1927,4238.5,3156.25,6930.75,2799,3266.75,5319.25,5104.5,1439.5,1407.25,1408.25,3239.75,1751.25,1423.5,5130.75,1215.25,1818.25,2575,1790,1905.5
1928,3627.5,2665.75,7703.75,3468.25,1923.75,3857.75,6311.5,1816.5,1523,1069.25,2999.5,1443,1116,4995.5,1004.25,1956.75,1966,1814.25,1092.75
1929,3680.5,3885,7995.75,2901.75,1856.75,5759.25,4912.25,1220.25,1221.75,1076.25,3346.5,1672.25,957.25,4395.75,1152,1525.5,1917.5,1718.75,1332.5
1930,3765.5,2862.5,5980.25,3076.75,2056.25,4025.5,5718.5,1374,1512.5,1094.5,2991.25,1367.5,931.75,4060,947.5,1541.25,2225.25,2081,1606.25
1931,4275.75,2542.25,8086.5,2777,2324.75,5902.5,7165.5,1866.25,1589.5,1261.25,2719,1724.25,614.5,5136.75,1301.5,2106.5,2665.75,2534.5,2048.5
1932,3815,3033.75,6136.5,2402,2170.75,3928,5641.5,1750,1653.5,1094.5,2770.25,1457,935.75,4896,1331.75,1827.75,2487,2370.75,1849
1933,3657.25,3324.25,9062.75,3686.25,2811.25,5758.25,6210.25,2191,1916.25,1738,3740.5,1845.5,1556,4724,1665,2031.5,3273.25,2864,2239.5
1934,4439.75,3498.75,6842.75,2256.5,2458.5,3839.5,7137,2055.25,1585.5,1334.5,3282,1327,930.75,4997.75,864.75,1893,2638.75,2840.5,1889.25
1935,4296.25,3003.75,6048.25,2471.5,1837,3911.75,5895.75,2063.75,1273.25,1133.25,3003.75,1539,1175.5,5716.75,1406.25,1828,2552.75,2101.25,1728
1936,3516.5,3939,7257.25,3140.25,1422.25,4636.25,6322.5,1090.75,1007,985.5,3744.75,1567.5,785.5,5263.5,1371.25,1760.75,3014.5,1932.75,2827.25
1937,3617.25,3637.75,7028,2925,2969,4729,6877,1276.5,1345.25,1307.25,3035.25,1456.25,1062.5,4356.75,988.25,1488,2432.25,2418.75,1471
