Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1956;13;6;34;15;661;2391;3182;1485;2567;365;570;128;951.4166666667
1957;90;49;703;515;146;1553;2145;3902;1413;155;0;0;889.25
1958;30;6;175;73;39;1220;2820;4528;2201;589;245;0;993.8333333333
1959;101;185;4;177;58;1818;3841;2980;4783;694;17;0;1221.5
1960;422;0;497;133;108;2061;3197;1890;1160;630;3;34;844.5833333333
1961;17;45;54;125;455;1253;3633;3870;3000;1386;0;35;1156.0833333333
1962;35;46;283;362;203;625;3223;2413;2901;90;432;760;947.75
1963;2;155;177;171;130;1988;2722;3607;865;849;0;0;888.8333333333
1964;0;30;53;41;8;1766;2686;3886;1971;349;37;0;902.25
1965;281;70;45;260;24;1473;2525;1686;1701;8;0;6;673.25
1966;150;0;182;317;439;648;4645;2140;2116;11;452;389;957.4166666667
1967;15;0;627;98;12;1483;3677;1755;786;81;0;1085;801.5833333333
1968;96;308;539;236;17;975;2817;2098;2311;81;27;61;797.1666666667
1969;6;0;6;46;106;1140;3723;1601;2790;35;215;0;805.6666666667
1970;106;12;158;148;156;3488;2521;4487;2391;65;0;0;1127.6666666667
1971;58;85;223;70;430;2063;999;2471;1411;988;0;0;733.1666666667
1972;0;6;1;45;50;1356;1538;2316;562;111;287;27;524.9166666667
1973;0;85;0;54;8;910;3957;3901;1823;1598;0;4;1028.3333333333
1974;0;96;25;3;128;940;2226;2783;627;1880;85;0;732.75
1975;58;287;146;0;79;2470;2792;3097;2837;803;5;0;1047.8333333333
1976;61;0;110;96;68;846;3997;2293;1711;4;595;0;815.0833333333
1977;0;24;54;86;238;2063;2521;3902;1120;296;579;83;913.8333333333
1978;217;362;329;232;4;2038;3801;3542;462;202;222;359;980.8333333333
1979;412;703;39;0;327;2511;2223;3625;1308;37;277;165;968.9166666667
1980;121;37;10;32;2;2421;2713;3893;781;0;2;231;853.5833333333
1981;197;24;255;54;252;1868;2911;3452;3127;285;13;153;1049.25
1982;673;158;55;98;200;999;2801;1678;1778;455;81;0;748
1983;12;55;17;6;74;1286;3386;2821;2881;592;1;160;940.9166666667
1984;302;292;0;116;29;930;2632;2130;432;770;4;0;636.4166666667
1985;263;5;0;167;45;2333;2513;1726;709;1231;0;8;750
1986;111;549;96;120;111;1830;3202;4393;597;172;160;434;981.25
1987;168;106;156;11;146;1163;1570;3157;407;700;645;56;690.4166666667
1988;0;177;68;182;73;1643;4166;3095;2730;1246;153;20;1129.4166666667
1989;0;0;455;0;64;1888;1755;2941;1481;63;0;344;749.25
1990;20;166;79;20;1074;3165;3332;4887;1210;1408;5;489;1321.25
1991;83;27;45;61;24;1938;3293;2393;170;108;153;6;691.75
1992;0;12;0;48;98;1740;2153;4912;1059;447;121;0;882.5
1993;0;108;248;10;70;1523;2957;2036;1811;904;11;79;813.0833333333
1994;111;282;0;168;74;2095;4691;3352;1756;850;143;0;1126.8333333333
1995;460;88;419;98;83;1363;3062;1736;1756;635;0;0;808.3333333333
1996;35;61;39;163;0;460;2346;2572;1320;905;64;0;663.75
1997;217;0;6;141;106;1050;2196;2338;1451;975;745;835;838.3333333333
1998;166;215;163;74;123;1411;2298;2370;2628;796;879;0;926.9166666667
1999;1;375;2;0;545;1996;2278;2466;1988;1146;0;0;899.75
2000;0;318;0;43;499;2461;3872;2026;512;80;0;0;817.5833333333
2001;80;0;185;208;156;2451;2228;3472;492;1313;34;0;884.9166666667
2002;35;116;37;29;113;3658;870;3738;1220;469;20;0;858.75
2003;0;181;135;126;2;1636;3577;2820;1295;316;3;17;842.3333333333
2004;285;65;6;120;185;1471;2366;1568;1945;417;170;0;716.5
2005;637;148;109;93;70;1620;3644;2336;2470;729;0;14;989.1666666667
2006;0;19;715;386;380;1272;3866;3851;1825;480;90;0;1073.6666666667
2007;8;27;67;86;52;2183;3377;1573;1976;51;248;0;804
2008;13;73;312;32;31;1570;2835;2515;2033;210;28;5;804.75
2009;0;0;137;36;179;826;3061;1555;971;384;781;76;667.1666666667
2010;150;200;145;9;8;1515;4354;3443;2475;500;445;41;1107.0833333333
2011;0;184;20;455;232;1510;2569;2748;2087;39;0;1;820.4166666667
