BIHAR1935R,222,155,0,2,133,1115,1788,4442,3448,6,0,0,942.5833333333
BIHAR1936R,66,45,58,55,765,1756,4702,2887,3946,1100,0,100,1290
BIHAR1937R,0,646,4,113,933,824,2035,4967,1633,2310,0,4,1122.4166666667
BIHAR1938R,128,146,0,20,920,3708,3646,4053,2145,235,0,0,1250.0833333333
BIHAR1939R,22,499,105,25,195,2203,2901,2707,2605,655,0,0,993.0833333333
BIHAR1940R,3,475,693,61,277,1193,3135,3057,2173,20,0,185,939.3333333333
BIHAR1941R,162,20,11,6,527,1913,2146,4371,1815,658,0,0,969.0833333333
BIHAR1942R,375,450,168,143,277,1351,2436,3520,3930,55,0,6,1059.25
BIHAR1943R,330,182,0,303,267,1295,2922,3332,1763,240,0,0,886.1666666667
BIHAR1944R,250,245,392,397,113,1841,2018,2926,2026,559,0,12,898.25
BIHAR1945R,574,318,5,325,449,958,2203,2627,2668,1698,0,39,988.6666666667
BIHAR1946R,0,227,65,442,956,1766,3927,2558,2576,1501,145,0,1180.25
BIHAR1947R,103,79,78,85,459,769,3762,2705,2030,630,0,0,891.6666666667
BIHAR1948R,63,56,35,30,442,1056,4005,3293,2931,1033,268,0,1101
BIHAR1949R,185,514,68,434,925,2120,4783,3647,2305,1171,0,0,1346
BIHAR1950R,65,106,250,12,407,3287,2528,2872,1320,25,0,20,907.6666666667
BIHAR1951R,75,27,56,73,325,1225,3692,1966,1020,325,70,0,737.8333333333
BIHAR1952R,0,111,206,212,512,3187,2296,3172,3297,113,17,5,1094
BIHAR1953R,340,45,58,268,370,2213,3898,2728,3207,382,0,3,1126
BIHAR1954R,178,91,8,2,365,1546,3472,3035,1181,108,0,4,832.5
BIHAR1955R,168,86,27,141,211,1420,4422,2792,2148,534,61,3,1001.0833333333
BIHAR1956R,177,56,86,13,696,3072,1728,2746,3822,1503,394,79,1197.6666666667
BIHAR1957R,1026,30,193,10,6,1248,3821,3856,1276,75,0,22,963.5833333333
BIHAR1958R,131,17,55,226,150,1108,1870,3940,1971,564,0,2,836.1666666667
BIHAR1959R,924,6,138,186,577,1065,2383,2652,1170,2218,0,0,943.25
BIHAR1960R,8,0,427,4,565,820,2955,2887,3642,577,8,0,991.0833333333
