Year,All_India,asmmeg,chattisgarh,coastkarna,kerala,gujarat,,,Range,All_India,asmmeg,chattisgarh,coastkarna,kerala,gujarat
1942,2393.75,4049,3566,7226.25,4860.5,2676.75,,,,,,,,,
1943,2170.25,3880,3469.25,6982,4984.5,2034.75,,,,,,,,,
1944,2300.75,3569.5,3357.5,6379.75,3434.75,3265.5,,,,,,,,,
1945,2277,4113.5,3841.5,8467,4229.25,3162.75,,,,,,,,,
1946,2258.75,3688,3491.25,8415.75,6112.5,2698,,,,,,,,,
1947,2363,4543.25,3945.75,7348.5,6089.25,2050.25,,,,,,,,,
1948,2184.25,4203,3245.25,7808.5,5245.5,968.5,,,,,,,,,
1949,2259.25,4044.75,3038.75,7708.5,5170.75,1951.75,,,,,,,,,
1950,2192.25,3910.75,2734,8525,5579,2770.75,,,,,,,,,
1951,1846.75,4329.75,2789,7291,4319.25,1184.75,,,,,,,,,
1952,1981.75,4204.75,3133.75,5797.25,3580,2073,,,,,,,,,
1953,2307,4053.75,2863.75,7397,4229.5,2523.25,,,,,,,,,
1954,2213,3655,2805.75,6950.5,5018.75,3405.75,,,,,,,,,
1955,2325,4101,3102.25,8120.5,4435.75,2195,,,,,,,,,
1956,2457.75,4086.5,3467.75,6482.25,3806.75,3110.75,,,,,,,,,
1957,1971.25,3314.5,2592.25,6372.25,5136.75,1543.25,,,,,,,,,
1958,2222.75,3248.75,2962.5,7242.75,4360.75,2754.25,,,,,,,,,
1959,2360,3052.75,3546,8487.25,5871.25,3405,,,,,,,,,
1960,2098.75,4411.75,2848.75,6390,4669.25,1643.25,,,,,,,,,
1961,2550.25,3146.5,4691,11173.25,7357.75,2427.25,,,,,,,,,
1962,2024,3259.25,2236.25,7133.25,4871.75,1598.75,,,,,,,,,
1963,2144.25,4138,3005.5,6471.75,4554.75,2586.5,,,,,,,,,
1964,2306,3867.5,3162,6879.5,4597.5,2521,,,,,,,,,
1965,1773,3720.5,2253.25,5748,3660.5,1570.25,,,,,,,,,
1966,1849.75,4649.75,2179.5,5490.5,3512.25,1715.75,,,,,,,,,
1967,2149.75,3201,2882.25,7204.25,5026.75,2231.25,,,,,,,,,
1968,1886.25,3869.25,2438,7174,6522.75,1377.75,,,,,,,,,
1969,2077.5,3630,2516,6547.25,4624.25,1564.5,,,,,,,,,
1970,2349.25,4130.5,3338.5,9598,4723.5,2936.75,,,,,,,,,
1971,2216.75,3112.75,3233.5,7529.25,5596,1901.5,,,,,,,,,
1972,1632,3306.5,2667,5534.5,3933.5,1085.25,,,,,,,,,
1973,2283,3867,3039,7454,4301.5,2719.25,,,,,,,,,
1974,1869.75,4930,1833.5,8004,5526,744.75,,,,,,,,,
1975,2406.25,3054.5,3075,11557,6303.75,2803.25,,,,,,,,,
1976,2141.5,3926.25,2644.75,6317.75,3151.5,2929.75,,,,,,,,,
1977,2207.5,3720.5,3484.75,6890,4473.75,2664.25,,,,,,,,,
1978,2273,3254,2715.25,8525,5118.75,1954,,,,,,,,,
1979,1769.25,4139,1897,6418.25,4671,1725.75,,,,,,,,,
1980,2206.5,3244.25,3485.5,7534.75,4938,1942.5,,,,,,,,,
1981,2130.25,3340.75,2392.5,8178,6315.75,2383.25,,,,,,,,,
1982,1837.75,3485.5,2262,8439.75,4373.25,1450.5,,,,,,,,,
1983,2389,3983,2894,9135.75,5134.5,2775.5,,,,,,,,,
1984,2091.25,3751.25,2634,6226,4054.75,2579.5,,,,,,,,,
1985,1899.25,3625.75,2878.25,6077.25,4119,1168.5,,,,,,,,,
1986,1857.25,2951,2930,6174.75,3821.5,1155.5,,,,,,,,,
1987,1742.5,4384.25,2349,7063.25,3641.25,929.5,,,,,,,,,
1988,2403.5,4740,2152.25,8988.5,5127,2740.5,,,,,,,,,
1989,2166.25,4327.75,2543.5,7729.75,4408.25,1972.75,,,,,,,,,
1990,2271,3220.25,3018.25,6756.75,3792.75,2405.75,,,,,,,,,
1991,1963,3656.25,2578.75,7874.5,5617.25,1923.5,,,,,,,,,
1992,1962,3201.25,2633,7673.5,5380.75,2287.25,,,,,,,,,
1993,2166.5,5381,2631,6752,4384.75,2024.5,,,,,,,,,
1994,2381.75,3320.75,4049.5,8629.75,5606.5,3404.25,,,,,,,,,
1995,2000.5,4094.25,2531.25,7474.25,4308.75,1544.25,,,,,,,,,
1996,2146.5,2981.5,3086.75,7067,4722,2139.75,,,,,,,,,
1997,2178.5,3665.5,2632.25,7915,5758,3225.75,,,,,,,,,
1998,2148.25,4089,2203.5,8279,5080.5,2530.5,,,,,,,,,
1999,2054.75,3822.5,2953,7424.5,3790,1156.75,,,,,,,,,
2000,1945.5,4023.5,2264.75,6706.25,4050.5,1236.75,,,,,,,,,
2001,1983.5,2874.5,3135.5,6676.75,4216.25,1873,,,,,,,,,
2002,1654.75,3483,2111.5,5180,3230.5,1492,,,,,,,,,
2003,2123.75,3277.5,3120.75,7657.25,3951.5,2762,,,,,,,,,
2004,1861.75,3380.5,2674.25,5713.25,3475.25,2349.75,,,,,,,,,
2005,2142,3235.5,2876,6758.25,4339.75,3221.25,,,,,,,,,
2006,2174.75,2683,2389.75,6617,4947,2934,,,,,,,,,
2007,2337.5,3683.25,2620.75,8409.75,6176.75,2780.75,,,,,,,,,
2008,2217.5,3523.5,2813.5,5934.5,4033.25,2345.5,,,,,,,,,
2009,1669,2660.25,1968,7047.25,4357.25,1433.25,,,,,,,,,
2010,2114,2990.25,2563,7250.25,4397,2354.25,,,,,,,,,
2011,2202.25,2666,3204.5,8786.25,5312.25,2108.75,,,,,,,,,
2012,,2341.75,,,,,,,,,,,,,
2013,,2017.5,,,,,,,,,,,,,
2014,,1693.25,,,,,,,,,,,,,
2015,,1369,,,,,,,,,,,,,
2016,,1044.75,,,,,,,,,,,,,
