Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1959;50;0;0;138;375;1421;2393;1405;1645;838;505;0;730.8333333333
1960;45;0;65;141;680;1288;1498;850;2111;332;183;4;599.75
1961;6;0;1;181;1134;1451;2788;953;769;1033;55;29;700
1962;0;11;108;143;634;424;2243;1125;1616;567;267;555;641.0833333333
1963;0;73;131;103;227;1296;2233;1926;515;870;131;6;625.9166666667
1964;0;0;54;54;60;1261;1813;1670;2106;690;267;22;666.4166666667
1965;43;1;3;153;162;492;2758;1871;497;88;111;302;540.0833333333
1966;74;0;22;44;703;482;2063;509;1523;118;783;98;534.9166666667
1967;2;1;118;130;81;1264;3201;1181;1418;447;50;653;712.1666666667
1968;5;49;55;131;79;733;1558;1660;1431;615;155;6;539.75
1969;2;1;10;65;50;1493;2511;1721;2096;276;223;11;704.9166666667
1970;13;0;0;121;582;1901;1253;1683;1386;944;0;0;656.9166666667
1971;0;0;0;35;459;1293;656;1573;1746;407;0;0;514.0833333333
1972;0;0;0;46;187;612;1260;715;820;103;339;3;340.4166666667
1973;0;35;2;40;162;1325;2386;1483;1351;1195;43;6;669
1974;0;11;81;188;447;698;1505;1476;1910;1398;0;0;642.8333333333
1975;17;40;4;20;223;1276;1976;1783;2291;1316;60;0;750.5
1976;0;0;79;78;55;1906;2421;1651;604;86;560;44;623.6666666667
1977;0;4;153;110;262;1420;1583;740;666;791;1045;75;570.75
1978;13;136;59;400;407;1440;1045;1228;1070;442;683;12;577.9166666667
1979;43;27;88;11;91;803;1546;1923;2546;295;891;17;690.0833333333
1980;1;0;93;192;37;1948;1181;1980;683;128;135;115;541.0833333333
1981;101;3;39;113;163;1208;2116;1400;2526;750;70;6;707.9166666667
1982;6;1;12;153;545;811;1035;1021;1281;407;547;0;484.9166666667
1983;6;0;0;3;12;1178;1516;1998;2622;470;43;45;657.75
1984;6;177;91;110;15;816;2176;690;1313;1433;44;4;572.9166666667
1985;22;0;2;64;156;773;1274;745;764;850;222;0;406
1986;39;74;1;22;120;1918;821;1235;773;70;145;267;457.0833333333
1987;32;29;22;30;427;1016;1126;1778;500;1265;479;417;593.4166666667
1988;0;3;0;175;121;823;2376;1450;2977;166;8;75;681.1666666667
1989;0;0;188;81;286;1320;2121;1106;1886;167;20;34;600.75
1990;8;0;0;0;674;1446;1576;2330;991;1333;287;17;721.8333333333
1991;0;0;0;148;374;2587;2196;1030;663;302;44;0;612
1992;0;0;0;50;172;1348;1245;1690;1214;706;125;0;545.8333333333
1993;0;0;40;91;135;1320;1851;1185;1216;2000;136;347;693.4166666667
1994;29;0;11;221;240;2511;1853;1148;923;874;103;0;659.4166666667
1995;337;0;93;135;222;710;1631;1545;923;1446;35;0;589.75
1996;25;0;0;91;41;1643;1766;1046;1406;1521;73;8;635
1997;43;0;15;285;75;1678;1483;1738;724;3297;610;360;859
1998;1;0;6;16;151;1381;1581;1756;1951;1396;221;0;705
1999;0;136;0;0;276;1750;1468;452;1360;1611;0;0;587.75
2000;4;25;4;22;499;1776;1254;1215;1005;699;50;27;548.3333333333
2001;75;0;13;90;45;1296;825;993;1886;1190;58;0;539.25
2002;8;73;3;128;121;2258;420;1668;748;447;95;0;497.4166666667
2003;98;55;55;73;37;1578;1198;1005;835;410;8;2;446.1666666667
2004;4;6;0;60;439;1746;1073;2163;1586;306;113;0;624.6666666667
2005;91;4;23;252;199;2361;2672;1995;2323;750;0;0;889.1666666667
2006;0;0;101;17;467;1694;2760;3198;1555;471;537;3;900.25
2007;0;0;0;125;104;2401;1912;1668;1477;51;95;0;652.75
2008;0;0;272;60;108;1061;967;1498;2590;739;106;62;621.9166666667
2009;1;0;9;2;108;602;2355;1067;1587;982;1121;59;657.75
2010;48;7;31;53;41;1681;2036;1663;1541;780;711;10;716.8333333333
2011;0;35;8;115;127;1094;1867;1653;1346;537;0;0;565.1666666667
