Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1962;0;0;20;0;10;146;1573;1149;776;0;123;17;317.8333333333
1963;6;0;10;0;6;202;699;1250;671;337;318;0;291.5833333333
1964;8;0;0;0;44;1038;1756;1556;505;0;0;0;408.9166666667
1965;53;0;0;27;10;0;2478;1246;292;1;40;0;345.5833333333
1966;0;0;0;0;0;674;1625;49;659;29;0;0;253
1967;0;0;460;6;0;610;5134;780;148;2;0;225;613.75
1968;27;3;4;0;0;101;774;2025;222;32;0;0;265.6666666667
1969;0;0;0;0;0;369;1683;227;195;0;191;17;223.5
1970;4;8;0;8;69;875;1808;2951;2116;285;0;0;677
1971;0;0;0;0;17;930;1648;1100;482;3;0;0;348.3333333333
1972;0;46;0;0;4;678;1003;355;27;0;0;0;176.0833333333
1973;32;0;0;0;29;475;1896;704;609;24;0;0;314.0833333333
1974;0;0;0;0;73;73;308;282;311;337;0;10;116.1666666667
1975;16;0;0;0;2;635;530;1558;1483;1466;0;0;474.1666666667
1976;85;2;69;0;0;1033;1345;1511;818;32;307;0;433.5
1977;44;0;0;0;151;880;1628;975;1531;5;75;0;440.75
1978;0;12;0;12;0;2086;843;1386;80;60;233;12;393.6666666667
1979;0;40;0;1;4;1698;360;6127;350;93;1065;0;811.5
1980;32;4;0;0;4;2336;2817;788;181;10;25;91;524
1981;44;0;1;4;37;372;1951;1736;840;217;1106;0;525.6666666667
1982;12;0;1;30;295;32;1370;765;155;22;964;0;303.8333333333
1983;18;3;0;65;0;1888;1725;2160;296;108;0;0;521.9166666667
1984;0;0;0;0;0;330;813;1174;1563;0;0;0;323.3333333333
1985;0;0;0;0;53;167;634;950;233;644;0;0;223.4166666667
1986;0;0;0;0;46;1320;210;587;15;0;0;10;182.3333333333
1987;0;0;17;0;0;252;178;187;5;2;40;30;59.25
1988;0;0;0;76;0;166;4103;1185;1625;22;0;0;598.0833333333
1989;27;0;12;0;0;1523;1878;1351;437;59;0;0;440.5833333333
1990;0;128;0;0;101;258;303;2686;700;162;4;4;362.1666666667
1991;0;0;0;0;0;342;1808;497;79;0;0;6;227.6666666667
1992;101;0;0;0;12;400;2271;1125;850;85;0;0;403.6666666667
1993;27;76;0;12;0;272;1206;71;632;297;236;0;235.75
1994;55;2;0;0;5;834;2942;1079;1591;0;0;0;542.3333333333
1995;2;0;17;2;2;73;2076;302;1201;156;0;0;319.25
1996;46;0;1;79;2;1501;1906;288;85;429;0;0;361.4166666667
1997;136;0;6;48;25;1595;1234;753;1701;29;6;1;461.1666666667
1998;0;8;0;0;2;1084;1956;1421;512;1163;20;0;513.8333333333
1999;6;108;0;0;1225;760;550;176;242;625;0;0;307.6666666667
2000;0;0;0;0;108;130;1998;730;40;22;0;2;252.5
2001;0;0;0;27;146;1791;1636;914;83;45;0;0;386.8333333333
2002;0;0;2;0;1;1891;203;1200;105;0;12;10;285.3333333333
2003;0;50;0;8;2;562;3355;1803;238;39;0;0;504.75
2004;10;0;0;0;690;751;925;2006;253;187;0;1;401.9166666667
2005;0;0;0;21;17;1718;1168;526;2290;14;0;0;479.5
2006;0;0;115;0;0;655;3666;1824;623;5;1;13;575.1666666667
2007;0;148;0;0;4;1105;1936;4542;1800;1;26;0;796.8333333333
2008;7;17;3;93;0;837;1791;906;1980;42;14;84;481.1666666667
2009;0;0;0;0;0;574;4162;829;92;28;8;0;474.4166666667
2010;3;0;0;0;2;600;3948;2723;1668;54;407;0;783.75
2011;0;256;0;0;0;190;2016;2528;1829;25;0;0;570.3333333333
