1871,314
1872,389.6666666667
1873,285.75
1874,342.25
1875,225.0833333333
1876,270.25
1877,278
1878,906.5833333333
1879,306.6666666667
1880,344.5833333333
1881,503.6666666667
1882,390.5
1883,436.5833333333
1884,669.1666666667
1885,475.9166666667
1886,524.8333333333
1887,364.3333333333
1888,319.5833333333
1889,433
1890,283.25
1891,307.4166666667
1892,409.25
1893,362.4166666667
1894,777
1895,335.3333333333
1896,515.3333333333
1897,428.6666666667
1898,360.75
1899,69.5
1900,567.25
1901,142.4166666667
1902,342.3333333333
1903,471.0833333333
1904,158.75
1905,214.6666666667
1906,429.9166666667
1907,360.75
1908,358.75
1909,496.5833333333
1910,542.3333333333
1911,105.5833333333
1912,536.8333333333
1913,590.0833333333
1914,468.25
1915,212.4166666667
1916,387
1917,723.5
1918,77.9166666667
1919,356.5833333333
1920,363.0833333333
1921,451
1922,262.4166666667
1923,173.0833333333
1924,236.8333333333
1925,236.5833333333
1926,765.6666666667
1927,511.9166666667
1928,399.4166666667
1929,356.9166666667
1930,328.4166666667
1931,254.25
1932,329.6666666667
1933,647.6666666667
1934,313
1935,406
1936,296.75
1937,379.3333333333
1938,267.75
1939,145.3333333333
1940,301
1941,343.6666666667
1942,257
1943,392.5833333333
1944,537.8333333333
1945,537.8333333333
1946,377.5833333333
1947,409.3333333333
1948,166.6666666667
1949,446.5
1950,461
1951,252.0833333333
1952,325.5833333333
1953,549
1954,438.1666666667
1955,284.75
1956,591.3333333333
1957,404.1666666667
1958,450.9166666667
1959,1033.75
1960,241.3333333333
1961,654.1666666667
1962,317.8333333333
1963,291.5833333333
1964,408.9166666667
1965,345.5833333333
1966,253
1967,613.75
1968,265.6666666667
1969,223.5
1970,677
1971,348.3333333333
1972,176.0833333333
1973,314.0833333333
1974,116.1666666667
1975,474.1666666667
1976,433.5
1977,440.75
1978,393.6666666667
1979,811.5
1980,524
1981,525.6666666667
1982,303.8333333333
1983,521.9166666667
1984,323.3333333333
1985,223.4166666667
1986,182.3333333333
1987,59.25
1988,598.0833333333
1989,440.5833333333
1990,362.1666666667
1991,227.6666666667
1992,403.6666666667
1993,235.75
1994,542.3333333333
1995,319.25
1996,361.4166666667
1997,461.1666666667
1998,513.8333333333
1999,307.6666666667
2000,252.5
2001,386.8333333333
2002,285.3333333333
2003,504.75
2004,401.9166666667
2005,479.5
2006,575.1666666667
2007,796.8333333333
2008,481.1666666667
2009,474.4166666667
2010,783.75
2011,570.3333333333
