Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1957;0;55;191;387;375;1580;1988;2746;921;695;0;0;744.8333333333
1958;80;58;163;392;167;868;3193;2123;1018;617;318;0;749.75
1959;0;5;0;172;407;1921;3393;3302;1471;650;45;6;947.6666666667
1960;1;0;360;13;237;1478;1896;919;2291;653;83;46;664.75
1961;76;34;29;60;280;1631;3292;2023;1233;1990;151;0;899.9166666667
1962;0;287;45;572;195;989;2151;2476;2847;688;450;480;931.6666666667
1963;0;0;30;442;128;1796;1926;3407;960;1310;0;0;833.25
1964;6;0;12;55;37;1076;1838;2003;3147;587;83;0;737
1965;34;0;35;106;83;923;3407;1406;2270;25;0;0;690.75
1966;334;22;15;60;16;577;2760;2023;2081;420;283;257;737.3333333333
1967;24;0;615;101;27;1503;3622;1636;1656;93;0;263;795
1968;183;140;196;141;111;856;1916;382;2590;795;113;1;618.6666666667
1969;37;0;11;93;1140;1358;2581;1610;2308;726;655;280;899.9166666667
1970;73;22;91;257;454;2251;1436;3580;1758;370;0;0;857.6666666667
1971;32;162;70;216;567;1381;923;1763;1105;1290;0;0;625.75
1972;0;91;0;205;130;1291;1371;910;809;605;646;15;506.0833333333
1973;0;0;29;44;85;1283;2165;3116;773;2408;178;4;840.4166666667
1974;0;1;6;168;560;951;1268;1695;1518;2233;206;0;717.1666666667
1975;210;123;182;83;380;1081;2567;1950;3212;1701;121;0;967.5
1976;0;0;12;126;172;885;4238;2250;1031;128;342;0;765.3333333333
1977;0;0;53;171;564;986;2095;1886;645;925;725;37;673.9166666667
1978;237;167;34;138;278;2361;3220;3481;1638;669;425;2;1054.1666666667
1979;116;187;1;213;890;1040;1121;1085;2571;292;577;20;676.0833333333
1980;20;0;111;150;211;2125;1570;2662;1321;133;27;70;700
1981;103;0;392;177;280;1745;2416;2346;2647;990;83;13;932.6666666667
1982;13;0;48;205;322;1214;3050;1563;1450;1188;242;0;774.5833333333
1983;0;18;45;45;399;1375;2460;4055;2941;1803;50;69;1105
1984;22;15;86;283;48;836;2401;908;1608;966;25;4;600.1666666667
1985;25;0;131;103;138;1528;2020;1214;784;910;43;65;580.0833333333
1986;285;345;12;203;148;1153;1876;3227;846;475;260;163;749.4166666667
1987;116;3;247;91;225;880;2086;2203;617;1495;1590;12;797.0833333333
1988;0;48;35;268;79;1098;4951;2758;3052;298;15;197;1066.5833333333
1989;0;0;412;10;44;2200;4115;2248;1978;291;22;182;958.5
1990;30;70;191;45;1691;1903;1456;3268;1418;1616;93;0;981.75
1991;111;70;20;185;248;1820;2105;1335;1306;322;412;8;661.8333333333
1992;12;12;0;55;218;1371;1453;2293;835;534;724;0;625.5833333333
1993;0;4;115;168;286;805;2348;1576;1259;1053;0;182;649.6666666667
1994;90;55;0;165;121;908;1910;2336;364;1466;389;0;650.3333333333
1995;696;0;228;141;562;1266;2063;1165;364;3358;93;0;828
1996;0;48;11;216;65;1451;1621;2653;1231;1100;270;1;722.25
1997;295;0;74;410;110;515;1426;1448;1428;654;460;238;588.1666666667
1998;2;140;1;93;232;1263;1875;2528;1923;1258;261;0;798
1999;0;76;0;8;534;969;1828;2140;1623;540;12;0;644.1666666667
2000;3;372;10;96;445;2008;1841;3647;554;293;3;0;772.6666666667
2001;64;88;188;271;58;1465;944;2071;923;1303;3;0;614.8333333333
2002;231;6;30;60;272;985;710;2308;535;855;27;0;501.5833333333
2003;0;54;55;177;0;1135;2208;2018;1265;1018;0;262;682.6666666667
2004;282;96;58;275;213;630;2230;1220;1074;700;126;0;575.3333333333
2005;172;228;148;120;182;868;3251;1128;2731;1589;19;152;882.3333333333
2006;0;0;341;464;401;978;795;1935;2934;348;409;0;717.0833333333
2007;0;18;6;107;83;1644;1274;1787;2702;138;131;0;657.5
2008;2;460;1159;152;83;1143;1708;2904;1808;351;160;12;828.5
2009;24;0;59;69;247;626;1021;1447;1635;867;360;14;530.75
2010;124;106;10;120;371;980;3547;2442;2561;937;523;237;996.5
2011;0;151;27;371;176;767;2422;2008;941;131;18;0;584.3333333333
