1871,435.9166666667
1872,609.6666666667
1873,488.5
1874,643.75
1875,524
1876,407.25
1877,617.5833333333
1878,977.1666666667
1879,738.0833333333
1880,634.4166666667
1881,565.75
1882,715.3333333333
1883,904.25
1884,801.0833333333
1885,751.75
1886,957.75
1887,632.8333333333
1888,582.0833333333
1889,838.8333333333
1890,761.5
1891,545.9166666667
1892,1063.5
1893,1236.75
1894,850.5
1895,727.5
1896,537.75
1897,671.75
1898,789.6666666667
1899,406.8333333333
1900,737.5
1901,676.6666666667
1902,598.0833333333
1903,1052.6666666667
1904,572.1666666667
1905,623.8333333333
1906,781.6666666667
1907,647.6666666667
1908,869.8333333333
1909,572.3333333333
1910,791.9166666667
1911,530.25
1912,626.8333333333
1913,600.8333333333
1914,813.3333333333
1915,906.8333333333
1916,986.0833333333
1917,980.5833333333
1918,525.5
1919,686.75
1920,407
1921,709.0833333333
1922,614.5833333333
1923,589.0833333333
1924,712.5
1925,839.4166666667
1926,584
1927,747.4166666667
1928,795.8333333333
1929,627.1666666667
1930,664.1666666667
1931,871.4166666667
1932,739.9166666667
1933,943.3333333333
1934,699.0833333333
1935,734.9166666667
1936,934.9166666667
1937,761.8333333333
1938,1019
1939,576.25
1940,772.25
1941,519.4166666667
1942,649.75
1943,702.6666666667
1944,843.75
1945,812.9166666667
1946,722.0833333333
1947,871.75
1948,718.1666666667
1949,808.25
1950,711.4166666667
1951,704.0833333333
1952,612.5
1953,930.1666666667
1954,810.75
1955,980.75
1956,950.25
1957,744.8333333333
1958,749.75
1959,947.6666666667
1960,664.75
1961,899.9166666667
1962,931.6666666667
1963,833.25
1964,737
1965,690.75
1966,737.3333333333
1967,795
1968,618.6666666667
1969,899.9166666667
1970,857.6666666667
1971,625.75
1972,506.0833333333
1973,840.4166666667
1974,717.1666666667
1975,967.5
1976,765.3333333333
1977,673.9166666667
1978,1054.1666666667
1979,676.0833333333
1980,700
1981,932.6666666667
1982,774.5833333333
1983,1105
1984,600.1666666667
1985,580.0833333333
1986,749.4166666667
1987,797.0833333333
1988,1066.5833333333
1989,958.5
1990,981.75
1991,661.8333333333
1992,625.5833333333
1993,649.6666666667
1994,650.3333333333
1995,828
1996,722.25
1997,588.1666666667
1998,798
1999,644.1666666667
2000,772.6666666667
2001,614.8333333333
2002,501.5833333333
2003,682.6666666667
2004,575.3333333333
2005,882.3333333333
2006,717.0833333333
2007,657.5
2008,828.5
2009,530.75
2010,996.5
2011,584.3333333333
