Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1982,1214,3050,1563,1450,1819.25,743.3621453901,,
1983,1375,2460,4055,2941,2707.75,7704.1493794326,,
1984,836,2401,908,1608,1438.25,700.3763297872,,
1985,1528,2020,1214,784,1386.5,1.2925531915,,
1986,1153,1876,3227,846,1775.5,12.9614361702,,
1987,880,2086,2203,617,1446.5,1846.4898049645,,
1988,1098,4951,2758,3052,2964.75,14691.0678191489,,
1989,2200,4115,2248,1978,2635.25,8488.1985815603,,
1990,1903,1456,3268,1418,2011.25,64.3444148936,,
1991,1820,2105,1335,1306,1641.5,246.0217198582,,
1992,1371,1453,2293,835,1488,2094.9804964539,,
1993,805,2348,1576,1259,1497,1112.170212766,,
1994,908,1910,2336,364,1379.5,1426.6117021277,,
1995,1266,2063,1165,364,1214.5,2116.2344858156,,
1996,1451,1621,2653,1231,1739,446.8156028369,,
1997,515,1426,1448,1428,1204.25,14195.1600177305,,
1998,1263,1875,2528,1923,1897.25,2748.2712765958,,
1999,969,1828,2140,1623,1640,24.4791666667,,
2000,2008,1841,3647,554,2012.5,3989.3617021277,,
2001,1465,944,2071,923,1350.75,1047.1493794326,,
2002,985,710,2308,535,1134.5,2153.1985815603,,
2003,1135,2208,2018,1265,1656.5,127.3475177305,,
2004,630,2230,1220,1074,1288.5,3354.6103723404,,
2005,868,3251,1128,2731,1994.5,728.5124113475,,
2006,978,795,1935,2934,1660.5,2546.8125,,
2007,1644,1274,1787,2702,1851.75,376.8102836879,,
2008,1143,1708,2904,1808,1890.75,4.5217198582,,
2009,626,1021,1447,1635,1182.25,2914.0496453901,,
2010,980,3547,2442,2561,2382.5,4150.5319148936,,
2011,767,2422,2008,941,1534.5,421.3763297872,,
