Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1957,404.1666666667,-325.7968263991,125.8460907381,124.2594610434,327.2716680765,294.3505546035,-326.7814457831,378.4953357368,-384.4626078212,-239.1801044249,-384.0748050711,384.5910565596,-237.1580690571,276.9628954375,-237.8330951242,-141.7461649216,124.656318058
1958,450.9166666667,-137.3515511566,265.8869465288,46.440662857,402.0066516345,287.1028761477,-334.8631878626,434.7462621782,-438.5187222974,-429.4885233306,-364.183980899,448.5187901429,-204.2461561926,347.7035789081,-301.9809359749,-119.6725858327,105.0103350746
1959,1033.75,323.6874636989,837.6308787583,-109.5355537768,983.4988519099,553.1571721676,-691.1608654225,1017.250850039,-1021.1099354776,-981.7665141693,-605.8164519478,1027.9304572581,-318.3850982565,873.3018981885,-768.7234357091,-183.9558930692,161.1631538815
1960,241.3333333333,195.808376718,229.6702701981,-74.8819355737,238.3997374707,102.5800841363,-141.7220354414,240.3741135801,-240.5988165883,-141.0703986839,-74.1171017034,229.4220423205,-37.5145698583,218.4470281701,-195.3372530986,-21.495657662,18.8145484688
1961,654.1666666667,654.1622376771,654.1655594184,-327.7779852501,654.1663898546,201.6906862206,-326.7358227682,654.1665762791,-654.1665974637,2.4071923581,1.2035982163,566.123325931,0.6017993628,622.2980755793,-566.7254449006,0.3438853828,-0.3008997132
1962,317.8333333333,256.5031732706,302.1119712531,-212.936516618,313.8783861952,59.346134732,-129.1117827944,316.5401127712,-316.8430538322,187.6809790039,98.7237793204,235.9577667049,49.983861968,312.2435973245,-290.4275732802,28.6423599683,-25.0700422023
1963,291.5833333333,89.260002859,235.6348546424,-236.0695801844,277.2436082617,18.1315737973,-89.9635625934,286.8748110461,-287.9760890422,277.5851079712,171.7470685496,171.149039113,90.3151258417,291.0190480182,-277.3578873644,52.1889170708,-45.723215304
1964,408.9166666667,-127.4211785133,239.9043525006,-373.7148402974,364.2209002935,-25.8984406983,-84.8369421287,394.1381131737,-397.5857371412,388.5571818203,331.1476135035,165.9821027077,185.8923776469,408.0957130958,-400.0194164388,108.9402956745,-95.5950934919
1965,345.5833333333,-280.0706409751,106.3957109117,-338.0890161141,279.4605738803,-64.9191785518,-35.9854910045,323.5054170193,-328.6371532059,202.4556157323,328.797495394,71.5797280015,203.2968960025,339.4309068631,-343.7046475026,121.5404683097,-106.8899518687
1966,253,-252.9994489472,-0.2640230623,-252.9999387719,178.8046450253,-78.2817331223,0.0880077016,227.912383352,-233.7162544533,-0.5280458371,252.9998622368,-0.1760153926,178.9913375485,240.5846426091,-252.999984693,109.8405458599,-96.8798864796
1967,613.75,-495.8953728859,-190.1752841345,-600.2627573961,360.5336196962,-261.5184588062,64.3342643859,526.7933954452,-546.79364096,-361.6308084917,583.5429922502,-127.9596990589,496.6936395493,555.2451334353,-610.3688761118,314.9250403116,-278.7575590109
1968,265.6666666667,-81.7290461832,-156.3107394079,-242.6463181849,120.5243225974,-142.4163658723,55.2980074084,214.8964954437,-226.4929058652,-252.7827936941,214.8155732799,-108.1736661537,236.754441226,224.2684920124,-259.8478557819,156.1994687053,-138.8515083481
1969,223.5,69.3057768986,-180.88959497,-180.7657349349,69.0051647494,-142.5032307383,69.1053841681,168.2876999945,-180.7967150165,-212.4828446922,131.2676823578,-131.4381948805,212.5806605454,172.1774643475,-212.5481025062,147.076510805,-131.3955777005
1970,677,548.0278482337,-643.950251671,-452.8650585796,105.7702217516,-493.5871108366,275.4445092406,467.7925766356,-514.750153048,-397.4851916239,208.9427514246,-503.2317942237,668.6865186249,463.3581379624,-618.4329570206,489.3864579702,-439.7286435259
1971,348.3333333333,348.3332907468,-348.3333226867,-174.1169412143,-0.0430614561,-281.8278337069,174.1915276185,217.1630422662,-246.2936371189,0.1722458178,-0.0861229115,-301.694219191,348.3333306716,204.7173252541,-301.6511608084,272.3533076442,-246.3240861666
1972,176.0833333333,142.4361956984,-167.4604138351,-54.4029202248,-27.5531523451,-154.3059863572,103.5033640553,97.0000828789,-114.3540322179,103.5242504573,-54.4274753773,-167.4683926858,173.9142434466,84.8233626549,-142.4513738333,146.9568787068,-133.8973322859
1973,314.0833333333,97.0996756275,-254.1119143846,-32.8454932588,-97.0464403472,-292.0240008499,210.1572247985,148.8398824227,-184.618079837,298.697159797,-184.5954366867,-312.361191332,298.7144601349,115.630113748,-233.4143978908,276.5773484546,-254.0954640978
1974,116.1666666667,-35.8465268245,-68.3027192419,12.1249657486,-52.7266309651,-112.5144125142,86.3226832846,45.6634441301,-60.7026254814,110.4976061237,-93.9650625957,-115.5321585103,103.5113367295,28.8998515747,-77.7373063271,106.8154685176,-99.0448671265
