Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1885,167.75,-138.4092693004,49.608001244,53.3184277616,135.021858802,-70.5767711267,-136.1694326143,144.3464217296,-159.3580548859,94.7783555023,160.2470240366,-159.0509596357,99.5447645316,-152.1807539649,97.9691182031,-85.4644547977,-52.393442748
1886,230.3333333333,-230.2458026915,-3.1749979925,116.9949217779,161.7438353902,-69.9679592223,-200.0015934444,207.915158771,-212.4952248828,-6.3493926793,230.3114496333,-198.4077436055,163.9889513281,-219.4491492959,114.2488821133,-99.1197820703,-88.877577861
1887,143.9166666667,-114.0828603129,-46.333475827,97.2665690311,83.796919837,-26.1964144271,-131.7389223759,134.9356446774,-128.007383233,-87.7331632126,136.2542328232,-106.0717751967,117.0046288413,-141.5123839656,57.9384438495,-50.0437682429,-65.7732223803
1888,208.5,-59.0667281156,-124.8135352994,169.7734541663,93.4040360211,-11.9707682532,-198.582495696,201.1981843351,-177.4077105292,-199.958424753,167.0144646612,-121.0339797761,186.4079828091,-208.1560729535,63.539298101,-54.6949780167,-109.5388252849
1889,242.4166666667,81.0195277276,-197.9978839842,222.3246301307,73.3752452646,16.5090362017,-237.3405106929,238.6837770071,-195.64409351,-228.4768618583,139.8666443995,-96.6312533038,231.0452632281,-241.8538649712,49.348984405,-42.3779998514,-143.140591561
1890,206.8333333333,170.4703006623,-197.5335013334,202.6826809866,31.0122173665,39.8246499556,-205.7930541772,206.0688764463,-156.8349260684,-117.1319955002,61.3232715103,-41.2281288183,204.495159238,-202.9631124951,20.7182680306,-17.7664272696,-134.8437382413
1891,173.0833333333,173.0249381646,-173.0687339254,173.0768446569,-1.1240360725,54.3401892293,-173.0817111566,173.0821415295,-121.9903446334,4.4956702403,-2.2480247388,1.4987065696,173.0796834428,-164.3319327224,-0.749360308,0.6423093678,-122.7851623527
1892,362.4166666667,287.6394958911,-343.2136270461,353.8395756419,-58.9894126482,155.9902763135,-360.2660127022,360.8361792239,-234.4857074293,220.4753062847,-116.4055260185,78.3798123714,357.583681777,-327.1282225267,-39.4238553347,33.8096441991,-276.3372817576
1893,449.75,128.0981133223,-360.4768986819,409.3072914046,-141.6872918045,242.9094935077,-439.5230465,442.228727413,-263.2025864338,431.1217181531,-268.9451022359,186.3936793538,426.8486544914,-378.5102910937,-95.3653715737,81.9073571218,-364.6909115875
1894,311.25,-103.5573888834,-179.7836549996,250.2719289831,-143.0365335874,199.5958629083,-295.6126692109,299.735543255,-161.7968501253,293.5173414087,-254.0755791,185.0419521705,276.4364530219,-238.8264097831,-97.4151543755,83.8759000526,-265.8915978167
1895,186.9166666667,-153.8863684187,-55.5603871816,123.9236440762,-110.7986414788,136.8868817117,-170.4424165953,174.7650367297,-84.3437239555,106.0981898654,-178.4681586559,139.9313071355,150.5373751739,-127.2785209414,-76.7282405828,66.2949637201,-166.8052052758
1896,221.0833333333,-221.0176092255,2.695413219,108.9817961995,-157.2796096399,179.4917897059,-191.0129564378,198.8538427025,-83.9819620907,-5.3904257742,-221.0669016957,192.3559418757,155.3736292596,-129.075705328,-111.3188696972,96.6177495091,-204.5112963167
1897,293.0833333333,-232.8953289625,93.9151237759,88.328820344,-238.1415522377,257.5074932806,-236.4165237178,251.0787454097,-89.7288146103,-177.9258441745,-277.6288706239,279.4563647055,170.8403973759,-139.9561759342,-173.2197090142,151.18632174,-279.0100000114
1898,211.1666666667,-60.4669484822,126.1403130578,20.4098688716,-188.7167064039,196.7047866362,-156.3669483744,170.4153652302,-48.6861544769,-202.3242675815,-169.3516534694,210.1780158907,94.7489621854,-76.8022657579,-141.9180699108,124.6994964086,-205.4775400704
