Year,annual_mean_westmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1971,921.1666666667,921.1665540467,-921.1666385117,-460.4518344935,-0.1138759176,-745.2930320087,460.649078061,574.2871457444,-651.3229341419,0.4555036531,-0.2277518335,-797.8296408942,921.166659628,541.3744768801,-797.7157731043,720.2376705023,-651.4034565756
1972,626.1666666667,506.5147063311,-595.5028630181,-193.4612127635,-97.9812525894,-548.7246481252,368.0663878427,344.9401906069,-406.6522470827,368.1406615885,-193.5485328845,-595.5312364608,618.4532064639,301.638782295,-506.5686810147,522.5906230967,-476.1498129655
1973,1136.6666666667,351.4034427061,-919.6302765207,-118.8677442426,-351.2107843821,-1056.8340067905,760.5583831925,538.6511000917,-668.1322921137,1080.9841495441,-668.0503466189,-1130.4342397901,1081.0467594165,418.4650441822,-844.7260247363,1000.9326168535,-919.5707429807
1974,732,-225.879405758,-430.3953269874,76.4029405562,-332.2458582475,-708.9860828726,543.9443687029,287.7386608596,-382.5049226891,696.2775984149,-592.1012265715,-728.0017793071,652.2550802235,182.1063818018,-489.8454080181,673.0753769428,-624.1105544041
1975,850.5,-687.6789951236,-263.134247721,262.608735522,-499.7772365331,-843.7769219811,688.0039896547,262.9090417947,-386.1927694356,500.447649276,-808.7710539308,-808.9418409426,688.1663780245,106.7274844272,-500.0007602187,808.8442901712,-757.7634161371
1976,883.5833333333,-883.5828005446,-0.4851614326,441.5115289757,-624.6162127213,-883.5833120218,765.1247399679,196.750928269,-338.2447572795,0.9703227189,-883.5832001361,-765.3672822416,624.9592736732,0.1940645812,-441.9317133149,861.3991984961,-816.2781334308
1977,908.25,-735.5452605445,280.0527446844,607.4190665501,-734.6005608014,-901.1203949681,829.6404129785,122.0995142508,-280.8176482632,-532.8144444275,-863.9956728449,-675.2482062852,534.1161658012,-113.5785907314,-369.6144581221,900.0054283835,-863.7473652197
1978,918.5,-285.3474829424,539.2358421495,742.769712729,-818.2085220206,-889.722852717,873.4632880498,41.4358030298,-214.6132830512,-873.0515815108,-743.5502380749,-540.3104698713,417.3452581411,-228.112900453,-284.0847310737,917.5648882925,-893.0752424841
1979,651.6666666667,200.1027881987,526.8157939074,595.1455294399,-619.66835356,-606.0028293394,637.3797721124,-29.0459104228,-102.1083592102,-620.1841005698,-383.5812348567,-265.4642032971,201.6942637775,-239.6456035004,-135.7072973218,651.0190316206,-643.6173765708
1980,719.75,581.2847264973,684.2586296118,703.9031821479,-710.8217818705,-630.8861766366,715.7773319444,-96.3726727507,-56.6837057659,-424.4386047958,-223.2267687841,-150.2011073928,113.0152950642,-346.4429168403,-75.5173726669,713.2687925648,-717.5144737221
1981,733.0833333333,733.0806793824,733.0826698453,733.0830384497,-733.0831674613,-593.3086816837,733.0832596124,-162.8516417662,-0.24657455,-1.9725940568,-0.9862979211,-0.6575320576,0.4931490721,-430.5763368438,-0.3287660618,714.766057102,-733.0832918653
1982,806.25,653.6931336605,767.1633305606,788.7992576564,-796.4183880865,-588.0630313831,801.8754466828,-248.815280248,62.9552901085,471.9368066862,247.9909005248,166.8376265138,-125.5261471477,-551.5622663132,83.8738964594,766.8963546759,-803.7883390218
1983,930.1666666667,290.3796924837,753.4293392227,850.1686927804,-884.8799028149,-593.3874390006,909.947417944,-365.1721158561,145.1279404114,883.6796150025,545.4853422195,377.3900125784,-286.7012127147,-716.3109485511,192.887854348,855.4877869257,-918.77522207
1984,759.4166666667,-232.0374858782,447.493318131,614.9230898345,-676.9592150277,-407.3833039893,722.3906549609,-359.515354315,176.9457022161,723.0990794894,613.5661364835,445.6268250449,-344.1509767533,-640.8997716039,234.2336765632,668.9262916218,-738.5146525821
1985,782.4166666667,-631.1599591622,243.2547727144,524.3069519769,-633.4439314951,-333.6981071223,714.9833347547,-430.6610471563,241.4112164723,462.3991200557,743.6416851075,580.756455312,-459.2653110457,-707.6873699458,317.7651197047,653.228063344,-744.2422084505
1986,776.3333333333,-776.3262112003,1.6627009987,389.126232269,-549.5381036166,-240.5326347192,672.6013341606,-483.664410438,296.7058279425,3.3253943706,776.331552798,671.7694692411,-548.3623957912,-738.1310832633,387.6865869872,607.25792092,-717.3974464057
1987,640.5,-519.9024385637,-196.5232023197,198.8595915523,-377.0723663398,-120.59675606,518.4639902584,-442.3211740261,290.4525773335,-374.0878297613,609.6055125653,608.8473641625,-517.7419053379,-629.0442531554,376.0789023667,463.2410053182,-570.8568562436
1988,777.4166666667,-243.8701220805,-455.4053009154,82.5301768504,-353.7916071582,-49.5779243858,578.1595837645,-585.0906188644,405.7913143967,-738.1761559192,630.0656200026,773.0235724221,-692.2486347517,-775.8341981537,519.7193178172,511.9039375978,-663.1063887276
1989,608.75,185.0783399083,-491.5501001522,-62.5743351882,-188.8722306645,37.5871101168,407.7281177171,-492.2211555496,357.4916726883,-579.9332466731,359.1031349632,605.5254041539,-578.7087721677,-607.5884887431,452.0335657038,358.1827697272,-492.7233163333
1990,972.1666666667,783.3114730923,-923.7470788955,-298.7026821064,-153.4143233941,181.1043134594,572.1534920762,-834.1591607034,630.8580412362,-575.7874294389,302.9840953086,925.1403869037,-959.9854546582,-955.148813235,785.9697254238,499.2860126144,-739.6797682683
1991,644.6666666667,644.6555368869,-644.6638842157,-321.2391726367,-0.9470357409,198.4922704317,322.8799502018,-580.5895901914,455.5132208492,-3.7881225261,1.8940694381,558.9279963241,-644.6659710536,-613.3481309094,557.9817639214,280.1978566522,-456.1828764243
1992,628.9166666667,511.0844613961,-598.7343774403,-419.8614153196,97.422134889,267.0744598625,256.3965013669,-588.6179221222,477.915566782,366.5089997949,-192.4923865569,468.244130275,-621.3252781312,-569.3921377226,574.2795553543,221.5064680043,-408.8188897771
1993,852.6666666667,268.7646330004,-691.4503193227,-688.7320948119,262.1676996714,455.9434512551,264.3686298853,-821.7275781765,689.4135562313,809.2008505264,-498.9357677628,502.6813563487,-811.3621519972,-720.5248182416,810.6476867154,227.6054298751,-501.7463432144
1994,999.8333333333,-302.4620622418,-590.4468826856,-912.4647498187,452.3926500135,636.2645470223,208.9904568204,-983.5908964783,852.0516256903,952.9865661954,-806.8699852958,408.7478131839,-891.6319782613,-771.2548999176,977.7472492431,179.487166141,-523.1392946462
1995,734.25,-590.9196544599,-229.3908304758,-717.8389857733,430.5187831112,534.5258832771,77.6201880825,-731.2265134585,653.9233437489,435.8176504835,-697.497605296,154.3705056152,-594.7912574075,-503.39362591,730.1357195084,66.5646190953,-333.9271222891
1996,762.1666666667,-762.1454089047,-2.8462218499,-762.1643046834,537.9259857815,615.935909763,0.9487425767,-762.1662328328,703.8775757453,5.6924040073,-762.1613522077,1.8974836834,-539.9385720606,-448.9108851902,762.1660761706,0.8132079786,-292.3258218849
1997,843.5,-686.2460298849,257.5303125771,-825.5199505229,681.4393108189,738.5308990835,-87.08091563,-840.1879120603,801.9620653983,-490.4677731179,-803.2249922058,-173.2312364693,-497.1244468648,-407.509952147,838.9929464144,-74.6761168497,-261.4365996989
1998,761.75,-241.2583167195,445.2440565235,-696.7278600998,678.0220212341,707.8017012854,-157.3699702436,-749.6653647291,740.5222269369,-722.5354573401,-618.0783062287,-307.9502418585,-347.2019602791,-281.5667135112,745.3172176768,-135.1477096573,-178.5774171402
1999,838.75,252.4587741001,676.4803616057,-679.9447460323,797.1510100968,812.0465276745,-258.0677302235,-808.7918068917,828.2849667291,-799.8538178192,-495.8587327675,-491.0974494365,-260.8674560032,-209.9571370347,798.0617827695,-222.1651989057,-132.0817034666
2000,507.6666666667,408.0864231132,482.1292972732,-340.7933385935,501.2416671095,503.5515355909,-205.8106243838,-475.5176610245,506.05786763,-301.9783364998,-158.986745219,-376.278281083,-80.5123319605,-64.5081037431,464.0769670381,-177.787509399,-40.3841435994
2001,630.3333333333,630.3074552949,630.3268637905,-316.8140594959,630.3317159455,630.332298205,-314.3418910535,-568.2642659021,630.3329289862,-5.7116469422,-2.8558527827,-544.9302366513,-1.4279300553,-1.142344396,546.360033897,-272.7559994021,-0.7139654856
2002,564.4166666667,459.7144003316,537.60424248,-176.0918507878,557.6732771693,560.09779531,-331.0415367913,-484.9102852181,562.7282940284,327.4581557068,171.8948867147,-536.2441922271,86.9867204943,69.6895494317,457.1407600838,-288.8393825309,43.6238548396
2003,694.0833333333,220.8754570862,563.496959671,-74.7826442517,660.6305781989,672.6109786239,-463.5980406631,-562.0899180224,685.6691430381,658.001296403,405.244185711,-690.0429187593,212.8823918498,171.3071657744,516.5544795125,-407.1935629018,107.747389279
2004,582.0833333333,-174.3193425057,344.494283693,58.9110061905,519.3001963752,541.6355978553,-431.9213596234,-438.8979391611,566.1700258099,555.368142562,469.1957964936,-579.0945521191,262.9606681408,213.194479479,390.2114119878,-382.3474937077,135.1758440656
2005,561.25,-450.6269530515,176.19191965,171.5957893085,454.9116823096,492.3849874618,-453.4918407476,-388.4574618656,534.0040937092,334.5697411356,532.8770683282,-534.3748193839,328.7201298951,269.3670110133,330.6761450049,-405.0954983963,172.7460286139
2006,923.9166666667,-923.8642304463,4.9217221542,459.1138551086,655.0455205829,748.619758709,-799.3137524079,-577.1513733693,854.0578085927,9.843304643,923.9035575186,-801.7708369552,651.5653251277,541.4706490799,463.3783898242,-721.4695413962,352.4305130466
2007,728.25,-593.8279455734,-221.2384021098,485.311665881,429.6691728316,531.9641409856,-664.7466747483,-402.1429358773,649.3283597744,-421.5642697812,693.8311263787,-542.9738939027,587.99019075,497.355220346,297.4221257928,-607.1483522369,329.7282876744
2008,618.3333333333,-197.7031736376,-360.6172824097,498.8707225299,282.271522493,395.2153921246,-587.7093277614,-293.8867008421,527.6713003941,-585.8750432001,502.2860606651,-365.3274056426,550.1444343993,475.5427477513,192.1818336195,-544.028232888,322.333848442
2009,638.9166666667,190.3683859406,-514.7057613474,582.6693780482,199.1989176555,343.600326357,-624.696599853,-252.084284011,517.4388927287,-609.8970278489,378.5399400067,-262.1276460609,607.070258001,538.6588184295,134.0472494182,-587.0843386594,374.7952764326
2010,650.4166666667,521.600591909,-617.373290076,635.6607934985,103.6628256838,278.3371435847,-646.717177256,-202.0435953209,495.2099907193,-388.5545814915,204.6755016569,-137.7577434728,642.1026855956,587.8522559104,69.2728873364,-618.2396184875,421.6739325233
2011,899.9166666667,899.849181537,-899.8997952261,899.9091682357,2.7552577517,280.1850351993,-899.914792057,-201.7849509729,637.3105637428,-11.020772733,5.5104896759,-3.6736725383,899.9124487967,855.1879050799,1.8368400954,-877.002189567,635.3623000197
,,0.4160164297,-22.4635354308,-36.4592894896,131.7748758756,-5.7152591781,-100.4337866427,22.2635654245,-55.4200653783,21.2568708738,-29.3709813692,-83.1127301491,3.2535041914,-121.6427496901,190.691298634,-50.8494182347,-153.8483931453
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,452.0276290172,,,,,,,,,,,,,,,,
20,1367.2649706439,,,,,,,,,,,,,,,,
30,8237.0057029218,,,,,,,,,,,,,,,,
40,17375.2032015642,,,,,,,,,,,,,,,,
50,14829.6227396396,,,,,,,,,,,,,,,,
60,46450.1168741236,,,,,,,,,,,,,,,,
70,3081.3296802196,,,,,,,,,,,,,,,,
80,26740.7117199179,,,,,,,,,,,,,,,,
