Year,annual_mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1979,968.9166666667,297.5185573384,783.2848127572,884.8794208181,-921.3406581639,-901.0223653107,947.6745026024,-43.1862916223,-151.8176333168,-922.1074855915,-570.3195674781,-394.6997815518,299.8848088159,-356.3119478132,-201.7734969259,967.9537443289,-956.9487515842
1980,853.5833333333,689.3712462095,811.492548699,834.7898917148,-842.9949648835,-748.1957979957,848.8719707198,-114.2926116691,-67.223711724,-503.3604988912,-264.7344902924,-178.1301311826,134.0298329678,-410.8619656357,-89.5593896292,845.8969830081,-850.9321239244
1981,1049.25,1049.2462014442,1049.2490503606,1049.249577938,-1049.2497625901,-849.1928624622,1049.2498944845,-233.0868502306,-0.3529180583,-2.8233411128,-1.4116718341,-0.9411147137,0.7058360767,-616.276759941,-0.4705574042,1023.0327867422,-1049.2499406475
1982,748,606.4650716007,711.7372666783,731.8100399714,-738.8787029937,-545.5766170227,743.9414996821,-230.8388584502,58.4068924045,437.8402870093,230.0740385644,154.7839313269,-116.457126284,-511.7129614912,77.8141699865,711.4895792838,-745.7161892568
1983,940.9166666667,293.7356305172,762.1367738007,859.9941507063,-895.1065205773,-600.2452583547,920.4637426989,-369.3924350592,146.8051939783,893.8923609562,551.7895537538,381.7515348525,-290.0146383051,-724.5894033409,195.1170725177,865.3747179877,-929.3935703631
1984,636.4166666667,-194.4552046145,375.0144267054,515.3261974175,-567.3145534036,-341.4008880244,605.3876255828,-301.285938868,148.2864400115,605.9813091255,514.1890249451,373.4502428254,-288.41007456,-537.0955289958,196.2956861531,560.5826938567,-618.9000770075
1985,750,-605.0100790776,233.1763717573,502.5841482364,-607.1994230967,-319.8725065609,685.3605296402,-412.8181301956,231.4091967462,443.2412483226,712.8315226294,556.6948660994,-440.2372776027,-678.3668473226,304.5996461116,626.1638694318,-713.4071654121
1986,981.25,-981.2409979481,2.1015783877,491.8378472486,-694.5911517911,-304.0223029003,850.1374742101,-611.329801729,375.0226625185,4.2031471354,981.2477494844,849.0860348127,-693.1051106099,-932.9640946142,490.0182011351,767.546373855,-906.7577212781
1987,690.4166666667,-560.4204662374,-211.8390230573,214.3574962283,-406.459088619,-129.995332287,558.8699140373,-476.7929907372,313.0886811356,-403.2419554479,657.1144511585,656.2972172894,-558.0915542186,-678.0681287266,405.3882001182,499.3431861907,-615.345960705
1988,1129.4166666667,-354.2900380058,-661.6044638554,119.8983263858,-513.9819543161,-72.0258987245,839.9396332684,-850.0089138673,589.5261747259,-1072.4087727701,915.3477701678,1123.0344599675,-1005.6861128513,-1127.1176854515,755.0386873595,743.6846463997,-963.3487926278
1989,749.25,227.7945727742,-605.0002670045,-77.0165431454,-232.4640966331,46.2622460041,501.8321021758,-605.8262025388,440.0010443724,-713.7823163364,441.984433464,745.2811647841,-712.2752321095,-747.8204109909,556.3632839484,440.8516471755,-606.4442624439
1990,1321.25,1064.5811251396,-1255.4440198772,-405.9601427051,-208.5019798914,246.1348268386,777.6010300761,-1133.6870815149,857.3850714727,-782.5398331693,411.7789157481,1257.3376336668,-1304.6947868683,-1298.1214155529,1068.1938965022,678.5684664839,-1005.2822497766
1991,691.75,691.7380573549,-691.7470143323,-344.7009271015,-1.016202648,212.9891852189,346.4615391191,-622.9930439735,488.7817019479,-4.064788662,2.0324031031,599.7493921259,-691.7492535827,-658.1441099636,598.734051488,300.6621520256,-489.5002659253
1992,882.5,717.1570751536,-840.148013395,-589.1522973678,136.7033799489,374.7606373319,359.7772557937,-825.9525368058,670.6142642402,514.2878372635,-270.1065819051,657.0432409715,-871.8477137153,-798.9747897816,805.8328463233,310.8193316769,-573.6573529534
1993,813.0833333333,256.287776015,-659.3511303392,-656.7590939287,249.9970920342,434.7771944777,252.095848494,-783.5805297369,657.4089198738,771.6353301979,-475.7736792476,479.3453864243,-773.6962975993,-687.0759041813,773.0149999298,217.0393060292,-478.4537793923
1994,1126.8333333333,-340.8811473273,-665.4461366624,-1028.3670901024,509.8560938059,717.0836143387,235.5366692053,-1108.5277631422,960.280220252,1074.0360350137,-909.3595550233,460.6674387292,-1004.8881155233,-869.2205998237,1101.9418489969,202.2858360192,-589.5890600272
1995,808.3333333333,-650.5414423177,-252.5355868364,-790.2665034617,473.9566673679,588.457730994,85.451801657,-805.0047872599,719.9019900538,479.7901724764,-767.8727467223,169.9459657777,-654.8036768645,-554.1843345054,803.8039359018,73.2807632759,-367.6192357513
1996,663.75,-663.7314871994,-2.4786963737,-663.7479430137,468.4649548162,536.4016533197,0.8262338316,-663.749622186,612.9876329337,4.9573581804,-663.7453717837,1.6524663829,-470.2176608859,-390.9441505073,663.7494857532,0.7082004756,-254.5785229951
1997,838.3333333333,-682.0425865088,255.9528694453,-820.4634165442,677.265309903,734.0071966785,-86.5475213632,-835.0415328321,797.0498298663,-487.4635247546,-798.3050209039,-172.1701480815,-494.0794245662,-405.0138429756,833.8538866754,-74.2187053456,-259.8352294972
1998,926.9166666667,-293.5692218434,541.7842293743,-847.7960822547,825.0343444029,861.271012296,-191.4917600941,-912.2117768168,901.0861754971,-879.1994193189,-752.0933158497,-374.7216431673,-422.4841269209,-342.6174985653,906.9208415075,-164.451151353,-217.2975178701
1999,899.75,270.8194122164,725.6789333589,-729.3952730165,855.125629013,871.1044569599,-276.8362924216,-867.6130292111,888.5238734003,-858.0250045696,-531.9211860597,-526.8136275774,-279.8396346216,-225.2267470009,856.1026396982,-238.322667917,-141.6876455369
2000,817.5833333333,657.2120645376,776.456095789,-548.8383855779,807.2360466204,810.9560268683,-331.452402467,-765.80823577,814.9924063226,-486.3278823702,-256.0438209691,-605.9859185333,-129.6629167539,-103.8885433065,747.3833098506,-286.3219393817,-65.0375628453
2001,884.9166666667,884.8803368293,884.9075841607,-444.771086434,884.9143960373,884.9152134637,-441.3004417104,-797.7787202029,884.9160990092,-8.0185059332,-4.0092941167,-765.0203837917,-2.0046522022,-1.6037222555,767.027657318,-382.9185560088,-1.0023267441
2002,858.75,699.4473490945,817.9553696672,-267.9206440822,848.4900518573,852.1789134312,-503.6738574685,-737.7824434036,856.1811708197,498.2218063721,261.5350372943,-815.8860772036,132.3487604745,106.0314198869,695.5316008657,-439.4640243585,66.3729254573
2003,842.3333333333,268.0524817178,683.8548767385,-90.7555490571,801.7353685237,816.2746754629,-562.618440992,-682.1473035623,832.121947152,798.5444956227,491.8007238764,-837.4299222978,258.3521691461,207.8968461578,626.8859021386,-494.1664706221,130.7612691599
2004,716.5,-214.5737590356,424.0460774792,72.5149364675,639.2187671345,666.7119356278,-531.6621116738,-540.2497467297,696.9119372818,683.6156463491,577.5440885114,-712.8210392442,323.6844416142,262.4260750981,480.3203608119,-470.6404797278,166.3911105621
2005,989.1666666667,-794.200732401,310.5268131025,302.4264319364,801.7522893861,867.7965554821,-799.2499108648,-684.6310426645,941.1475267005,589.6574353794,939.1612176772,-941.8009066203,579.3478755538,474.7418590539,582.7952251238,-713.9545012567,304.4536539936
2006,1073.6666666667,-1073.6057314937,5.7194433331,533.527817193,761.2164234861,869.9573348251,-928.867898081,-670.6970591224,992.4849649056,11.4387243637,1073.6514327654,-931.7232311113,757.1721519749,629.2331417647,538.4835550189,-838.4065636645,409.5530558395
2007,804,-655.5958369255,-244.2508414642,535.7920760293,474.3618468336,587.2971772776,-733.8912825233,-443.9724276627,716.8692087314,-465.4139003145,766.0009963727,-599.4521259152,649.1508594068,549.0883586107,328.3589277547,-670.3017853738,364.0254628084
2008,804.75,-257.3072166871,-469.3370749637,649.2715050501,367.3714410668,514.3659085913,-764.8933932873,-382.4883921876,686.754952548,-762.5061040679,653.7165077956,-475.4672178289,716.0033427216,618.9105545869,250.1212893887,-708.0432136118,419.5118563888
2009,667.1666666667,198.7856133873,-537.4637179271,608.432377808,208.0065912026,358.7927758985,-652.3178529311,-263.230308829,540.317695994,-636.8639109114,395.2772609487,-273.7177428412,633.9121541093,562.4758706595,139.974211405,-613.0425479728,391.3670253188
2010,1107.0833333333,887.8236852672,-1050.8397384574,1081.9671545966,176.4459499307,473.7615570176,-1100.7863805054,-343.90123816,842.903872736,-661.3642043708,348.3810428586,-234.4793878329,1092.9319895114,1000.5915720396,117.910353397,-1052.3143282007,717.7371164089
2011,820.4166666667,820.3551432755,-820.4012856747,820.4098306584,2.511854113,255.433065241,-820.4149576628,-183.9589630825,581.0095842252,-10.0471809942,5.02368468,-3.3491347476,820.4128214097,779.6393115577,1.6745708621,-799.526489146,579.2334330674
,,-5.1367313369,-17.3840355188,-49.4120595169,166.6280708156,29.7843744605,-138.7859744699,16.6622734111,-23.4686481971,-4.9450425013,-9.5629098983,-109.6916453047,22.1845931521,-145.3405615982,211.611678315,-43.1086286739,-200.07707093
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,50.8394541674,,,,,,,,,,,,,,,,
20,393.6539366431,,,,,,,,,,,,,,,,
30,14473.8086753489,,,,,,,,,,,,,,,,
40,28257.0701570596,,,,,,,,,,,,,,,,
50,22010.9878076686,,,,,,,,,,,,,,,,
60,64041.0491088401,,,,,,,,,,,,,,,,
70,2135.9852213725,,,,,,,,,,,,,,,,
80,40581.6117601415,,,,,,,,,,,,,,,,
