Year,annual_Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1970,3634.25,2941.9057717037,-3456.8333857242,-2431.0558923827,567.7923610053,-2649.6587260825,1478.6325076922,2511.1893229513,-2763.2655003169,-2133.7674411511,1121.639873508,-2701.4330105726,3589.6218320715,2487.3845094386,-3319.8522511847,2627.1089141479,-2360.5374043336
1971,2834.25,2834.2496534902,-2834.2499133726,-1416.7204037415,-0.3503739673,-2293.1211608147,1417.3272836921,1766.9694331383,-2003.9935148452,1.4014958156,-0.7007479292,-2454.7660499776,2834.2499783431,1665.7035763677,-2454.4157010177,2216.0307048538,-2004.2412666539
1972,2101.0833333333,1699.5947951458,-1998.1918665524,-649.1532549115,-328.7731330231,-1841.2289796618,1235.0356450195,1157.4363888437,-1364.5093300099,1235.2848683297,-649.4462549396,-1998.2870727823,2075.2010506486,1012.1398214004,-1699.7759055659,1753.5370481947,-1597.7063127893
1973,2673.0833333333,826.3906328213,-2162.6818460377,-279.5396357821,-825.9375608963,-2485.3419674352,1788.5946669843,1266.7383678623,-1571.2375025022,2542.1355252877,-1571.0447924116,-2658.4266209491,2542.2827640617,984.0984767033,-1986.5305495209,2353.8794392088,-2162.5418418322
1974,3142.6666666667,-969.7591245385,-1847.7992453721,328.0177247559,-1426.4180107275,-3043.8619259213,2335.2948579831,1235.337019392,-1642.1932655342,2989.3010919197,-2542.0447924025,-3125.5012638014,2800.3009546208,781.8301309779,-2103.0339284129,2889.6879115742,-2679.4691743724
1975,4213.4166666667,-3406.7938146623,-1303.5793355891,1300.9759236456,-2475.9197390113,-4180.1102246017,3408.4038527268,1302.4636549268,-1913.2169915179,2479.2409950071,-4006.6895216338,-4007.5356084555,3409.2083322846,528.7329355404,-2477.0270857748,4007.0523373846,-3753.9953050466
1976,2335.9166666667,-2335.9152581408,-1.2826143654,1167.2177373121,-1651.2889803633,-2335.9166103257,2022.7493715025,520.1476252295,-894.2128446007,2.5652283442,-2335.9163145352,-2023.3905770551,1652.1959257129,0.5130457678,-1168.3285726616,2277.2687855366,-2157.9828688297
1977,2879.3333333333,-2331.8249236014,887.8229593847,1925.6393786072,-2328.8300373255,-2856.7310658719,2630.1252912406,387.0797702903,-890.2478560224,-1689.1278726359,-2739.0383051782,-2140.6712564057,1693.2545885645,-360.0667462107,-1171.7514227944,2853.1963998078,-2738.251120568
1978,3417.6666666667,-1061.7556677946,2006.4543965013,2763.7880111087,-3044.4899206233,-3310.5891522075,3250.0885836962,154.1793824948,-798.559241925,-3248.5566558628,-2766.6922848784,-2010.4530022103,1552.9090661297,-848.7902625096,-1057.0570668477,3414.1871891357,-3323.0631323496
1979,2325.8333333333,714.1775982896,1880.2338629099,2124.1063589089,-2211.629635276,-2162.8566453789,2274.8426393423,-103.6664143096,-364.4302181019,-2213.4703640541,-1369.0220287531,-947.4559992355,719.8576601059,-855.3080298844,-484.3466327688,2323.5218890702,-2297.1049846663
1980,2897.5,2340.0798819393,2754.6222706498,2833.7054119814,-2861.5576421949,-2539.7606068838,2881.5072168239,-387.9677933939,-228.191785282,-1708.6639213558,-898.6447551955,-604.6651040926,454.9660541141,-1394.6764175683,-304.0105415803,2871.4085813916,-2888.5004343309
1981,2911.8333333333,2911.822791745,2911.830697935,2911.8321620451,-2911.8326744837,-2356.6433960887,2911.8330405112,-646.8525709441,-0.9794029699,-7.8352144519,-3.9176107716,-2.611740952,1.958805829,-1710.2646768213,-1.3058706073,2839.0764541614,-2911.8331686209
1982,3118.9166666667,2528.762058244,2967.7128654153,3051.4098001349,-3080.8838254173,-2274.8770103954,3101.9940406199,-962.5229450998,243.5377408671,1825.6515621544,959.3338949812,645.3986405718,-485.5883317103,-2133.6765830804,324.4597749648,2966.6800895559,-3109.3939188184
1983,3216.3333333333,1004.0758476169,2605.2104261457,2939.7160783506,-3059.7406136036,-2051.8170216507,3146.4191491635,-1262.6933330568,501.8238656262,3055.5902544915,1886.1809951892,1304.9404161868,-991.356388276,-2476.862333836,666.9682517841,2958.1084594323,-3176.9439590586
1984,2381.25,-727.5837988555,1403.1736602209,1928.1715452672,-2122.6939064431,-1277.4034798085,2265.150111435,-1127.3072807583,554.8363262181,2267.3714689356,1923.9166410638,1397.3210277248,-1079.1302711209,-2009.6248187842,734.4702411713,2097.5056274655,-2315.709008837
1985,2429,-1959.4259761059,755.1805426648,1627.7025280884,-1966.5165316026,-1035.9604245819,2219.6543019947,-1336.98031766,749.4572518621,1435.5106562341,2308.6236912889,1802.9491063407,-1425.7817963958,-2197.0040961956,986.4967205402,2027.9360517999,-2310.4880063812
1986,2305.25,-2305.2288514852,4.9372367677,1155.4743412686,-1631.8025504881,-714.2394025588,1997.227426673,-1436.19671382,881.0405021869,9.8744508881,2305.2447128652,1994.7572807663,-1628.3113948876,-2191.8119532324,1151.1994478132,1803.1962072145,-2130.245337046
1987,2690,-2183.5090706266,-825.3667669632,835.1792369645,-1583.6450670635,-506.4875469189,2177.4678123263,-1857.6798721782,1219.8554770134,-1571.1104794035,2560.2479762696,2557.0638713461,-2174.4351683979,-2641.8876518157,1579.472673484,1945.5398974332,-2397.5096694696
1988,3159.8333333333,-991.2174176274,-1851.0084896678,335.4463764403,-1437.9965870107,-201.5109590374,2349.9469500678,-2378.1183498872,1649.3509550105,-3000.339101741,2560.9205894799,3141.9774701575,-2813.6653159517,-3153.4013426508,2112.4147382347,2080.6488911814,-2695.2157838752
1989,2671.75,812.2924922383,-2157.3699878136,-274.633232097,-828.943543783,164.9665075228,1789.4827080256,-2160.3151907016,1568.9993864559,-2545.2758140432,1576.0719520952,2657.5975335494,-2539.9017035548,-2666.6522296497,1983.9354072594,1572.0325503386,-2162.5191300428
1990,2988.25,2407.7461095162,-2839.4176669048,-918.1535640026,-471.5655942559,556.679202498,1758.6878169347,-2564.0419461395,1939.1341077224,-1769.8578289257,931.3137899597,2843.7004229365,-2950.8073391555,-2935.9404503508,2415.9170567438,1534.7074512549,-2273.6307912165
1991,2891.5,2891.4500800025,-2891.4875199737,-1440.842400743,-4.2477050333,890.2901757289,1448.2017207992,-2604.0974147443,2043.0969153342,-16.9907284657,8.4954008999,2506.9394540398,-2891.4968799917,-2751.0281083625,2502.6953521901,1256.7612758683,-2046.100497178
1992,2941.6666666667,2390.5235838454,-2800.4933779833,-1963.8409912259,455.6779331632,1249.2021244398,1199.2575193125,-2753.1751226861,2235.3808808008,1714.2927908782,-900.3552730171,2190.1441365716,-2906.1590457176,-2663.2492992721,2686.1094877444,1036.0644389229,-1912.1911765114
1993,2713.4166666667,855.2819795863,-2200.3825105029,-2191.7323826397,834.2887479477,1450.9357619543,841.2927050133,-2614.9600931397,2193.9009777607,2575.0966471843,-1587.7489771427,1599.6684562225,-2581.9744948377,-2292.9054541404,2579.7008724726,724.3022285147,-1596.6929907548
1994,3216.75,-973.1070232201,-1899.6366159817,-2935.6602606896,1455.4766363705,2047.0451558268,672.382115663,-3164.4934318188,2741.2939492642,3066.0305418994,-2595.9316804804,1315.0587045102,-2868.6352719507,-2481.3477572695,3145.6927461271,577.4615852815,-1683.08884086
1995,2802.75,-2255.6350855126,-875.6215868112,-2740.1065268999,1643.3592364521,2040.3710171671,296.2887056836,-2791.2088670015,2496.1302712866,1663.5858629793,-2662.4602155169,589.2569759796,-2270.4136148437,-1921.5341981876,2787.0451315658,254.087825903,-1274.6533769096
1996,2577.9166666667,-2577.8447654127,-9.6269268451,-2577.9086776055,1819.4555401432,2083.3126359631,3.2089822449,-2577.9151992875,2380.7623885504,19.2537194364,-2577.8986912905,6.4179595174,-1826.2628172638,-1518.3750528491,2577.9146694006,2.7505563983,-988.7491034342
1997,2824,-2297.5207924065,862.1998846683,-2763.8036043588,2281.4281135183,2472.5681790301,-291.5429825006,-2812.9112787887,2684.9328662534,-1642.0640086366,-2689.1610883095,-579.9703755651,-1664.3502524554,-1364.3249613079,2808.9105876398,-250.012275025,-875.2779579723
1998,3096.4166666667,-980.684309632,1809.860344409,-2832.1099548988,2756.0731039269,2877.1237079818,-639.6888725897,-3047.2941644502,3010.1284745973,-2937.01454856,-2512.4095421223,-1251.7784855855,-1411.3317184213,-1144.5328053754,3029.6195008443,-549.3582154836,-725.8944413826
1999,3049.5,917.8814087847,2459.5253206756,-2472.12101702,2898.2557440123,2952.4123828833,-938.2742692298,-2940.5789748034,3011.4515720301,-2908.0825245181,-1802.8270707296,-1785.5161514834,-948.45342126,-763.3553375706,2901.5671017058,-807.7410122954,-480.2183662848
2000,2598.5833333333,2088.8639087225,2467.8657053297,-1744.4121269471,2565.6958150814,2577.5192932255,-1053.4787754693,-2434.0228535333,2590.3484054998,-1545.7305428549,-813.8023105982,-1926.0482007566,-412.1168823907,-330.1963557157,2375.4615993346,-910.037410635,-206.7135177052
2001,2724.3333333333,2724.22148711,2724.305371634,-1369.2867838497,2724.3263428995,2724.328859455,-1358.6019437231,-2456.0676072015,2724.3315857243,-24.6860340869,-12.3431437296,-2355.2167235067,-6.1715877006,-4.9372716808,2361.3963813013,-1178.8655648404,-3.0857958298
2002,2394.5,1950.307630168,2280.7500817097,-747.0579123782,2365.8916205792,2376.1774768105,-1404.4216031539,-2057.1994884774,2387.337191881,1389.2193483063,729.2525726944,-2274.9801593757,369.0353501673,295.6532575477,1939.38913336,-1225.3817832041,185.0712896739
2003,2714.5833333333,863.8513644597,2203.8556202767,-292.4774446512,2583.7484793887,2630.6042296403,-1813.1475776926,-2198.3526329187,2681.6751512147,2573.4652695796,1584.9236822591,-2698.7811356205,832.5902166537,669.9881048268,2020.2619966526,-1592.5477622195,421.4036746026
2004,2419.25,-724.5046288163,1431.784330693,244.8454431948,2158.3112385068,2251.1414518739,-1795.14803024,-1824.1440331834,2353.1112411292,2308.2165421216,1950.067740588,-2406.8280519071,1092.9149830776,886.0771558703,1621.7934862446,-1589.1095332611,561.8167400241
2005,2497.1666666667,-2004.9721269696,783.9297793958,763.4802408935,2024.0361502732,2190.7659293661,-2017.7188566955,-1728.3617375302,2375.9415994193,1488.5993857269,2370.9271313323,-2377.5910672099,1462.5727412674,1198.4932222754,1471.2756289855,-1802.3892657672,768.5979945721
2006,2935.6666666667,-2935.5000550341,15.6383537519,1458.7952455817,2081.3514565792,2378.6756435283,-2539.7514990373,-1833.8494255484,2713.6960838012,31.2762637289,2935.6250134631,-2547.5586763107,2070.2934313699,1720.4769573182,1472.3454421147,-2292.4081360425,1119.8179952743
2007,3108.1666666667,-2534.4541382304,-944.2441837615,2071.3073022118,1833.8254729685,2270.4197883603,-2837.1348523586,-1716.3436574381,2771.3295757942,-1799.2337949763,2961.2671188548,-2317.4093482987,2509.538635381,2122.7091210055,1269.3958631215,-2591.3055546095,1407.2783697998
2008,2288.5,-731.7148995197,-1334.6727506114,1846.359539369,1044.7089690976,1462.7230591006,-2175.158161588,-1087.6976520924,1952.9527293025,-2168.369331046,1858.9999727745,-1352.1052848729,2036.1275549157,1760.0208812327,711.2799885256,-2013.4910150365,1192.9827689913
2009,2800,834.2738708233,-2255.6558733886,2553.5008611475,872.9729533358,1505.8003085423,-2737.6817210199,-1104.7387430246,2267.6335979761,-2672.8238079719,1658.9203057553,-1148.7529552167,2660.4357204684,2360.6281856307,587.4510995764,-2572.8490646869,1642.5096241209
2010,3004.5,2409.4539065581,-2851.8611915952,2936.337507853,478.8545185399,1285.7357302758,-2987.4107762697,-933.3093895837,2287.5465734006,-1794.8682743232,945.4670770964,-636.3507601751,2966.0948400336,2715.4933035992,319.9954746989,-2855.8630627737,1947.8580350024
2011,3214.1666666667,3213.9256349553,-3214.106408174,3214.1398850679,9.840752985,1000.7164374143,-3214.15997126,-720.7005795931,2276.2356184423,-39.3620894815,19.6814137236,-13.120988036,3214.1516020082,3054.4122139947,6.5605076841,-3132.3247015093,2269.2771471211
,,73.4194863665,-63.8584671629,-134.3187055236,482.5025218166,105.0722765537,-342.2568572675,0.1474316882,-38.4682009447,-35.4390262089,-27.4210568246,-224.5286648549,10.5220210194,-334.160782688,589.3268717064,-67.8325451909,-637.9787174031
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,6646.3455569611,,,,,,,,,,,,,,,,
20,4829.8181857735,,,,,,,,,,,,,,,,
30,68454.6359950694,,,,,,,,,,,,,,,,
40,232919.396485732,,,,,,,,,,,,,,,,
50,122703.611986833,,,,,,,,,,,,,,,,
60,464445.918061856,,,,,,,,,,,,,,,,
70,4601.275923184,,,,,,,,,,,,,,,,
80,408496.646343212,,,,,,,,,,,,,,,,
