Year,annual_Mean_eastmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1974,817.1666666667,-252.1600014644,-480.4709217257,85.2922626473,-370.9019678933,-791.4751284892,607.2311565916,321.2164513194,-427.0085692042,777.2880384855,-660.9909639982,-812.7032613714,728.1435925173,203.294077863,-546.8378951532,751.3862871472,-696.7245100736
1975,1098,-887.7972212177,-339.7077060525,339.0292670231,-645.2150566882,-1089.3204707057,888.2167908769,339.4169640101,-498.5769086893,646.0805630864,-1044.1277098366,-1044.3481967724,888.4264351216,137.7857470912,-645.503626949,1044.2222582105,-978.2765795632
1976,890.8333333333,-890.8327961729,-0.4891422913,445.134230383,-629.7413292456,-890.8333118469,771.4027605637,198.3653138919,-341.0201315965,0.9782844351,-890.8331990432,-771.6472929513,630.0872050897,0.1956569248,-445.5578624292,868.4671726797,-822.9758791263
1977,1224.9166666667,-991.9974112068,377.6947696225,819.1992714213,-990.7233363814,-1215.3012832037,1118.8993880513,164.6702229537,-378.7263613011,-718.5833121057,-1165.2328099044,-910.6774368462,720.3388862384,-153.1784296872,-498.4826974894,1213.7975770079,-1164.8979283755
1978,1182.1666666667,-367.2599703339,694.0300904313,955.9908496437,-1053.0852924501,-1145.1286870481,1124.2016153398,53.3304574288,-276.220652637,-1123.6717233998,-956.9954343432,-695.4132031931,537.149322445,-293.5955004379,-365.6347300864,1180.9631196986,-1149.4434213282
1979,739,226.9196324483,597.4171944208,674.9041630528,-702.7134219143,-687.216507747,722.7984423392,-32.9385081368,-115.7924462246,-703.2982869377,-434.9870064845,-301.0404801584,228.7243901763,-271.7617917956,-153.8941576279,738.2655719196,-729.8719815127
1980,1167.3333333333,942.7621221227,1109.7713191619,1141.6320221753,-1152.8530184603,-1023.2087023649,1160.8902241377,-156.3029292454,-91.9330034004,-688.3797587101,-362.0424426453,-243.6050842142,183.2949233831,-561.8817157692,-122.47856389,1156.8217258594,-1163.7076239317
1981,873.3333333333,873.3301716412,873.3325429099,873.332982034,-873.3331357274,-706.8176632994,873.3332455085,-194.0076396169,-0.2937480146,-2.3499813249,-1.1749917259,-0.7833279485,0.5874959959,-512.9521439267,-0.3916640137,851.5116833499,-873.3332839318
1982,1123,910.5083895823,1068.5574204274,1098.6934156256,-1109.3058602432,-819.0943060381,1116.9068237207,-346.5668957749,87.6884226875,657.3457784913,345.4186434597,232.3828273799,-174.8413807713,-768.253550474,116.8252846188,1068.1855582028,-1119.5712306623
1983,1104,344.6470315377,894.2332813136,1009.0516790857,-1050.2498613592,-704.2820992545,1080.0020957643,-433.4169674665,172.2500407248,1048.8252588741,647.4278636197,447.9181944668,-340.2811024946,-850.178054686,228.9355218063,1015.3648271987,-1090.479675863
1984,989.0833333333,-302.2114473706,582.826532744,800.8912710683,-881.6886780603,-530.5862432842,940.859726076,-468.2418238082,230.4585251403,941.7823959683,799.1239409549,580.3955652866,-448.2308727186,-834.723953601,305.0718212585,871.2263969339,-961.8600254028
1985,1034.9166666667,-834.8466857849,321.7574845394,693.5102818832,-837.8677372709,-441.3885176644,945.7213797335,-569.6431509888,319.3189793768,611.6236736576,983.628297726,768.1770602321,-607.4785278386,-936.0708752111,420.313667229,864.0365660527,-984.4226208059
1986,876.25,-876.241961225,1.8766961144,439.2080648678,-620.265474402,-271.4899800422,759.1673495813,-545.9136191236,334.8928489497,3.7533836203,876.2479903039,758.2284208964,-618.9384490924,-833.130994044,437.5831324786,685.4140230221,-809.7288695745
1987,970.5,-787.7678635848,-297.776374475,301.316523968,-571.3485269833,-182.730916091,785.5882943728,-670.2149873416,440.1002752571,-566.8262900599,923.6879780556,922.5392145507,-784.494175067,-953.1419948279,569.8432080358,701.9131860442,-864.9751428328
1988,897.8333333333,-281.6439806297,-525.944550548,95.313551869,-408.5915720358,-57.2572148496,667.7126546767,-675.7172609759,468.6456877811,-852.5147286818,727.6585904071,892.7597780335,-799.4733402095,-896.0057509816,600.2203805512,591.1944499601,-765.8171542663
1989,770.5833333333,234.2805488203,-622.2263896108,-79.2094288138,-239.0830276461,47.5794671116,516.1207261505,-623.0758419393,452.5291577479,-734.1057812438,454.5690197132,766.5014938003,-732.5557859321,-769.1130397545,572.2045697554,453.4039796943,-623.711499813
1990,1253.6666666667,1010.126675913,-1191.2267319478,-385.1948525295,-197.8368833483,233.5447704169,737.8259158919,-1075.6977896127,813.5289192832,-742.5120939892,390.7159891841,1193.0234853916,-1237.9582701764,-1231.7211337483,1013.5546502037,643.8589725502,-953.861000671
1991,826,825.9857396099,-825.9964348948,-411.598071248,-1.2134201479,254.3246360547,413.7003705275,-743.8991750229,583.6410347799,-4.8536544052,2.4268376771,716.1445578547,-825.9991087232,-785.8721139573,714.9321670099,359.0125588336,-584.4990526263
1992,885.8333333333,719.8658837472,-843.3213769961,-591.3776129385,137.2197288817,376.1761638185,361.1361878269,-829.0722819873,673.1472737369,516.2303786695,-271.1268145091,659.5249907013,-875.140811784,-801.992636013,808.876596451,311.9933423725,-575.824141822
1993,944.8333333333,297.816009476,-766.190746724,-763.1787031838,290.5059987172,505.2274091409,292.9448324511,-910.549968859,763.9338253079,896.669198912,-552.8668622844,557.017320004,-899.0641203424,-798.4079739272,898.2724268939,252.2078150824,-555.9812391873
1994,1337.8333333333,-404.7112808159,-790.051196419,-1220.9292460068,605.3268547523,851.3578127935,279.6410063173,-1316.1000376782,1140.093082083,1275.1497194283,-1079.6375015785,546.9276040052,-1193.0538238879,-1031.9825106915,1308.2809084304,240.1639410925,-699.9898513294
1995,864.9166666667,-696.07934328,-270.213077915,-845.5851587041,507.1336340837,629.6497721636,91.433427773,-861.3551223682,770.2951293576,513.3754845498,-821.623838993,181.8421833822,-700.639934245,-592.9772379208,860.070211415,78.4104167052,-393.3525822539
1996,903.5,-903.4748002781,-3.3740145743,-903.4972000193,637.6769667442,730.1527589821,1.1246738484,-903.4994857176,834.4019982758,6.7479820957,-903.4937000476,2.249345954,-640.0627594884,-532.1552391463,903.4993000046,0.9640062218,-346.5336279112
1997,1235.6666666667,-1005.3009416255,377.2633348047,-1209.3271909063,998.2594448551,1081.8945042097,-127.5672611107,-1230.8146967033,1174.8165881966,-718.4999150161,-1176.6666848871,-253.7712679674,-728.251461975,-596.9726902229,1229.064158213,-109.3951255332,-382.9857637162
1998,985.5,-312.1234934389,576.0262785742,-901.3788068636,877.1784731555,915.7053844657,-203.5944938301,-969.8657262101,958.0369604808,-934.7669093649,-799.6273984751,-398.4049404025,-449.1861264917,-364.2717376637,964.2403912314,-174.8448544368,-231.0312367465
1999,1221.8333333333,367.7645847844,985.450080662,-990.4967577074,1161.2347849021,1182.9335507961,-375.9353264319,-1178.192297332,1206.5885923677,-1165.1720493656,-722.3329100682,-715.3969998647,-380.013774458,-305.8511220271,1162.5615359132,-323.6349872185,-192.4075445829
2000,840.3333333333,675.4995880947,798.0616929912,-564.1103129312,829.6981239547,833.5216160371,-340.6753670857,-787.1175465808,837.6703114216,-499.8603981063,-263.1684732089,-622.8480279777,-133.270905366,-106.7793365307,768.1799303367,-294.2891078101,-66.8472921957
2001,1119,1118.9540599815,1118.9885149364,-562.4245360802,1118.9971287304,1118.9981623872,-558.0358161114,-1008.8118141901,1118.9992821824,-10.1396080301,-5.0698560504,-967.3880509987,-2.5349345297,-2.0279482482,969.9263002604,-484.2104124764,-1.2674680779
2002,874.4166666667,712.2077665258,832.8777965957,-272.8084733968,863.9695404308,867.725700013,-512.8626672894,-751.2422298529,871.8009728687,507.3111513113,266.3063703377,-830.7707528479,134.7632744938,107.9658116325,708.2205810659,-447.4814175249,67.5838046408
2003,1179.5833333333,375.3742460146,957.6539157334,-127.0918873074,1122.7309202071,1143.0914158268,-787.877328081,-955.262671342,1165.2835538125,1118.2624985694,688.7059009172,-1172.716714496,361.7901616802,291.13374133,877.8759343858,-692.0188357396,183.1149351957
2004,830.5,-248.7138965514,491.5146787808,84.0525537143,740.9227998677,772.79031757,-616.2531524705,-626.2071383937,807.7953439115,792.3835230886,669.4352623988,-826.235691685,375.1848273002,304.1798400125,556.7425815133,-545.5225658255,192.8650625566
2005,1187.0833333333,-953.1077871147,372.6583363643,362.9371965403,962.1702916853,1041.4289749656,-959.1672266444,-821.614928623,1129.4563199535,707.6385987345,1127.072581787,-1130.2404309018,695.2662584046,569.7302259665,699.403368314,-856.8055493177,365.3700337943
2006,942.5833333333,-942.5298376998,5.0211598526,468.3897190523,668.2799570048,763.7447542849,-815.46296144,-588.8120487219,871.3130579049,10.0421772181,942.56995933,-817.9696885361,664.7294482294,552.4104367045,472.7404137549,-736.0459982621,359.5509635672
2007,697.6666666667,-568.8897540154,-211.9473512374,464.9306862062,411.6249359133,509.6239602165,-636.8302049426,-385.2546812181,622.0593921537,-403.8604035482,664.6932360731,-520.171351385,563.2971595102,476.468463753,284.9316897971,-581.6507615205,315.8811333574
2008,887.5833333333,-283.7919814574,-517.6461826073,716.1013565588,405.1851733252,567.3098573476,-843.6242654968,-421.8581200362,757.4429946763,-840.9912513644,721.0038857337,-524.4073042451,789.7019367638,682.6153377762,275.866402949,-780.9224674515,462.6924285386
2009,788.1666666667,234.838162805,-634.9402753128,718.7800935933,245.7314938289,423.8648606605,-770.6248130181,-310.9708045097,638.3118621922,-752.3680826131,466.9663170189,-323.3602812631,748.8809834581,664.4887315386,165.3604910653,-724.2263825539,462.3469055041
2010,832.1666666667,667.3547099043,-789.8897725432,813.2874675049,132.6299778704,356.1146336755,-827.4334057755,-258.5019017136,633.5896178504,-497.1308200863,261.8692581096,-176.2522519307,821.5294578293,752.1194910341,88.6302438105,-790.9981845248,539.5049186646
2011,1118.8333333333,1118.7494315507,-1118.812357691,1118.8240108094,3.4255107487,348.3437616988,-1118.8310026999,-250.8718169981,792.3448123724,-13.7017218921,6.8509893869,-4.5673421149,1118.8280894104,1063.2237071582,2.2836758146,-1090.3446057159,789.9226076548
,,-6.0483592545,-13.6404962895,-33.4647634336,200.9238447712,13.9875798141,-131.5068462261,3.1932114994,-20.3681536087,16.4068276123,-24.833664647,-112.3662564255,7.4513781604,-153.532170853,248.086771964,-45.5801963849,-225.4745200257
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,305.7666419704,,,,,,,,,,,,,,,,
20,802.7740388238,,,,,,,,,,,,,,,,
30,13746.0659747514,,,,,,,,,,,,,,,,
40,40425.9144341226,,,,,,,,,,,,,,,,
50,23767.7798758857,,,,,,,,,,,,,,,,
60,78841.0970278514,,,,,,,,,,,,,,,,
70,2087.7509021659,,,,,,,,,,,,,,,,
80,51253.6208622312,,,,,,,,,,,,,,,,
