Year,Annual_mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1978,706.4166666667,-219.4602261751,414.7252979407,571.2628247871,-629.2826747568,-684.2842154312,671.7790140445,31.8682001709,-165.0586826733,-671.4623712999,-571.8631254002,-415.551792152,320.9794731684,-175.4412136763,-218.4890460272,705.6974739663,-686.8625322571
1979,693.3333333333,212.8970841193,560.4996681981,633.1983126521,-659.2890922786,-644.7498133125,678.1329544725,-30.9030658207,-108.6370266789,-659.83781544,-408.1068892592,-282.4376178301,214.5903164486,-254.9682124199,-144.3842344907,692.6442893968,-684.7693827453
1980,666.8333333333,538.548151144,633.9513203836,652.1515877674,-658.5615258223,-584.5028581042,663.1527394025,-89.2872672631,-52.51626879,-393.23349723,-206.8149361828,-139.1581870276,104.7063090314,-320.972122329,-69.9652675791,660.8286300919,-664.7621649558
1981,853.25,853.2469110147,853.2492277533,853.2496567792,-853.2498069383,-690.5635548209,853.2499141948,-189.5462043929,-0.2869929314,-2.2959407238,-1.1479714009,-0.7653143955,0.5739858303,-501.156202449,-0.3826572362,831.9301646774,-853.2499517346
1982,637.3333333333,516.7385102052,606.4356746385,623.5386793339,-629.561533032,-464.8585079088,633.8752884992,-196.6862287686,49.7655874677,373.0617775231,196.0345640531,131.8836348917,-99.2272840709,-436.0049832313,66.3015566017,606.2246326161,-635.3874125931
1983,997,311.2437413434,807.5639324906,911.2540978699,-948.459340376,-636.022874055,975.3279795987,-391.4100693515,155.5555168502,947.1728107767,584.6789674174,404.5058332278,-307.3009594086,-767.7785511974,206.7470246747,916.9553738379,-984.7900695973
1984,863.6666666667,-263.8907608518,508.9235980588,699.3375291391,-769.8897514043,-463.3074248376,821.5578566899,-408.8683344805,201.2361744506,822.3635312003,697.7942980923,506.800879487,-391.3947901976,-728.8801967412,266.3884367279,760.7540970447,-839.8952989532
1985,497.1666666667,-401.0544590863,154.5700259894,333.1574475976,-402.5057509106,-212.0399304603,454.3178799815,-273.6525516385,153.3985853098,293.8196986103,472.5280960008,369.0268412388,-291.8283997975,-449.6818456808,201.9157209669,415.0770716701,-472.9096832054
1986,390.75,-390.7464152339,0.8368833172,195.8579758598,-276.5976994266,-121.0667157791,338.5388209402,-243.4416509815,149.3402347813,1.6737627956,390.7491038074,338.1201203598,-276.0059332187,-371.5217528362,195.1333626431,305.6496770281,-361.0859409829
1987,336.6666666667,-273.2768477488,-103.2986907847,104.5267694342,-198.2009315656,-63.3893955871,272.5207547026,-232.4977287361,152.6708837402,-196.6321665673,320.4275658033,320.029059487,-272.1412044711,-330.6451707973,197.6787360866,243.4938409427,-300.0600701567
1988,921.6666666667,-289.1203291039,-539.9059522055,97.8436869938,-419.437793458,-58.7771297788,685.4373455285,-693.6544372001,481.0860689492,-875.1450621145,746.9745693246,916.4584318778,-820.6956694559,-919.7905704341,616.153462864,606.887935452,-786.1460670305
1989,659.4166666667,200.4825330178,-532.4621413421,-67.7824386508,-204.5921918204,40.715510247,441.6635996571,-533.1890491258,387.2459419552,-628.2014758281,388.9915273051,655.9236855674,-626.8750874966,-658.1584820567,489.6566194955,387.9945594595,-533.733005085
1990,849.6666666667,684.6085873178,-807.3482955956,-261.0639933788,-134.0830140002,158.283865938,500.0580323341,-729.0491001656,551.365385603,-503.2340674232,264.8059176896,808.5660367624,-839.020375081,-834.7931853029,686.931880715,436.3723799603,-646.4747914678
1991,641.8333333333,641.8222524692,-641.8305631113,-319.8273148459,-0.9428734845,197.6198897188,321.4608811342,-578.0378779284,453.5112237565,-3.7714735905,1.8857449343,556.4714875501,-641.8326407774,-610.6524436742,555.5294138731,278.9663769306,-454.1779361711
1992,778.75,632.845407678,-741.3770713103,-519.8893502268,120.6320194167,330.702375436,317.4804962599,-728.8504680312,591.7743436568,453.8262359988,-238.3518421061,579.7987806306,-769.3500363238,-705.0443258271,711.0961235969,274.2782487744,-506.2160494192
1993,710.75,224.0318173241,-576.3662796621,-574.1004726984,218.5328685005,380.0568506406,220.3674789183,-684.9603708236,574.6685126169,674.5185744859,-415.8935851494,419.0157631253,-676.320151914,-600.6016589897,675.7246012505,189.7230953288,-418.2363722904
1994,1149.5833333333,-347.7633062698,-678.8810423944,-1049.1291234997,520.1497422018,731.5610456887,240.2919946522,-1130.9081861076,979.6676259708,1095.7200934043,-927.7189070808,469.968001573,-1025.1761243636,-886.7695736258,1124.1893068268,206.3698497179,-601.4924628808
1995,549.4166666667,-442.1669823919,-171.646095259,-537.1368100334,322.1439492739,399.9692598395,58.0807967345,-547.1542847841,489.3107031366,326.1089285709,-521.9159813547,115.5106961209,-445.0639836668,-376.6739502468,546.3380772579,49.808254874,-249.86738364
1996,741.1666666667,-741.1459946204,-2.7677998177,-741.1643697632,523.1044956856,598.965009997,0.9226018454,-741.1662447863,684.4836167373,5.5355610366,-741.1614986371,1.8452022611,-525.0616291173,-436.5420307109,741.1660924406,0.7908016359,-284.2713601404
1997,1123.5,-914.0455418799,343.0175532666,-1099.5514693687,907.6432314227,983.6863842565,-115.98744364,-1119.0884637816,1068.1735393894,-653.2786521612,-1069.8556950127,-230.7353813553,-662.1450101394,-542.7829653079,1117.4968290415,-99.4648693309,-348.2205332089
1998,939.4166666667,-297.5281702635,549.0904987626,-859.2290960404,836.1604031695,872.8857431999,-194.0741357134,-924.5134729889,913.237836589,-891.0559250186,-762.2357232378,-379.7749782815,-428.1815663741,-347.237890976,919.1511863988,-166.6688689385,-220.2278988537
1999,473.5,142.5206909525,381.8938315592,-383.8495824099,450.0160992916,458.4250740434,-145.6871180457,-456.5876847252,467.592168997,-451.5419168255,-279.9274038336,-277.2395139293,-147.2676487839,-118.5272183439,450.5302582908,-125.4190422436,-74.5641568899
2000,462.4166666667,371.7123377963,439.1555270139,-310.4173072645,456.5643484555,458.6683307607,-187.466046406,-433.1332076534,460.9512651804,-275.0620139917,-144.8157336212,-342.7393601,-73.3360029627,-58.7582842532,422.7122603569,-161.9407238436,-36.7845720343
2001,684.8333333333,684.805217823,684.8263044197,-344.2064966865,684.8315761026,684.8322087055,-341.5205791483,-617.3976384431,684.8328940255,-6.2054884414,-3.1027760666,-592.0460979376,-1.5513920141,-1.2411139934,593.5995185835,-296.33908026,-0.7756965046
2002,500.25,407.4509885118,476.4857917625,-156.0725498714,494.2732441824,496.4221268634,-293.4065178441,-429.7824364631,498.7535728705,290.2305195198,152.3527247819,-475.2803611308,77.0974875428,61.7667747289,405.1699369235,-256.0021871154,38.6644028646
2003,977.5833333333,311.0925665841,793.6586425623,-105.3277944191,930.4667202366,947.3405439113,-652.9557708031,-791.676891382,965.732346858,926.7635019935,570.767144024,-971.8926017487,299.8347147065,241.2779879577,727.5423939441,-573.5127489976,151.7570685115
2004,809.3333333333,-242.3750113694,478.9876139193,81.9103353073,722.0391563631,753.094477648,-600.5469212115,-610.2472133332,787.2073429729,772.1883179044,652.3735970717,-805.1777079715,365.6226211859,296.427313486,542.5530756229,-531.6190205997,187.9495773178
2005,1077.3333333333,-864.9896435114,338.2047716755,329.3823851789,873.214287884,945.1452290878,-870.4888666942,-745.6537590199,1025.0341386001,642.2149388866,1022.8707853522,-1025.7457557528,630.98646463,517.0566768196,634.7410842796,-777.5908839297,331.5902981321
2006,984.1666666667,-984.1108110013,5.2426750826,489.0533623913,697.7620274271,797.4383828225,-851.4382083465,-614.7882853334,909.7522070425,10.485201392,984.1527026513,-854.0555230848,694.0548831747,576.7807671718,493.5959938508,-768.5176588697,375.413038611
2007,934.75,-762.2117021966,-283.97198266,622.9249291895,551.5046471738,682.8060154978,-853.2398959437,-516.1731676091,833.4496179871,-541.1015464167,890.5714320391,-696.9376550986,754.7186142171,638.3835114569,381.7580941775,-779.3091963659,423.2248773136
2008,787.5833333333,-251.8184223786,-459.3253283092,635.421455341,359.5347923291,503.3936214245,-748.5769348615,-374.3292735389,672.1053180627,-746.2405705235,639.7716387259,-465.3247049499,700.7297910388,605.7081548514,244.7857829566,-692.9394648281,410.5629651787
2009,504.0833333333,150.1941263277,-406.0851898252,459.706152056,157.1611129383,271.088871023,-492.8641884062,-198.8858528737,408.2415367309,-481.1878337625,298.6550276641,-206.809721015,478.9576093188,424.9833302047,105.7586815874,-463.1894045324,295.7006165567
2010,815.1666666667,653.7215874508,-773.7534303041,796.6731431137,129.9205330992,348.8397102557,-810.5300996691,-253.2210697539,620.6462689578,-486.9751333952,256.5196357729,-172.6516651698,804.7467611142,736.7547427694,86.8196520082,-774.8391989808,528.4835884616
2011,705.75,705.6970755104,-705.7367687536,705.7441194358,2.1607813593,219.7321106679,-705.7485298574,-158.2476849514,499.8039785478,-8.6429228887,4.3215424637,-2.8810383116,705.7466921806,670.6719481546,1.4405221565,-687.7795669454,498.2760736056
,,-31.0373299161,-11.0531778305,-18.3026912661,173.3363847699,29.2931887597,-125.2739011178,5.5677034645,-18.1343977181,40.3106309286,-28.6485046921,-99.4018302762,3.13307066,-102.8460532595,192.221689281,-59.870988918,-149.7721068131
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,2588.2628141859,,,,,,,,,,,,,,,,
20,942.9095612468,,,,,,,,,,,,,,,,
30,10215.7123698424,,,,,,,,,,,,,,,,
40,30055.3184168756,,,,,,,,,,,,,,,,
50,11435.4015787718,,,,,,,,,,,,,,,,
60,52642.7281312925,,,,,,,,,,,,,,,,
70,3615.5346358898,,,,,,,,,,,,,,,,
80,22760.5403598222,,,,,,,,,,,,,,,,
