Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1972,456.5833333333,369.3364487607,-434.2241398025,-141.066540422,-71.4452066725,-400.1147653816,268.3837821386,251.5208017481,-296.5195184676,268.4379404901,-141.1302118278,-434.2448289285,450.9588924961,219.9466180721,-369.3758056001,381.0585605465,-347.1952123021
1973,615.75,190.3607066096,-498.1780141651,-64.3925045607,-190.2563406011,-572.5034073442,412.0062971708,291.7956729162,-361.9376470988,585.5859150279,-361.8932559507,-612.3737974933,585.6198317689,226.6890184357,-457.6012167725,542.2207555667,-498.1457639211
1974,721.25,-222.562187709,-424.0746305869,75.2809028363,-327.3665645642,-698.5740604807,535.9561146543,283.5129906353,-376.8875348218,686.0522101868,-583.405750908,-717.310496346,642.6761975563,179.4320052931,-482.6516400725,663.1907317213,-614.9449963988
1975,956.75,-773.5883346084,-296.0066919542,295.4155293482,-562.2126643775,-949.187031282,773.9539295733,295.7533518367,-434.4384857819,562.9668294471,-909.8080021732,-910.0001250109,774.1366045561,120.060576985,-562.4641120979,909.8903875618,-852.4281580119
1976,689,-688.9995845424,-0.378318846,344.2815544253,-487.0627979609,-688.9999833817,596.6284400693,153.4223026434,-263.7562626791,0.756637578,-688.9998961356,-596.8175695156,487.3303097925,0.1513275448,-344.6092054784,671.7012706937,-636.5167978126
1977,762.8333333333,-617.779733464,235.214499022,510.167367208,-616.9862862259,-756.8452239231,696.8096467937,102.5505967017,-235.8569366181,-447.5074249279,-725.66440859,-567.1366254092,448.6007323373,-95.3939278425,-310.4368060969,755.9087706599,-725.4558566126
1978,858.1666666667,-266.6039175595,503.8151608108,693.9795410709,-764.4630157656,-831.2797983379,816.0882725764,38.7140173835,-200.5160214899,-815.7036097258,-694.7087961981,-504.8191996675,389.9311802156,-213.1288921126,-265.4241118306,857.2929794626,-834.4119803213
1979,768.4166666667,235.9524053683,621.1980096701,701.7694280007,-730.6856634497,-714.5718784321,751.5701890855,-34.2496598477,-120.4016854575,-731.2938096361,-452.3021184928,-313.0237108187,237.8290033621,-282.5795536927,-160.0200752691,767.6530039096,-758.925297872
1980,580.8333333333,469.0928034833,552.1920398742,568.0450595775,-573.6283222921,-509.1208349146,577.6274173501,-77.7720885808,-45.7433633424,-342.519054698,-180.1424775298,-121.2112676309,91.2025711008,-279.5770673124,-60.9420038773,575.6030432067,-579.0292788981
1981,800.5,800.4971019834,800.4992754955,800.499677998,-800.4998188739,-647.8712284021,800.4999194995,-177.8279948626,-0.2692503271,-2.1540000579,-1.0770010037,-0.7180007895,0.5385006237,-470.1735013893,-0.3590004308,780.4982089942,-800.4999547185
1982,690.5833333333,559.9126613586,657.1041364709,675.6361186768,-682.1621893615,-503.698019749,686.8363645127,-213.1196100687,53.9235647678,404.2315573135,212.4134979482,142.9026781313,-107.5178482081,-472.4337468669,71.8411348795,656.8754616226,-688.4748284727
