Year,annual_mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1898,701.3333333333,-200.8247191893,418.9411502345,67.7858944055,-626.7718236363,653.3020853708,-519.3307961795,565.9888373234,-161.6979779313,-671.9656811229,-562.4560045769,698.049795476,314.6832145825,-255.0780854848,-471.3427294273,414.1558649467,-682.4384282683
1899,544.5,180.3450237347,444.2286097403,-61.1429836158,-518.8269114086,528.0222428384,-362.7588010105,408.846079432,-83.6032198483,-513.7664084135,-314.8669437846,541.0561759693,165.2237452614,-132.9389373658,-406.0619439068,359.6180381086,-538.0434477168
1900,737.4166666667,606.4393510349,703.9111538587,-233.2700458813,-728.9921662768,732.021281143,-431.1415780291,507.8386637055,-55.7331454157,-419.5410037102,-219.7553816203,699.5487302342,111.1474776362,-89.0403517038,-598.2476744396,534.6804951779,-735.3075253116
1901,662.9166666667,662.7444952162,662.8736224066,-335.8103056285,-662.9059055143,662.9097795225,-329.275157357,411.632070864,1.8886168557,15.1076472388,7.5543141334,571.567971092,-3.7772183824,3.0217805923,-575.3576085288,519.6321248544,-662.9139763732
1902,631.5,502.4242176767,598.3615727396,-426.0596015661,-623.160325753,626.1583667429,-254.6915895853,346.1976440955,51.3152233114,382.5730720947,201.8803563217,466.1174378988,-102.2910475431,81.963099977,-577.8619594631,528.147177615,-629.4116283137
1903,675.1666666667,194.3620053861,541.7918304483,-549.137089581,-640.9562434242,653.2046650141,-206.2655684577,318.0570153784,107.4656629485,646.5859870428,402.8791881412,392.8084579339,-212.1912387291,170.803083642,-642.8876597405,595.5583621665,-666.5591939692
1904,776.1666666667,-255.9091254352,449.3364894964,-711.3425760548,-689.6356645754,720.4068127091,-158.6100537954,302.8250862709,183.2518478168,732.7654563116,632.8755119702,310.5260599953,-356.1423094638,288.8749186878,-759.7878291204,714.65492482,-754.2237431401
1905,365.25,-300.0442600868,109.1246913015,-357.8038948838,-294.3342963349,319.3108067525,-36.8760755348,111.8001239859,113.8023742364,208.2810708849,348.567589211,73.3753044696,-216.2750205203,177.3363222553,-363.3837056792,347.7187006428,-347.0685553578
1906,792.25,-792.0719893394,-8.397289619,-792.2302203793,-557.2285481736,638.9636007873,2.7991431293,173.9522892732,305.1194398997,-16.7936358179,792.2054960849,-5.5982513162,-563.1664119959,468.3861434425,-792.2450550794,772.9169836125,-731.1375998369
1907,489.0833333333,-389.5882833686,-155.9829649143,-477.6763563325,-285.4065858744,355.12514394,52.8155390714,64.2052692606,223.1758304227,-295.6746123804,463.5426858456,-105.0133588897,-397.1719875368,336.2865431236,-486.223226283,484.8506887111,-435.1954223789
1908,750.4166666667,-217.1687078735,-447.3019985113,-683.431668097,-337.2404920046,475.951742514,158.5349477928,31.465107059,393.7348649384,-718.3055936937,602.5330660959,-309.9134212216,-670.3685733712,580.1681759706,-733.4792730129,749.7567076385,-638.8255080561
1909,771,253.0460341381,-628.3070476767,-620.6799424381,-234.5381272216,410.4834846347,240.7247020771,-36.8180561551,454.7593341055,-728.2916343107,446.8458949568,-457.3810326796,-734.4609362515,652.6440904828,-732.4565637701,770.1204001589,-622.6033633413
1910,766.5833333333,629.033119029,-731.3878287566,-509.1494710827,-116.1470774852,323.6286468629,314.1214002873,-105.062826184,499.306315366,-438.1407788703,229.612392721,-573.076629292,-757.7333721937,694.9205032765,-699.2694422223,759.3495963643,-581.672769158
1911,600.6666666667,600.5512197914,-600.6378042545,-296.9272546513,2.9442052369,183.374693219,302.0315713221,-135.3006094345,425.7751345429,11.776113599,-5.888339738,-522.1442807211,-600.6594510203,571.9914040712,-519.2084113043,585.2300312964,-423.6932608025
1912,676,539.1303704841,-640.8697724371,-204.7577328579,108.9679627975,124.1073119739,399.0988427621,-210.6661785804,515.0914204542,407.81667894,-215.0858776777,-644.2439528897,-667.1596383803,664.5098758594,-545.6153532535,642.336174602,-437.7862818482
1913,457,132.9511874052,-367.1564330392,-44.8947500205,143.2803372781,26.9646952787,306.864871923,-180.7505421504,370.3566619734,437.2333264603,-272.1123916287,-454.7894693378,-433.9582294985,456.2037978892,-338.648712355,419.7359187779,-267.7404394781
1914,741.0833333333,-242.1120186315,-429.9879795628,82.0447864832,339.5199417978,-49.2915725752,552.271007203,-352.9136867235,632.7784277079,700.4186443682,-603.584993498,-736.5277726979,-658.7341770897,739.4422545523,-494.1672202275,651.6566861988,-385.7408046498
1915,679.0833333333,-556.6146280224,-203.9196614252,213.790945846,401.6688500483,-129.6923845006,550.6069567998,-375.5879141782,605.7725626,389.0171326337,-647.7429623665,-644.5522516331,-547.5548452091,666.5838724524,-397.4747196172,565.7631061976,-306.9100454727
1916,919.8333333333,-919.6840978641,8.2846773964,464.6915722615,653.3428975416,-287.3940016568,797.9762399333,-575.3554615037,850.605647867,-16.5686827185,-919.7960237093,-793.823093504,-647.4846865702,873.7837540964,-457.5229847919,717.6764271097,-350.0905496123
1917,946.25,-755.5711025098,300.3580419683,637.3015445715,767.9853057554,-405.9212155858,865.5736967615,-655.6448688924,900.5818003022,-569.6502186009,-897.3149442225,-699.4539325694,-552.7998124491,854.7613873107,-382.3234729579,682.2894315428,-290.4160523533
1918,315.5833333333,-92.2907780812,187.706431556,256.3824173077,281.8065485722,-170.0230029871,300.4187561886,-238.1714970556,307.0230367833,-301.7867667061,-253.6910243392,-184.013304881,-142.0489685271,265.866543087,-96.6509762386,207.043904204,-73.004761229
1919,734.8333333333,238.9637224517,598.1548865021,672.9922533936,699.8300425374,-470.3293187728,719.2069134284,-595.5434311934,726.029775802,-694.8930616503,-426.8380952204,-295.061781073,-224.0935950443,564.59752008,-150.7363375385,430.4742144892,-113.4054338496
1920,549.5833333333,449.9672053992,524.0879300803,538.2028275405,543.1720868431,-401.8862969834,546.730804074,-472.4618798434,547.9781776397,-315.5492898787,-165.4499375095,-111.2634562879,-83.7013999419,374.872304358,-55.9219827466,280.7518697579,-41.9732904172
1921,831.4166666667,831.3045734552,831.3886428915,831.4042116166,831.4096606934,-674.2315547969,831.4135528984,-749.9247123558,831.4149151715,13.6520974078,6.8262787908,4.5508809333,3.4131681567,486.4827685821,2.2754489885,358.9799429067,1.7065876735
1922,849.6666666667,679.2640742831,805.9409054723,830.1392454384,838.663987282,-745.8829589841,844.770705572,-796.1722310601,846.9115299049,510.4250795492,269.0589179547,181.1139907005,136.2943904963,406.9300381412,91.0818283294,296.7207827796,68.3688888208
1923,719.3333333333,211.4607562955,578.5979671325,655.595258025,683.2441909016,-669.6518169381,703.2183041976,-693.8403637068,710.25374542,687.5498476411,427.3930706909,296.0326031022,224.9840439755,262.6916224699,151.4082596356,189.8051478113,113.9300731206
1924,892.8333333333,-288.9993921615,519.1931579269,719.6023642915,793.9472019432,-865.4659790219,848.4209859191,-878.8352075572,867.7597270883,844.7666615352,726.3537883655,528.5109255419,408.4105797328,219.3627139393,278.0884603199,157.4802815244,210.1057285148
1925,789.0833333333,-645.3336343901,238.1496290232,525.0323620674,636.6209272582,-783.1571835972,720.0509680962,-786.0579306428,749.9998234316,454.0892062902,752.2880174112,589.0615636131,466.2255912338,96.5263317677,322.7678891838,69.0321419195,245.2606201511
1926,721.8333333333,-721.7539762519,-5.3517560938,357.8224043198,508.5175931916,-721.8301589942,624.2321282835,-721.831713772,666.3738854664,-10.7032180023,721.8134937903,626.9022954798,512.3018822196,-2.1407189121,362.4604959575,-1.5290860351,277.4692881735
1927,839.5,-671.9387075709,-265.2053025433,255.5551384407,490.9788175242,-832.5714481366,677.9744791366,-835.9626383571,747.3074893615,-503.2480732878,796.5088809944,799.6573148647,680.9552487077,-107.6337946361,495.0867152727,-76.9851756577,382.481066648
1928,535.1666666667,-158.1361823638,-317.6272560062,53.4218295785,241.2673219396,-517.9735886593,396.8582515042,-526.3715092468,455.8078485333,-511.2693115556,430.7160170612,532.493633047,477.6959707547,-134.5612223582,359.036055744,-96.6250245244,280.4328196317
1929,524.25,168.9031951165,-426.2543621711,-57.2094395469,160.2719768578,-486.8979877903,349.8899925816,-505.080132688,423.592166103,-496.2960539632,305.1971186464,521.1191250825,499.1502338316,-194.3409683668,390.4037084752,-140.4710719822,308.8814324561
1930,614.5833333333,502.0589153621,-585.7771399364,-192.555581574,94.0845533511,-537.7588804023,360.118884839,-574.9751224304,466.6559075083,-354.470759184,185.9511116908,583.6394620104,607.3390901562,-297.5366534724,498.0231544751,-217.062853103,399.9311660757
1931,772.6666666667,772.5989881843,-772.6497468608,-389.2817852953,-2.5566941544,-623.8960436833,384.8562837863,-695.5134764266,545.4531627133,10.2264966872,-5.1133603157,667.4379891908,772.6624367037,-455.8152086692,669.9995661252,-336.5631915211,547.2610209616
1932,654.8333333333,524.7553951416,-621.4636027273,-440.2602794609,-104.5265801726,-476.1933021575,265.0562092375,-561.5201552589,424.4756798263,391.7122281907,-206.3726845529,484.7448615234,646.4370723294,-449.4959770951,598.79203434,-336.9002963526,498.6252016098
1933,892,264.9335945381,-718.3260980669,-723.8386322277,-278.3137802233,-566.8485903968,273.8612240286,-720.6983435775,523.1673288924,851.7477270208,-528.8398782581,521.2692533564,847.470022914,-688.7283031539,848.9193306631,-525.6024139638,722.4679549846
1934,687.6666666667,-220.5157831571,-400.7768025307,-629.3544070027,-314.0737147318,-367.0431086292,141.5969583518,-517.0676269495,358.4043944675,651.3510833822,-558.8053319339,277.1253774572,611.7541549994,-581.5193899195,672.9307139892,-453.3503210601,586.8830671189
1935,664.4166666667,-542.1572213028,-201.5331401497,-650.4431923689,-392.1399812206,-281.4558303666,68.1329920622,-458.3322434128,300.7533605425,384.0768859665,-633.1144449196,135.5476316482,536.3541200297,-601.8572276687,660.9140657734,-481.0208535944,592.4499329622
1936,1016.5833333333,-1016.5144296544,5.9180373263,-1016.5756772921,-720.9222744939,-311.8893086257,-1.9726890132,-632.5064837713,387.6622916481,-11.8358740897,-1016.5661072676,-3.9453705981,716.7375724416,-967.5570953572,1016.5814193212,-795.8499994335,939.7657267879
1937,583.8333333333,-468.4146615128,183.555533692,-570.6128942834,-473.3007501569,-108.1002724452,-62.122994932,-320.8433295484,179.628236196,-348.4954318079,-554.2280461706,-123.5406248511,341.8300177164,-573.7383482114,580.5188150368,-487.7713798444,555.5133282579
1938,595.1666666667,-177.6757969357,352.4745730557,-542.8200514961,-531.0388299557,-36.0632390865,-124.8097761844,-281.2064473871,138.1425908542,-568.0269996175,-479.567551509,-244.0691557837,268.7398783032,-594.0730627606,581.932883484,-524.5438924047,578.9127617381
1939,618.6666666667,197.4558430597,502.4479041075,-499.2131989599,-588.895667522,40.1660983359,-192.2262712118,-242.2826460774,95.964380903,-586.3101862377,-360.9633611635,-365.4238996409,189.6057415225,-617.3614249279,588.0454957743,-569.2517578842,611.1786007726
1940,710.0833333333,578.7662759267,676.457916913,-473.3117789638,-701.6266217794,134.5025401909,-289.9375230677,-218.4272272844,54.7949355746,-411.3975426856,-215.9236599435,-529.3338267784,109.2630948134,-697.2283750393,648.1933145252,-675.653673607,707.9659986985
1941,438.8333333333,438.8111700923,438.8277924881,-218.1422494394,-438.8319481198,136.4456013199,-220.0529526978,-97.0352349755,-0.5513065644,4.4103794254,2.2052175565,-380.7737562568,-1.1026122587,-417.0818772434,379.6727438905,-427.9706270501,438.8329870298
1942,963.3333333333,773.8057083281,914.7250798647,-294.7127455425,-951.1036408775,411.8631643404,-567.4964755713,-127.9840842027,-76.7504736113,573.7907605303,302.1409263531,-917.1453040418,-153.0129910194,-870.8500703167,778.4335946792,-954.7937920315,960.2710429413
1943,759.5833333333,227.9135957482,612.407629381,-77.0273412942,-721.8522940192,408.2118071754,-509.1454387597,-33.0581153486,-119.7077036207,724.5841794787,449.3592502149,-755.6676709843,-236.4235730567,-640.5700279909,563.682324069,-758.8636249599,750.0912650948
1944,617.3333333333,-196.0982656331,360.5845590567,66.389863765,-549.4093702493,394.367639207,-459.3936875611,28.4978000964,-144.7959366555,585.3596455685,501.0780580052,-613.753069592,-281.5133892494,-474.946954502,412.3807515796,-616.6752142206,600.1121404975
1945,773.8333333333,-630.0120302189,235.8958651538,241.2796203222,-625.044842963,565.0291574863,-626.7089598199,104.8355104552,-239.9348801914,449.3360318928,737.0014712204,-735.2565352276,-456.220310884,-528.734412506,453.9316109935,-766.699121902,735.6964598564
1946,728.1666666667,-728.1406226321,-3.0793179344,365.8597344171,-513.8017311029,589.8223581434,-631.1234260121,162.8899573902,-279.3683952953,-6.1585808002,728.1601556289,-629.5818844096,-515.9791425631,-427.0085248313,363.1940467343,-709.7137142721,672.4433018141
1947,688.5833333333,-553.7629409419,-215.4472965648,462.1388125301,-403.6047505408,603.9493759393,-629.43152564,213.5452691497,-313.2343391679,-409.2598345597,654.0102975851,-510.4652043947,-557.8980303652,-330.7448536969,279.2184834048,-654.6338098267,613.2138743623
1948,865.5833333333,-261.0337059761,-511.5115255853,701.5955754555,-391.457951503,805.2964461683,-823.5666165524,341.0849483591,-452.9873223516,-825.2853514323,698.2767833301,-506.9498549617,-772.0072403478,-317.3832710353,266.4067098345,-795.5473367105,737.588633815
1949,770.75,243.6673797824,-625.2448302334,704.8969155654,-236.7996089498,746.8222304505,-754.1070415306,365.9614702098,-453.6200303679,-731.2193723706,450.6933156442,-311.7304940592,-733.4722269461,-190.5573892689,159.3051550139,-678.3271812495,623.1247311326
1950,759.25,617.4361581608,-722.9277161596,743.0344317017,-117.4259213415,753.3990272829,-755.1852272024,418.9185850521,-493.6116549077,-441.8519583476,232.0260323934,-156.0781720991,-750.1144682627,-94.0769269759,78.4591302224,-633.2201683443,576.8952215431
1951,612.0833333333,612.0689097693,-612.0797274317,612.0817307095,1.0505028042,612.0827563886,-612.0829326772,382.0968563687,-433.1795252563,4.2019802734,-2.1010025141,1.4006698708,-612.0824318572,0.8404023919,-0.7003353938,-478.1715166105,432.4367073262
1952,672.8333333333,541.7329080749,-639.2185278763,657.8234776027,106.341811168,667.416857081,-669.0703466844,465.424600922,-511.983891214,399.0365280938,-210.0103998949,141.3257469786,-664.3764848653,85.2023082345,-71.0602957496,-485.8854137561,436.5514741491
1953,675.1666666667,204.6347950929,-544.9828530627,616.2240084364,209.6375103422,653.7454106189,-660.2665891418,508.8437799774,-546.5300937935,643.4086014463,-398.5520262719,275.8949060865,-641.796028373,168.7215631524,-141.0604800819,-443.765743784,396.4276533693
1954,752.25,-236.681803006,-440.3613153927,607.7108683255,342.5042065405,699.0965788913,-715.2029653175,608.9560966179,-641.6887297865,714.0460675795,-609.8868537734,443.359406147,-669.7543810996,277.7481518976,-233.1625632495,-441.6475233621,392.5756443858
1955,872.0833333333,-708.3851173122,-267.16894083,582.328828943,513.5833719055,763.7421861664,-796.3568944005,748.9959027674,-777.3084455972,508.6451276168,-830.1506473728,649.1706056651,-704.8130676853,420.9836259849,-355.450470556,-446.6928227713,395.3744056978
1956,897.9166666667,-897.9041862417,2.3671060024,447.5909898078,635.7593114572,725.8728984489,-777.2238255085,809.2881759852,-829.7931133794,-4.7341955542,-897.913546555,778.4064787248,-634.0855132971,528.5478933599,-449.6414853411,-388.9819899281,343.0710265614
1957,806.25,-649.9142877137,251.0434902869,247.8784094011,652.8563687917,587.1838383069,-651.878451124,755.0396645882,-766.9434496227,-477.1273217136,-766.1698431057,767.1996849926,-473.0936738407,552.4981470839,-474.4402464591,-282.7616795085,248.6700777754
1958,960,-292.4209701208,566.0723755334,98.8720081523,855.8707497374,611.2410151953,-712.9225511324,925.5732656242,-933.6048199715,-914.3795580795,-775.3464165507,954.8949293006,-434.839349351,740.2596985808,-642.916352325,-254.7825150235,223.566634644
1959,654.4166666667,204.9107337709,530.2632237718,-69.3416125602,622.6051176178,350.1768055649,-437.5402076714,643.9718601658,-646.4148587913,-621.5084591513,-383.5128252436,650.7325982143,-201.5540650229,552.8448050362,-486.641285016,-116.4534968378,102.0245261936
1960,995.5833333333,807.7771673515,947.4691705996,-308.9138412637,983.4812374182,423.1782683622,-584.6523333627,991.6262206292,-992.5531981286,-581.9641067254,-305.7586374485,946.4451448905,-154.7605545915,901.1694218054,-805.8336197408,-88.6770103895,77.6165091701
1961,1087.1666666667,1087.159306081,1087.1648265187,-544.7377828755,1087.1662066296,335.1919353419,-543.0058017623,1087.1665164505,-1087.1665516574,4.0005390451,2.0002729082,940.8464853626,1.0001368773,1034.2039100646,-941.8471533979,0.5715068413,-0.5000684916
1962,656.75,530.0213708825,624.2644062523,-439.9980827128,648.5777560579,122.628969015,-266.7881384904,654.0777736628,-654.7037512459,387.8116925878,203.996356797,487.5676873102,103.2833812716,645.199735321,-600.1205309443,59.1846981935,-51.8030945455
1963,841.4166666667,257.5759499478,679.9671698557,-681.2216493634,800.036785544,52.3219493087,-259.6061993442,827.8293704295,-831.007308105,801.0222449801,495.607359573,493.8816370175,260.6206989494,839.7883189025,-800.3665586508,150.6005989323,-131.9426421618
1964,789.9166666667,-246.1433362802,463.4304783682,-721.9162362297,703.5765057839,-50.0287995475,-163.8820816054,761.3684888473,-768.0283681192,750.5876353116,639.6878394946,320.6326373682,359.0939163878,788.3308058764,-772.7295798703,210.4432571222,-184.6639272896
1965,552.0833333333,-447.4241611912,169.9714455726,-540.1108588753,446.4495543662,-103.7110098639,-57.4882753569,516.8129702804,-525.0111261126,323.4310234451,525.2672792344,114.3515066337,324.7750026566,542.2545835467,-549.0820568375,194.1658072226,-170.7610154642
1966,699.3333333333,-699.3318101334,-0.7298028785,-699.3331640888,494.2452506759,-216.3834994607,0.2432676654,629.9870622826,-646.0299102017,-1.4596049621,699.3329525332,-0.4865353014,494.7612993105,665.0152571725,-699.3332910222,303.6172137208,-267.7918337737
1967,969.5,-783.332894522,-300.4072309057,-948.1951010925,569.5109479355,-413.1032925664,101.624552867,832.1404429885,-863.7334988362,-571.2441040044,921.7840016075,-202.1294146438,784.5938632067,877.0837586404,-964.1590637725,497.4661125574,-440.3347510568
1968,583.8333333333,-179.609064479,-343.5109913084,-533.2434457976,264.8661869877,-312.9764928799,121.5237891791,472.2599896733,-497.7444474564,-555.5195271708,472.0821538264,-237.7241860327,520.295362368,492.856039849,-571.0458210815,343.2664610254,-305.1423047324
1969,767,237.8413014821,-620.7710037674,-620.3459449443,236.8096705272,-489.0379327799,237.1536002549,577.5242321959,-620.4522613765,-729.191686259,450.4801448251,-451.0653041314,729.5273675091,590.8729984543,-729.4156358937,504.7323659392,-450.919051885
1970,679.5,550.0515847486,-646.3282068101,-454.5373815434,106.1608060269,-495.409810655,276.4616603087,469.5200233736,-516.6510029484,-398.9530099091,209.7143273161,-505.0901095643,671.1558189152,465.0692093729,-620.7166828589,491.1936457766,-441.3524568328
1971,879,878.9998925352,-878.9999731338,-439.374520557,-0.108663215,-711.1770310862,439.562735244,547.9989879963,-621.5084412275,0.4346528436,-0.2173264284,-761.308761729,878.9999932835,516.5929059283,-761.2001062696,687.2685858927,-621.5852777238
1972,553.25,447.531426049,-526.1569746576,-170.932790995,-86.5714048364,-484.8260498939,325.205316594,304.7721487143,-359.297879742,325.2709412145,-171.0099427495,-526.1820440329,546.4347667971,266.5131588576,-447.5791154187,461.7353136463,-420.7025030979
1973,658.75,203.6542679319,-532.9675466199,-68.8892608678,-203.542613676,-612.4833448444,440.7781538956,312.1727966441,-387.2130329295,626.4794503039,-387.1655417905,-655.1380253329,626.5157355709,242.519514242,-489.5571279722,580.0859484037,-532.9330442274
1974,567.6666666667,-175.1696848843,-333.7719680599,59.2505499851,-257.6569656628,-549.8193529746,421.8293533247,223.1415935537,-296.6329159106,539.9639117034,-459.1750404605,-564.566042878,505.8244087526,141.2236649401,-379.8755600432,521.9705678204,-483.9983033471
1975,857.5,-693.3389045485,-265.299961694,264.7701242917,-503.8906294264,-850.7215880056,693.6665739317,265.072902221,-389.3713107478,504.5665599696,-815.427605815,-815.5997984812,693.8302988313,107.6058999369,-504.1159928131,815.5014448228,-764.0001520723
1976,754.5,-754.4995450468,-0.4142838452,377.0107878286,-533.3655748353,-754.4999818019,653.3471089003,168.0074417191,-288.8303340949,0.8285675655,-754.4998862617,-653.5542179964,533.6585177626,0.1657135451,-377.3695871313,735.5567615942,-697.0274658194
1977,828.4166666667,-670.8923236144,255.4366762921,554.0281622695,-670.0306610632,-821.9137394603,756.716702947,111.3672145304,-256.1343463973,-485.981135155,-788.0522051337,-615.8952581596,487.1684378595,-103.5952629104,-337.1260967238,820.8967761777,-787.8257232452
1978,956.5833333333,-297.1787113677,561.5939241548,773.5668238446,-852.133516991,-926.6130127326,909.6792853859,43.1538362347,-223.5116926279,-909.2505084524,-774.3797117458,-562.7131086602,434.6494482128,-237.5710383143,-295.8636026125,955.6094495291,-930.1044010592
