Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,565.75,565.5094497276,565.6898592353,-278.098991119,565.734964609,-455.7540706035,-285.2530089889,354.5790147991,-565.7462411398,16.4962046767,8.2489792273,-492.6804376455,4.1245992291,-335.2033556341,488.573211876,-440.8478022675,-2.0623133166
1882,715.3333333333,566.3500878199,677.0638352222,-214.4990307908,705.7011080857,-518.6220623947,-423.2395722787,496.4664220552,-712.9212101494,436.9775232253,230.8383434613,-682.4162538858,116.9945461311,-492.6793421438,576.6888608557,-514.9979315973,-58.6951948366
1883,904.25,254.7868093703,723.8988309402,-85.9648522766,857.9783156868,-572.4063756826,-608.2492683222,683.3836134335,-892.607123672,867.6126694965,541.8842543048,-900.1544904476,285.5543246235,-700.0135738526,669.104543465,-592.1612106434,-144.6395010711
1884,801.0833333333,-268.9370066783,461.6782175812,91.2228985963,711.1881721498,-425.4194379184,-597.8342791394,649.982124941,-778.2851336488,754.5908781474,654.6661212828,-795.8724079374,368.7084088254,-678.7877494369,533.2247946507,-468.2496601191,-189.7544668399
1885,751.75,-620.2632977442,222.3118625049,238.9396606246,605.0830542736,-316.2807016068,-610.2257583774,646.8698809848,-714.1425797942,424.7369821095,718.126380444,-712.7663720186,446.0970297267,-681.9784309574,439.0359738253,-382.9979367761,-234.7944595277
1886,957.75,-957.3860384708,-13.2019724775,486.4770752509,672.5477207454,-290.9340648848,-831.6274650712,864.5328942675,-883.5772863887,-26.4014363472,957.659005295,-825.0000713669,681.8831467489,-912.4924286752,475.0587561968,-412.150381814,-369.5622295068
1887,632.8333333333,-501.6475050468,-203.7385150145,427.702562375,368.4735432787,-115.191413526,-579.2851051083,593.3417983092,-562.8767042683,-385.7820737905,599.139921285,-466.4209964352,514.4951658484,-622.2611718785,254.7681196252,-220.0534893088,-289.2193692853
1888,582.0833333333,-164.9005179407,-348.4502574207,473.9678566553,260.7622668295,-33.4195908268,-554.3959761935,561.6983683377,-495.2809184837,-558.2372489608,466.2654019417,-337.8986205979,520.4075779063,-581.1231692966,177.3868893826,-152.6956120889,-305.8068323801
1889,838.8333333333,280.3515180838,-685.1312135388,769.3089470247,253.9000408503,57.1261458944,-821.2683329786,825.9164315412,-676.9864026371,-790.5974876125,483.9799389912,-334.372703938,799.4849156596,-836.8858730832,170.7620752907,-146.6404078734,-495.3087640609
1890,761.5,627.6219208109,-727.2607313397,746.2185088057,114.1779380722,146.6227442764,-757.6699955969,758.6854927343,-577.4204489979,-431.2458400003,225.7743976877,-151.7899440537,752.8915250271,-747.2509758179,76.278619365,-65.4108027356,-496.4553102536
1891,545.9166666667,545.7324843122,-545.870619136,545.8962009377,-3.5452866205,171.3926719504,-545.9115502105,545.9129076361,-384.76588719,14.1796512971,-7.0904237188,4.7270229839,545.9051546627,-518.3141508257,-2.3635336435,2.0258876593,-387.2727966168
1892,1063.5,844.068808131,-1007.1493006122,1038.3308034816,-173.1025256877,457.7484263767,-1057.1889754208,1058.8621106589,-688.0907330909,646.977663556,-341.5882554719,230.0030272438,1049.3177619771,-959.9472007093,-115.6880298418,99.2133086385,-810.9028258888
1893,1236.75,352.252010342,-991.2613773094,1125.5381715277,-389.6203627332,667.967350963,-1208.6272990746,1216.0675455876,-723.7705364581,1185.5248136205,-739.5616568987,512.5567158218,1173.7744823618,-1040.8507004117,-262.2415192748,225.2338497396,-1002.8493271948
1894,850.5,-282.9736843224,-491.2642524568,683.8755842575,-390.8516363568,545.4017073205,-807.7705226149,819.0364001233,-442.1147663665,802.0449762831,-694.2691727695,505.6327078587,755.3709342815,-652.6003582989,-266.1898435224,229.1934232763,-726.5567998173
1895,727.5,-598.9424860877,-216.2470709295,482.3243035155,-431.2403656308,532.778634571,-663.3804266059,680.204534396,-328.2749487881,412.9456966226,-694.6174877689,544.627869502,585.9078400658,-495.3818492281,-298.6346590673,258.0272105557,-649.224004484
1896,537.75,-537.5901365745,6.5561634008,265.0808635038,-382.5576030932,436.5851937326,-464.6085970197,483.6803041687,-204.2727483497,-13.1113522506,-537.7100326584,467.875195222,377.9216093525,-313.95609743,-270.7654225994,235.0072889493,-497.441159115
1897,671.75,-533.7984778979,215.2544250092,202.450560362,-545.8228753451,590.2098104449,-541.8690923199,575.4750545202,-205.6593615508,-407.8078560963,-636.3282132783,640.5168484194,391.5679395074,-320.7809878321,-397.021346137,346.5205969707,-639.4937759717
1898,789.6666666667,-226.11870711,471.7070270464,76.323566467,-705.7140922978,735.585855629,-584.7408061546,637.2754541916,-182.0639304749,-756.6001419108,-633.2976591458,785.9695653435,354.3177449363,-287.2053158335,-530.7086150254,466.3190323473,-768.3919375322
