Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1952,424.9166666667,342.1223802668,-403.6877970822,415.4374426922,67.1583967235,421.4959814536,-422.5402152272,293.9311419497,-323.3348849765,252.0048621192,-132.6285644122,89.2519177414,-419.5758851038,53.80809632,-44.876944269,-306.8528269436,275.6968004318
1953,579.0833333333,175.5131067762,-467.4260486216,528.5288366605,179.8038829138,560.7105478141,-566.303693896,436.4299465641,-468.7531006876,551.8447755431,-341.833871953,236.6321528505,-550.4616886156,144.710706288,-120.9860869031,-380.6132008831,340.0118197066
1954,624.75,-196.5662431745,-365.7238043092,504.7090262365,284.4526461099,580.6056333165,-593.9821237383,505.7431988861,-532.9279281278,593.0213103627,-506.5162005915,368.2137440882,-556.2366893878,230.6721939488,-193.6434847326,-366.7920109278,326.0373995747
1955,711.5833333333,-578.0124717371,-217.9986226227,475.1558404533,419.0624379074,623.1815124391,-649.7937430756,611.1491651917,-634.2510097425,415.0330381959,-677.3680246456,529.695919902,-575.097829428,343.5049385844,-290.0326390901,-364.4825622211,322.6088915675
1956,866.75,-866.7379527702,2.284943808,432.0551169365,613.6921205073,700.6778669853,-750.2464045581,781.1978021737,-800.9910136667,-4.5698717364,-866.7469881873,751.3880079087,-612.0764198425,510.2020082447,-434.0344398174,-375.4804340828,331.1630391894
1957,615.5,-496.151620574,191.649324988,189.2330678901,498.3976371985,448.2625147013,-497.6510842379,576.4054741756,-585.4929528592,-364.2441755222,-584.9023732484,585.6885657215,-361.1648449599,421.7830815878,-362.1928331108,-215.8633348682,189.8374361188
1958,697,-212.3098085148,410.9921309862,71.7851975856,621.3978255906,443.7864454074,-517.6114772284,672.0047563959,-677.8359995001,-663.8776583139,-562.9338045165,693.2935059609,-315.711485935,537.4593853238,-466.7840599693,-184.9827218452,162.318692028
1959,730.8333333333,228.8382955775,592.1824108593,-77.4386784863,695.3071286779,391.0671825804,-488.6320668888,719.1688798744,-721.8971490639,-694.0824126775,-428.2958713085,726.7190737729,-225.0896664014,617.400858292,-543.4667094856,-130.0518486269,113.9379975446
1960,599.75,486.6135660357,570.7655160966,-186.0929869905,592.4595685694,254.9270944507,-352.2007904253,597.3661931756,-597.9246142908,-350.5813740774,-184.1922586186,570.1486321066,-93.2294058253,542.8740544683,-485.4427522621,-53.4199752049,46.7570115089
1961,700,699.9952606991,699.9988151738,-350.7433217963,699.9997037934,215.8218807966,-349.6281415609,699.9999032795,-699.9999259483,2.5758491475,1.2879267537,605.7880175567,0.6439636494,665.8985776899,-606.4323232057,0.3679792632,-0.3219818587
1962,641.0833333333,517.3777954827,609.3726782513,-429.5019985166,633.1060369691,119.7036744871,-260.4239499311,638.4748525299,-639.0858975174,378.5605064177,199.1300561908,475.9368377715,100.8195726586,629.8085983789,-585.804751244,57.7728566429,-50.5673399744
1963,625.9166666667,191.60671091,505.816917182,-506.7501048201,595.1348218502,38.9214777912,-193.1169816059,615.8092900165,-618.1733080298,595.8678896747,368.6745446918,367.3908067385,193.8716519569,624.705364294,-595.3801348942,112.029424441,-98.1500629175
1964,666.4166666667,-207.6599071878,390.9751593533,-609.0478047399,593.5754105659,-42.2070165609,-138.2598382317,642.3318710109,-647.9505074216,633.2365565552,539.675456529,270.503133351,302.9511603918,665.0787482428,-651.9167053722,177.5413785427,-155.792533657
1965,540.0833333333,-437.6990171593,166.2769718877,-528.3710907729,436.7455942411,-101.456763008,-56.2387188812,505.5796015679,-513.5995635224,316.4009755393,513.8501489386,111.8659795461,317.7157422215,530.4682197685,-537.1472921304,189.9454485448,-167.0493798073
1966,534.9166666667,-534.9155015785,-0.5582226736,-534.9165372124,378.0457893338,-165.51068673,0.1860742546,481.8740410859,-494.1451374625,-1.1164447393,534.9163753946,-0.3721484866,378.4405124254,508.666937058,-534.9166343031,232.2353306571,-204.8326717104
1967,712.1666666667,-575.4136940507,-220.6704654737,-696.5167039657,418.3462748029,-303.453733735,74.6504580369,611.2663078717,-634.4736531764,-419.6194011365,677.1158739675,-148.4784233751,576.3399651852,644.2803680025,-708.2433693484,365.4242219285,-323.4571757376
1968,539.75,-166.0473751971,-317.573607009,-492.9799883573,244.8670130059,-289.3446680536,112.3479278494,436.60119228,-460.1614025372,-513.5740761469,436.4367842326,-219.7744152061,481.0095720893,455.6421024982,-527.9280307087,317.3475404027,-282.1020136671
1969,704.9166666667,218.5896967881,-570.5238940535,-570.1332407958,217.6415692079,-449.4537020193,217.9576602082,530.7776488641,-570.2309516497,-670.1686738446,414.0168997257,-414.5546944424,670.4771840243,543.0459250244,-670.3744963086,463.8777796045,-414.4202803015
1970,656.9166666667,531.7704982308,-624.8473453868,-439.430730771,102.6325280733,-478.9447556284,267.2733956602,453.9154211742,-499.4799921809,-385.6937180664,202.744425096,-488.3033276546,648.8498062925,449.6125309648,-600.0870261193,474.8687159256,-426.6840099599
1971,514.0833333333,514.0832704825,-514.0833176206,-256.9682799883,-0.063551704,-415.9320349612,257.0783573872,320.497322426,-363.4893414801,0.2542068062,-0.127103407,-445.2515880836,514.0833294051,302.1294687781,-445.1880409155,401.9491758032,-363.534279321
1972,340.4166666667,275.3676570885,-323.7462330888,-105.1755461989,-53.2676892238,-298.3151700281,200.0999726294,187.5273727215,-221.0772463845,200.1403516887,-105.2230179443,-323.7616583634,336.2232297585,163.9864819903,-275.397000525,284.1073589766,-258.8597266388
1973,669,206.8230819681,-541.2604002865,-69.9611620806,-206.7096903973,-622.0134462253,447.6365616033,317.0301342768,-393.2379795519,636.2273278988,-393.1897494616,-665.3318238295,636.2641777563,246.2930626609,-497.1745254093,589.111953673,-541.2253610446
1974,642.8333333333,-198.364496359,-377.9678452164,67.0961160577,-291.7741974637,-622.622796366,477.6852072147,252.6885279908,-335.9110853397,611.4623627245,-519.9759633165,-639.3221454434,572.8023325187,159.9235689002,-430.1761700195,591.0864592141,-548.0861585466
