Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1958,821.5833333333,-250.2585368421,484.4537804152,84.6162437824,732.467857783,523.1098236815,-610.1305062165,792.1203841831,-798.9939166752,-782.5406304779,-663.5538472893,817.2143322894,-372.1424605253,633.5260736379,-550.2180831226,-218.0469458,191.3318967843
1959,707,221.3756099977,572.8706469476,-74.9133122324,672.6323466025,378.3140224643,-472.6972013095,695.7159380678,-698.3552351948,-671.4475700292,-414.3286399295,703.0199112759,-217.7492280216,597.2666911915,-525.7436218102,-125.8107051027,110.2223456293
1960,952,772.4153645119,905.992115588,-295.3906187827,940.4276936692,404.6529285821,-559.0581950562,948.2161165538,-949.1025140555,-556.487650057,-292.3735393163,905.012918325,-147.9856512642,861.7192160965,-770.5568989637,-84.7950252523,74.2187160592
1961,1034.5,1034.4929959903,1034.4982489961,-518.348523426,1034.4995622489,318.9539081201,-516.7004463496,1034.4998570609,-1034.4998905622,3.8067370616,1.9033717525,895.2681488035,0.9516862789,984.1029694574,-896.220340509,0.5438207825,-0.4758431898
1962,858.75,693.0427898673,816.2726438815,-575.3305725613,848.0641766497,160.3465963329,-348.8455484258,855.255863164,-856.0743759154,507.0929440575,266.7405731244,637.5314068941,135.0507859414,843.6471605739,-784.70271176,77.3884424418,-67.7364407171
1963,807,247.0402594132,652.1543104766,-653.3574777097,767.3126900275,50.1818121329,-248.9874650341,793.9684681825,-797.016417915,768.2578409812,475.3354134996,473.6802785854,249.9604683199,805.4382569329,-767.6289743463,144.440546703,-126.5457607899
1964,831.5,-259.1009821083,487.8267025169,-759.9198444034,740.6146613262,-52.6624498243,-172.5092742124,801.4489694818,-808.4594426725,790.100582882,673.3627241773,337.5115999219,377.9975838926,829.8306552415,-813.4081388274,221.5215549705,-194.3851320282
1965,536.3333333333,-434.6599096493,165.1224488612,-524.702413241,433.7131067021,-100.7523108656,-55.8482324826,502.0691738452,-510.033450213,314.2040855687,510.2822957212,111.0892523313,315.5097233355,526.7849810878,-533.4176781594,188.626586458,-165.8894936645
1966,594.5833333333,-594.5820382867,-0.6204889821,-594.5831894392,420.2144737336,-183.9723866363,0.2068296941,535.6241288592,-549.2639906207,-1.2409772885,594.5830095716,-0.4136593631,420.6532257603,565.4056077128,-594.5832973598,258.139754516,-227.6804973755
1967,855.0833333333,-690.8869546751,-264.9543232185,-836.2927567741,502.2994530485,-364.3504284875,89.6312134235,733.9344237153,-761.798988444,-503.8280686942,812.9985938193,-178.274877399,691.9991086783,773.5737018574,-850.3727138876,438.7570724558,-388.3681348284
1968,683.5833333333,-210.2959114932,-402.2010650447,-624.3499837108,310.1195163946,-366.4496390371,142.2865604676,552.9472873665,-582.7858553362,-650.4320127579,552.7390676332,-278.3402081111,609.1896742085,577.0622459151,-668.6110291652,401.9147558937,-357.2769520011
1969,860.9166666667,266.9641987845,-696.7824032944,-696.3052973946,265.8062479592,-548.9190442796,266.1922907685,648.2402045649,-696.4246319297,-818.478847321,505.6399800291,-506.2967901979,818.8556316533,663.2234840321,-818.7302188633,566.535209965,-506.1326298374
1970,983.0833333333,795.8006555407,-935.0912258693,-657.6131334397,153.5907565243,-716.7463252756,399.9777050112,679.2896389181,-747.4775425291,-577.1950770049,303.4093597435,-730.751535753,971.0111841725,672.8503143208,-898.0371238271,710.6464850657,-638.5375194085
1971,1173.4166666667,1173.4165232071,-1173.4166308018,-586.5408251767,-0.145059417,-949.3822312026,586.7920814345,731.5485163042,-829.6795943235,0.580237646,-0.2901188319,-1016.3053350309,1173.4166577005,689.623123661,-1016.1602859672,917.4657715165,-829.7821668212
1972,629.1666666667,508.9414470056,-598.3559509964,-194.3880964019,-98.4506863255,-551.3536190238,369.829814774,346.5928186162,-408.6005410533,369.9044443696,-194.4758348786,-598.3844603779,621.4162508388,303.0839508021,-508.9956802849,525.0943843997,-478.4310737144
