Year,annual_Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,558.75,558.5124260456,558.6906033544,-274.658084468,558.7351506413,-450.1150454259,-281.7235859877,350.1918241608,-558.746287648,16.2920978579,8.1469149682,-486.5845241439,4.0735657433,-331.055899179,482.5281168992,-435.3932116959,-2.0367964042
1882,977.25,773.717087589,924.9682660357,-293.0370612865,964.0909709367,-708.513621354,-578.2071836106,678.245774865,-973.9546867919,596.9752347232,315.358953142,-932.2804530894,159.8316685087,-673.0720695853,787.8413643121,-703.5625284065,-80.1862243533
1883,933.1666666667,262.9345397962,747.0481161984,-88.7138895764,885.4152777681,-590.7111413597,-627.7002402241,705.2372779678,-921.1514672269,895.3577249122,559.2129646765,-928.9401883728,294.6859577121,-722.3990415632,690.5015830543,-611.0977086706,-149.2648726379
1884,563.75,-189.2602569623,324.898901689,64.1967033188,500.4876713403,-299.3823465638,-420.7166231539,457.4148627094,-547.7061197477,531.0316540796,460.7111526556,-560.0828918857,259.4728373769,-477.6863752149,375.2486982016,-329.5234526897,-133.5367698088
1885,753.1666666667,-621.4321788064,222.7308073738,239.3899404417,606.2233282923,-316.8767299769,-611.3757237795,648.0889019333,-715.4883755881,425.5373954446,719.4796836773,-714.1095743604,446.9376958951,-683.2636136785,439.8633334922,-383.719693225,-235.2369277477
1886,797.5,-797.1969362365,-10.9930285052,405.0801018143,560.0175487282,-242.2551988991,-692.4801914845,719.8799093483,-735.7378082954,-21.9839681409,797.4242304597,-686.9616882434,567.7909783683,-759.8148910138,395.5722872012,-343.1896940712,-307.7273589472
1887,787.8333333333,-624.5161328302,-253.6402318867,532.4598399649,458.7238448982,-143.4052704076,-721.169526428,738.6691284191,-700.7422125563,-480.2717573894,745.8873868618,-580.6615881351,640.510573865,-774.6717301737,317.1685281718,-273.9512362293,-360.057929579
1888,713.25,-202.0592030143,-426.9700434164,580.7717802596,319.5224397701,-40.9503619022,-679.323573406,688.2714867004,-606.8875277455,-684.0304386336,571.3336542905,-414.040700601,637.6762289622,-712.0734725856,217.3592535756,-187.1040435031,-374.7173483667
1889,914.25,305.5569744583,-746.7290426917,838.4749113658,276.7273344098,62.2621643758,-895.1057898975,900.1717832743,-737.8519594011,-861.6774326045,527.4929376786,-364.4350223429,871.3638992352,-912.1274501884,186.114715678,-159.8243507629,-539.8402990773
1890,750.8333333333,618.8305435003,-717.0736692242,735.7658967322,112.5785972893,144.5689347702,-747.0569774926,748.0582501133,-569.3322658646,-425.2051891446,222.6118760304,-149.6637552992,742.3454410696,-736.7839015232,75.2101510701,-64.4945647459,-489.5012415611
