Year,annual_Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1972,1700.5,1375.5575056418,-1617.2253690107,-525.3885424077,-266.0906894249,-1490.1883377218,999.5691655998,936.7646432692,-1104.3579656599,999.7708730867,-525.6256803354,-1617.3024236384,1679.5523198166,819.1696821282,-1375.7040863435,1419.2153653061,-1293.0946344655
1973,2131.5,658.9587432211,-1724.5090331999,-222.9031643868,-658.5974664902,-1981.7962042291,1426.2142467227,1010.0892843215,-1252.8949976307,2027.0830335071,-1252.7413318048,-2119.8128288381,2027.2004407884,784.713995608,-1584.0470865619,1876.9688030702,-1724.3973947185
1974,2363,-729.1708139429,-1389.3772645781,246.639547178,-1072.5368347525,-2288.707805776,1755.9297038865,928.8612781576,-1234.7802354022,2247.6830123694,-1911.3868830442,-2350.0931755503,2105.5720690822,587.8652734941,-1581.2905726049,2172.782944967,-2014.7175410613
1975,1626.5,-1315.1203827966,-503.219111015,502.2141191376,-955.7762201306,-1613.6427555581,1315.7419037899,502.7884261953,-738.5567777624,957.0583204554,-1546.697377094,-1547.0239909384,1316.0524560339,204.1061180728,-956.2036878256,1546.8374344074,-1449.1501426772
1976,1862.9166666667,-1862.9155433533,-1.022897654,930.8677006746,-1316.9193091941,-1862.9166217342,1613.1626484941,414.822880454,-713.1435960561,2.0457949996,-1862.9163858383,-1613.6740162701,1317.642607089,0.4091590789,-931.7536028629,1816.1444008659,-1721.0127013909
1977,2164.25,-1752.715474961,667.3318499126,1447.4062370285,-1750.4643696279,-2147.2610127275,1976.9328530566,290.9483883482,-669.1545227124,-1269.6324374921,-2058.7972859396,-1609.0348807627,1272.7342822299,-270.6440572424,-880.7465906863,2144.6041820853,-2058.2055988733
1978,1556.0833333333,-483.4234756834,913.5502522644,1258.3686123923,-1386.1738098068,-1507.3303237874,1479.7840662088,70.1987615655,-363.5886258769,-1479.086570636,-1259.6909449803,-915.3708404923,707.0484490354,-386.4590990891,-481.2841755888,1554.4991071571,-1513.0097988482
1979,1861.9166666667,571.7259075093,1505.1976065567,1700.4266706235,-1770.4923303824,-1731.4477258224,1821.0967069447,-82.9888461096,-291.7400345056,-1771.9659026894,-1095.9533926346,-758.4740018244,576.2730096649,-684.7061021751,-387.7376143301,1860.0662689895,-1838.9185479183
1980,1788.1666666667,1444.1597384715,1699.9909313662,1748.7963971901,-1765.985156348,-1567.3909434143,1778.2968610471,-239.4309148877,-140.826555323,-1054.4869262138,-554.5907148975,-373.1637562157,280.7783028237,-860.7122970429,-187.6174346054,1772.0645769198,-1782.612663787
1981,1752,1751.9936573077,1751.9984143262,1751.999295256,-1751.9996035815,-1417.9517703442,1751.999823814,-389.2000587124,-0.5892899101,-4.7143136808,-2.3571589738,-1.5714395792,1.1785797536,-1029.0368200301,-0.7857198686,1708.2234380485,-1751.9999008954
1982,1674,1357.2493714699,1592.8451663361,1637.76738892,-1653.5868299619,-1220.9829637647,1664.9172065079,-516.6099586172,130.7127511833,979.8725139754,514.8983162525,346.4014719803,-260.6273120313,-1145.1971892195,174.1456157184,1592.2908498944,-1668.888904834
1983,2028.5,633.2577024223,1643.0726550222,1854.0410607113,-1929.7389889196,-1294.0545637118,1984.4060246901,-796.3644189364,316.4938474731,1927.1214108932,1189.590055573,823.0091100326,-625.2357032701,-1562.1251666037,420.6482844059,1865.6408985258,-2003.6576290653
1984,1846.5,-564.192539459,1088.0672603036,1495.1679825033,-1646.007054382,-990.540903083,1756.4723068828,-874.1513465282,430.2384362674,1758.194820951,1491.8685890706,1083.5289355145,-836.7932999999,-1558.3295445186,569.5325145713,1626.4752298646,-1795.6773479549
1985,1804.1666666667,-1455.3853568922,560.9187165052,1208.9940899243,-1460.6519455605,-769.471085227,1648.6728296345,-993.056946526,556.6676788395,1066.2414473538,1714.7558294362,1339.1604278948,-1059.0152288998,-1631.8491382817,732.7313709241,1506.2719747999,-1716.1405701302
1986,1745.9166666667,-1745.9006495126,3.7392924672,875.1163259198,-1235.870846809,-540.9402350797,1512.6310167453,-1087.7257474332,667.2696222867,7.4785677821,1745.9126623736,1510.7602136187,-1233.2267662325,-1660.0026111475,871.8786693827,1365.6784780158,-1613.3741841612
1987,1994.1666666667,-1618.691823423,-611.8657600195,619.1399981586,-1173.9971020703,-375.4723357425,1614.2132821862,-1377.1462001618,904.3104574018,-1164.7048876124,1897.978131107,1895.617671664,-1611.9651047014,-1958.4997369254,1170.9039986516,1442.2791123165,-1777.3360096162
1988,2585.4166666667,-811.0269629699,-1514.5191832888,274.4665812823,-1176.5874811965,-164.878883489,1922.7571107616,-1945.8073159252,1349.5203697242,-2454.9164151991,2095.3784822147,2570.8067675415,-2302.177499536,-2580.153928365,1728.4051704661,1702.4139418984,-2205.2605542152
1989,2118.3333333333,644.0371526995,-1710.5001431715,-217.7466941114,-657.2391654335,130.7959396535,1418.815708743,-1712.8352873471,1244.0025078353,-2018.0565544736,1249.6100877159,2107.1123577813,-2013.7956178648,-2114.2914967623,1572.9901766175,1246.4073930821,-1714.5827106356
1990,1839.5833333333,1482.2219071243,-1747.9613206426,-565.2204446682,-290.2984046738,342.6948156709,1082.6580093933,-1578.4384941306,1193.7417504105,-1089.53433095,573.3219530204,1750.5978090946,-1816.5334229024,-1807.3812834015,1487.2519877191,944.7744495511,-1399.6597706602
1991,1865,1864.9678019037,-1864.9919504586,-929.3346281811,-2.7397440385,574.2317751113,934.0813450772,-1679.6270719343,1317.7851451144,-10.9589170287,5.4794821644,1616.9607753015,-1864.9979876136,-1774.3964800609,1614.2233552947,810.6034167368,-1319.7224372253
1992,1591.5833333333,1293.3883832256,-1515.201785442,-1062.532552165,246.5437066709,675.8785091976,648.8560725594,-1489.6003305433,1209.4487094168,927.5149578748,-487.1355625879,1184.9734522487,-1572.3720004011,-1440.946129371,1453.3145922501,560.5607569118,-1034.5875150196
1993,2551.0833333333,804.1137324122,-2068.7420470509,-2060.6094232286,784.3764454692,1364.1318288967,790.9613825918,-2458.5170397495,2062.648279604,2421.0384711848,-1492.7600330846,1503.9664153539,-2427.5048435388,-2155.72969711,2425.3672432973,680.9699985111,-1501.1689605963
1994,2112.4166666667,-639.032406715,-1247.4777487247,-1927.8270497713,955.8010739452,1344.2798801859,441.548515581,-2078.100152928,1800.1880863164,2013.4402789205,-1704.729726393,863.5896246374,-1883.8122201155,-1629.4832853818,2065.7538774016,379.2148836896,-1105.2723770618
1995,1928,-1551.6419391199,-602.3364264997,-1884.9078169166,1130.4599439407,1403.5626870389,203.8157611482,-1920.0609028914,1717.0775713283,1144.3737557128,-1831.4952441411,405.3474086839,-1561.8080276224,-1321.8153364038,1917.1966867037,174.7859524898,-876.8287256022
1996,1852.6666666667,-1852.6149935237,-6.9185659486,-1852.6609251827,1307.5847929033,1497.2104904714,2.3061934142,-1852.665612108,1710.9781613788,13.8370354133,-1852.6537483359,4.6123832549,-1312.4769663297,-1091.2078285095,1852.6652312951,1.9767373476,-710.5825139017
1997,1711.8333333333,-1392.6957069645,522.6425292391,-1675.3438869434,1382.9407550724,1498.8047548877,-176.7255649943,-1705.1116468625,1627.5345531922,-995.3753206271,-1630.0975884104,-351.5625429314,-1008.8846460676,-827.017332247,1702.6865347998,-151.5507599611,-530.5701077864
1998,2022.5,-640.5578543684,1182.1543870282,-1849.8616305243,1800.1963084292,1879.2634602556,-417.828375212,-1990.4144406493,1966.1387646601,-1918.3826222125,-1641.041515389,-817.6296214753,-921.8457035306,-747.5794920596,1978.869803415,-358.8267053257,-474.1356431454
1999,1964.25,591.2275970504,1584.2343371494,-1592.3475021091,1866.8302492789,1901.7137311292,-604.3630868453,-1894.0915728013,1939.7421709658,-1873.1598946662,-1161.2405553962,-1150.0902116908,-610.9197024791,-491.6939569841,1868.9631675768,-520.2837459916,-309.3192083866
2000,2005.5833333333,1612.1825254537,1904.6956332031,-1346.3350754974,1980.2007883002,1989.3261337927,-813.0735878273,-1878.5757629473,1999.2276264363,-1192.992879931,-628.0915950732,-1486.5215677648,-318.0712891158,-254.8451301354,1833.3782609494,-702.3657236877,-159.5412317805
2001,1654.1666666667,1654.0987556325,1654.149688821,-831.4065416437,1654.1624221998,1654.1639502075,-824.9188970667,-1491.2804968479,1654.1656055497,-14.9889201219,-7.4945369825,-1430.0456369023,-3.7472781065,-2.9978234083,1433.7978150261,-715.7861697689,-1.8736402551
2002,1862.9166666667,1517.3358067936,1774.4194360904,-581.2097038774,1840.65939925,1848.6617767836,-1092.637465668,-1600.4974791158,1857.3440149127,1080.8101389082,567.3571818258,-1769.9304469564,287.1088345859,230.0176993276,1508.8412360362,-953.344809756,143.9851284422
2003,1820.3333333333,579.2776425251,1477.8517933791,-196.1282364071,1732.5986733313,1764.0189959252,-1215.8525153374,-1474.1616243585,1798.265909536,1725.7030037973,1062.8111409138,-1809.7367652032,558.3146797416,449.2776718906,1354.7383900193,-1067.9236628679,282.5830197396
2004,2069.5833333333,-619.7882421085,1224.8411647122,209.4566698268,1846.3593954157,1925.7723797763,-1535.6860366853,-1560.4910979336,2013.0039500342,1974.5981131752,1668.2144031381,-2058.9567933971,934.9503497892,758.007859393,1387.3873180698,-1359.4273452013,480.6144720643
2005,1913.4166666667,-1536.2799508559,600.674486575,585.0053330827,1550.887474018,1678.6416773735,-1546.046942154,-1324.3313707345,1820.529769214,1140.6170491782,1816.6875079264,-1821.7936492761,1120.6745215324,918.3275337604,1127.3429792811,-1381.0538587493,588.9267354125
2006,1476.9166666667,-1476.8328453324,7.8675639703,733.9113244421,1047.1156995843,1196.6977526471,-1277.7340699852,-922.5988806913,1365.2445694677,15.73490468,1476.8957111845,-1281.6618150408,1041.5524720157,865.5618574586,740.7283487737,-1153.2970760498,563.3738597209
2007,1932.5833333333,-1575.8626714488,-587.1083400078,1287.8890998336,1140.2286059202,1411.6924583587,-1764.0622650289,-1067.1812365179,1723.1461255896,-1118.7203319024,1841.2447250083,-1440.9094374066,1560.3708105828,1319.8495153959,789.2798397139,-1611.2115158171,875.0118685728
2008,1796.5,-574.4049888517,-1047.7341474649,1449.4144253775,820.1090945964,1148.2551783589,-1707.5252948625,-853.8557273253,1533.0913603635,-1702.1959813084,1459.3373174959,-1061.41889634,1598.3845979489,1381.637541243,558.3633381631,-1580.6146421294,936.5058092606
2009,1304,388.5332598406,-1050.4911638924,1189.2018296201,406.5559754107,701.2727151211,-1274.9774872178,-514.4926146086,1056.0693613432,-1244.7722305698,772.5828852518,-534.9906620009,1239.0029212467,1099.378269308,273.5843692313,-1198.2125644114,764.9401963763
2010,1720,1379.3512129406,-1632.6181559473,1680.9787031144,274.1320592074,736.0510754117,-1710.216853115,-534.2959394522,1309.5623585452,-1027.5165358083,541.2559070081,-364.2946605096,1698.0140205884,1554.5510008955,183.1892882284,-1634.9091256351,1115.0992911314
2011,1309.8333333333,1309.7351083803,-1309.8087768649,1309.8224193284,4.0102918179,407.8107587056,-1309.8306048292,-293.6990331875,927.608800899,-16.0407913526,8.0205460437,-5.3470492598,1309.8271942018,1244.7303909662,2.6735301991,-1276.4811941489,924.7730930373
,,-0.7310314057,-65.5879970759,-130.2915829663,339.7016574363,88.2318852541,-238.9440739891,5.9923610473,-33.6292619317,15.9064087701,-17.010305431,-182.9120522303,-82.633243577,-265.0010629819,430.2635602118,-49.8467720763,-443.9266332102
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,253.5482468783,,,,,,,,,,,,,,,,
20,4591.1358512851,,,,,,,,,,,,,,,,
30,50432.7154429488,,,,,,,,,,,,,,,,
40,122225.469009028,,,,,,,,,,,,,,,,
50,78010.4289570145,,,,,,,,,,,,,,,,
60,242221.00174066,,,,,,,,,,,,,,,,
70,2520.6090773455,,,,,,,,,,,,,,,,
80,198201.782931399,,,,,,,,,,,,,,,,
