Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1962,1842.3333333333,1486.8306645693,1751.2038438556,-1234.2948372814,1819.4083277411,344.0021884258,-748.4014929255,1834.8371298234,-1836.5931395185,1087.9001268534,572.2562436326,1367.7384127718,289.733408597,1809.9322101861,-1683.4747745356,166.0265585156,-145.3194790269
1963,2188.6666666667,669.9984895939,1768.7092947499,-1771.972407535,2081.0306165721,136.0982149791,-675.2795107039,2153.3238174666,-2161.590169364,2083.5939627768,1289.1583333491,1284.6694379149,677.9183952864,2184.4310594884,-2081.8884120436,391.7375587163,-343.2050662314
1964,2387.8333333333,-744.0648969062,1400.9006147443,-2182.2753278749,2126.8362904031,-151.2316934522,-495.3979498177,2301.5352547135,-2321.6673552153,2268.9458911507,1933.7077068127,969.2380621531,1085.5023821264,2383.0394463108,-2335.8786139468,636.1473878658,-558.2192396407
1965,2097.0833333333,-1699.5364553023,645.6349325035,-2051.6060020524,1695.834420472,-393.9452925625,-218.3686716011,1963.109192016,-1994.2498096037,1228.5496913202,1995.2228048204,434.3631191605,1233.654783676,2059.748919993,-2085.6830128779,737.5369869821,-648.6341062878
1966,1992.3333333333,-1992.3289938834,-2.0791381337,-1992.332851172,1408.0571321688,-616.4557560898,0.6930461564,1794.7724839196,-1840.4770130008,-4.1582740032,1992.3322484705,-1.3860922289,1409.5273050423,1894.5644385702,-1992.333212793,864.9762089654,-762.9131508414
1967,1918.8333333333,-1550.3716029967,-594.5656608935,-1876.6667008557,1127.1754415647,-817.6135821415,201.1352032247,1646.9714492223,-1709.5003905966,-1130.6057021493,1824.3938818131,-400.0543150755,1552.86731083,1735.9232101129,-1908.262558228,984.5843826497,-871.5100548249
1968,2042.1666666667,-628.2471787215,-1201.5530049965,-1865.2103743531,926.4645701287,-1094.747635529,425.073077023,1651.8988448378,-1741.0398842946,-1943.1289655793,1651.2768001242,-831.5256784069,1819.9198044806,1723.9409238568,-1997.4377521302,1200.6976725505,-1067.3447501815
1969,1979.6666666667,613.8806994796,-1602.2420649173,-1601.1449661123,611.2180066323,-1262.2321959061,612.1057070464,1490.6199109132,-1601.419374322,-1882.0814535821,1162.7125511152,-1164.2228775473,1882.9478642489,1525.0737669796,-1882.659479171,1302.7403395536,-1163.8453929356
1970,1991.1666666667,1611.8386762305,-1893.9620031298,-1331.9494965168,311.0873558016,-1451.7196487358,810.1269207034,1375.8537452156,-1513.9635840631,-1169.0683368615,614.5344784022,-1480.0862249117,1966.7153712485,1362.8113427467,-1818.9115060377,1439.3648481955,-1293.3131718867
1971,2253.5833333333,2253.5830578147,-2253.5832644537,-1126.4699620235,-0.2785911381,-1823.3182074009,1126.9525075089,1404.9617588533,-1593.4255570832,1.1143645097,-0.5571822719,-1951.8461171251,2253.5833161134,1324.4427336953,-1951.5675458711,1762.0216503885,-1593.6225507665
1972,1613,1304.7775693033,-1534.0103029781,-498.3544362855,-252.3988721214,-1413.5100198443,948.1358801014,888.562992998,-1047.5327248512,948.327208638,-498.5793721735,-1534.083392725,1593.1301922165,777.0189340034,-1304.9166076284,1346.1889939657,-1226.5578626245
1973,2029.5,627.4251791542,-1641.9850259813,-212.2364401234,-627.0811908242,-1886.9600734145,1357.9647261195,961.7528512928,-1192.9394312417,1930.0797637827,-1192.7931188824,-2018.3721023349,1930.1915527,747.1625869511,-1508.2446925533,1787.1490433174,-1641.8787298059
1974,2446.75,-755.0142568831,-1438.6198993256,255.3810038332,-1110.5499367037,-2369.8247244106,1818.1637761254,961.7821973474,-1278.5436059968,2327.345920658,-1979.1307050734,-2433.3857288521,2180.1982480012,608.7005323409,-1637.3350438092,2249.7912275066,-2086.1236324976
1975,2079.5833333333,-1681.4647583097,-643.3975261491,642.1125803401,-1222.0204720442,-2063.1445314557,1682.25941229,642.8468683115,-944.291648174,1223.6597185657,-1977.5506222656,-1977.9682187656,1682.656473016,260.9626076702,-1222.5670165841,1977.7296944173,-1852.830300774
