Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1950,907.6666666667,738.1313395552,-864.244175657,888.2813116118,-140.380104846,900.671957542,-902.807320238,500.8079495541,-590.1018708435,-528.2242926487,277.3820156765,-186.5880200311,-896.7453395147,-112.4668959084,93.7961635806,-757.0007763809,689.6655419875
1951,737.8333333333,737.8159465075,-737.828986614,737.831401457,1.2663242789,737.8326378576,-737.8328503641,460.5970818637,-522.1744746929,5.0652598149,-2.5326448278,1.6884317272,-737.8322466527,1.0130596022,-0.8442164162,-576.4098853736,521.2790478784
1952,1094,880.8359694337,-1039.3436752491,1069.5945769097,172.9075175889,1085.1930269705,-1087.8815347131,756.7617241646,-832.4652618105,648.8173818201,-341.468482762,229.7899933534,-1080.2495037542,138.5355341222,-115.5411893239,-790.0301847648,709.815178676
1953,1126,341.2768885825,-908.8877203879,1027.6991856321,349.6200987095,1090.2749923824,-1101.1505989241,848.6172741365,-911.4681100145,1073.0359198645,-664.6797061202,460.1199668033,-1070.3465731147,281.3830858201,-235.251691788,-740.0842668488,661.1368121853
1954,832.5,-261.9310083118,-487.339042957,672.5414395228,379.0425416351,773.6761740472,-791.500789135,673.9195087198,-710.1440578894,790.2204735925,-674.9495590115,490.6569699134,-741.2037517652,307.3783136653,-258.0363361983,-488.7624635413,434.4555984729
1955,1001.0833333333,-813.1706081482,-306.6890096694,668.4678664207,589.5534683899,876.7161856109,-914.1553150916,859.7886077348,-892.2891884338,583.8847508897,-952.9478955461,745.1969886149,-809.0701750696,483.2562158583,-408.0292883698,-512.7683592883,453.8588376157
1956,1197.6666666667,-1197.6500199225,3.15731299,597.0095318346,847.9937655929,968.1898187014,-1036.6831387664,1079.4514770542,-1106.8015429688,-6.3146040376,-1197.6625049734,1038.2605951028,-845.7612062279,704.9921413799,-599.7445408188,-518.8351887932,457.5978462869
1957,963.5833333333,-776.7399388975,300.0326489082,296.249927432,780.2561439109,701.7681366762,-779.0873933175,902.3797045616,-916.6064194302,-570.2349582403,-915.6818496983,916.9126571131,-565.4141757747,660.3138061738,-567.023521427,-337.9403927811,297.1960836504
1958,836.1666666667,-254.7006956764,493.0529701478,86.1182057118,745.4693665682,532.3951689644,-620.9604928874,806.1807419509,-813.176281562,-796.4309449453,-675.3321131658,831.7201146356,-378.7480930024,644.7713381563,-559.984607572,-221.9173399085,194.728091321
1959,943.25,295.3501331405,764.3001948138,-99.9462259734,897.398105987,504.7308369016,-630.6529492719,928.1952738083,-931.7165142822,-895.8174263509,-552.7800418861,937.9399311329,-290.5119651081,796.848382555,-701.4252776132,-167.8514110157,147.0540700351
1960,991.0833333333,804.1260443049,943.1866448431,-307.5175620783,979.035938446,421.2655181746,-582.0097263483,987.1441066329,-988.0668942281,-579.3336503963,-304.3766196681,942.1672476925,-154.0610425845,897.0961692083,-802.1912814579,-88.2761935684,77.2656854072
1961,1034.75,1034.7429942977,1034.7482485729,-518.4737888981,1034.7495621432,319.0309873632,-516.825313543,1034.7498570263,-1034.7498905358,3.8076570077,1.9038317263,895.4845016669,0.951916266,984.340790378,-896.4369234816,0.5439522036,-0.4759581833
1962,925.75,747.1142506197,879.9585444813,-620.2180815704,914.2304646678,172.8568984631,-376.0626101371,921.9832492857,-922.8656227117,546.6565274658,287.5517735894,687.2718485382,145.5874993715,909.4688313261,-845.9255143078,83.4263180093,-73.0212634571
1963,1078.75,330.2288473878,871.7614156464,-873.3697386362,1025.6983449408,67.0800865407,-332.8317570081,1061.3302169169,-1065.4045363393,1026.9617669869,635.400343634,633.1878569071,334.132410409,1076.6623539856,-1026.1211351624,193.0796031672,-169.1589088625
1964,1002,-312.2299267258,587.8561105495,-915.7422538692,892.478521526,-63.460943745,-207.8824927971,965.7869722439,-974.2349507611,952.1115863473,811.4364998505,406.7187289498,455.5064089721,999.9883542417,-980.1983825678,266.9447962483,-234.2440195938
1965,834.5,-676.3027245538,256.9198575041,-816.4030401174,674.8295603659,-156.7640834381,-86.8962399131,781.1871825491,-793.579081795,488.8812481176,793.9662693214,172.8476962159,490.9127360911,819.6433810773,-829.9634290069,293.4907763814,-258.113329639
1966,652.9166666667,-652.9152445657,-0.6813638647,-652.9165086554,461.4408411638,-202.0215345894,0.2271213249,588.1730973528,-603.1511375632,-1.3627269874,652.9163111414,-0.4542426223,461.9226382385,620.8763751129,-652.9166271639,283.465308568,-250.017757104
1967,765,-618.1017682407,-237.041291019,-748.1890173654,449.382026994,-325.9659812411,80.1885332061,656.6141711049,-681.5431940275,-450.7496024377,727.348902764,-159.4935556498,619.096756424,692.0774371943,-760.7856459886,392.5338587998,-347.4534136755
1968,939.75,-289.1024008179,-552.9222736205,-858.3194887611,426.333998096,-503.773324323,195.6071610866,760.159278268,-801.1795794985,-894.1755221104,759.8730300743,-382.6456816859,837.4779904973,793.3110992546,-919.1669603677,552.5286727067,-491.1632558474
1969,1122.25,348.0018260604,-908.2923845867,-907.6704520388,346.4923764656,-715.5447458439,346.995603502,845.0150842005,-907.8260108602,-1066.930078102,659.1282171185,-659.9844036003,1067.4212362283,864.5465743355,-1067.257754083,738.5083411672,-659.770411966
1970,1095.4166666667,886.7338829434,-1041.9406767867,-732.7561786102,171.1410099611,-798.6463037847,445.6816930044,756.9095790098,-832.8890647237,-643.1490452852,338.0788364693,-814.2518383889,1081.9650772186,749.7344563658,-1000.6525381629,791.8494571662,-711.5008640014
1971,1297,1296.9998414314,-1296.9999603578,-648.3148500142,-0.1603369624,-1049.3704315345,648.5925683862,808.5946387158,-917.0608057702,0.6413478249,-0.3206739223,-1123.3418247582,1296.9999900895,762.2536962332,-1123.1814992396,1014.0925550659,-917.1741811238
1972,639,516.8957636607,-607.7077393695,-197.4262149947,-99.9893857939,-559.9708014138,375.6099363824,352.00976598,-414.9866157346,375.6857323742,-197.5153247482,-607.7366943281,631.1284518452,307.8208920199,-516.9508445595,533.3011575599,-485.9085395022
