Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1887,1530.1666666667,-1212.9643781498,-492.6318952722,1034.1683500568,890.954859321,-278.5284086338,-1400.6891098235,1434.6776534835,-1361.0142275185,-932.8062205611,1448.6972918931,-1127.7880348358,1244.0295279575,-1504.6035867835,616.0195170607,-532.080875782,-699.3213140396
1888,1724.6666666667,-488.5871323266,-1032.4304262819,1404.3290996907,772.6178774952,-99.0195922337,-1642.6312273876,1664.267635092,-1467.4780084379,-1654.0126133848,1381.5073383803,-1001.1667647666,1541.926303844,-1721.8217769169,525.5832587919,-452.4249660404,-906.0813461617
1889,1436.8333333333,480.2126837672,-1173.5577571862,1317.7453670376,434.9040834832,97.8510835993,-1406.7463339179,1414.7080382112,-1159.6065521825,-1354.2103995048,829.006766152,-572.7452971686,1369.4336296248,-1433.4975386153,292.4974868034,-251.1796058567,-848.4118527656
1890,1574,1297.2776143879,-1503.2283534192,1542.4135690875,236.0027242621,303.0652652541,-1566.0834840046,1568.1824892499,-1193.5125236018,-891.3735419049,466.6696020492,-313.74572809,1556.2065139759,-1544.5476506073,157.665852765,-135.2023683596,-1026.1597614435
1891,1618,1617.4541162273,-1617.863523301,1617.9393432156,-10.5075996068,507.9774261318,-1617.9848357328,1617.9888589011,-1140.3777233523,42.0259669645,-21.0147560562,14.0100562136,1617.9658804655,-1536.1910475395,-7.0050937602,6.0043710568,-1147.8077574585
1892,1586,1258.761758059,-1501.9640721871,1548.4651192494,-258.1481953368,682.6412827771,-1576.5883545063,1579.0835049412,-1026.1512954228,964.8392801126,-509.411352307,343.00404439,1564.8499957646,-1431.5714718618,-172.5258254152,147.9570357316,-1209.3012523363
1893,2285.0833333333,650.8390523273,-1831.5058437571,2079.6026010014,-719.8827549697,1234.1710619741,-2233.1223750371,2246.8693597169,-1337.2759167319,2190.4370267696,-1366.4524084508,947.0263260258,2168.7265063569,-1923.1296446323,-484.5310086944,416.153722371,-1852.9163399373
1894,2206.6666666667,-734.1900020437,-1274.6107588727,1774.350918199,-1014.0849824346,1415.073212801,-2095.802806079,2125.0327136258,-1147.0898504198,2080.9475771093,-1801.3176263902,1311.8904667938,1959.8493376223,-1693.2057111264,-690.6434505658,594.6543061295,-1885.0895609604
1895,1839.0833333333,-1514.0964175795,-546.6616962593,1219.2915297003,-1090.153909405,1346.8375356642,-1676.9922834782,1719.5227800211,-829.8625251779,1043.9059082203,-1755.9579997219,1376.7918043573,1481.1454893944,-1252.3003471494,-754.9333666616,652.279783477,-1641.2055618507
1896,1324.8333333333,-1324.4394841563,16.1521595764,653.0692031588,-942.4919841896,1075.5976150566,-1144.6377615712,1191.623969576,-503.2586631432,-32.3019181899,-1324.7348673799,1152.685549921,931.0704703992,-773.4811772729,-667.0740257996,578.9781310577,-1225.5260417806
1897,1727,-1372.3408579527,553.3969363467,520.4795202756,-1403.2543442068,1517.3685785462,-1393.0895756404,1479.4870400542,-528.7290173401,-1048.4319575412,-1635.9342379332,1646.702787079,1006.680806147,-824.6948507422,-1020.7009524058,890.8687323684,-1644.0725732834
1898,1590.6666666667,-455.4826805948,950.184015646,153.7425323684,-1421.5566266126,1481.7288742346,-1177.8738400041,1283.6971158305,-366.7408510875,-1524.0590448282,-1275.6844362362,1583.2194030473,713.7206748991,-578.5326159381,-1069.0339851841,939.3306974932,-1547.8118724794
1899,2033.6666666667,673.5751391524,1659.1605436336,-228.3644585491,-1937.779606063,1972.1234793737,-1354.8769176402,1527.0094463511,-312.2517565318,-1918.8790068754,-1176.004422424,2020.8042421726,617.0982980349,-496.5169616583,-1516.6109089536,1343.1464037349,-2009.551928081
1900,1380.6666666667,1135.4375825456,1317.9342295323,-436.751962952,-1364.8934581166,1370.5648758026,-807.2272194356,950.8273228921,-104.3492771214,-785.507441459,-411.4484306345,1309.7664552515,208.1016396742,-166.710424571,-1120.1002904414,1001.0833364343,-1376.7177171842
1901,1560.0833333333,1559.6781514698,1559.9820345787,-790.2834357852,-1560.0580084391,1560.0671253852,-774.9038618327,968.7195472841,4.4446003967,35.5537729677,17.778040841,1345.1067236721,-8.8891647187,7.1113456277,-1354.02511493,1222.8828421619,-1560.0770020969
