Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1945,2007.8333333333,-1634.6661486211,612.0692413328,626.0382481202,-1621.777993361,1466.0577773503,-1626.0958085183,272.0123615021,-622.54910654,1165.8736110732,1912.2672245946,-1907.7397113692,-1183.7359649407,-1371.8853042128,1177.7975700279,-1989.3224901042,1908.8811656021
1946,3035,-3034.891448416,-12.834602789,1524.9040429697,-2141.5265560501,2458.3806687552,-2630.5235952575,678.9256406672,-1164.4079831374,-25.6689760519,3034.9728619827,-2624.0984470356,-2150.6020110035,-1779.7723133847,1513.7934518267,-2958.0880606305,2802.7449132602
1947,2529.25,-2034.0383662747,-791.3640200943,1697.4918430475,-1482.4891424015,2218.3792217274,-2311.9782445481,784.3776429822,-1150.5476737365,-1503.2609510735,2402.2590514348,-1875.0005347432,-2049.2270506613,-1214.8659148681,1025.6033147548,-2404.549287432,2252.4088467593
1948,2475,-746.3850069791,-1462.5871098377,2006.1026851862,-1119.3127139347,2302.6190864734,-2354.8597777613,975.2789993518,-1295.2463149941,-2359.7742310138,1996.6131187931,-1449.5437270013,-2207.4338151855,-907.5077644893,761.7482701537,-2274.7430345917,2109.0191994134
1949,2462.1666666667,778.3972757109,-1997.3493084741,2251.7984935988,-756.4581301797,2385.7292270397,-2409.0006107755,1169.066666539,-1449.092595659,-2335.8857796584,1439.7431834819,-995.8254057167,-2343.0825405286,-608.7370119298,508.9015147626,-2166.921277673,1990.5766359653
1950,2616.25,2127.5829420984,-2491.0894137671,2560.3738319914,-404.6303150605,2596.0885151515,-2602.2434648249,1443.5241990682,-1700.9041714222,-1522.5488126796,799.5233549544,-537.8195821592,-2584.7704676884,-324.1735399416,270.3571938682,-2181.9720321774,1987.8855757157
1951,2171.5833333333,2171.5321606098,-2171.5705401147,2171.5776474553,3.7270323452,2171.5812864167,-2171.5819118633,1355.6245037594,-1536.8584409331,14.9080195976,-7.4540537121,4.9693745628,-2171.5801350263,2.9816264031,-2.4846889078,-1696.4835331998,1534.2230301177
1952,1927.4166666667,1551.8628227477,-1831.1227806852,1884.4190256966,304.6296446004,1911.9004814749,-1916.637112765,1333.2679706127,-1466.6429799219,1143.0908915385,-601.6015034889,404.8455786312,-1903.1909485323,244.0728495363,-203.5612559318,-1391.8805715588,1250.5572263557
1953,2070.0833333333,627.4170507162,-1670.9354545704,1889.3631934789,642.7555411517,2004.405053713,-2024.3992027733,1560.1318610734,-1675.6793458311,1972.7120548663,-1221.9736959541,845.9029081824,-1967.7678524824,517.3058936396,-432.4960979652,-1360.6004494369,1215.4602983641
1954,2437.0833333333,-766.7840178256,-1426.6496808085,1968.8162561405,1109.6195325442,2264.8808518528,-2317.0611189443,1972.8504537046,-2078.89519249,2313.3130881094,-1975.8658511802,1436.362671183,-2169.8201922296,899.8277060202,-755.3826478598,-1430.8166412677,1271.8372349688
1955,2631.4166666667,-2137.4750931073,-806.1532388522,1757.1139447238,1549.6820004453,2304.5090313024,-2402.9203683216,2260.0137240026,-2345.4437445414,1534.7813850699,-2504.8893446816,1958.8017405722,-2126.6968216244,1270.2723323198,-1072.5331589822,-1347.8470391448,1192.9992937144
1956,2297.0833333333,-2297.0514054524,6.055617351,1145.0436783343,1626.4227768277,1856.9546585376,-1988.3224826117,2070.350679446,-2122.8071619771,-12.1111926174,-2297.0753513492,1991.3479894243,-1622.1408050147,1352.150596795,-1150.2893311766,-995.1079862986,877.6568767671
1957,2565.1666666667,-2067.7686412819,798.7204876497,788.6504597606,2077.1291725216,1868.185313774,-2074.0178276485,2402.2357576595,-2440.1088647324,-1518.0292730738,-2437.6475566387,2440.9241037151,-1505.195810663,1757.8292468773,-1509.4800688894,-899.6351440447,791.169233497
1958,2253,-686.2754642523,1328.5011063299,232.0402441325,2008.6216657899,1434.5062575365,-1673.1401121888,2172.2047577619,-2191.0538118705,-2145.9345253677,-1819.6411213424,2241.0190372023,-1020.5135980081,1737.2969801069,-1508.8443143627,-597.9427149457,524.6829456802
1959,2749.25,860.8442656099,2227.6727385018,-291.3089443492,2615.6074666152,1471.1171517114,-1838.1368892506,2705.3706403577,-2715.6338477501,-2611.0003280097,-1611.164092399,2733.7729718179,-846.742666391,2322.5395343117,-2044.4139353067,-489.2292517731,428.6121410484
1960,2773.1666666667,2250.0383841235,2639.1461504323,-860.4699765275,2739.456651779,1178.7500137741,-1628.5310412359,2762.144251285,-2764.7263185172,-1621.0430688548,-851.6812536212,2636.2937584052,-431.080751293,2510.1796282615,-2244.6246922019,-247.0070772362,216.198392246
1961,3255.5833333333,3255.5612916346,3255.577822904,-1631.2487324541,3255.5819557257,1003.7515972713,-1626.0622150427,3255.5828835022,-3255.5829889314,11.979845077,5.9899326771,2817.4191049868,2.9949676059,3096.9833017394,-2820.4156631759,1.7114102231,-1.4974839614
1962,2619.9166666667,2114.3689733759,2490.3246628812,-1755.2467608689,2587.3158320904,489.1932694916,-1064.2751282833,2609.2565824371,-2611.75374133,1547.0640531999,813.7852380842,1945.0121204602,412.0195690647,2573.8401825603,-2394.0095638062,236.1004601579,-206.6536593599
1963,2083.9166666667,637.9322353516,1684.0585338795,-1687.1654734705,1981.4320982568,129.5845287078,-642.9605057939,2050.2653329039,-2058.1360556383,1983.8727622281,1227.4589720553,1223.1849160043,645.473092862,2079.8837764478,-1982.2488394751,372.9889251758,-326.7792069467
1964,2150.8333333333,-670.2141058543,1261.8568041652,-1965.6776091453,1915.7410712398,-136.2214702311,-446.2281386471,2073.100611578,-2091.2345375203,2043.7458452781,1741.7811095426,873.0381232697,977.7628422797,2146.5152547387,-2104.0352839383,573.0077504298,-502.8142170422
1965,1847.9166666667,-1497.6046451949,568.9232914073,-1807.842761594,1494.3424706524,-347.1383613182,-192.4230197796,1729.8607722216,-1757.3013919318,1082.5785577201,1758.1587799283,382.7539108835,1087.0770843639,1815.018172098,-1837.8708845845,649.9059283262,-571.5661159123
1966,1989.0833333333,-1989.0790009621,-2.0757465331,-1989.0828519586,1405.7602345548,-615.4501607039,0.6919156227,1791.8447556749,-1837.4747290997,-4.1514908056,1989.0822502402,-1.3838311616,1407.2280092042,1891.4739243865,-1989.0832129896,863.5652138111,-761.6686463708
