Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1962,452.25,364.9823600786,429.8798290485,-302.9906858117,446.6224441221,84.4445393788,-183.7151665509,450.4098563213,-450.8409158751,267.0541880058,140.4756031389,335.7479810979,71.122815653,444.2962775774,-413.2539171976,40.7556600807,-35.6725534955
1963,489.1666666667,149.7445603837,395.3062580027,-396.0355632132,465.1100258635,30.4179303201,-150.9248677974,481.2675452532,-483.1150736433,465.6829333498,288.1266911651,287.1234237192,151.5146580997,488.2200091074,-465.3017430207,87.5532847116,-76.7062800327
1964,634.6666666667,-197.7663940405,372.3479821977,-580.0310217455,565.295776775,-40.1961533235,-131.6727432753,611.7293397047,-617.0802881734,603.0673520976,513.9637710297,257.6155887959,288.51769883,633.3924905111,-620.8575250862,169.0827984221,-148.3701308405
1965,332.8333333333,-269.7376754412,102.4703326214,-325.6155125053,269.1501162473,-62.5240412674,-34.6578372491,311.5699627622,-316.5123679538,194.9861898324,316.6667944547,68.938855471,195.7964317903,326.9078953487,-331.0239600013,117.0563372146,-102.9463389832
1966,535.0833333333,-535.0821678821,-0.5583966018,-535.0832038387,378.163578955,-165.5622557241,0.1861322306,482.0241809958,-494.2991007394,-1.1167925955,535.0830419704,-0.3722644388,378.5584250325,508.8254249648,-535.0833009596,232.3076893829,-204.8964924524
1967,591.25,-477.7159091141,-183.2034814575,-578.2571980618,347.3165012552,-251.9312240638,61.9757781152,507.4812139422,-526.7482529003,-348.3734672435,562.1503774631,-123.2687121281,478.4849114192,534.8899146943,-587.9928277003,303.3799268175,-268.5383409617
1968,438.5,-134.8990718368,-258.0009757729,-400.5034273176,198.933182405,-235.0674144354,91.2729344363,354.7005517643,-373.8411764938,-417.2343351374,354.5669845039,-178.5476258784,390.7785036798,370.1696376942,-428.8956766387,257.8173162883,-229.1833867402
1969,458.5,142.1776228547,-371.0867082495,-370.8326150678,141.5609308171,-292.3388424766,141.7665263584,345.2344986464,-370.8961692844,-435.898811147,269.2896302507,-269.6394288712,436.0994758839,353.214171827,-436.0326845596,301.7207167968,-269.5520016809
1970,478.9166666667,387.6804583702,-455.5369394822,-320.361335753,74.8229276719,-349.1685285547,194.8522396117,330.9212134324,-364.1394792672,-281.1850561624,147.8082216196,-355.9912754067,473.0356256201,327.7842465374,-437.48574643,346.1969441106,-311.0685025041
1971,534.6666666667,534.6666012994,-534.6666503249,-267.2570083328,-0.0660962446,-432.5854978621,267.3714931101,333.3296840145,-378.0430564008,0.2643849682,-0.1321924881,-463.0789737631,534.6666625812,314.226401634,-463.0128822361,418.0427803459,-378.0897935036
1972,415.1666666667,335.8339455605,-394.8356752138,-128.2703968576,-64.9644131488,-363.8203615863,244.0386936694,228.7053539531,-269.6222378182,244.0879393178,-128.3282926312,-394.8544876295,410.0524187654,199.9952639598,-335.8697323417,346.4927447788,-315.7011402974
1973,465.5,143.9105301287,-376.6169152965,-48.6800014178,-143.8316306128,-432.8060675903,311.4720768705,220.5942115185,-273.620746609,442.696294674,-273.5871874057,-462.9476292865,442.7219353446,171.3743208799,-345.9413177549,409.9127271073,-376.5925344787
1974,307.9166666667,-95.0164394667,-181.0463038728,32.1389874038,-139.7596136412,-298.2358351793,228.8108427092,121.0376083648,-160.9011486039,292.8899961456,-249.0680819879,-306.2348103985,274.3718717471,76.6032651136,-206.0540508455,283.1299542127,-262.5328436388
