Year,Annual_mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1977,610.3333333333,-494.2777766976,188.1921554334,408.1784790727,-493.642949565,-605.5423224834,557.5086140613,82.0494396158,-188.7061616551,-358.0450491776,-580.5949452166,-453.7588643759,358.9197906531,-76.3234790822,-248.3765750332,604.7930780329,-580.4280854086
1978,679.6666666667,-211.1498884847,399.0208245846,549.6307182923,-605.4535207404,-658.3723087244,646.3406439244,30.6614416178,-158.8083774783,-646.0359915444,-550.2082872201,-399.8160217992,308.8248888948,-168.7977514149,-210.2154841805,678.9747077585,-660.8529919888
1979,783.8333333333,240.6862948589,633.6610431577,715.8489577892,-745.3453367755,-728.9082625021,766.6488665587,-34.9368073449,-122.8172924209,-745.965684138,-461.3766106217,-319.3038741959,242.6005428505,-288.2489189929,-163.2305420216,783.0543492868,-774.1515401566
1980,654,528.1836903497,621.7508075945,639.600807398,-645.8873849855,-573.2539903027,650.3902397939,-87.5689169559,-51.5055832871,-385.6656443716,-202.8347437094,-136.4800614587,102.6912163557,-314.7949532665,-68.6187728019,648.1108584055,-651.9686916488
1981,779.5,779.4971780088,779.4992945019,779.4996864453,-779.4998236254,-630.8752311549,779.4999216113,-173.1629256657,-0.2621869206,-2.0974928734,-1.0487473859,-0.6991650411,0.5243738116,-457.8391559438,-0.3495825557,760.0229280587,-779.4999559064
1982,673.9166666667,546.3996250039,641.245462971,659.33019087,-665.6987601505,-491.541678015,670.2601278888,-207.9761417432,52.6221634219,394.4757576921,207.287071064,139.4538383067,-104.9229924531,-461.0319429121,70.1073075625,641.022307004,-671.8590488547
1983,993.0833333333,310.0210352381,804.3914563265,907.6742798659,-944.7333633618,-633.5242887089,971.4964504244,-389.8724336729,154.9444244654,943.4518878323,582.3820841452,402.916751469,-306.093742333,-764.7623699949,205.9348289074,913.3531586448,-980.9213690564
1984,439.9166666667,-134.4152186932,259.2249782085,356.2140888002,-392.1505208089,-235.9899552024,418.4681518203,-208.2608971172,102.5015211236,418.8785296417,355.4280296825,258.1437517186,-199.3605844706,-371.2619219024,135.6874331809,387.4971901099,-427.8084989554
1985,510.5,-411.8101938255,158.7153837095,342.0922768996,-413.3004073212,-217.7265527991,466.5020671751,-280.9915406198,157.5125265853,301.6995430249,485.200656403,378.9236388583,-299.6548402882,-461.7417007443,207.3308257867,426.2088737933,-485.5924772571
1986,487.25,-487.2455299365,1.0435608351,244.2272520478,-344.9065362652,-150.965469644,422.1446973848,-303.5622378522,186.2214443946,2.0871168833,487.2488824828,421.6225941019,-344.168626899,-463.2731262173,243.3236876464,381.1332185079,-450.26007612
1987,660.4166666667,-536.0690639627,-202.634189225,205.0432296451,-388.7976194696,-124.3467722841,534.5858863906,-456.0753713449,299.4843449607,-385.720277239,628.5614997502,627.7797763451,-533.8413478796,-648.6046976654,387.7732632392,477.6457152156,-588.6079346514
1988,1081.3333333333,-339.2066356647,-633.437580092,114.7938230046,-492.0998922161,-68.9594969268,804.180379347,-813.820974422,564.4279232084,-1026.752470705,876.3781203938,1075.2228401488,-962.8704346165,-1079.1322280246,722.8939723438,712.0233137816,-922.3355665268
1989,953,289.740711183,-769.5231958029,-97.9603144712,-295.6800588473,58.8427366592,638.2996241222,-770.5737350945,559.6543146973,-907.8872839087,562.1770638521,947.9518852709,-905.970365299,-951.1816505497,707.6599394098,560.7362292403,-771.3598693481
1990,1089.3333333333,877.7170903705,-1035.0781600652,-334.7026796241,-171.9039975491,202.9312176874,641.1101018704,-934.6930009184,706.8897921344,-645.1820056253,339.5000937659,1036.6393911884,-1075.6840273694,-1070.2644682502,880.6957183902,559.4605483366,-828.8268413168
1991,460.5833333333,460.5753816408,-460.5813454059,-229.5099414637,-0.6766114969,141.8131823521,230.6821981341,-414.8033434576,325.4422920932,-2.706431386,1.3532215336,399.3271762775,-460.5828363512,-438.2077455449,398.6511387271,200.187894741,-325.9207288
1992,599.4166666667,487.1115053428,-570.6501095704,-400.1673725181,92.8524468341,254.547050456,244.3699528729,-561.0081772658,455.4984327366,349.3175083509,-183.4633280117,446.280645166,-592.1813602223,-542.6841985741,547.3423667237,211.1164733477,-389.6428082903
1993,711.75,224.3470221322,-577.1772065417,-574.9082116681,218.8403364829,380.5915771276,220.6775281324,-685.9240857316,575.4770507986,675.4675981573,-416.4787326487,419.6053034181,-677.2717103409,-601.446684187,676.6753217588,189.9900289839,-418.824816008
1994,526.75,-159.3484493607,-311.0697404114,-480.7209271215,238.3375513199,335.2082181804,110.1040738091,-518.1928701983,448.8930093339,502.0693519688,-425.0896130234,215.3438012282,-469.745435455,-406.3262395715,515.1142159081,94.5606248689,-275.6095583813
1995,646.25,-520.0978232138,-201.8982964862,-631.8058489016,378.9210263338,470.4628560679,68.3173940052,-643.5888788867,575.550508543,383.5848234592,-613.9023866837,135.8691716089,-523.5054138231,-443.0618055762,642.6288167958,58.5868370314,-293.9058941496
1996,787.4166666667,-787.3947046512,-2.9405150076,-787.4142264327,555.7470631587,636.3413963865,0.9801736943,-787.4162184603,727.1965026479,5.8809890077,-787.4111761437,1.9603458697,-557.8263248853,-463.7829602189,787.416056608,0.8401489384,-302.0103532681
1997,624.0833333333,-507.7352813483,190.5398647392,-610.7803704274,504.1789170839,546.419472756,-64.4288655556,-621.6328070954,593.3505144998,-362.8841289152,-594.2849206312,-128.1692086463,-367.8092257034,-301.5058320123,620.7486836294,-55.2508831345,-193.4300232311
1998,1070,-338.8859847586,625.4166596391,-978.6659800549,952.3906304174,994.2209653763,-221.051353017,-1053.0251923336,1040.1821894617,-1014.9168878949,-868.1900724184,-432.5654857743,-487.7008171954,-395.5055903603,1046.9175226967,-189.8366253145,-250.8406121956
1999,723.25,217.693959306,583.32568886,-586.3130105131,687.3793955917,700.2237271423,-222.5305345862,-697.4171974181,714.2260532778,-689.7100133982,-427.5765466159,-423.4709154158,-224.9447243569,-181.0450066889,688.1647503882,-191.5719584006,-113.8934033171
2000,740.25,595.0478818966,703.012893578,-496.9250208021,730.8814394179,734.2495552616,-300.1010795143,-693.3721902298,737.904142836,-440.3272427983,-231.8252228793,-548.6670996158,-117.3983986877,-94.0619641415,676.6900358173,-259.2394034785,-58.885808863
2001,615.75,615.7247206734,615.7436801359,-309.484278902,615.748420032,615.7489888203,-307.0693063187,-555.116956736,615.7496050079,-5.5795028101,-2.7897800385,-532.3227814141,-1.3948935984,-1.1159152224,533.7194990039,-266.445541986,-0.6974472466
2002,677.3333333333,551.6844302222,645.1568408205,-211.3206205822,669.2408676852,672.1504326413,-397.2693948087,-581.9209801052,675.3071864554,392.9691258799,206.28401583,-643.5247001951,104.389201857,83.6315750452,548.5959099307,-346.6243173203,52.3512021462
2003,562.1666666667,178.896126006,456.3993864739,-60.5695423367,535.0719030532,544.7753225834,-375.48713919,-455.2597655156,555.3516675394,532.9423394807,328.2239496706,-558.8941685617,172.4222134013,138.7487261754,418.3787391994,-329.8028305121,87.2690464733
2004,582.8333333333,-174.5439486735,344.9381560699,58.9869115671,519.9693018537,542.3334819471,-432.4778796286,-439.4634483168,566.8995219061,556.0837206985,469.8003436902,-579.8407011483,263.2994864677,213.4691753008,390.7141897556,-382.840139011,135.3500148024
2005,946.0833333333,-759.6091756485,297.0017615124,289.2541939152,766.8318232013,829.999519325,-764.4384362298,-654.8118135947,900.155675706,563.9747989774,898.255880732,-900.780597545,554.1142738973,454.0643913933,557.4114735324,-682.8580836366,291.1931199485
2006,919.5,-919.4478144444,4.8981944845,456.9191194433,651.9141583937,745.04107672,-795.4927341994,-574.3923742903,849.9750933536,9.7962499712,919.4869535185,-797.938072965,648.4505995724,538.8822171866,461.1632680905,-718.0206475841,350.7457635931
2007,698.9166666667,-569.9090261499,-212.327094461,465.7636962746,412.3624387846,510.5370466239,-637.9712050709,-385.9449368581,623.1739276151,-404.5839948112,665.8841580202,-521.1033354116,564.3064114682,477.3221459026,285.4421980803,-582.6928973808,316.4470933431
2008,550,-175.8545749337,-320.7646986394,443.7394566978,251.077095479,351.5392975772,-522.760318494,-261.4086557355,469.3572213749,-521.1287446254,446.7773585431,-324.9542961241,489.3468014873,422.9895060861,170.9434099581,-483.9065144287,286.7120484794
2009,564.9166666667,168.3197193545,-455.0919989792,515.1839981464,176.1274896031,303.8041753455,-552.3435829403,-222.8876172311,457.5085762107,-539.2581129239,334.6970462118,-231.7677465302,536.7587425314,476.2707878093,118.5217560723,-519.0876133784,331.3860935094
2010,836.8333333333,671.0971356758,-794.3193566871,817.8482624358,133.3737470233,358.1116714769,-832.0735290203,-259.9515418594,637.142694017,-499.9186556486,263.3377818883,-177.2406482964,826.1364726138,756.3372650675,89.1272690111,-795.4339844781,542.5303818576
2011,567.8333333333,567.7907512726,-567.8226877183,567.8286019407,1.7385245227,176.7923724278,-567.8321504839,-127.3231462107,402.132992068,-6.9539351238,3.4770327486,-2.3180298801,567.8306719233,539.6101847591,1.1590173544,-553.3746568857,400.9036681484
,,4.0062544625,-28.0947164176,-27.7197928779,149.1770926465,44.4814468099,-122.7692611537,27.9719035945,-35.3677660391,13.1063876493,-26.9082689196,-60.2909652173,1.1715118339,-104.8985072402,158.9937559228,-31.4665392397,-170.9984492009
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,187.8274720312,,,,,,,,,,,,,,,,
20,1513.3680268313,,,,,,,,,,,,,,,,
30,4403.3874040329,,,,,,,,,,,,,,,,
40,22255.177410431,,,,,,,,,,,,,,,,
50,12982.2959315251,,,,,,,,,,,,,,,,
60,40351.3059066746,,,,,,,,,,,,,,,,
70,1772.5704824236,,,,,,,,,,,,,,,,
80,30491.3485037017,,,,,,,,,,,,,,,,
