Year,annual_Mean_coastalap,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1890,631.8333333333,520.7517403795,-603.4242574981,619.1539432879,94.7359516812,121.656122467,-628.6554942674,629.4980746237,-479.0984727842,-357.8141780349,187.3299937916,-125.9434620065,624.6906919189,-620.0106039233,63.2900516553,-54.2727846729,-411.9199127099
1891,442.9166666667,442.7672346389,-442.8793070841,442.9000622781,-2.8763850386,139.0554192362,-442.9125155501,442.9136168655,-312.1707663586,11.5043270713,-5.7526487659,3.835159084,442.9073266726,-420.5220136832,-1.9175975142,1.6436563745,-314.2046884473
1892,1015.25,805.7741960085,-961.4558791223,991.2227063796,-165.2490260502,436.9808085368,-1009.2253007015,1010.8225273591,-656.8727003014,617.6248922663,-326.0907159077,219.5680050863,1001.7111968474,-916.3952943302,-110.4393721645,94.7120936485,-774.1129233508
1893,1118.3333333333,318.5244915295,-896.3498203282,1017.7698444783,-352.3148890155,604.0106360706,-1092.903332227,1099.6311880457,-654.4707633763,1072.012869671,-668.7499114332,463.4802995976,1061.3876122428,-941.1910517838,-237.1323488085,203.6680994208,-906.8282441179
1894,877.0833333333,-291.8183448455,-506.619268774,705.2508842161,-403.0681435092,562.4488506318,-833.018298111,844.6363032821,-455.9335602594,827.113793394,-715.9693360179,521.4368263974,778.980901755,-672.9981159216,-274.5099062388,236.3571212996,-749.2661491355
1895,814.25,-670.3627756658,-242.033233683,539.838576134,-482.6631858624,596.3092827484,-742.4845530774,761.3148345456,-367.419762269,462.1869875944,-777.4464459324,609.5714676866,655.7738264929,-554.4531556481,-334.2450462482,288.7954037045,-726.6400627506
1896,602.0833333333,-601.9043447622,7.3405052799,296.7936213877,-428.3246059737,488.8157484453,-520.1917113694,541.5450484455,-228.7107712422,-14.6799194189,-602.0385845276,523.8491066913,423.1339884661,-351.5160086676,-303.15824861,263.1222164355,-556.9521733466
1897,684.1666666667,-543.6652404841,219.2332005118,206.1926684744,-555.9118976037,601.119283433,-551.8850326196,586.1121694097,-209.4607813338,-415.3458005894,-648.0901415476,652.356199668,398.8057044232,-326.7103225533,-404.359912143,352.9257041471,-651.3142166887
1898,836.6666666667,-239.5770176641,499.7824558407,80.8662523564,-747.7173371328,779.3670315023,-619.5438680659,675.2053144875,-192.9001542812,-801.6320625564,-670.9907659164,832.7495183673,375.4063063698,-304.2994270756,-562.2957466078,494.0737742473,-814.1256915179
1899,496.6666666667,164.5020418517,405.2039354227,-55.7716838614,-473.2489121511,481.6364504617,-330.8911010136,372.9296959618,-76.2588292464,-468.6329651278,-287.2064562222,493.5253763051,150.7091401528,-121.2604938323,-370.390141672,328.0262484126,-490.7773107426
1900,593.75,488.2902447874,566.7721743975,-187.8233785631,-586.9667967818,589.4057665435,-347.1447331288,408.8993647758,-44.8749758263,-337.8042322788,-176.941698954,563.2596567882,89.4932510067,-71.6931298327,-481.694505637,430.5117559207,-592.051770578
1901,764.8333333333,764.6346922808,764.7836714579,-387.4377102524,-764.8209177637,764.825387361,-379.8978496822,474.916297472,2.1789724075,17.4302936968,8.7157127738,659.4407088223,-4.3579271293,3.4863484948,-663.8129643089,599.520256683,-764.8302294346
1902,895.75,712.6626967283,848.7448595115,-604.343449094,-883.9206045815,888.1731702454,-361.2668113556,491.0634041149,72.7879830265,542.6600622784,286.356815796,661.1634125065,-145.0945460598,116.2604066578,-819.667221202,749.1493813914,-892.7877530673
1903,1116.4166666667,321.3858042652,895.8757285257,-908.0214254648,-1059.8482835292,1080.1015671679,-341.0688497443,525.9207399437,177.6990232684,1069.1573029391,666.1777935729,649.5254148284,-350.8671964026,282.4301297891,-1063.0419621752,984.78096494,-1102.1838461621
