Year,annual_mean_tamilnadu,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1977,1041.75,-843.6600882711,321.2165667767,696.7011423932,-842.5765309275,-1033.5724431137,951.5859072065,140.0464288145,-322.0939004439,-611.1306881171,-990.9909079947,-774.5002134848,612.6237442592,-130.2730491543,-423.9425948238,1032.293592093,-990.7061026343
1978,868.0833333333,-269.6846969525,509.6370683788,701.9989201141,-773.2968766003,-840.885769983,825.5186963904,39.1613827038,-202.8331128239,-825.1295885136,-702.7366022524,-510.652709549,394.437085289,-215.5917332625,-268.4912578112,867.1995501128,-844.0541463397
1979,893.1666666667,274.2585273547,722.0475292966,815.6994609382,-849.3101551734,-830.5803484476,873.5852170717,-39.8099831089,-139.9485158587,-850.0170319575,-525.7319277741,-363.8421139307,276.4397850597,-328.4554447976,-185.9988251528,892.2790256917,-882.1344043588
1980,580.0833333333,468.4870882421,551.4790228931,567.311572413,-572.8876257497,-508.4634335495,576.8815569833,-77.6716655109,-45.6842973065,-342.0767775829,-179.9098688788,-121.0547537989,91.0848059444,-279.2160639256,-60.8633126241,574.8597968095,-578.2816083801
1981,838.0833333333,838.0802992553,838.0825748135,838.0829962133,-838.0831437033,-678.2886679201,838.0832490533,-186.1769877507,-0.2818915823,-2.2551299795,-1.1275660103,-0.7517107995,0.5637831327,-492.2480640716,-0.3758554375,817.1424617795,-838.0832859258
1982,560.9166666667,454.7812385188,533.7236566412,548.7760003396,-554.0767100993,-409.1216810584,557.8732435785,-173.103426496,43.7986622967,328.3314362589,172.5298967889,116.0707042961,-87.3298704342,-383.7277120986,58.3519583533,533.5379186898,-559.2040630445
1983,884.9166666667,276.2535347146,716.7771146036,808.8103698831,-841.8329768851,-564.5208040447,865.6810276964,-347.4075164196,138.0678730719,840.691079709,518.949009947,359.0310467273,-272.7540026713,-681.4644295524,183.5044011218,813.8707050138,-874.0793839062
1984,891.3333333333,-272.3442279111,525.2264381355,721.7400821759,-794.5523717695,-478.1489980763,847.8756112653,-421.9660078737,207.6825667622,848.7070947238,720.1474153217,523.035720474,-403.9327167072,-752.2291185202,274.9219142456,785.1240661897,-866.8004744889
1985,778,-627.5971220298,241.8816229696,521.3472897706,-629.868201559,-331.8144134725,710.9473227467,-428.2300070562,240.0484734247,459.7889215933,739.4438994742,577.4781411005,-456.6728026332,-703.692542956,315.9713662331,649.5406538906,-740.0410329208
1986,583.1666666667,-583.1613166574,1.248989007,292.3041405559,-412.8024526738,-180.6834883818,505.2451842482,-363.3194014862,222.8797105991,2.4979722848,583.1653291628,504.6203033222,-411.919283571,-554.469871262,291.2227067128,456.1604691497,-538.8951620811
1987,712.3333333333,-578.2105184546,-218.5636655515,221.1620854266,-419.3617730253,-134.1219191779,576.6107453459,-491.9283626821,323.0274045078,-416.0425148061,677.9739684372,677.1307922015,-575.8076771829,-699.592801974,418.2568901159,515.194394153,-634.8795741829
1988,691.0833333333,-216.7879646707,-404.8318319746,73.3650719927,-314.5024973912,-44.0722185584,513.9540602593,-520.1153931013,360.7275560394,-656.2005425059,560.0958502177,687.1780990563,-615.373344195,-689.6766004168,462.0036769919,455.0562069351,-589.4673900437
1989,653.4166666667,198.6583522548,-527.6172943591,-67.1656895565,-202.730617473,40.3450418105,437.6449241642,-528.3375880444,383.7224100683,-622.4855013229,385.4521124225,649.9554680316,-621.171181734,-652.1699302169,485.2012578623,384.4642159385,-528.8765945749
1990,702.4166666667,565.9636899276,-667.4322070984,-215.8207532552,-110.8459910757,130.8527565703,413.3963470522,-602.7025171926,455.8119689337,-416.0219649186,218.9141898985,668.4389097558,-693.6154120791,-690.120808054,567.884349014,360.7476256066,-534.4386050689
1991,769.0833333333,769.070055575,-769.0800138866,-383.2363397445,-1.1298077628,236.8000470287,385.1937771991,-692.639778681,543.4244461242,-4.5192066692,2.2596130874,666.7976316022,-769.0825034712,-731.7205144987,665.6687822169,334.2743044264,-544.2233410702
1992,724.3333333333,588.6241073876,-689.5719105221,-483.5610735336,112.2026230893,307.5939055419,295.2959308177,-677.9206279429,550.4229636238,422.1142475443,-221.696544846,539.2842162912,-715.5902103506,-655.7779860983,661.4069027613,255.1125241676,-470.8432211398
1993,913.1666666667,287.8345238877,-740.5113955373,-737.6003024774,280.7695126074,488.294403719,283.1266073381,-880.0323301074,738.3301162219,866.6167826494,-534.3371914723,538.3485440646,-868.9314368242,-771.648842679,868.1662774656,243.7549160058,-537.3471881297
1994,672.5,-203.4396434648,-397.1417188926,-613.734833392,304.2847712627,427.9592344116,140.5695104635,-661.5751404051,573.1002349826,640.9902974827,-542.7105168642,274.9287258205,-599.7224591239,-518.7553794245,657.6446325547,120.7252401032,-351.8698206197
1995,656.9166666667,-528.6822876073,-205.2307248486,-642.2341079164,385.1752998826,478.2280714872,69.4450054085,-654.2116224712,585.0502461438,389.9160752198,-624.0351404549,138.1117575491,-532.1461221364,-450.3747534955,653.2357140943,59.5538409179,-298.7569521059
1996,1019.6666666667,-1019.6382269142,-3.8078253395,-1019.6635066812,719.6656857667,824.0314664181,1.2692777355,-1019.666086261,941.6844540586,7.6155975763,-1019.6595567038,2.5385535043,-722.3582295795,-600.5766008296,1019.66587667,1.0879524193,-391.0888647041
1997,865.8333333333,-704.4157528654,264.3489377273,-847.3772264308,699.4817663909,758.0849675437,-89.3865553642,-862.4335513047,823.1955996333,-503.4538789463,-824.4919649296,-177.8178765971,-510.2868013164,-418.2995853396,861.2069465762,-76.6533149643,-268.3586515384
1998,801.8333333333,-253.9533446532,468.6728270286,-733.3897243059,713.6995830122,745.0462717173,-165.650788063,-789.1128037877,779.4885535047,-760.5553189505,-650.6016259197,-324.1546031247,-365.471749459,-296.3827718417,784.5358569616,-142.2591907146,-187.9741721609
1999,655.5833333333,197.326694073,528.7502240191,-531.4580543503,623.0687527503,634.7113793557,-201.7107634047,-632.1674262113,647.4036595387,-625.181319899,-387.5728415978,-383.8513298278,-203.8990835944,-164.1065868904,623.7806304071,-173.6486457815,-103.2376315123
2000,775.75,623.5844571176,736.7271221792,-520.7559404082,765.9321535001,769.4617933052,-314.4929583697,-726.6240818248,773.2916431004,-461.4439157052,-242.9428120886,-574.9794022654,-123.0284468517,-98.5728722496,709.1419051472,-271.6716882789,-61.7097821351
2001,703.3333333333,703.3044583142,703.3261145415,-353.5048469256,703.331528633,703.3321783249,-350.7463723548,-634.0759392139,703.3328821581,-6.3731227118,-3.1865940621,-608.0395554385,-1.5933011193,-1.274641288,609.6349399909,-304.3443462392,-0.7966510707
2002,695.5,566.4810844777,662.4605060886,-216.9884226598,687.190487414,690.1780894223,-407.9245040691,-597.5286048177,693.4195101079,403.508898203,211.8167318058,-660.7845900379,107.1890106667,85.8746463247,563.3097273969,-355.9210817367,53.7553067313
2003,629.8333333333,200.4294278614,511.3350967936,-67.8601543108,599.4772373667,610.3486344626,-420.6836344497,-510.0583023668,622.1980289449,597.0913432842,367.7314870457,-626.1669324027,193.1762657703,155.4495808528,468.7379944958,-369.5004140247,97.773414356
2004,936.8333333333,-280.5580599067,554.4459180066,94.8142493333,835.7870877094,871.7347732412,-695.1553221025,-706.3837697994,911.221679335,893.8366010999,755.1466204984,-932.0230429382,423.2217367558,343.1256031929,628.0252961442,-615.3687221563,217.5586025748
2005,1034,-830.1973620583,324.6012381613,316.1337125077,838.0911884332,907.1288677693,-835.4753912393,-715.6614976732,983.8044238668,616.3832736468,981.7280866839,-984.4874178049,605.6064397532,496.2592238534,609.2100381917,-746.3140228806,318.252817081
2006,807.75,-807.7041567346,4.3029000487,401.3881661015,572.6847867782,654.4936701692,-698.8137640561,-504.5844919337,746.6746945692,8.6056779926,807.7385391023,-700.9619123845,569.6421661823,473.3900064518,405.1165087549,-630.7571267929,308.1184236458
2007,841.25,-685.9701465343,-255.5671895295,560.6157760692,496.339432399,614.5071522199,-767.8930863467,-464.5420457354,750.0823654792,-486.9769199498,801.4904703962,-627.2252499082,679.2265677562,574.5280866682,343.5720745941,-701.3574340121,380.8910703826
2008,1088.0833333333,-347.8989674105,-634.5794954749,877.8645585005,496.7141872226,695.4619103735,-1034.1941634205,-517.1534572635,928.5450362866,-1030.9663664506,883.8745409845,-642.8679158322,968.0910889423,836.8142395403,338.1830460338,-957.3283877114,567.2120025751
2009,792.9166666667,236.2534488358,-638.7668343837,723.1119254113,247.212430089,426.4193433268,-775.2690945091,-312.8449148774,642.1587406174,-756.9023372873,469.7805568233,-325.3090585978,753.3942226267,668.4933686392,166.3570598949,-728.5910372172,465.1333057593
2010,959.5833333333,769.5362992737,-910.8332396188,937.8134576726,152.9375320627,410.6408979344,-954.1253422296,-298.0822549802,730.6012867562,-573.2486874918,301.965201996,-203.239002702,947.3174150714,867.2797856256,102.2008068774,-912.1113653918,622.110869059
2011,855.5,855.4358456949,-855.4839612734,855.4928716647,2.6192680877,266.3561043945,-855.4982179143,-191.8255678015,605.8551946831,-10.4768268244,5.2385116227,-3.4923532066,855.4959903089,812.9788900407,1.7461802407,-833.7164994995,604.0030902864
,,12.1910268439,9.3208001599,-28.676264453,147.6353324709,32.7030344758,-98.3774237493,-12.6276040989,22.2374530238,7.2351397787,16.3205227029,-88.471530676,32.3619085886,-72.5584903254,153.7450858852,-10.461026932,-185.9591306836
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,200.9683831271,,,,,,,,,,,,,,,,
20,353.2367769169,,,,,,,,,,,,,,,,
30,8649.5398831258,,,,,,,,,,,,,,,,
40,22843.4845212838,,,,,,,,,,,,,,,,
50,6334.222982219,,,,,,,,,,,,,,,,
60,33315.6689374041,,,,,,,,,,,,,,,,
70,268.8894697514,,,,,,,,,,,,,,,,
80,35075.3026016044,,,,,,,,,,,,,,,,
