Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1959,1430.8333333333,448.0220678525,1159.3810712035,-151.610274756,1361.2797490765,765.6355216539,-956.6490978883,1407.9965413277,-1413.3379759895,-1358.8819869639,-838.5222474763,1422.7783918679,-440.6829614723,1208.7540178876,-1064.0049489017,-254.616903184,223.0690328211
1960,1116.5,905.8841958798,1062.5422237963,-346.4323801165,1102.9280672076,474.5745743297,-655.6601625842,1112.0622837525,-1113.1018455284,-652.6454425301,-342.8939670658,1061.3938270062,-173.5567012989,1010.6192277014,-903.704598417,-99.4471068216,87.0432736136
1961,1285.0833333333,1285.0746327667,1285.0811581898,-643.9062815976,1285.0827895473,396.213002829,-641.8589965488,1285.0831557705,-1285.0831973868,4.7288297267,2.3644188654,1112.1258355646,1.1822099329,1222.4788055424,-1113.3086733518,0.6755485973,-0.591105029
1962,1076,868.3715189487,1022.7765529159,-720.8799954305,1062.6108344398,200.9117177924,-437.0978865865,1071.6219024914,-1072.6474858632,635.379339512,334.2216671695,798.8166449118,169.2164723993,1057.0763840204,-983.2199334542,96.9664792633,-84.8726756466
1963,1089.75,333.5961867354,880.6507556901,-882.2754787289,1036.1573778904,67.7641013281,-336.225638192,1072.1525876108,-1076.2684528165,1037.433683035,641.8795128391,639.6444654132,337.539554339,1087.6410662858,-1036.5844792984,195.0484334196,-170.8838201001
1964,1046.4166666667,-326.0704582415,613.9146024759,-956.3352862472,932.040318929,-66.2740411349,-217.0975101508,1008.5983874307,-1017.4208480296,994.3167988826,847.4058656539,424.7477610964,475.6981019181,1044.3158486538,-1023.6486269049,278.7779280181,-244.627590988
1965,1081.75,-876.6812130451,333.0414090534,-1058.2911787261,874.77157211,-203.2109613651,-112.6423097975,1012.6413837298,-1028.7048193311,633.7295268439,1029.2067247914,224.059910583,636.3629146393,1062.4915847578,-1075.8693101597,380.4477499708,-334.5884893194
1966,1010.75,-1010.7477985115,-1.0547877875,-1010.7497553901,714.3351579419,-312.7401650332,0.3515959859,910.5234840832,-933.710293236,-2.1095744263,1010.7494496277,-0.7031919292,715.0810056407,961.1499111351,-1010.7499388475,438.8194929957,-387.0408903528
1967,1320.6666666667,-1067.0671920565,-409.2189956502,-1291.6448308504,775.7959001962,-562.7351711013,138.4344089597,1133.5535276329,-1176.5900369225,-778.1568300036,1255.6672561008,-275.3435588168,1068.7849015042,1194.7759503983,-1313.3911674975,677.6554024248,-599.8302505371
1968,1300.5833333333,-400.1082885133,-765.226383293,-1187.8861630837,590.032340896,-697.2058413327,270.713927736,1052.035635003,-1108.806393299,-1237.5097431565,1051.639476844,-529.5691366561,1159.0422096029,1097.9166734119,-1272.0970781643,764.6816524726,-679.7539180642
1969,1188.3333333333,368.4938026005,-961.7768919734,-961.1183371258,366.8954695478,-757.6793699958,367.4283289477,894.7735279349,-961.2830559787,-1129.7559154773,697.9407719693,-698.8473747189,1130.2759952934,915.4551236373,-1130.102886554,781.995169306,-698.6207822555
1970,1431.5,1158.7915284292,-1361.6171126544,-957.5721290351,223.6485560375,-1043.6779160452,582.4207015922,989.1360021476,-1088.4266530106,-840.4727500881,441.8043554865,-1064.0713640049,1413.9213462503,979.7594896502,-1307.6614150295,1034.7957379384,-929.7954995676
