Year,annual_Mean_eastrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1977,809.8333333333,-655.8426316149,249.7066311444,541.6000081415,-655.0002981804,-803.4762820717,739.7417683571,108.8689860987,-250.388650869,-475.0794358149,-770.3743415641,-602.0792796293,476.2401045285,-101.2713776243,-329.5635658346,802.4821316662,-770.1529401968
1978,748.4166666667,-232.5082330163,439.3827888174,605.2272536762,-666.6966735862,-724.9683306344,711.7196325509,33.7629238805,-174.8722459702,-711.3841638132,-605.8632451598,-440.2584222386,340.0633064203,-185.8720703111,-231.4793113567,747.6547143672,-727.6999412765
1979,515,158.137497579,416.3326862337,470.3324005037,-489.7123305627,-478.9127219076,503.7093339712,-22.9544407178,-80.6943299129,-490.1199157956,-303.1370884161,-209.7914036286,159.3952110159,-189.3874462446,-107.2469434078,514.4881861144,-508.6387963181
1980,468.8333333333,378.6393274602,445.7148373504,458.5109763534,-463.0176386249,-410.9488977373,466.2456025841,-62.7755768086,-36.9228353177,-276.4723388423,-145.4062523074,-97.8385353933,73.6163077494,-225.6672282208,-49.1907767308,464.6115812168,-467.3771482181
1981,564.75,564.7479554592,564.7494888646,564.7497728287,-564.7498722161,-457.0709259714,564.7499432072,-125.4570394737,-0.1899551808,-1.5196396411,-0.7598205083,-0.5065470904,0.3799103401,-331.7057900183,-0.2532735707,550.6388051586,-564.749968054
1982,544.25,441.268202164,517.8649831412,532.4700725327,-537.6132808881,-396.9653393243,541.2970069546,-167.9599581705,42.4972609507,318.5756366375,167.4034699047,112.6218644715,-84.7350146792,-372.3259081438,56.6181310363,517.6847640711,-542.5882834265
1983,674.4166666667,210.5395853136,546.2733956575,616.4141937531,-641.5815313995,-430.2351320401,659.7567150529,-264.7677776047,105.2249078794,640.7112635921,395.5037515304,273.626354757,-207.8725062265,-519.360733437,139.8531988208,620.2707991032,-666.1573080284
1984,497.0833333333,-151.8823223158,292.9109670417,402.5037014005,-443.1100315637,-266.6565794246,472.8476085637,-235.3241620201,115.8214763216,473.3113145127,401.6154948012,291.6892364087,-225.2672639453,-419.5069831687,153.3198596181,437.8520058733,-483.4017231045
1985,472.75,-381.3580198452,146.9788396644,316.7955414384,-382.7380363586,-201.6263033022,432.0055871832,-260.2130280666,145.864930349,279.389733526,449.321469764,350.903330598,-277.4962306489,-427.5972360957,191.9993102657,394.6919590319,-449.6843165981
1986,530.1666666667,-530.1618028829,1.1354770024,265.7386313542,-375.2856821822,-164.2624111297,459.3269308641,-330.2998045521,202.6237094644,2.2709487962,530.1654507194,458.7588410597,-374.4827782336,-504.0779252599,264.7554815815,414.7031873007,-489.9186940783
1987,366.3333333333,-297.357678887,-112.4012486856,113.7375441665,-215.6661621688,-68.9751938121,296.5349598199,-252.9851523573,166.1240606242,-213.9591594627,348.6632621958,348.2296399763,-296.121964073,-359.7812304021,215.0979514447,264.9502289069,-326.5010070318
1988,523,-164.0614091732,-306.3697790272,55.5214267245,-238.0100896693,-33.3530982362,388.9516076435,-393.6143985414,272.9924203187,-496.601302878,423.8709219784,520.0445857563,-465.7039802446,-521.9354086839,349.6364496324,344.3787235892,-446.0987989768
1989,471.9166666667,143.4768841754,-381.0606731228,-48.5090294553,-146.4179934638,29.1383716073,316.079990504,-381.5808903323,277.1355704906,-449.5772725407,278.3848122241,469.4168875734,-448.6280324142,-471.016237064,350.4265684573,277.6713244306,-381.9701766456
1990,668.0833333333,538.3000239826,-634.8088746361,-205.2716785914,-105.4279642251,124.4568216187,393.1900005121,-573.243098865,433.5323947017,-395.6872811427,208.2139115454,635.7663708046,-659.7122741295,-656.3884824022,540.1268034221,343.1146891076,-508.3158496662
1991,395.5833333333,395.5765038265,-395.5816259529,-197.1202627335,-0.5811244393,121.7997424689,198.1270842306,-356.2640621301,279.5141234968,-2.324485216,1.1622476244,342.9719749935,-395.582906488,-376.3655089745,342.3913435024,171.9363011282,-279.9250406393
1992,660.3333333333,536.6149823906,-628.6433293807,-440.8350145743,102.2887235803,280.4157969989,269.2044357799,-618.0215204579,501.7891812879,384.8174525473,-202.1080788495,491.6346214785,-652.3627274296,-597.8353384541,602.9669003084,232.5715188109,-429.2408748633
1993,580.9166666667,183.1077264119,-471.0809397966,-469.229029802,178.6132754505,310.6315284108,180.1127559549,-559.8380519418,469.6933053644,551.3036678088,-339.9219348196,342.4737817735,-552.7761494891,-490.889220872,552.2893885939,155.0662091145,-341.8367629542
1994,729.25,-220.6072267609,-430.6551650593,-665.5258397786,329.9623337447,464.0732664605,152.4316959189,-717.4032284616,621.4622250722,695.0813002814,-588.5080214472,298.1290309362,-650.3310086485,-562.5313909967,713.1410383503,130.9128347141,-381.5629244415
1995,613.0833333333,-493.4055042403,-191.5365270469,-599.3804810276,359.4741445181,446.3178893735,64.811227298,-610.5587855537,546.0122619408,363.8985875164,-582.3958554264,128.8961309512,-496.6382114115,-420.3231081398,609.6479955082,55.5800593217,-278.8221358167
1996,738.6666666667,-738.6460643484,-2.7584638615,-738.6643775108,521.3400325789,596.9446647867,0.9194898535,-738.6662462093,682.1748120935,5.5168892544,-738.6615160692,1.8389782823,-523.2905644812,-435.0695480348,738.6660943775,0.7881342142,-283.312495647
1997,604.1666666667,-491.5316851082,184.4590758925,-591.2882475095,488.0888167791,528.9813296143,-62.3727166882,-601.7943452319,574.4146388202,-351.3032360309,-575.3192248066,-124.0788840548,-356.0711558753,-291.8837337548,600.9384372164,-53.4876355622,-187.2569993892
1998,431.0833333333,-136.5309345137,251.9688769714,-394.2865354224,383.700679996,400.5533531068,-89.0575271929,-424.2444953225,419.0702855206,-408.8913598972,-349.7778227897,-174.2726836379,-196.4856952766,-159.3419329388,421.7838274852,-76.4816871302,-101.0590721875
1999,477.4166666667,143.6995843834,385.0527562483,-387.0246845523,453.7385133477,462.2170449128,-146.8922033234,-460.3644571965,471.4599676494,-455.2769520404,-282.2428892226,-279.5327658045,-148.4858077936,-119.5076441204,454.256925334,-126.4564753632,-75.1809318589
2000,407.8333333333,327.8356787123,387.317922005,-273.7758698418,402.6718185873,404.5274483226,-165.3376880719,-382.0064729241,406.5409067927,-242.5938901559,-127.7217877711,-302.282650627,-64.6794735086,-51.8224983123,372.8156068096,-142.8253563688,-32.4425474024
2001,463.8333333333,463.814290874,463.8285726941,-233.1289073445,463.832143172,463.8325716299,-231.3097521951,-418.159558965,463.8330357929,-4.2029385087,-2.1014908234,-400.9891191434,-1.0507481078,-0.8405987451,402.0412412309,-200.7086055886,-0.5253743909
2002,296.3333333333,241.3619382222,282.2561178589,-92.4527715047,292.7928796123,294.0658142805,-173.8053602288,-254.590428796,295.4468940742,171.9239925724,90.2492569256,-281.5420563353,45.6702758124,36.5888140823,240.0107105947,-151.6481388276,22.903650939
2003,370.9166666667,118.0353775352,301.1315845235,-39.963687065,353.0395850118,359.4418856832,-247.7458133019,-300.3796644397,366.420141153,351.634502376,216.561636523,-368.7574776561,113.763900363,91.5461874009,276.0456223208,-217.6033795745,57.5799771498
2004,534.0833333333,-159.9445477622,316.0864515659,54.0530620866,476.4774457507,496.9710159849,-396.3040792879,-402.7053531973,519.48227565,509.5711418296,430.5047759095,-531.3410142493,241.2762952204,195.6139468834,358.0336348504,-350.8181942982,124.02891691
2005,525.6666666667,-422.0571373198,165.0213257835,160.7165907881,426.0702141068,461.1677061484,-424.7403907107,-363.829201106,500.1481548801,313.3579698714,499.0925830757,-500.4953764921,307.879224852,252.28910252,309.7112283135,-379.4123836501,161.7939047508
2006,635.5833333333,-635.5472612622,3.385764848,315.8348852632,450.6207437075,514.9925949015,-549.8661486078,-397.0355844401,587.525832609,6.771433617,635.5743152515,-551.5564330709,448.2266379317,372.49000095,318.7685558933,-496.3153415918,242.444982683
2007,509.6666666667,-415.5912249831,-154.8339703975,339.6459719108,300.7045040666,372.2957645346,-465.223785646,-281.4402329587,454.4332587688,-295.0322776041,485.5785752297,-380.0009537829,411.505665022,348.074668456,208.1512440037,-424.9135281246,230.7607515067
2008,490.75,-156.9102411795,-286.2095924678,395.9366152263,224.0292447388,313.6689277927,-466.4447750926,-233.2478141859,418.7946479813,-464.9889662271,398.647252191,-289.9478560417,436.6308051452,377.4220002032,152.5281426126,-431.7765853743,255.8253414387
2009,389.6666666667,116.1031136896,-313.9121090466,355.3622031764,121.4887360059,209.5572096055,-380.9940395086,-153.7428084043,315.5790090517,-371.9679799428,230.8664092176,-159.868119601,370.2439710985,328.5207558336,81.7536113577,-358.054828169,228.5825893568
2010,597.9166666667,479.4983019791,-567.5404684556,584.3518505255,95.2954227138,255.8704683178,-594.515790751,-185.7351436807,455.2378838451,-357.1914314159,188.1546091465,-126.6382843584,590.2737692695,540.4022980342,63.6813538294,-568.3368690132,387.6374716021
2011,743,742.9442821172,-742.9860703987,742.9938090554,2.2748289762,231.3297318119,-742.9984522622,-166.6001132396,526.1839972526,-9.0991026657,4.5496366285,-3.033101616,742.9965175915,706.070502981,1.5165539671,-724.0810743753,524.5754483726
,,-15.5505717765,-32.3995120898,-4.4540772627,109.1080623824,-4.5029322149,-73.2632578452,17.4174434022,-35.6275071963,21.6402938102,-24.0130367806,-59.8942811013,1.7096285057,-78.3442373587,130.8188474638,-31.4436078328,-117.5221462754
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,710.1225987699,,,,,,,,,,,,,,,,
20,1626.3543190784,,,,,,,,,,,,,,,,
30,3607.1637129016,,,,,,,,,,,,,,,,
40,11907.4921064662,,,,,,,,,,,,,,,,
50,6158.0959258515,,,,,,,,,,,,,,,,
60,22481.0758018467,,,,,,,,,,,,,,,,
70,1292.0678082098,,,,,,,,,,,,,,,,
80,15080.7741342037,,,,,,,,,,,,,,,,
