Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1890,641.5,528.7189260672,-612.6562825403,628.6266229794,96.1853542656,123.517387332,-638.2735419244,639.1290132489,-486.4283887488,-363.2885178729,190.1960290435,-127.8703205653,634.2480805054,-629.4963900029,64.2583510475,-55.1031253511,-418.2220374625
1891,307.0833333333,306.9797290017,-307.057431158,307.0718211655,-1.994257548,96.4100131487,-307.0804552779,307.0812188427,-216.4344824141,7.976189136,-3.9884309882,2.6589955267,307.0768577212,-291.5566548302,-1.3295102238,1.1395811364,-217.8446428839
1892,775.25,615.2932237927,-734.1725390687,756.9026378929,-126.1849864028,333.6807405252,-770.6495093512,771.8691596505,-501.59129368,471.6214703072,-249.004508749,167.6632316604,764.9117019019,-699.7640501645,-84.3320593652,72.3226304861,-591.1165169443
1893,728.4166666667,207.4681505559,-583.8296407965,662.9155149467,-229.4772313625,393.41706184,-711.8530571533,716.2351873851,-426.2838258325,698.2462364974,-435.5844244291,301.8838523683,691.325567706,-613.0365859645,-154.4540879982,132.6574409119,-590.6546707776
1894,607.1666666667,-202.0131553962,-350.7104980796,488.2145313443,-279.0265552122,389.3588908032,-576.6623581983,584.7049981676,-315.6229852779,572.5749262394,-495.6344496178,360.9680491337,539.254617595,-465.8873418152,-190.0312757108,163.6197611201,-518.6843859954
1895,628.3333333333,-517.2996958878,-186.7700933343,416.5779207912,-372.4573146456,460.1547428025,-572.9539996114,587.4847868666,-283.5272753564,356.6564206797,-599.933087947,470.3887899249,506.0418229205,-427.8555719564,-257.9273000421,222.8551165624,-560.7272616047
1896,384.8333333333,-384.7189292888,4.6918274578,189.7014454766,-273.7720457282,312.4361420513,-332.4907021597,346.1391050133,-146.1849607746,-9.3829574916,-384.8047312593,334.8283978824,270.4543610708,-224.6783291386,-193.7695213953,168.1797087196,-355.9868701058
1897,599.5,-476.3858392256,192.1027581586,180.6760118154,-487.1169538807,526.7298568839,-483.5884195694,513.5798960698,-183.5396907327,-363.9461253885,-567.8879997921,571.6261267249,349.4528913058,-286.2794227099,-354.3197573638,309.2506109177,-570.7130907258
1898,620.3333333333,-177.6306095111,370.5558367806,59.9570102132,-554.3832527506,577.849420568,-459.3510511834,500.6203546857,-143.022783712,-594.3574774571,-497.4955439722,617.4290253711,278.3390980694,-225.6180214293,-416.905332445,366.323224651,-603.6206820377
1899,382.75,126.771456078,312.2653817779,-42.9797557005,-364.7033982399,371.1671504984,-254.9971186167,287.3936398578,-58.7679199209,-361.1461759785,-221.3320895014,380.3292035854,116.1421276379,-93.4478939886,-285.4365638757,252.78935553,-378.21144098
