Year,Annual_mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,1232.4166666667,1231.8926575376,1232.2856574211,-605.8043864575,1232.3839139201,-992.8040875174,-621.3885329115,772.4066946331,-1232.4084784529,35.9349493243,17.9693848567,-1073.2436282722,8.9849312122,-730.199208495,1064.296543001,-960.3326186087,-4.4924954544
1882,1231.4166666667,974.948188224,1165.5373128004,-369.2511856938,1214.8351903754,-892.7863718554,-728.5893708718,854.6463558609,-1227.2642966423,752.2386836791,397.3786348239,-1174.7512795517,201.4012591075,-848.1270548531,992.7459572303,-886.5475809894,-101.0413436744
1883,1351.9166666667,380.9240077795,1082.279120297,-128.5234354883,1282.7372790884,-855.7873590175,-909.3749774206,1021.7060511226,-1334.5097564584,1297.141308381,810.1546638638,-1345.7935949251,426.923583851,-1046.5689990426,1000.3578479987,-885.3222118024,-216.24611795
1884,1274.0833333333,-427.7309783736,734.2763204617,145.085498454,1131.1095354207,-676.6085286939,-950.8257873465,1033.7643512142,-1237.8239268029,1200.1393879118,1041.2140152183,-1265.7956147878,586.4124479904,-1079.5782691294,848.0676048491,-744.7278740831,-301.7950737038
1885,1032.25,-851.7017480498,305.2629465523,328.0950644226,830.8573099752,-434.2943189007,-837.9189079948,888.2360287948,-980.6101469804,583.2188224576,986.0804206363,-978.7204356718,612.5489310747,-936.4446097184,602.8531878699,-525.905713651,-322.4031670735
1886,1341.5,-1340.9902068479,-18.4917213037,681.3980646819,942.0232496789,-407.5051402171,-1164.8428550175,1210.9327879508,-1237.6078618537,-36.9799288539,1341.3725456573,-1155.5600059918,955.0991817945,-1278.1086850095,665.4046686901,-577.2902502777,-517.637933577
1887,1089.9166666667,-863.9778402038,-350.8949220273,736.6238890313,634.6148897212,-198.3919538461,-997.6915841075,1021.9011561873,-969.431711236,-664.4250385971,1031.8871517629,-803.3079026042,886.1051190587,-1071.7084365288,438.7822276243,-378.9938881578,-498.1169516569
1888,1061.5,-300.7162201187,-635.4415718003,864.3382330817,475.5318188797,-60.9447026417,-1011.00872509,1024.3255284017,-903.2052025262,-1018.0137547978,850.2918668481,-616.1993742558,949.026732623,-1059.7490236938,323.4866423701,-278.4590847228,-557.6760817263
1889,1438.6666666667,480.8254130934,-1175.0551629778,1319.4267495962,435.4590011167,97.9759370873,-1408.5412776221,1416.5131406843,-1161.0861568774,-1355.9383097698,830.0645407058,-573.4760938591,1371.1809640322,-1435.3266156279,292.8707001609,-251.500099496,-849.4943873185
1890,1416,1167.0553379754,-1352.3324958333,1387.5842527496,212.3124889168,272.643211944,-1408.8781533358,1410.7664579275,-1073.7063109403,-801.8964011037,419.824750001,-282.2515571636,1399.9926453557,-1389.5041126175,141.839166147,-121.6305931367,-923.1526189352
1891,1286.8333333333,1286.3991791709,-1286.7247902149,1286.7850915706,-8.3569403136,404.0063563209,-1286.8212728361,1286.8244725562,-906.9691390608,33.4242368081,-16.7135281736,11.1425261666,1286.8061972676,-1221.7687554648,-5.5713152989,4.7754170714,-912.8784193796
1892,1163.9166666667,923.7665760199,-1102.2452814333,1136.3709710255,-189.4470283874,500.9694617774,-1157.0097492323,1158.8408634676,-753.0609049585,708.0659008687,-373.8413386755,251.7201286252,1148.3953284387,-1050.5863150218,-126.6114020373,108.5811222186,-887.4690306527
1893,1621.0833333333,461.718102364,-1299.3064869482,1475.3112358149,-510.6990712383,875.5453728376,-1584.2212013273,1593.9735842811,-948.6899970163,1553.9393706192,-969.388377579,671.8392152066,1538.537497836,-1364.3062243183,-343.7358853482,295.2276853974,-1314.4955166041
1894,1197.75,-398.5087952936,-691.8421615286,963.0946279182,-550.4321545518,768.083356782,-1137.5745366984,1153.4401507909,-622.6254690364,1129.511311397,-977.7318068016,712.0771026898,1063.780760183,-919.0500636714,-374.8722928619,322.7706322507,-1023.2021246104
1895,1362.8333333333,-1122.0052024602,-405.0978920941,903.5431454402,-807.8470721106,998.0597697336,-1242.7174681228,1274.2342446176,-614.9608834456,773.5754779571,-1301.2341804092,1020.2570650441,1097.5872641966,-928.0039819331,-559.4354197464,483.3650631647,-1216.1980949978
1896,1348.25,-1347.8491894682,16.4376518924,664.6123183989,-959.1506989686,1094.6089957228,-1164.8694392037,1212.6861368581,-512.1538502323,-32.8728603846,-1348.1497936432,1173.0594736553,947.5273078746,-787.1525957415,-678.8646787905,589.2116733163,-1247.1874342665
1897,1273.0833333333,-1011.6411545523,407.9446533762,383.6790982074,-1034.429483519,1118.5504619982,-1026.9363755577,1090.6255313119,-389.7603357414,-772.8669665777,-1205.9528736202,1213.8910672749,742.0894940893,-607.9358827827,-752.4246501594,656.7169284111,-1211.9521666691
