Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1965,449.8333333333,-364.5578297525,138.4914510492,-440.0782515032,363.763727467,-84.5029481125,-46.841012887,421.0953077092,-427.7751032084,263.5291569142,427.9838148389,93.1727445749,264.6242210325,441.8249421864,-447.3879158957,158.2048343226,-139.1347866378
1966,575.25,-575.2487470628,-0.6003133067,-575.2498607847,406.5508776711,-177.9903833147,0.2001044679,518.2078993014,-531.4042504912,-1.2006259597,575.2496867656,-0.4002089115,406.9753633389,547.0210105174,-575.2499651962,249.7461423159,-220.2772912941
1967,600.1666666667,-484.9203632756,-185.9663810369,-586.9779197239,352.5543963411,-255.730609684,62.9104374891,515.1345599453,-534.6921659462,-353.6273024789,570.6281914713,-125.1277328747,485.7009629375,542.9566124917,-596.8603728116,307.9552125356,-272.5881792256
1968,441.5,-135.821984529,-259.7660907725,-403.2434735707,200.2941847932,-236.6756293574,91.8973786855,357.1272374092,-376.3988128211,-420.0888459822,356.9927563478,-179.769160377,393.4520168178,372.7021551699,-431.8299686112,259.5811747806,-230.7513460565
1969,404.5,125.4326029329,-327.3818396661,-327.1576723989,124.8885420186,-257.9085316942,125.0699234721,304.5743832115,-327.2137414952,-384.5606741744,237.5739486072,-237.8825495712,384.7377055508,311.6142475551,-384.6787805984,266.1854524412,-237.8054191492
1970,595.75,482.2564114996,-566.6667096499,-398.5145622582,93.0762328043,-434.3493667369,242.3870995274,411.6505576524,-452.9725312826,-349.7810973559,183.8665349501,-442.8365456555,588.4342591887,407.7483171213,-544.2118672748,430.6528542625,-386.9547110495
1971,926.9166666667,926.9165533437,-926.916638336,-463.3260136667,-0.1145867407,-749.9452139526,463.5244884451,577.8718945282,-655.388546812,0.4583469453,-0.2291734797,-802.8097607804,926.916659584,544.7537820099,-802.6951822181,724.7334547673,-655.4695718736
1972,398.75,322.5542813141,-379.2229437771,-123.1982836137,-62.3955674262,-349.4340486131,234.3888296283,219.6618062356,-258.9607402569,234.4361279878,-123.2538900522,-379.2410123057,393.8379814918,192.0869807401,-322.5886530017,332.7916065368,-303.2175745329
1973,784.0833333333,242.4013924063,-634.3695947055,-81.9960854529,-242.2684948865,-729.0140153879,524.6403099309,371.5665836336,-460.8839249631,745.6730104882,-460.8273981918,-779.7841467877,745.7161993658,288.6611144216,-582.6999389108,690.4527120215,-634.3285279109
1974,565.25,-174.423953695,-332.3510363109,58.9983089473,-256.5600701836,-547.4786657701,420.033544275,222.1916366816,-295.3700922815,537.6651810164,-457.2202436059,-562.1625761658,503.6710165251,140.6224485157,-378.2583563965,519.7484382745,-481.9378290668
1975,785.5833333333,-635.1900731951,-243.0498288522,242.5644277646,-461.6304143442,-779.373412063,635.4902616573,242.8418123651,-356.7155827424,462.2496560576,-747.0394596713,-747.1972109117,635.6402553044,98.5812263076,-461.8368769921,747.1071059616,-699.9251150229
1976,690.9166666667,-690.9162500534,-0.379371257,345.2392800847,-488.4177138237,-690.9166500022,598.2881466636,153.8490942449,-264.4899823262,0.7587423995,-690.9165625134,-598.477802232,488.6859698222,0.1517485092,-345.5678426006,673.5698155929,-638.2874662148
1977,606.1666666667,-490.9034062942,186.9073919474,405.3918974297,-490.2729130443,-601.4083634277,553.7025749157,81.4892987118,-187.4178891152,-355.6007219714,-576.6312986764,-450.6611113422,356.4694917,-75.8024285696,-246.6809403047,600.6642339721,-576.4655779987
1978,595.75,-185.0797637049,349.7547664242,481.769250254,-530.6997572061,-577.0848007688,566.5386541706,26.875753571,-139.2007222404,-566.2716164236,-482.275508256,-350.4517827173,270.6950871394,-147.9567342895,-184.2607278576,595.1434754494,-579.2592005551
1979,408.25,125.3585114303,330.0346003008,372.8411699138,-388.2039979655,-379.6429489685,399.2996807645,-18.1964085884,-63.9678838582,-388.5270982981,-240.3023618367,-166.3055155949,126.3555240723,-150.1309221929,-85.016630381,407.8442756917,-403.2073564987
1980,689.6666666667,556.9888151547,655.6587262553,674.4821969962,-681.1116205581,-604.5170774395,685.8600439009,-92.3445918357,-54.3145014379,-406.6983782899,-213.8965773367,-143.9231636891,108.291603792,-331.962669882,-72.3609790658,683.4563537417,-687.5245785023
1981,389.6666666667,389.6652559728,389.6663139931,389.6665099228,-389.6665784983,-315.3701711439,389.6666274807,-86.5629506535,-0.1310654309,-1.0485222018,-0.5242615754,-0.3495077755,0.262130847,-228.8706321566,-0.1747539053,379.9302129145,-389.6666446246
1982,523.5833333333,424.5120370841,498.2002280013,512.2507220522,-517.1986286664,-381.8914755741,520.7424735408,-161.5820574468,40.8835232818,306.4784451069,161.0467005682,108.345303089,-81.517393543,-358.1876712398,54.4681851632,498.026852344,-521.9847167001
1983,599.6666666667,187.2041092199,485.7263505686,548.092986315,-570.4708637033,-382.5493649031,586.6315731522,-235.4218370991,93.5621447053,569.6970533558,351.6674899311,243.2985603399,-184.8326399118,-461.7965943177,124.3523561985,551.5221389283,-592.3227466418
1984,539.8333333333,-164.9444566574,318.1018012567,437.1196944966,-481.2182371282,-289.5894922904,513.5132956037,-255.562434462,125.7823174537,514.0168810416,436.1551006408,316.7749997411,-244.6406262929,-455.585287002,166.5056245777,475.5080124137,-524.9750816884
1985,519.5833333333,-419.1375381165,161.5394086563,348.1791293615,-420.6542670009,-221.6005642674,474.8025447007,-285.9912268632,160.3151490792,307.0676870324,493.8338381771,385.6658322366,-304.9866028725,-469.9574770063,211.0198659451,433.7924139897,-494.2326307049
1986,503.8333333333,-503.8287111332,1.079077956,252.5394160904,-356.645274202,-156.1035111112,436.5122011952,-313.8938412954,192.5594070138,2.1581509623,503.832177782,435.9723283632,-355.8822504244,-479.0404174978,251.6050992834,394.104915187,-465.5844741272
1987,286.3333333333,-232.4206061546,-87.8550251328,88.8994999445,-168.5689111038,-53.9123671379,231.7775527618,-197.7381673111,129.8458308246,-167.2346842388,272.5220584406,272.1831307913,-231.454747169,-281.2120809058,168.124786434,207.0903063067,-255.1996042223
1988,892.5,-279.9709516006,-522.8203208065,94.7473677851,-406.1644455637,-56.9170940263,663.7462902903,-671.7033474153,465.861826261,-847.4505981235,723.3361335864,887.4565827677,-794.724287511,-890.6832739013,596.6549355581,587.6826210389,-761.2680269345
1989,455.4166666667,138.4603870772,-367.7373439195,-46.8129694461,-141.2986640084,28.119583407,305.0286328985,-368.2393723585,267.4458578018,-433.8583426514,268.6514212969,453.0042893499,-432.9422915669,-454.5477195046,338.174323966,267.962879748,-368.6150477429
1990,658.8333333333,530.8469489343,-626.0195787542,-202.4295735242,-103.9682531076,122.7336449692,387.7460576337,-565.3062167427,427.5298880519,-390.2087619701,205.3310695619,626.9638178347,-650.5781762838,-647.3004043747,532.6484355563,338.3640678664,-501.2779228466
1991,469.3333333333,469.3252305773,-469.3313076399,-233.8700905235,-0.6894655239,144.5072992595,235.0646173134,-422.6836313286,331.6249301735,-2.7578472165,1.3789295599,406.9134533734,-469.3328269097,-446.5326620064,406.2245726997,203.9909938812,-332.1124560524
1992,467.8333333333,380.1812861107,-445.3815814163,-312.3230403609,72.4695727133,198.6691423967,190.7261108617,-437.8562362254,355.5078828559,272.6356863453,-143.1896459693,348.3135745811,-462.1863139563,-423.5547185867,427.1903304305,164.7724011363,-304.1088177035
1993,727.3333333333,229.2589637244,-589.8141504152,-587.4954772789,223.6317125422,388.9243982168,225.5091283853,-700.9419763804,588.0767707962,690.2565503708,-425.59728118,428.7923063146,-692.1001624932,-614.6149935118,691.4907163459,194.1497451084,-427.9947306074
1994,679.4166666667,-205.5320214583,-401.226323932,-620.047099956,307.4143420204,432.3607977891,142.0152687495,-668.3794448232,578.9945744502,647.5828866637,-548.2922978927,277.756369469,-605.8906083318,-524.090781716,664.4085116752,121.9668999456,-355.4888039049
1995,801.1666666667,-644.7737553034,-250.2966115304,-783.2600169362,469.7545773274,583.2404768842,84.6941877454,-797.8676314142,713.5193538534,475.5363626998,-761.0648027824,168.4392283492,-648.9982009666,-549.2709476222,796.6774267795,72.6310575397,-364.3599311869
1996,609.25,-609.2330072711,-2.2751725284,-609.2481119112,429.9996590912,492.3581277364,0.7583924096,-609.249653208,562.6556916984,4.5503133279,-609.245751803,1.5167836441,-431.6084518188,-358.8440281681,609.2495279776,0.6500506814,-233.6752770392
1997,628.4166666667,-511.2607499864,191.8628815594,-615.0213344096,507.6796920456,550.2135457409,-64.8762284891,-625.9491251578,597.4704539783,-365.4038210909,-598.4113481747,-129.0591537458,-370.3631153732,-303.5993429303,625.0588627654,-55.6345185896,-194.7731079164
1998,708.6666666667,-224.4459824289,414.2167658545,-648.1756615566,630.7733583388,658.4778107134,-146.4034817801,-697.4241616515,688.9181728335,-672.1848298021,-575.0068828541,-286.4904120736,-323.0068340678,-261.9454470736,693.3790197051,-125.7298023111,-166.1330658965
1999,528.0833333333,158.9499504692,425.9171437154,-428.0983463096,501.8922951797,511.2706255214,-162.4813915972,-509.2214287405,521.4944693653,-503.5940033303,-312.1964023395,-309.1986624023,-164.2441200887,-132.1905988464,502.4657245316,-139.8768867824,-83.1596378408
2000,597.5833333333,480.3656828864,567.5228481198,-401.1538133706,590.0203537167,592.7393404008,-242.263294067,-559.7401751816,595.689587783,-355.463993933,-187.1460850239,-442.9237612682,-94.7724774276,-75.9336198197,546.2731337212,-209.2767941399,-47.5368834129
2001,496.9166666667,496.8962659867,496.9115664705,-249.7570381774,496.915391616,496.9158506341,-247.8081301365,-447.985168902,496.9163479039,-4.5027169112,-2.2513815631,-429.5900318815,-1.12569367,-0.9005552133,430.7171975315,-215.024328984,-0.562847196
2002,415.9166666667,338.7619329773,396.1586851052,-129.7614686671,410.9474865425,412.7341054765,-243.943350085,-357.328692385,414.6725107775,241.3027691027,126.6687405275,-395.1564688329,64.1002099494,51.3539851194,336.8654264843,-212.8447302837,32.1462659832
2003,550.4166666667,175.1569689104,446.8600574652,-59.303561686,523.8882181539,533.3888238458,-367.6389792989,-445.7442560377,543.7441097091,521.803165175,321.3636506929,-547.212567944,168.8183693323,135.8487009173,409.6340901885,-322.9095309121,85.4450121489
2004,355.4166666667,-106.4383673281,210.3461875377,35.9707145887,317.0816517596,330.7195168008,-263.7286469283,-267.9885054434,345.7000944996,339.1045279925,286.4881992907,-353.5917344006,160.5622404611,130.1752977778,238.2607977277,-233.4591353849,82.537576942
2005,485.6666666667,-389.9411852092,152.4642179243,148.4870467839,393.6488915368,426.0756803159,-392.4202595215,-336.1440367859,462.0899566648,289.5133558038,461.1147073819,-462.4107568478,284.4515095811,233.0914536281,286.1441088476,-350.5414349894,149.4823837805
2006,440.5,-440.474999742,2.3465521157,218.8938250297,312.3090666367,356.9228866723,-381.0924952853,-275.1711156878,407.1930708236,4.6930376425,440.4937498912,-382.2639707897,310.6497978376,258.1594526054,220.9270468666,-343.978352649,168.0299171971
2007,380.6666666667,-310.4023407002,-115.6444697148,253.6793328464,224.5942077463,278.0652472849,-347.4725724054,-210.2058509083,339.4131991589,-220.35765927,362.6754302893,-283.8202022368,307.350862953,259.9746706192,155.4667891774,-317.365107337,172.3536809814
2008,760.5833333333,-243.1855614273,-443.5786976487,613.6378820122,347.2091894601,486.1362377253,-722.91415559,-361.4964849846,649.064145377,-720.6578866964,617.8389320338,-449.3724031401,676.7073116931,584.9432154617,236.3940155587,-669.1840541198,396.4880100715
2009,328.75,97.9526910833,-264.8381672773,299.8083600365,102.4963780033,176.7970897976,-321.4331663519,-129.7081649176,266.2444804767,-313.8181524538,194.7750180418,-134.8759050098,312.3636582514,277.1630414379,68.9730532092,-302.0800464342,192.8482281892
2010,415,332.8085775409,-393.9165899524,405.5849777863,66.142328239,177.5937187767,-412.6395314202,-128.9144272515,315.9699876722,-247.9182339305,130.593721749,-87.896676809,409.6952433396,375.0806194021,44.1997410551,-394.4693529875,269.0501196625
2011,460,459.9655044064,-459.9913760207,459.9961671137,1.4083732558,143.2189456709,-459.9990417774,-103.1440808751,325.7666739383,-5.6333610043,2.8167333097,-1.8778287259,459.9978440001,437.1365159775,0.9389163188,-448.2870716187,324.7708024918
,,-9.8128490354,-27.0061969013,-35.9098038127,108.0713147339,28.968213974,-60.6901030358,21.0163034828,-28.0345133215,19.1791660546,-36.7407026183,-52.6660926855,-22.2336031426,-53.4739398124,89.2320363499,16.0357556616,-155.9617732196
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,464.1324167427,,,,,,,,,,,,,,,,
20,2079.2138999598,,,,,,,,,,,,,,,,
30,4063.2313286244,,,,,,,,,,,,,,,,
40,12173.742177017,,,,,,,,,,,,,,,,
50,3698.6196599038,,,,,,,,,,,,,,,,
60,11645.6449176483,,,,,,,,,,,,,,,,
70,698.8304717216,,,,,,,,,,,,,,,,
80,25110.0086429808,,,,,,,,,,,,,,,,
