Year,annual_Mean_jharkhand,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1956,1291.6666666667,-1291.6487133871,3.4051176833,643.8663890507,914.5493575487,1044.1791114578,-1118.048194467,1164.1732461968,-1193.6699078776,-6.8102117022,-1291.662178339,1119.7494589544,-912.1415736524,760.3241157382,-646.8160577993,-559.5564588293,493.5128456336
1957,888.75,-716.4171450611,276.731661386,273.2427117584,719.660276296,647.2677659476,-718.5822926344,832.2995372438,-845.4213840027,-525.9496523076,-844.568617749,845.7038388058,-521.5032590709,609.0328412042,-522.9876205154,-311.6954327606,274.1153880594
1958,1066.8333333333,-324.9629565527,629.0675826023,109.8749521151,951.11608838,679.2628017821,-792.2599392011,1028.5754293855,-1037.5007730273,-1016.136033206,-861.6306271425,1061.1601462592,-483.2303255548,822.6392935097,-714.4631200056,-283.1359164349,248.4461854785
1959,1342.0833333333,420.2326967248,1087.4683839099,-142.2063759432,1276.8439347045,718.1456072357,-897.3112243151,1320.6630342506,-1325.6731568614,-1274.5948980811,-786.511403355,1334.528014038,-413.3488115616,1133.7788851532,-998.0081364043,-238.823833767,209.2327765629
1960,962.8333333333,781.2051051795,916.3018998165,-298.7520316365,951.1293393429,409.2576975523,-565.4200267576,959.0063909894,-959.9028752974,-562.8202301084,-295.700619158,915.3115597275,-149.6696616515,871.5251945709,-779.3254911263,-85.7599546363,75.0632917847
1961,1347.6666666667,1347.657542384,1347.6643855941,-675.2644047725,1347.6660963984,415.5085066955,-673.1174173003,1347.6664804567,-1347.6665240996,4.9591229064,2.4795656502,1166.286169039,1.2397833497,1282.0133093335,-1167.5266108194,0.7084476957,-0.6198917404
1962,899.1666666667,725.6605242764,854.6901336712,-602.408236578,887.9779200438,167.893233812,-365.2638008263,895.5080799166,-896.3651155874,530.9590360389,279.2945933054,667.536524055,141.4068879483,883.3530191745,-821.6343774761,81.0306932506,-70.9244245839
1963,1228.5833333333,376.0960909261,992.8450019988,-994.6767135352,1168.1630513296,76.3971970544,-379.0605325277,1208.7440237934,-1213.3842471418,1169.6019567932,723.6544817455,721.1346909526,380.5418406072,1226.2057230443,-1168.644565137,219.8974576665,-192.6542907192
1964,1055.5,-328.9008858873,619.2436374102,-964.6366756077,940.1308178351,-66.8493274679,-218.9820071331,1017.3534423188,-1026.2524855573,1002.9478836224,854.7617021878,428.4347489087,479.8273599502,1053.3809460101,-1032.534324152,281.1978367665,-246.7510605601
1965,909.3333333333,-736.9498033085,279.9590059002,-889.6135384222,735.3445339237,-170.8218173035,-94.6886129351,851.2397179924,-864.742854059,532.7214079748,865.1647624161,188.3477193037,534.9350685266,893.1444551942,-904.3899478054,319.8094020246,-281.2595019993
1966,718.1666666667,-718.1651024464,-0.7494567691,-718.1664928644,507.5554778748,-222.2107957998,0.2498189633,646.9528721106,-663.4277605003,-1.4989127221,718.1662756115,-0.4996378965,508.0854239106,682.9243906474,-718.1666232161,311.7937497434,-275.0035776289
1967,1018.1666666667,-822.6544013469,-315.4869818812,-995.7923109118,598.0990856005,-433.8401262314,106.7258713194,873.9119763137,-907.0909307874,-599.9192421115,968.0554350731,-212.275845635,823.9786677548,921.1113428803,-1012.5576277439,522.4377654484,-462.4385412078
1968,986.3333333333,-303.4331840099,-580.3305870863,-900.8663180789,447.4673407346,-528.7453282511,205.303392624,797.8403136987,-840.8939880237,-938.4997321715,797.5398762046,-401.613397928,878.9917083911,832.6354678352,-964.7299940509,579.9174754063,-515.5101796763
1969,1008.9166666667,312.8579570887,-816.5661171895,-816.0069921166,311.5009431848,-643.2835997573,311.9533505308,759.6790394606,-816.146841426,-959.1833708755,592.5644408298,-593.3341630942,959.6249281218,777.2380912958,-959.4779556459,663.9281567173,-593.1417819612
1970,1110.1666666667,898.6739283813,-1055.9706121075,-742.6228840963,173.4454571854,-809.4002327136,451.6828843062,767.1015147637,-844.1040791365,-651.8091731677,342.6311342293,-825.2158988982,1096.5339489316,759.8297776878,-1014.1265206091,802.5118652239,-721.0813625125
1971,1552.1666666667,1552.1664769019,-1552.1666192255,-775.8617576693,-0.1918810242,-1255.8194331638,776.1941132589,967.674360108,-1097.4797332483,0.7675240675,-0.3837620455,-1344.3436666633,1552.1666548064,912.2164832973,-1344.1517993342,1213.6011263594,-1097.615413622
1972,912.5,738.133621816,-867.8142600543,-281.9271067021,-142.786094737,-799.645315008,536.3756916259,502.6743528275,-592.6060827196,536.4839292512,-282.0543565458,-867.8556080977,901.2593306867,439.5720875872,-738.2122780291,761.5607296923,-693.8834777711
