ORISS1871R,0,227,205,1491,612,2061,3197,1808,2420,311,0,6,1028.1666666667
ORISS1872R,0,131,17,91,355,4937,3216,3193,2188,2736,634,56,1462.8333333333
ORISS1873R,0,0,355,240,490,700,3552,2936,1615,1633,116,237,989.5
ORISS1874R,206,285,106,30,527,2926,3005,4196,1730,2166,620,20,1318.0833333333
ORISS1875R,354,0,25,262,690,2063,4736,2618,3788,1661,0,0,1349.75
ORISS1876R,0,17,172,273,670,1129,3462,2373,3193,1478,1,0,1064
ORISS1877R,292,502,462,540,1048,1895,2813,2713,1918,720,8,37,1079
ORISS1878R,18,35,177,324,1083,756,2697,3397,2378,1656,572,394,1123.9166666667
ORISS1879R,0,51,98,25,1565,1366,2867,3882,2666,945,167,153,1148.75
ORISS1880R,17,258,29,250,778,3465,3828,4700,2582,1548,809,25,1524.0833333333
ORISS1881R,0,2,460,177,592,2550,4093,2981,2285,1448,158,43,1232.4166666667
ORISS1882R,51,45,24,422,905,1646,4772,2983,2131,1095,617,86,1231.4166666667
ORISS1883R,8,131,380,126,437,4651,3847,2503,2717,820,357,246,1351.9166666667
ORISS1884R,12,233,76,296,405,3247,3686,2757,3375,1040,51,111,1274.0833333333
ORISS1885R,8,617,167,131,1004,2546,2770,2160,1461,634,522,367,1032.25
ORISS1886R,37,12,560,60,999,2318,3275,2808,3106,1971,580,372,1341.5
ORISS1887R,45,0,101,136,745,1796,3926,3467,1748,874,241,0,1089.9166666667
ORISS1888R,292,295,116,93,540,900,2468,5048,1903,360,723,0,1061.5
ORISS1889R,0,37,2,118,467,2836,3392,4301,1710,2536,1848,17,1438.6666666667
ORISS1890R,2,5,455,195,522,3287,4253,3098,3145,1503,449,78,1416
ORISS1891R,2,150,923,118,1110,585,2985,4206,4130,460,773,0,1286.8333333333
ORISS1892R,0,10,0,64,241,2640,4587,1940,2772,1491,222,0,1163.9166666667
ORISS1893R,335,530,839,293,2655,2071,2967,3645,4548,1283,287,0,1621.0833333333
ORISS1894R,40,106,20,342,123,2325,5045,2410,2006,1356,600,0,1197.75
ORISS1895R,5,73,35,457,477,4626,3581,3947,1928,1095,130,0,1362.8333333333
ORISS1896R,0,0,183,48,509,3807,4477,5177,1918,0,60,0,1348.25
ORISS1897R,51,295,753,397,392,1771,3080,3772,2483,1823,447,13,1273.0833333333
ORISS1898R,0,103,6,243,592,1761,2747,3103,2411,1350,61,41,1034.8333333333
ORISS1899R,17,24,2,1000,744,2128,3117,2143,1035,1288,0,4,958.5
ORISS1900R,37,88,210,382,728,2280,2385,4802,3983,1406,3,16,1360
ORISS1901R,389,748,120,510,545,552,2966,3742,2056,718,1046,0,1116
