Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1957;171;282;324;85;182;1383;2997;4207;1910;342;0;0;990.25
1958;108;335;135;217;445;1075;4328;2715;3545;2161;639;0;1308.5833333333
1959;190;44;34;211;562;2136;3593;3186;2698;2315;25;27;1251.75
1960;41;5;325;145;422;2033;3958;4335;1945;1111;70;165;1212.9166666667
1961;200;960;10;221;622;2508;3181;3072;4050;1616;111;20;1380.9166666667
1962;70;48;197;730;352;1768;4230;2861;2473;1811;53;27;1218.3333333333
1963;0;73;75;464;818;2356;3128;3367;3107;1858;50;2;1274.8333333333
1964;2;258;25;238;562;1428;4280;4872;1976;724;55;0;1201.6666666667
1965;59;143;517;276;643;1316;4215;2236;2111;1028;12;10;1047.1666666667
1966;477;45;12;292;377;2923;3698;1916;1830;730;660;40;1083.3333333333
1967;429;0;751;370;227;2053;3122;3938;2520;252;11;177;1154.1666666667
1968;350;243;226;227;235;1688;2972;3023;2738;2206;510;0;1201.5
1969;0;4;35;262;680;1558;4927;2745;2248;479;480;121;1128.25
1970;123;960;700;245;622;2120;2388;3217;1209;1428;180;0;1099.3333333333
1971;141;337;30;851;895;3257;2665;3833;1521;2281;29;0;1320
1972;0;193;37;192;170;1336;3502;3186;3267;875;355;0;1092.75
1973;0;66;409;90;665;1110;4713;3686;2106;1918;153;192;1259
1974;0;41;402;162;530;1023;1733;3267;1525;1303;153;0;844.9166666667
1975;41;242;172;210;227;2236;2446;3957;2313;1231;177;0;1104.3333333333
1976;0;135;162;265;492;749;3347;4162;1448;495;370;13;969.8333333333
1977;53;55;43;661;1059;1816;3296;3427;2610;599;953;50;1218.5
1978;8;238;325;130;327;1625;3078;3806;1543;971;193;156;1033.3333333333
1979;50;192;54;237;158;2188;2448;2443;1623;477;131;88;840.75
1980;128;106;337;248;267;3047;4013;2190;3306;928;50;55;1222.9166666667
1981;227;175;544;278;803;1773;2493;3760;2913;128;20;69;1098.5833333333
1982;53;317;744;317;352;1876;1871;5734;1258;442;65;0;1085.75
1983;8;597;227;482;696;1451;2567;3077;2995;911;37;95;1095.25
1984;118;91;17;532;600;3067;3647;4907;1255;592;0;0;1235.5
1985;242;392;34;153;594;1646;2508;4162;3322;1608;17;0;1223.1666666667
1986;292;467;101;489;780;3095;4346;3292;1788;1671;1188;156;1472.0833333333
1987;187;45;237;246;637;1213;4236;2035;1603;1013;1215;34;1058.4166666667
1988;0;365;325;550;439;2501;3175;2643;2640;746;22;5;1117.5833333333
1989;0;6;83;37;785;3568;2840;4217;2011;387;0;22;1163
1990;0;660;981;830;1363;2386;2942;4106;2577;2015;1283;16;1596.5833333333
1991;261;32;297;303;355;1433;4441;4505;1855;1035;479;70;1255.5
1992;79;180;0;275;766;1966;4072;3627;1781;768;115;0;1135.75
1993;1;12;66;681;856;2952;3122;3958;2817;650;172;0;1273.9166666667
1994;17;324;24;580;530;3017;4702;5132;2607;750;243;0;1493.8333333333
1995;330;202;256;247;4283;1125;2708;2977;2100;1830;1608;0;1472.1666666667
1996;151;75;53;240;340;2081;2436;3287;921;620;59;2;855.4166666667
1997;183;44;339;1100;395;2321;2893;5945;2146;292;222;744;1385.3333333333
1998;173;318;527;422;605;1703;2446;2205;2950;1443;730;0;1126.8333333333
