1871,1028.1666666667,
1872,1462.8333333333,1160.1666666667
1873,989.5,1256.8055555555
1874,1318.0833333333,1219.1111111111
1875,1349.75,1243.9444444444
1876,1064,1164.25
1877,1079,1088.9722222222
1878,1123.9166666667,1117.2222222222
1879,1148.75,1265.5833333333
1880,1524.0833333333,1301.75
1881,1232.4166666667,1329.3055555556
1882,1231.4166666667,1271.9166666667
1883,1351.9166666667,1285.8055555556
1884,1274.0833333333,1219.4166666667
1885,1032.25,1215.9444444444
1886,1341.5,1154.5555555556
1887,1089.9166666667,1164.3055555556
1888,1061.5,1196.6944444445
1889,1438.6666666667,1305.3888888889
1890,1416,1380.5
1891,1286.8333333333,1288.9166666667
1892,1163.9166666667,1357.2777777778
1893,1621.0833333333,1327.5833333333
1894,1197.75,1393.8888888889
1895,1362.8333333333,1302.9444444444
1896,1348.25,1328.0555555555
1897,1273.0833333333,1218.7222222222
1898,1034.8333333333,1088.8055555555
1899,958.5,1117.7777777778
1900,1360,1144.8333333333
1901,1116,1189.1388888889
1902,1091.4166666667,1150.6666666667
1903,1244.5833333333,1193.8888888889
1904,1245.6666666667,1211.8055555556
1905,1145.1666666667,1192.1388888889
1906,1185.5833333333,1184.4444444444
1907,1222.5833333333,1220.3611111111
1908,1252.9166666667,1224.0833333333
1909,1196.75,1280.6944444445
1910,1392.4166666667,1256.1666666667
1911,1179.3333333333,1239.3333333333
1912,1146.25,1197.1666666667
1913,1265.9166666667,1258.8888888889
1914,1364.5,1259.6111111111
1915,1148.4166666667,1233.2777777778
1916,1186.9166666667,1260.7222222222
1917,1446.8333333333,1249.0277777778
1918,1113.3333333333,1331.25
1919,1433.5833333333,1225.9166666666
1920,1130.8333333333,1212.3611111111
1921,1072.6666666667,1150.8611111111
1922,1249.0833333333,1134.0833333333
1923,1080.5,1122.9444444444
1924,1039.25,1199.9444444444
1925,1480.0833333333,1264.6388888889
1926,1274.5833333333,1340.0833333333
1927,1265.5833333333,1283.0833333333
1928,1309.0833333333,1327.75
1929,1408.5833333333,1320.8333333333
1930,1244.8333333333,1297.2222222222
1931,1238.25,1225.5277777778
1932,1193.5,1342.3888888889
1933,1595.4166666667,1330.0555555556
1934,1201.25,1289.3611111111
1935,1071.4166666667,1299.9444444445
1936,1627.1666666667,1329.2777777778
1937,1289.25,1364.1388888889
1938,1176,1265.75
1939,1332,1343.1111111111
1940,1521.3333333333,1355.0277777778
1941,1211.75,1337.6111111111
1942,1279.75,1313.3888888889
1943,1448.6666666667,1381.1388888889
1944,1415,1389.2777777778
1945,1304.1666666667,1337.5555555556
1946,1293.5,1283.4722222222
1947,1252.75,1246.8888888889
1948,1194.4166666667,1206.1388888889
1949,1171.25,1213.4444444445
1950,1274.6666666667,1229.1666666667
1951,1241.5833333333,1265.5833333333
1952,1280.5,1238.5833333333
1953,1193.6666666667,1172.5833333333
1954,1043.5833333333,1204.25
1955,1375.5,1358.6111111111
1956,1656.75,1340.8333333333
1957,990.25,1318.5277777778
1958,1308.5833333333,1183.5277777778
1959,1251.75,1257.75
1960,1212.9166666667,1281.8611111111
1961,1380.9166666667,1270.7222222222
1962,1218.3333333333,1291.3611111111
1963,1274.8333333333,1231.6111111111
1964,1201.6666666667,1174.5555555556
1965,1047.1666666667,1110.7222222222
1966,1083.3333333333,1094.8888888889
1967,1154.1666666667,1146.3333333333
1968,1201.5,1161.3055555556
1969,1128.25,1143.0277777778
1970,1099.3333333333,1182.5277777778
1971,1320,1170.6944444444
1972,1092.75,1223.9166666667
1973,1259,1065.5555555556
1974,844.9166666667,1069.4166666667
1975,1104.3333333333,973.0277777778
1976,969.8333333333,1097.5555555555
1977,1218.5,1073.8888888889
1978,1033.3333333333,1030.8611111111
1979,840.75,1032.3333333333
1980,1222.9166666667,1054.0833333333
1981,1098.5833333333,1135.75
1982,1085.75,1093.1944444444
1983,1095.25,1138.8333333333
1984,1235.5,1184.6388888889
1985,1223.1666666667,1310.25
1986,1472.0833333333,1251.2222222222
1987,1058.4166666667,1216.0277777778
1988,1117.5833333333,1113
1989,1163,1292.3888888889
1990,1596.5833333333,1338.3611111111
1991,1255.5,1329.2777777778
1992,1135.75,1221.7222222222
1993,1273.9166666667,1301.1666666667
1994,1493.8333333333,1413.3055555556
1995,1472.1666666667,1273.8055555556
1996,855.4166666667,1237.6388888889
1997,1385.3333333333,1122.5277777778
1998,1126.8333333333,1300.3055555555
1999,1388.75,1163.2222222222
2000,974.0833333333,1304.1666666667
2001,1549.6666666667,1161.6388888889
2002,961.1666666667,1334.1666666667
2003,1491.6666666667,1192.4166666667
2004,1124.4166666667,1312.8055555556
2005,1322.3333333333,1302.4166666667
2006,1460.5,1382.4444444444
2007,1364.5,1437.5
2008,1487.5,1343.4722222222
2009,1178.4166666667,1261.0555555556
2010,1117.25,1124.6111111111
2011,1078.1666666667,
