EMPRA1935R 195 136 2 192 8 1049 5932 2688 2015 22 3 136 1031.5
EMPRA1936R 133 362 213 111 172 2163 4150 3997 2225 550 679 56 1234.25
EMPRA1937R 0 622 103 465 32 2031 5107 3155 1533 1056 29 12 1178.75
EMPRA1938R 432 95 30 22 245 2822 3915 3122 1860 1003 0 0 1128.8333333333
EMPRA1939R 317 227 223 103 0 1851 4823 4058 1623 75 0 0 1108.3333333333
EMPRA1940R 40 131 198 35 135 1053 4697 4112 766 324 37 320 987.3333333333
EMPRA1941R 281 360 131 56 83 1413 2198 2938 1236 70 0 3 730.75
EMPRA1942R 377 845 49 53 6 1496 6080 3851 1936 30 0 148 1239.25
EMPRA1943R 1099 22 0 115 257 1151 4185 3858 2371 625 13 0 1141.3333333333
EMPRA1944R 223 749 825 91 24 1098 5522 3826 1585 517 48 66 1214.5
EMPRA1945R 470 12 0 267 93 2411 4282 2705 2511 247 0 8 1083.8333333333
EMPRA1946R 0 257 5 145 111 3121 3602 4571 915 292 1188 59 1188.8333333333
EMPRA1947R 450 282 193 32 12 920 5195 4427 2712 253 0 17 1207.75
EMPRA1948R 720 116 39 50 15 2163 3667 3857 3103 202 966 0 1241.5
EMPRA1949R 0 125 34 20 202 1366 3247 3068 3000 1263 0 6 1027.5833333333
EMPRA1950R 195 334 374 13 30 885 5032 4101 1185 86 2 218 1037.9166666667
EMPRA1951R 212 197 460 146 73 1200 3133 3836 2238 390 0 0 990.4166666667
EMPRA1952R 4 256 93 27 25 1808 3847 4012 1045 158 0 40 942.9166666667
EMPRA1953R 222 45 0 70 40 377 4262 3248 1591 210 0 2 838.9166666667
EMPRA1954R 151 121 70 32 5 905 3627 3101 3063 145 0 1 935.0833333333
EMPRA1955R 723 39 22 32 49 2310 2836 4652 3036 1246 0 1 1245.5
EMPRA1956R 111 73 20 3 389 1975 5455 4331 1946 577 715 198 1316.0833333333
EMPRA1957R 237 13 696 200 59 602 4020 3683 1358 60 0 10 911.5
EMPRA1958R 74 172 140 48 11 890 4778 2997 2415 1154 81 2 1063.5
EMPRA1959R 382 56 0 85 362 906 4472 4005 2325 695 0 0 1107.3333333333
EMPRA1960R 537 0 260 55 22 1320 3792 4998 675 975 0 3 1053.0833333333
EMPRA1961R 345 187 66 75 86 1470 4657 4462 3986 723 136 242 1369.5833333333
EMPRA1962R 98 245 231 116 93 610 3305 3693 2363 35 27 690 958.8333333333
EMPRA1963R 91 153 96 175 86 1453 2785 3735 2526 329 70 6 958.75
EMPRA1964R 1 71 54 8 45 1470 3565 4273 2103 182 8 1 981.75
EMPRA1965R 71 13 191 143 18 713 1988 1943 1983 116 2 81 605.1666666667
EMPRA1966R 126 35 30 15 156 2081 2645 2687 629 27 312 180 743.5833333333
EMPRA1967R 6 0 831 29 48 1211 3822 4988 2531 49 8 1028 1212.5833333333
EMPRA1968R 414 192 141 45 0 1236 3700 2891 1423 217 0 35 857.8333333333
EMPRA1969R 118 43 22 22 143 425 5527 4145 2041 10 490 0 1082.1666666667
EMPRA1970R 560 350 344 22 106 1961 2451 4630 2345 59 0 0 1069
EMPRA1971R 432 123 131 148 495 3842 4752 2838 1686 1083 0 8 1294.8333333333
EMPRA1972R 11 143 2 25 8 567 2118 5012 1295 277 367 50 822.9166666667
EMPRA1973R 3 502 2 17 16 549 4560 4220 1981 794 0 79 1060.25
EMPRA1974R 10 81 32 3 61 1083 3138 4038 424 860 76 0 817.1666666667
EMPRA1975R 140 133 223 0 30 1936 3595 4456 1863 800 0 0 1098
EMPRA1976R 130 37 64 187 146 824 4036 3273 1836 2 135 20 890.8333333333
EMPRA1977R 96 73 115 79 153 2988 3213 4637 1803 597 860 85 1224.9166666667
EMPRA1978R 237 780 380 101 30 1983 3220 4112 2501 245 103 494 1182.1666666667
EMPRA1979R 595 512 53 6 130 1109 2608 2251 744 108 725 27 739
EMPRA1980R 96 45 65 30 25 2521 3797 5237 1723 69 0 400 1167.3333333333
EMPRA1981R 172 20 268 8 167 1385 3433 2723 2008 49 50 197 873.3333333333
EMPRA1982R 820 138 131 20 296 908 2825 6292 1571 221 237 17 1123
EMPRA1983R 118 191 0 96 242 1036 3427 3470 4028 580 0 60 1104
EMPRA1984R 632 417 0 91 45 940 2248 5917 1428 151 0 0 989.0833333333
EMPRA1985R 482 96 1 83 76 1318 4400 3717 1325 921 0 0 1034.9166666667
EMPRA1986R 115 905 258 35 138 1933 3090 2505 895 182 25 434 876.25
EMPRA1987R 395 512 156 3 160 542 2623 3197 2956 794 175 133 970.5
EMPRA1988R 136 177 71 86 41 2241 3427 3103 1255 207 0 30 897.8333333333
EMPRA1989R 12 0 313 1 25 2021 2105 3332 1206 8 17 207 770.5833333333
EMPRA1990R 25 364 121 51 464 3005 3842 3015 3587 450 5 115 1253.6666666667
EMPRA1991R 40 75 156 32 40 1226 2981 4683 577 55 30 17 826
EMPRA1992R 0 1 6 3 83 539 2958 4648 2311 79 2 0 885.8333333333
EMPRA1993R 0 148 161 8 80 1234 2448 3040 3977 240 2 0 944.8333333333
EMPRA1994R 106 120 0 93 8 3067 5660 5229 1556 212 3 0 1337.8333333333
EMPRA1995R 212 76 397 35 13 919 3616 3587 1253 55 34 182 864.9166666667
EMPRA1996R 367 455 78 130 91 990 3166 3516 1530 519 0 0 903.5
EMPRA1997R 54 0 2 172 177 1118 4222 4030 2573 770 689 1021 1235.6666666667
EMPRA1998R 374 95 241 71 108 1293 2946 3397 2431 288 582 0 985.5
EMPRA1999R 27 231 0 0 258 1381 3811 3440 4447 1064 0 3 1221.8333333333
