1871,1100.3333333333
1872,1167.4166666667
1873,931.0833333333
1874,1284.25
1875,1236.1666666667
1876,1057.4166666667
1877,915.75
1878,897.1666666667
1879,1030.5833333333
1880,970.1666666667
1881,1015.25
1882,1198.3333333333
1883,928.8333333333
1884,1433.9166666667
1885,1172.0833333333
1886,914.4166666667
1887,1325.0833333333
1888,1121.4166666667
1889,1138.0833333333
1890,1118.75
1891,1213.6666666667
1892,1102.8333333333
1893,1293.3333333333
1894,1355.8333333333
1895,894.75
1896,958.9166666667
1897,990.5
1898,1187.4166666667
1899,589.5
1900,1014.0833333333
1901,1117.0833333333
1902,850.1666666667
1903,990.6666666667
1904,952.75
1905,762.4166666667
1906,1093.75
1907,868.5
1908,1185.4166666667
1909,952.75
1910,1032.6666666667
1911,1015.0833333333
1912,953.25
1913,811.75
1914,1085.9166666667
1915,1181.8333333333
1916,1250.5833333333
1917,1390.3333333333
1918,796.25
1919,1457.0833333333
1920,782.1666666667
1921,989.8333333333
1922,1073.9166666667
1923,1225.5
1924,1079.5
1925,1108.9166666667
1926,1412.9166666667
1927,1006.8333333333
1928,925.5833333333
1929,1060.5833333333
1930,998.3333333333
1931,1143.75
1932,970.6666666667
1933,1118.0833333333
1934,1225.25
1935,1031.5
1936,1234.25
1937,1178.75
1938,1128.8333333333
1939,1108.3333333333
1940,987.3333333333
1941,730.75
1942,1239.25
1943,1141.3333333333
1944,1214.5
1945,1083.8333333333
1946,1188.8333333333
1947,1207.75
1948,1241.5
1949,1027.5833333333
1950,1037.9166666667
1951,990.4166666667
1952,942.9166666667
1953,838.9166666667
1954,935.0833333333
1955,1245.5
1956,1316.0833333333
1957,911.5
1958,1063.5
1959,1107.3333333333
1960,1053.0833333333
1961,1369.5833333333
1962,958.8333333333
1963,958.75
1964,981.75
1965,605.1666666667
1966,743.5833333333
1967,1212.5833333333
1968,857.8333333333
1969,1082.1666666667
1970,1069
1971,1294.8333333333
1972,822.9166666667
1973,1060.25
1974,817.1666666667
1975,1098
1976,890.8333333333
1977,1224.9166666667
1978,1182.1666666667
1979,739
1980,1167.3333333333
1981,873.3333333333
1982,1123
1983,1104
1984,989.0833333333
1985,1034.9166666667
1986,876.25
1987,970.5
1988,897.8333333333
1989,770.5833333333
1990,1253.6666666667
1991,826
1992,885.8333333333
1993,944.8333333333
1994,1337.8333333333
1995,864.9166666667
1996,903.5
1997,1235.6666666667
1998,985.5
1999,1221.8333333333
2000,840.3333333333
2001,1119
2002,874.4166666667
2003,1179.5833333333
2004,830.5
2005,1187.0833333333
2006,942.5833333333
2007,697.6666666667
2008,887.5833333333
2009,788.1666666667
2010,832.1666666667
2011,1118.8333333333
