Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1947,220,349,920,1468,869,6284,6315,7517,4241,1571,202,395,2529.25
1948,318,55,756,1160,2153,9612,6062,3815,1493,1763,2233,280,2475
1949,6,25,22,1090,4782,5414,7470,4181,3618,2091,844,3,2462.1666666667
1950,0,587,370,664,2706,6175,8177,4072,3892,2647,2041,64,2616.25
1951,37,27,572,1721,1385,8155,4535,1521,3066,2607,2143,290,2171.5833333333
1952,34,455,277,1268,2667,6065,3931,3860,464,3022,494,592,1927.4166666667
1953,120,191,178,1273,635,3092,10301,2476,1049,4571,914,41,2070.0833333333
1954,268,60,1025,1606,2371,8467,5694,3916,1998,2760,405,675,2437.0833333333
1955,13,130,425,1274,5444,7625,3661,1955,4502,4325,2108,115,2631.4166666667
1956,44,110,146,1941,4123,7404,3432,2703,1688,4158,1771,45,2297.0833333333
1957,12,171,337,874,4083,8927,7877,3383,360,2690,1693,375,2565.1666666667
1958,58,291,609,1176,3861,7815,4842,4212,574,1796,1741,61,2253
1959,1,153,95,1615,3953,7145,9062,3758,3520,1911,1460,318,2749.25
1960,120,86,365,1950,5932,5172,6737,3280,3488,2341,3621,186,2773.1666666667
1961,115,409,123,899,4617,9612,9524,6372,3923,2560,778,135,3255.5833333333
1962,335,509,265,775,5017,2772,8687,4745,3283,4176,250,625,2619.9166666667
1963,272,347,605,898,1333,4137,6905,4936,2241,2045,941,347,2083.9166666667
1964,12,60,819,721,969,3378,7157,3880,3975,3437,1274,128,2150.8333333333
1965,46,27,197,955,2078,5810,4243,2993,1596,1683,1004,1543,1847.9166666667
1966,12,116,445,925,756,5157,4627,1503,2762,4402,2627,537,1989.0833333333
1967,312,0,242,440,2661,5892,7245,5577,1393,1928,840,412,2245.1666666667
1968,60,362,1029,1443,940,6857,12810,3626,2798,1478,1330,252,2748.75
1969,45,22,211,1351,2253,5817,7942,2748,1990,2822,1130,829,2263.3333333333
1970,156,128,407,1658,2556,5762,5439,5472,2221,2972,572,24,2280.5833333333
1971,474,256,257,1036,3457,8752,6325,3792,3515,1941,365,412,2548.5
1972,25,86,32,919,5067,4166,7000,2797,1771,3780,1533,1140,2359.6666666667
1973,0,0,79,1373,1226,6484,5297,4757,668,3007,868,310,2005.75
1974,15,121,187,1553,3147,2898,9887,5227,4092,1578,715,34,2454.5
1975,16,320,886,1626,1730,9092,5093,6445,4585,3985,1978,180,2994.6666666667
1976,1,0,233,1731,1100,2225,6080,3236,1065,2526,3278,241,1809.6666666667
1977,11,91,422,1110,3722,6182,7317,2388,2008,4326,3797,158,2627.6666666667
1978,68,384,379,753,4206,7670,6797,4662,1346,1488,3755,183,2640.9166666667
1979,18,440,85,671,1368,6725,5977,3341,2641,2078,3277,367,2249
1980,1,93,273,1161,1233,7592,7010,3702,1448,3062,1800,542,2326.4166666667
1981,75,167,417,1104,2256,11236,4500,5147,4380,2792,1580,186,2820
1982,0,1,347,625,2111,7145,5027,4547,774,1800,1393,121,1990.9166666667
1983,3,0,0,310,691,3316,5975,5952,5295,1259,1615,741,2096.4166666667
1984,407,725,1126,2213,1163,7135,5325,2308,1451,2506,755,212,2110.5
1985,550,166,385,1000,3075,8372,3931,3013,1160,2343,970,327,2107.6666666667
1986,24,241,327,954,1106,6107,3167,3636,2376,1456,2003,70,1788.9166666667
1987,10,8,98,868,1185,6289,2381,4300,1595,2956,2091,1281,1921.8333333333
1988,0,193,455,1678,1571,6137,5624,4116,4631,823,720,308,2188
