Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1979,6725,5977,3341,2641,4671,12259.3444148936,,
1980,7592,7010,3702,1448,4938,1073.1985815603,,
1981,11236,4500,5147,4380,6315.75,1921.420212766,,
1982,7145,5027,4547,774,4373.25,37216.5642730496,,
1983,3316,5975,5952,5295,5134.5,49946.0217198582,,
1984,7135,5325,2308,1451,4054.75,4635.9734042553,,
1985,8372,3931,3013,1160,4119,14757.4911347518,,
1986,6107,3167,3636,2376,3821.5,15909.6103723404,,
1987,6289,2381,4300,1595,3641.25,332.4273049645,,
1988,6137,5624,4116,4631,5127,2835.0359042553,,
1989,7472,4515,2920,2726,4408.25,1038.9898049645,,
1990,4947,6559,2526,1139,3792.75,31567.6954787234,,
1991,10799,7102,4111,457,5617.25,20238.0536347518,,
1992,8087,6330,4388,2718,5380.75,1010.6826241135,,
1993,7457,7207,2131,744,4384.75,2108.4933510638,,
1994,8004,8095,4611,1716,5606.5,20370.0536347518,,
1995,5372,5569,3958,2336,4308.75,760.6826241135,,
1996,6275,6255,3301,3057,4722,0.3475177305,,
1997,6200,8560,5051,3221,5758,13117.7304964539,,
1998,7472,4732,3312,4806,5080.5,1212.640070922,,
1999,6134,5202,2313,1511,3790,16650.9933510638,,
2000,5944,2610,5785,1863,4050.5,2671.5536347518,,
2001,6015,4688,2992,3170,4216.25,2943.6742021277,,
2002,5254,2628,4097,943,3230.5,21819.2624113475,,
2003,6119,5639,3352,696,3951.5,1893.8337765958,,
2004,5777,3732,2767,1625,3475.25,4032.0283687943,,
2005,6155,6492,1876,2836,4339.75,22288.2451241135,,
2006,5956,5562,3861,4409,4947,9253.4401595745,,
2007,7021,8956,4186,4544,6176.75,6150.5429964539,,
2008,4127,5906,2835,3265,4033.25,9176.640070922,,
2009,4401,7892,2288,2848,4357.25,10586.3337765957,,
2010,6785,5373,3043,2387,4397,42.8727836879,,
2011,8373,4782,4471,3623,5312.25,21281.4898049645,,
