Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1958;50;27;22;40;11;385;3501;3667;2343;1326;2;146;960
1959;485;40;58;18;350;225;2005;2892;1085;544;151;0;654.4166666667
1960;115;0;392;17;76;900;3545;3637;1075;2160;0;30;995.5833333333
1961;377;311;0;20;93;753;4007;4948;1115;1265;32;125;1087.1666666667
1962;365;156;123;6;37;472;2176;2190;2251;0;30;75;656.75
1963;153;65;70;25;191;788;1516;4022;3120;4;93;50;841.4166666667
1964;37;8;8;4;243;235;4136;2171;2501;13;12;111;789.9166666667
1965;90;148;155;242;123;39;2088;2121;1366;252;0;1;552.0833333333
1966;75;130;17;4;266;1543;1508;4047;617;80;75;30;699.3333333333
1967;0;1;330;11;49;554;2857;4847;2318;55;22;590;969.5
1968;201;75;106;8;0;532;3042;2008;805;207;0;22;583.8333333333
1969;58;40;86;60;227;165;2895;3007;2508;0;158;0;767
1970;387;455;74;1;217;1165;1321;3057;1305;172;0;0;679.5
1971;113;153;40;103;514;1293;2997;2852;1483;890;110;0;879
1972;63;307;65;29;0;515;1545;2513;1395;118;65;24;553.25
1973;136;121;20;0;133;980;2143;2987;723;622;0;40;658.75
1974;1;0;2;5;160;350;3467;2138;288;243;0;158;567.6666666667
1975;182;60;96;2;4;1708;2975;2293;2663;307;0;0;857.5
1976;35;135;37;22;153;919;2971;3837;885;30;22;8;754.5
1977;208;50;6;325;320;743;3837;2063;1928;303;0;158;828.4166666667
1978;83;307;467;50;6;2196;2842;3795;1648;15;20;50;956.5833333333
1979;405;590;162;39;400;497;2121;881;241;30;188;75;469.0833333333
1980;40;155;320;5;44;1185;3161;2923;855;158;18;202;755.5
1981;195;63;167;6;240;1076;3248;1090;968;45;258;32;615.6666666667
1982;278;110;670;263;455;670;1825;3695;620;35;123;116;738.3333333333
1983;301;29;45;562;372;776;3278;3671;2860;610;0;133;1053.0833333333
1984;208;253;2;78;6;1691;2572;2813;1056;5;0;6;724.1666666667
1985;81;0;18;93;69;380;3542;2450;1906;1498;0;198;852.9166666667
1986;136;600;65;88;318;828;2175;1776;940;265;34;108;611.0833333333
1987;131;123;45;16;495;267;1306;1796;1100;198;0;106;465.25
1988;64;69;213;108;81;1105;3471;3752;1020;183;0;162;852.3333333333
