Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1957;121;3;372;51;40;985;2190;3442;1201;332;13;11;730.0833333333
1958;37;4;8;37;12;850;3952;2758;2743;517;158;8;923.6666666667
1959;282;4;3;41;242;753;4000;2988;2782;749;49;0;991.0833333333
1960;232;0;108;27;93;1216;2263;4095;472;437;0;6;745.75
1961;253;4;4;6;78;625;3147;3342;5565;1081;85;13;1183.5833333333
1962;101;56;83;83;41;135;3122;1975;3006;1;83;192;739.8333333333
1963;74;51;32;44;51;705;2353;3727;1563;291;311;20;768.5
1964;0;0;17;0;86;1043;3176;3072;1776;22;0;16;767.3333333333
1965;54;27;30;35;22;320;3237;1496;1268;86;8;96;556.5833333333
1966;63;12;32;1;39;594;2261;2325;895;6;253;24;542.0833333333
1967;0;0;352;25;22;1438;2223;2668;2443;29;3;848;837.5833333333
1968;54;32;123;8;4;339;4332;2713;904;141;0;1;720.9166666667
1969;86;6;1;41;13;400;3646;4022;2108;0;459;6;899
1970;175;131;85;6;151;2558;1801;3220;2602;35;0;0;897
1971;35;18;8;45;197;1766;4357;1983;2203;439;3;0;921.1666666667
1972;0;43;1;5;25;964;1578;4117;661;22;86;12;626.1666666667
1973;1;45;0;1;25;711;4923;4875;2721;237;0;101;1136.6666666667
1974;0;13;5;5;193;425;2852;3681;602;984;0;24;732
1975;22;69;3;3;22;1241;2660;3455;2236;495;0;0;850.5
1976;106;15;22;60;58;1660;2727;3508;1795;8;614;30;883.5833333333
1977;32;79;73;40;181;1606;3013;3227;2078;141;404;25;908.25
1978;34;175;108;60;1;1503;3602;4197;788;86;126;342;918.5
1979;246;335;81;1;171;1054;1971;2490;262;78;1099;32;651.6666666667
1980;11;12;5;2;6;1995;1921;3821;532;24;1;307;719.75
1981;59;3;108;1;173;1151;2671;2773;1210;240;255;153;733.0833333333
1982;369;58;40;30;106;572;2665;3992;995;201;630;17;806.25
1983;35;1;4;151;236;925;2610;3727;2847;607;3;16;930.1666666667
1984;198;103;0;1;3;676;1721;5642;640;121;0;8;759.4166666667
1985;17;2;4;98;71;668;2206;3252;1593;1478;0;0;782.4166666667
1986;58;415;35;10;91;1428;4537;2358;330;41;3;10;776.3333333333
1987;296;187;13;0;96;780;1428;3331;597;510;126;322;640.5
1988;39;12;12;58;73;1316;2892;2486;1911;520;10;0;777.4166666667
1989;39;0;178;0;74;1248;1360;3368;979;11;0;48;608.75
1990;13;101;15;0;308;1611;2638;4097;2421;297;27;138;972.1666666667
1991;0;40;11;32;12;1144;3350;2818;240;0;35;54;644.6666666667
1992;0;2;0;1;46;587;2016;3232;1014;622;27;0;628.9166666667
1993;0;71;70;6;40;1378;3312;2383;2711;207;13;41;852.6666666667
1994;151;55;2;60;18;2562;3345;4033;1716;24;32;0;999.8333333333
1995;146;13;133;12;8;859;3177;2587;1565;206;0;105;734.25
1996;123;187;11;25;41;552;3637;3108;916;522;24;0;762.1666666667
1997;45;2;49;46;103;1001;2877;3223;895;427;589;865;843.5
1998;34;22;65;60;27;1030;2755;2205;2483;354;106;0;761.75
1999;27;490;0;0;202;1578;2376;1733;3010;632;17;0;838.75
2000;0;27;5;11;519;868;2842;1455;316;41;0;8;507.6666666667
2001;50;1;18;59;282;2213;2426;1811;202;502;0;0;630.3333333333
2002;4;311;20;43;60;1236;425;3450;1133;30;45;16;564.4166666667
2003;13;238;3;16;13;1254;2925;1613;2145;73;6;30;694.0833333333
2004;187;0;0;15;151;592;1963;3290;454;303;30;0;582.0833333333
2005;58;7;106;55;44;854;2841;1188;1559;9;0;14;561.25
2006;0;0;440;10;286;1118;2762;4286;1988;154;27;16;923.9166666667
2007;5;178;36;13;175;1115;3758;2173;1263;0;13;10;728.25
2008;12;0;15;32;43;2206;2143;1656;1111;106;96;0;618.3333333333
2009;45;0;4;10;81;590;3127;1488;1166;520;487;149;638.9166666667
2010;10;47;6;0;2;691;2531;2702;1290;94;422;10;650.4166666667
2011;0;17;7;12;24;2621;3175;3208;1735;0;0;0;899.9166666667
