Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1935;0;0;0;256;113;7584;9877;4046;2686;2937;63;68;2302.5
1936;0;91;342;335;1485;12626;9914;4646;1843;2126;1476;121;2917.0833333333
1937;0;0;0;1476;352;8224;15184;2823;1881;1971;50;20;2665.0833333333
1938;0;0;46;390;2623;9417;9634;4238;3968;1421;492;0;2685.75
1939;0;0;0;584;0;10084;8087;5282;1426;1926;609;0;2333.1666666667
1940;0;0;0;78;750;7087;11476;13578;1135;2235;1129;71;3128.25
1941;79;0;0;91;572;8745;4067;4730;2165;1275;375;247;1862.1666666667
1942;0;3;0;447;519;12096;10871;4118;1820;910;280;32;2591.3333333333
1943;272;108;0;3;5750;10500;9385;3112;4931;2490;903;0;3121.1666666667
1944;0;0;116;1;1036;9900;11064;4041;514;3312;860;136;2581.6666666667
1945;59;0;0;37;325;12168;13373;5205;3122;690;763;0;2978.5
1946;0;0;405;625;814;13801;8872;8914;2076;1890;3022;539;3413.1666666667
1947;0;59;53;1008;220;7925;10012;7979;3478;480;0;187;2616.75
1948;141;0;148;151;320;9265;10930;7672;3367;489;1983;0;2872.1666666667
1949;0;0;0;6;4626;8770;12549;4580;4935;910;240;0;3051.3333333333
1950;0;0;0;22;1606;10663;14294;3283;5860;830;472;0;3085.8333333333
1951;0;0;0;308;743;11188;12341;3582;2053;2093;377;0;2723.75
1952;0;0;0;313;1259;10463;7374;4985;367;2346;0;121;2269
1953;0;0;0;213;63;6695;17185;3855;1853;2538;6;0;2700.6666666667
1954;37;0;113;745;695;5895;11558;6947;3402;1930;20;55;2616.4166666667
1955;0;0;3;270;3412;12280;8097;7384;4721;3458;673;0;3358.1666666667
1956;0;0;0;295;6002;10291;9830;3830;1978;2063;1023;0;2942.6666666667
1957;0;0;20;12;1653;8182;9697;6835;775;1165;1546;11;2491.3333333333
1958;4;0;0;63;2426;10684;8710;6684;2893;984;893;22;2780.25
1959;0;0;0;60;2408;10850;14175;5247;3677;547;350;181;3124.5833333333
1960;0;0;73;330;4862;7440;8580;4533;5007;1318;515;0;2721.5
1961;0;0;0;342;6557;12871;16095;7730;7997;3732;181;17;4626.8333333333
1962;6;329;0;35;5050;3731;10207;10253;4342;2648;55;1065;3143.4166666667
1963;0;0;217;660;1230;7340;7540;9412;1595;2246;170;165;2547.9166666667
1964;0;0;0;11;824;7667;7634;8135;4082;2281;296;327;2604.75
1965;65;0;0;17;490;7832;8104;5495;1561;141;227;2196;2177.3333333333
1966;0;0;0;55;1259;7227;10032;2360;2343;1928;2273;460;2328.0833333333
1967;0;0;0;20;519;8409;11895;5552;2961;1176;95;51;2556.5
1968;0;0;0;524;6;9650;13815;3161;2070;2408;397;3;2669.5
1969;0;0;0;385;500;8082;9167;3173;5767;400;649;12;2344.5833333333
1970;0;0;0;60;3452;10107;11629;12700;3956;1313;394;0;3634.25
