Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1955;22;13;212;703;1841;908;663;1158;1938;1931;187;49;802.0833333333
1956;11;30;2;781;350;1341;1571;810;1335;3078;1348;13;889.1666666667
1957;0;16;105;202;1943;1346;1298;818;475;1800;836;4;736.9166666667
1958;73;54;81;711;1618;1063;1435;1655;1296;1481;685;18;847.5
1959;0;103;0;255;994;1918;2348;1200;1903;759;447;39;830.5
1960;1;0;315;362;901;674;1546;694;1610;1348;705;1;679.75
1961;22;30;30;714;1466;1391;3147;1224;605;1833;193;18;889.4166666667
1962;15;71;51;1096;1421;487;1503;1428;1481;2318;262;680;901.0833333333
1963;29;2;128;590;776;700;1206;1613;1075;2178;153;155;717.0833333333
1964;0;0;4;238;853;950;2225;2066;1896;1360;1151;35;898.1666666667
1965;56;0;25;200;507;713;1173;1326;809;153;397;307;472.1666666667
1966;30;0;41;302;1123;719;1521;763;2400;1641;1611;245;866.3333333333
1967;88;0;40;273;695;1051;2161;849;382;969;197;222;577.25
1968;0;121;75;559;715;935;1395;630;2271;1043;275;65;673.6666666667
1969;0;0;54;460;1066;599;1463;1606;666;1743;919;287;738.5833333333
1970;12;30;63;539;1263;710;1071;1106;1021;2246;275;3;694.9166666667
1971;2;34;25;425;1074;1119;759;1726;1738;1115;192;110;693.25
1972;0;0;0;272;1736;1029;1180;569;1740;1211;246;485;705.6666666667
1973;0;0;0;340;990;1223;1508;1716;1055;1613;344;121;742.5
1974;12;0;13;412;1029;349;1726;904;2271;1366;79;0;680.0833333333
1975;32;61;227;237;1136;1239;1711;1551;1671;1365;786;15;835.9166666667
1976;0;0;5;960;243;547;980;1056;580;477;893;4;478.75
1977;0;6;153;674;1495;1150;1255;1261;1401;2288;866;0;879.0833333333
1978;6;101;17;557;1246;1005;1691;1288;1545;1115;894;412;823.0833333333
1979;0;252;70;447;635;1543;1053;1481;2208;1261;1279;4;852.75
1980;0;0;25;417;884;1128;1735;820;2008;1014;530;12;714.4166666667
1981;45;0;362;288;990;660;988;1801;2231;1310;439;131;770.4166666667
1982;0;0;6;220;879;885;830;1044;1001;910;527;10;526
1983;0;0;0;22;950;1673;1216;1636;1466;1165;161;395;723.6666666667
1984;2;108;925;480;532;840;1698;754;1701;1278;193;96;717.25
1985;41;0;146;382;484;983;743;1004;1326;470;380;64;501.9166666667
1986;241;116;24;313;585;1258;759;1341;2203;856;950;163;734.0833333333
1987;0;0;108;143;664;1105;715;1371;1366;1733;835;510;712.5
1988;0;51;70;683;681;462;2021;2196;2015;232;136;245;732.6666666667
1989;0;0;151;232;704;1055;2440;968;1626;1229;275;83;730.25
1990;25;0;25;151;1463;795;944;1366;639;1360;590;25;615.25
1991;12;11;45;816;1358;1855;1416;1164;1351;2183;828;0;919.9166666667
1992;12;0;0;305;1043;1911;1094;1393;1493;1165;1753;5;847.8333333333
1993;0;0;121;252;607;1483;1328;1140;1353;2226;340;475;777.0833333333
1994;245;27;93;352;851;1233;1936;445;830;2580;407;30;752.4166666667
1995;81;0;108;479;913;622;1165;1298;1190;1301;342;0;624.9166666667
1996;3;0;8;678;693;1079;770;1993;2176;871;88;303;721.8333333333
1997;49;0;227;400;580;1185;938;1245;1445;1801;1306;298;789.5
1998;0;4;70;517;494;735;1908;2323;1833;1470;679;143;848
1999;4;35;4;522;1256;815;1411;739;1403;2470;420;83;763.5
2000;3;172;1;477;709;811;866;1901;1416;1400;167;111;669.5
2001;27;4;37;1254;226;497;1011;818;1650;1179;415;32;595.8333333333
2002;78;29;46;201;1040;1076;365;733;696;1291;172;35;480.1666666667
2003;0;71;202;380;96;639;855;1055;268;2181;162;4;492.75
2004;10;3;74;751;1638;1333;1591;1066;1148;1360;261;0;769.5833333333
2005;234;50;54;547;898;1319;3023;2031;1023;3417;576;59;1102.5833333333
2006;1;0;642;344;1254;2109;809;839;620;522;704;19;655.25
2007;0;0;32;574;814;1667;1536;1767;1296;1650;153;168;804.75
2008;0;194;1111;303;719;819;1710;2561;886;1311;323;25;830.1666666667
2009;0;0;314;244;1038;723;2110;1165;2404;1064;854;277;849.4166666667
2010;175;7;73;764;1444;986;1438;1691;1460;1371;2332;41;981.8333333333
2011;2;123;90;851;967;1164;1292;1411;945;1459;646;22;747.6666666667
