Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1950,2068,1681.7358907824,-1969.0675232376,2023.8329993533,-319.8377416321,2052.0634684504,-2056.928613572,1141.0255303098,-1344.4700722413,-1203.490088723,631.9787092387,-425.1164437287,-2043.1171819129,-256.2411392639,213.7023132038,-1724.7274390991,1571.3128984539
1951,1548.5,1548.4635100523,-1548.4908774862,1548.4959455472,2.6576505253,1548.4985403966,-1548.4989863865,966.6608284607,-1095.8940692052,10.6305238176,-5.3152932222,3.5435326807,-1548.4977193699,2.126120796,-1.7717675001,-1209.7186006339,1094.0148258048
1952,1845.5,1485.9074786013,-1753.2986770312,1804.3297913043,291.6826542142,1830.6432644188,-1835.1785852952,1276.6030730766,-1404.3095435751,1094.5086637559,-576.0329844034,387.6393352227,-1822.3038932161,233.6995687592,-194.909748535,-1332.7245941347,1197.4075980316
1953,1880.5,569.9566509586,-1517.9070676638,1716.3306559336,583.8904046387,1820.8366990897,-1838.9997347041,1417.2511403318,-1522.2165016717,1792.046223184,-1110.0623333562,768.4330351453,-1787.5548230393,469.9297450131,-392.8870394381,-1235.993307113,1104.1454487696
1954,1725.75,-542.9759010139,-1010.2406647243,1394.1602273351,785.7449444164,1603.8097986329,-1640.7597439637,1397.0169275353,-1472.109438922,1638.1056844472,-1399.1521939508,1017.1186376313,-1536.4953448755,637.1869367062,-534.902350984,-1013.1913771247,900.614713591
1955,1983.75,-1611.3815305893,-607.7359423275,1324.6381053979,1168.2610767521,1737.3036542468,-1811.4931553946,1703.7599106907,-1768.1631674575,1157.0279276559,-1888.3646594086,1476.6847843152,-1603.2560990204,957.6220942734,-808.5521692869,-1016.1034539963,899.3681536204
1956,2014,-2013.9720067831,5.3093473658,1003.9330897146,1425.9889595636,1628.1110171427,-1743.2895976695,1815.2089686505,-1861.2009247474,-10.6186578334,-2013.9930016836,1745.9422531619,-1422.2346807762,1185.5169825265,-1008.5322893479,-872.4748707733,769.4979647273
1957,2073.25,-1671.2369575223,645.5515240152,637.4126043917,1678.8024391906,1509.9273088617,-1676.2877504407,1941.5640119163,-1972.1742721616,-1226.9199624717,-1970.1849639924,1972.8331744632,-1216.5475464065,1420.7339949666,-1220.0102213598,-727.1139870277,639.448358137
1958,2474,-753.5932084156,1458.8156844475,254.8014043426,2205.6502446357,1575.2190329096,-1837.2608244808,2385.2794366191,-2405.9774214681,-2356.4323194673,-1998.1323276525,2460.843807385,-1120.6172398899,1907.7109315511,-1656.8490163042,-656.5957730918,576.1498480306
1959,1551.75,485.8834551824,1257.357887413,-164.4225350164,1476.3185910049,830.337743082,-1037.4934683622,1526.9833195145,-1532.7761474025,-1473.7181991412,-909.383970312,1543.0143526483,-477.924136609,1310.9032362892,-1153.921732877,-276.1340334415,241.9201199861
1960,2289.25,1857.4074298412,2178.6160195482,-710.3182500507,2261.4223715674,973.0585260048,-1344.3529128491,2280.1509924589,-2282.2824898126,-1338.1715891733,-703.0631563864,2176.261368987,-355.8573026856,2072.1541128665,-1852.9384253704,-203.9044239063,178.4718442632
1961,2705.75,2705.7316809093,2705.7454202235,-1355.7482042146,2705.7488550556,834.2286485218,-1351.4376343262,2705.7496261406,-2705.7497137639,9.9565769014,4.978296877,2341.5870407202,2.4891494918,2573.9358236921,-2344.0775121627,1.4223712733,-1.2445748776
1962,1772.25,1430.2708405733,1684.5871244471,-1187.3416095741,1750.1970737322,330.9161634364,-719.9319047425,1765.038956032,-1766.7281661905,1046.5158312733,550.4873137929,1315.7089209526,278.7117966633,1741.0814326954,-1619.4345047065,159.7108205152,-139.7914492702
1963,2361.5,722.9065335863,1908.3796830118,-1911.9004753551,2245.3642100372,146.8455382302,-728.6045832442,2323.3662176122,-2332.2853418914,2248.1299770472,1390.959825253,1386.1164533822,731.4518537018,2356.9299179021,-2246.2897433937,422.672058289,-370.3070806757
1964,2260.75,-704.4648770911,1326.343015893,-2066.1320363621,2013.643530479,-143.1829626462,-469.032281029,2179.0448078845,-2198.1054540252,2148.1898890566,1830.7934800768,917.6540583566,1027.7306527782,2256.2112493532,-2211.5603726448,602.2908663856,-528.5101470027
1965,1403.5,-1137.4366374012,432.0994847297,-1373.0637109703,1134.959002964,-263.6529551892,-146.1460428017,1313.836082334,-1334.6773412814,822.2226863189,1335.3285308479,290.7031056189,825.6393350555,1378.5134635614,-1395.8701888691,493.6061170178,-434.1067203695
1966,1928.75,-1928.7457990393,-2.0127845117,-1928.7495332264,1363.12039167,-596.7821848209,0.6709282788,1737.4941082616,-1781.7400228335,-4.0255668313,1928.7489497595,-1.3418564764,1364.543645441,1834.1013021042,-1928.7498833066,837.3713550488,-738.5655377373
1967,2644,-2136.2889872266,-819.264279025,-2585.8977279923,1553.1582736891,-1126.6066070609,277.1483422181,2269.3959064069,-2355.5558235408,-1557.8849004513,2513.8699332133,-551.2430864551,2139.7278744904,2391.9643711658,-2629.434311103,1356.679114597,-1200.8716676577
1968,1596.75,-491.2202804,-939.48245853,-1458.3896181743,724.3935211065,-855.9723922456,332.3604516787,1291.6034345033,-1361.3019351575,-1519.3133971053,1291.1170638693,-650.1617368789,1422.9773677325,1347.932426427,-1561.7769023327,938.8136825161,-834.5463461286
1969,2143.75,664.7617862482,-1735.0428152887,-1733.8547841909,661.8783979044,-1366.8514581446,662.8396747671,1614.1689345109,-1734.1519365395,-2038.0765025004,1259.0831948745,-1260.7187036918,2039.0147250296,1651.4784751452,-2038.7024373495,1410.7170918933,-1260.3099315233
