Year,Mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1971,1293,1292.9998419204,-1292.9999604801,-646.3154210242,-0.1598424767,-1046.1341310517,646.5922829016,806.1009004314,-914.2325534779,0.6393698825,-0.319684951,-1119.8773935331,1292.99999012,759.9028752733,-1119.7175624648,1010.9650529685,-914.3455791774
1972,1095.25,885.9625745688,-1041.6148693967,-338.3897683458,-171.3824331624,-959.7934589178,643.7977821953,603.3469423937,-711.2896570944,643.9276969998,-338.5425030211,-1041.664498377,1081.7581171886,527.6069358135,-886.0569835741,914.081522406,-832.8502783877
1973,1834.25,567.0631361733,-1484.0162768693,-191.8180292172,-566.7522415715,-1705.4232641836,1227.3204232001,869.2264929706,-1078.1715455802,1744.3945832561,-1078.0393093423,-1824.1926724355,1744.4956174132,675.2810914585,-1363.1425608849,1615.2146502611,-1483.9202070197
1974,1358,-419.0494986603,-798.4656476077,141.742067316,-616.379611339,-1315.3047821599,1009.1208370198,533.810247879,-709.6197882675,1291.7281129063,-1098.4610186941,-1350.5825359277,1210.057922054,337.8421673318,-908.7569181538,1248.6835544923,-1157.8444438262
1975,2202.5,-1780.8500726157,-681.4264322228,680.0655379038,-1294.2496924916,-2185.0895598628,1781.6916957253,680.8432269875,-1000.1053200257,1295.9858289598,-2094.4365035656,-2094.8787826878,1782.112225278,276.3871657272,-1294.8285413071,2094.626160026,-1962.3444139234
1976,2101,-2100.9987331256,-1.1536253926,1049.8338836685,-1485.2234231001,-2100.999949325,1819.3270719675,467.8378198168,-804.2843365585,2.3072504375,-2100.9996832814,-1819.9037932544,1486.0391594689,0.4614501765,-1050.8330053849,2048.2501737701,-1940.9605111817
1977,1403,-1136.2180022504,432.6055610153,938.2977708448,-1134.7586972799,-1391.9866932455,1281.5695011382,188.6106451901,-433.7871296595,-823.0538569026,-1334.6390630349,-1043.0754015063,825.0646634948,-175.4481285947,-570.9541257862,1390.2643721685,-1334.2554950765
1978,2675,-831.0337690482,1570.4473356015,2163.2106494828,-2382.9154016387,-2591.1906706783,2543.8370120122,120.6758553126,-625.0305195014,-2542.6379755485,-2165.483818019,-1573.5770352811,1215.4584273569,-664.3462261425,-827.356184673,2672.2766207757,-2600.9540268317
1979,1454.25,446.5465162219,1175.6345804959,1328.1182396746,-1382.843022759,-1352.3472346294,1422.3675707332,-64.8184376968,-227.863551992,-1383.9939563994,-855.9943899595,-592.4061140329,450.09803033,-534.7896965071,-302.8424610694,1452.8047469067,-1436.287319506
1980,1919.5,1550.2272073796,1824.8481271828,1877.2381495421,-1895.6893508863,-1682.5092268899,1908.9052986,-257.0161102397,-151.1696744949,-1131.9345632588,-595.3230742357,-400.5710672323,301.4002902061,-923.9280012157,-201.3971473903,1902.2152793723,-1913.5380789295
1981,2288.5,2288.4917150392,2288.4979287589,2288.4990794483,-2288.4994821897,-1852.1590333521,2288.4997698621,-508.3814693855,-0.7697431275,-6.1579377047,-3.078971639,-2.0526481033,1.5394861678,-1344.1499786752,-1.0263241549,2231.318115282,-2288.4998705474
1982,1819.25,1475.0154833015,1731.0535058883,1779.8735497567,-1797.0656155365,-1326.9254819767,1809.3791086855,-561.4352850743,142.054463913,1064.8943076761,559.5751265486,376.4581110515,-283.2414799361,-1244.5639106856,189.255920786,1730.4510923957,-1813.6954242051
1983,2707.75,845.3061590998,2193.2610212652,2474.8729022139,-2575.9185345068,-1727.3730563917,2648.8910097879,-1063.0297043998,422.4728693593,2572.4244517358,1587.928258801,1098.5964593004,-834.5979667388,-2085.2079959927,561.503767365,2490.356984463,-2674.5890781867
1984,1438.25,-439.4529758337,847.5021592914,1164.5953700706,-1282.0848339913,-771.5382907442,1368.1268862032,-680.881762331,335.1153159825,1369.4685628122,1162.0254526027,843.9672307088,-651.7833543054,-1213.7922921223,443.6123146938,1266.8713779327,-1398.6639294319
1985,1386.5,-1118.461966188,431.0653859221,929.1105620397,-1122.5093334982,-591.3376404622,1267.0031657948,-763.1631166882,427.7984683848,819.4053210657,1317.7878748341,1029.1432424625,-813.8519805281,-1254.0741784171,563.1032124451,1157.5682732896,-1318.8520464584
1986,1775.5,-1775.4837114465,3.8026521553,889.9445582572,-1256.8118114702,-550.1060879485,1538.2614883669,-1106.1564972942,678.5760380144,7.6052868678,1775.495927857,1536.3589857935,-1254.1229288029,-1688.13019107,886.652041901,1388.8189419409,-1640.7116780936
1987,1446.5,-1174.1434463425,-443.8264046142,449.1028870889,-851.5771708206,-272.3547348023,1170.8948663681,-998.9345483664,655.955742565,-844.8369176421,1376.7281403993,1375.0159442015,-1169.2641156459,-1420.6284343314,849.3335398493,1046.1797255156,-1289.2184895494
1988,2964.75,-930.0211526698,-1736.730023654,314.7364242475,-1349.2168515239,-189.0699770471,2204.8647777458,-2231.2969179265,1547.5225203442,-2815.1027011615,2402.8132235858,2947.9965308243,-2639.9538727152,-2958.7151106991,1981.9974455978,1952.1927739216,-2528.817235691
1989,2635.25,801.195392597,-2127.8971686669,-270.8813417736,-817.6189665029,162.7128245343,1765.0357654438,-2130.8021357898,1547.5645674774,-2510.5036358033,1554.5405115594,2621.2908768733,-2505.2029434987,-2630.2218726245,1956.831957324,1550.5562939196,-2132.9759661066
1990,2011.25,1620.5402368491,-1911.077982954,-617.9658179872,-317.3885389265,374.6744904289,1183.6897420932,-1725.7355857686,1305.1396215701,-1191.2077498291,626.8233447859,1913.9605038504,-1986.0491126501,-1976.04291166,1626.0397156784,1032.939132046,-1530.2735476731
1991,1641.5,1641.471660496,-1641.4929151087,-817.9639636243,-2.4114154633,505.4163318205,822.1418380398,-1478.3420046006,1159.8629038634,-9.6456098137,4.8228257227,1423.1855831943,-1641.4982287762,-1561.7543281608,1420.7762132527,713.4613986989,-1161.5680325498
1992,1488,1209.2121561797,-1416.5895115374,-993.3808708025,230.4981635853,631.891023626,606.6272596273,-1392.6542490278,1130.7354393082,867.1504836805,-455.4318344191,1107.8530793944,-1470.0389779131,-1347.1665577281,1358.7300570301,524.0783745441,-967.2545509288
1993,1497,471.8615976563,-1213.9575387326,-1209.1852376075,460.2795696733,800.4855510502,464.1436735008,-1442.6812171973,1210.3816579495,1420.6884361665,-875.9658064983,882.5418183588,-1424.4829650583,-1265.0027203765,1423.2286008752,399.5996816141,-880.9002452602
1994,1379.5,-417.3159675238,-814.6572508733,-1258.9549481997,624.1796906421,877.8732548265,288.3503935827,-1357.0898233291,1175.601151165,1314.8641120852,-1113.262688497,563.9616018876,-1230.2113492363,-1064.123488351,1349.0271681922,247.6438196614,-721.790955457
1995,1214.5,-977.4217505504,-379.4282105726,-1187.3550537579,712.1076773423,884.1425743821,128.3891296237,-1209.4989453121,1081.6341858808,720.8723684197,-1153.7090114157,255.3394335304,-983.8256481055,-832.6476794929,1207.6946970963,110.1024581426,-552.3384269937
1996,1739,-1738.9514971596,-6.4940911396,-1738.9946107733,1227.3605369875,1405.3521282456,2.1647015189,-1738.9990101416,1606.0045102398,12.9880917148,-1738.9878742476,4.3293996835,-1231.9525608748,-1024.2589495024,1738.9986526928,1.8554585719,-666.9861416022
1997,1204.25,-979.7412939998,367.6714628583,-1178.5802020358,972.8788263826,1054.3874750698,-124.3238798429,-1199.5213907512,1144.9470269779,-700.2321467424,-1146.7500851972,-247.3191659966,-709.7357618695,-581.7947360677,1197.8153594778,-106.613768484,-373.2483997479
1998,1897.25,-600.8891911993,1108.9455677573,-1735.3028323917,1688.7131995883,1762.8838565983,-391.952971506,-1867.1514450046,1844.3791205198,-1799.5804351014,-1539.4145933606,-766.9952036312,-864.7573602093,-701.2831601039,1856.321747604,-336.6051751195,-444.7732256898
1999,1640,493.6302706696,1322.7156995927,-1329.489577935,1558.6618856141,1587.7869512801,-504.5974099154,-1581.4230262921,1619.5378187012,-1563.946660177,-969.5479245767,-960.2382319832,-510.071687446,-410.5272187623,1560.4427108698,-434.3975275175,-258.2581146769
2000,2012.5,1617.7424685132,1911.2643678836,-1350.9781889418,1987.0299180392,1996.1867341627,-815.8776393414,-1885.0544178825,2006.1223741405,-1197.107161272,-630.2576981351,-1491.6481431637,-319.1682233825,-255.7240159874,1839.701043002,-704.7879763601,-160.0914425354
2001,1350.75,1350.6945455943,1350.7361363274,-678.9052208314,1350.7465340774,1350.7477818092,-673.6075769549,-1217.7413387107,1350.7491335191,-12.2395670658,-6.1198463451,-1167.7385253677,-3.0599310241,-2.447945573,1170.80245762,-584.4925957573,-1.5299664935
2002,1134.5,924.0442707979,1080.6059585298,-353.9516398384,1120.9455182907,1125.8188964049,-665.4066856455,-974.6890038328,1131.1063036914,658.2039468171,345.5155747429,-1077.8722033041,174.8467758467,140.0787724736,918.8711513038,-580.5786732283,87.6856872562
2003,1656.5,527.1415939441,1344.8424257824,-178.476335987,1576.6616200549,1605.2540560795,-1106.4235625287,-1341.4843787309,1636.4186847535,1570.3865734061,967.1561920475,-1646.8571424057,508.0653361978,408.8418587183,1232.8094541661,-971.8085776638,257.1500305065
2004,1288.5,-385.8733963955,762.5727436594,130.405437039,1149.5232120765,1198.9648695833,-956.1013690045,-971.5447294644,1253.2742933533,1229.3632384101,1038.612083806,-1281.8840321927,582.0898855825,471.9274218617,863.7722050331,-846.3646310249,299.2253258328
2005,1994.5,-1601.3816621134,626.1287906313,609.7956379078,1616.6081966442,1749.7761380714,-1611.5625414186,-1380.4515059083,1897.676908513,1188.9520689444,1893.6718267806,-1898.9943470134,1168.1644526962,957.2427678682,1175.1154943649,-1439.577677597,613.8832143793
2006,1660.5,-1660.4057595268,8.8455159776,825.1377899245,1177.2740185023,1345.4493832447,-1436.558657029,-1037.2795405211,1534.946865159,17.6907809431,1660.4764397146,-1440.9746276873,1171.0192719847,973.152715213,832.8021823429,-1296.6539263876,633.4022190824
2007,1851.75,-1509.949740083,-562.5516115439,1234.0211154069,1092.5367535748,1352.6462040097,-1690.2775900654,-1022.5447051298,1651.0728324232,-1071.9280968998,1764.2317724294,-1380.6411370193,1495.1058506301,1264.6447363897,756.2669707336,-1543.8200635149,838.4131228302
2008,1890.75,-604.5400682835,-1102.7015526408,1525.4552322753,863.1345786853,1208.4962307164,-1797.1074039863,-898.6516651491,1613.5221205718,-1791.498498001,1535.8987103008,-1117.1042461758,1682.2408452947,1454.1225611496,587.6568225059,-1663.5386221019,985.6378284773
2009,1182.25,352.2572442075,-952.4104129692,1078.1701403899,368.5972407433,635.7972909907,-1155.9372195271,-466.4562067646,957.4677932883,-1128.5521239196,700.4494755283,-485.0404218946,1123.3214751871,996.7330973078,248.0407365979,-1086.3395738308,693.5203582561
2010,2382.5,1910.6420144366,-2261.4609049678,2328.4486977733,379.7207157335,1019.5591204467,-2368.9486352014,-740.0930672935,1813.9722786243,-1423.2896200949,749.7338363062,-504.6116445722,2352.0455837511,2153.3242788567,253.7491158163,-2264.6342975731,1544.6070122793
2011,1534.5,1534.384927199,-1534.4712315301,1534.4872139912,4.6981494806,477.7597220261,-1534.4968034945,-344.0752002237,1086.715132953,-18.7921575243,9.3962549211,-6.2641916955,1534.4928078657,1458.2303994944,3.1321023722,-1495.4271986931,1083.3930357036
,,-27.9334126957,-60.8747402258,-9.1242618174,263.3883013218,108.6676452651,-266.0829337404,111.5081479852,-88.1819639876,-11.5385867045,29.1483846144,-119.7592442052,40.1338789298,-236.4228175544,271.2115991069,34.8063201151,-492.04232993
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,913.4145279635,,,,,,,,,,,,,,,,
20,4555.3623231881,,,,,,,,,,,,,,,,
30,83.2521537119,,,,,,,,,,,,,,,,
40,70984.1255111368,,,,,,,,,,,,,,,,
50,67704.4057878114,,,,,,,,,,,,,,,,
60,144355.859118008,,,,,,,,,,,,,,,,
70,13645.546987037,,,,,,,,,,,,,,,,
80,249881.713215669,,,,,,,,,,,,,,,,
