Year,Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1919,5436,1767.7570359458,4424.9080921191,4978.5246851183,5177.0598020865,-3479.3062057366,5320.402061325,-4405.5896012261,5370.8748395463,-5140.53801288,-3157.5757118871,-2182.7478002894,-1657.7538434944,4176.6642583194,-1115.0865015094,3184.4742526152,-838.9275641728
1920,3644.25,2983.7021773033,3475.1917013409,3568.7866339918,3601.7374571248,-2664.8809178747,3625.3350709572,-3132.8628457065,3633.606320904,-2092.3860493838,-1097.0873718311,-737.7804711034,-555.0183352325,2485.7529555544,-370.8148942366,1861.6467045312,-278.3220565936
1921,6159.5,6158.6695642343,6159.2923875597,6159.4077275163,6159.4480966712,-4995.0036224575,6159.4769318359,-5555.7717940326,6159.4870241542,101.1407364742,50.5720728221,33.7149256598,25.2862494869,3604.0781153627,16.8575259636,2659.4811566605,12.643151378
1922,5767.25,4610.6148282573,5470.4543198334,5634.7044683262,5692.567533133,-5062.8012889772,5734.0178717656,-5404.1478614135,5748.5490633707,3464.5928285953,1826.2809469292,1229.3405212246,925.1202317648,2762.103486626,618.2326493909,2014.0403308971,464.0648968835
1923,5981.5,1758.3677207345,4811.2378226177,5451.4963427391,5681.4065725834,-5568.3813851005,5847.498081406,-5769.5173338909,5906.0001550926,5717.2095648733,3553.9179596909,2461.6112355736,1870.8184323996,2184.3697031562,1259.0108966776,1578.2940106117,947.3670978276
1924,5429.75,-1757.5446513971,3157.4639342023,4376.2489499853,4828.375754808,-5263.3159226366,5159.6571009459,-5344.620647639,5277.2653106116,5137.4333923512,4417.307615133,3214.1297718438,2483.7416598516,1334.0504342115,1691.1900139129,957.7135246676,1277.7542423783
1925,4230,-3459.4080981776,1276.636938348,2814.5150172715,3412.702319952,-4198.231982194,3859.9416137462,-4213.7818734216,4020.486961389,2434.2135506696,4032.7531696901,3157.7531913614,2499.2724692186,517.4439328892,1730.2458607004,370.057189126,1314.7564768053
1926,6574.25,-6573.52723857,-48.7422523665,3258.9433501729,4631.4317068202,-6574.2210890343,5685.3263486969,-6574.235249502,6069.1413297543,-97.4818253777,6574.0693071593,5709.6454620986,4665.8979208251,-19.4970509922,3301.1857523188,-13.9264749933,2527.1103224768
1927,5104.5,-4085.6594792089,-1612.5556484008,1553.8787423116,2985.3500584302,-5062.3715985862,4122.3594148333,-5082.9914085692,4543.9321970765,-3059.9521025583,4843.0965849145,4862.240337971,4140.4837010464,-654.4570633949,3010.3277404521,-468.1010472241,2325.6397911911
1928,6311.5,-1864.9825879589,-3745.9441163809,630.0315366884,2845.3915336437,-6108.7330516781,4680.3566260387,-6207.7741151254,5375.5800112449,-6029.6660103699,5079.6589380539,6279.9755184856,5633.7180680497,-1586.9507721843,4234.2997181465,-1139.5493782981,3307.2907027814
1929,4912.25,1582.6317982093,-3994.0257330952,-536.0554495261,1501.7568303662,-4562.2596862621,3278.4875842807,-4732.6273377146,3969.080816289,-4650.3200592859,2859.7130111033,4882.9135377901,4677.0638743712,-1820.9850679256,3658.1032273867,-1316.2213130082,2894.2352247644
1930,5718.5,4671.4965274553,-5450.4676470122,-1791.6676771212,875.4264705162,-5003.6732055549,3350.790252939,-5349.9583527352,4342.0829403437,-3298.2362626066,1730.2152117218,5430.5772423159,5651.0946501293,-2768.4827436724,4633.9450720535,-2019.6999465265,3721.2307089425
1931,7165.5,7164.8723682063,-7165.3430903336,-3610.0931396034,-23.7100845087,-5785.8418045895,3569.0522452167,-6450.0023494406,5058.3839138332,94.8377420349,-47.4199094156,6189.6379355653,7165.460772476,-4227.1059677119,6213.393301644,-3121.195274604,5075.1494983176
1932,5641.5,4520.8565462332,-5354.0141228603,-3792.9168234854,-900.5141797561,-4102.485895834,2283.5041044749,-4837.5911772356,3656.9298260225,3374.6671448279,-1777.9356068803,4176.159027159,5569.1647903486,-3872.483921785,5158.6947239439,-2902.4530748889,4295.7405063094
1933,6210.25,1844.5110487444,-5001.1038682957,-5039.4830333992,-1937.6660915153,-3946.4926664927,1906.6666665064,-5017.6198298234,3642.3765742759,5930.0070871425,-3681.8697914263,3629.1618617226,5900.2250109883,-4795.0391756293,5910.3153287565,-3659.3300351107,5029.940154084
1934,7137,-2288.6395701291,-4159.4920596143,-6531.8018460174,-3259.6375696182,-3809.3843911094,1469.5746365826,-5366.4250899738,3719.7268492213,6760.0959991733,-5799.6029869299,2876.1664841179,6349.1363125022,-6035.3425388103,6984.0618115473,-4705.1302589514,6091.009864315
1935,5895.75,-4810.8718487329,-1788.3190934972,-5771.7553514243,-3479.6828711115,-2497.518944263,604.5830998881,-4067.0447622236,2668.7569929786,3408.1344042701,-5617.9874405639,1202.7918464163,4759.3776041614,-5340.6242318242,5864.669414198,-4268.3738079706,5257.1479125975
1936,6322.5,-6322.071463061,36.8064178989,-6322.4523843064,-4483.6767739862,-1939.7525900021,-12.2688675655,-3933.7869434976,2411.0122196365,-73.6115884239,-6322.3928648575,-24.5376889316,4457.6505960446,-6017.5880666244,6322.4880960654,-4949.6794374149,5844.7434782686
1937,6877,-5517.4780940169,2162.1091724802,-6721.2758332638,-5575.0315595136,-1273.3181392048,-731.7496479825,-3779.228508087,2115.8493525326,-4104.9439072956,-6528.2779449314,-1455.190768657,4026.4316845598,-6758.0907005139,6837.9581347561,-5745.4817799435,6543.4173424433
1938,6367,-1900.7479122195,3770.7179053132,-5807.0040905211,-5680.9704234017,-385.7988965506,-1335.1954830009,-3008.3026331792,1477.8278509694,-6076.6640827179,-5130.3387294165,-2611.0136906326,2874.9372251296,-6355.3007962976,6225.4270554054,-5611.4885963715,6193.1182648888
1939,5694.5,1817.4767752753,4624.7676561534,-4594.993903249,-5420.4736724739,369.7077267894,-1769.3413277189,-2230.0838277277,883.3014553643,-5396.6756824303,-3322.4771446313,-3363.5340460748,1745.2207356141,-5682.4859389841,5412.6482904421,-5239.6618565808,5625.576307273
1940,6208.25,5060.1465544259,5914.2633906943,-4138.1591621903,-6134.3130731068,1175.954083052,-2534.9202594788,-1909.7066078466,479.0714593799,-3596.8437428157,-1887.8179488481,-4627.9592490515,955.2859172054,-6095.8592550233,5667.1463136736,-5907.2319011909,6189.7381688814
1941,3120.25,3120.092412033,3120.2106027595,-1551.0634724197,-3120.2401506743,970.1733099548,-1564.6492039244,-689.9525832108,-3.9199718366,31.3592549991,15.6798254779,-2707.4272228493,-7.8399374863,-2965.5899600503,2699.598661127,-3043.012569054,3120.2475376676
1942,6660,5349.7017482339,6323.947091937,-2037.4950366571,-6575.4500846824,2847.4138489697,-3923.3839383792,-884.8173018579,-530.6140009531,3966.8994447734,2088.8497261367,-6340.6792992232,-1057.8545192273,-6020.6174411514,5381.6966165019,-6600.9619255327,6638.8288712688
1943,5657.75,1697.6124801024,4561.5130204681,-573.737496707,-5376.7106744762,3040.5621749381,-3792.3654716091,-246.2330910981,-891.6418126081,5397.0591000934,3347.0485545627,-5628.5842222865,-1760.9989737287,-4771.2804070643,4198.5829981373,-5652.3892583003,5587.0484104318
1944,5613.75,-1783.2288963786,3278.9928213901,603.7193807414,-4996.0802142069,3586.20086598,-4177.5183264791,259.1460992837,-1316.7087301291,5322.9957510429,4556.5771297952,-5581.1927015484,-2559.9553815859,-4318.9526984379,3750.0039592554,-5607.7653625777,5457.1482646619
1945,6247.5,-5086.3667785391,1904.4920321541,1947.9574774454,-5046.2644709172,4561.7312014589,-5059.6996249946,846.3836117628,-1937.1007934468,3627.6892430545,5950.1400277188,-5936.0523848821,-3683.269083241,-4268.7076142125,3664.791393085,-6189.9023442813,5939.6040916906
1946,6026.25,-6026.03446162,-25.48419277,3027.8263555012,-4252.1826716299,4881.3233954156,-5223.127781193,1348.0644619672,-2312.0308429593,-50.9679297967,6026.1961151641,-5210.3701042663,-4270.2027574332,-3533.8889303243,3005.7653341255,-5873.5348189043,5565.0878199454
1947,6087.75,-4895.8058967239,-1904.7647774357,4085.7590066273,-3568.2606609289,5339.5030570607,-5564.7901782141,1887.9489951824,-2769.2978554076,-3618.2571334973,5782.0905566361,-4513.0115668214,-4932.3641307356,-2924.1079265547,2468.5644279525,-5787.6030145553,5421.410282439
1948,6846,-2064.546164759,-4045.6045874541,5549.0016092058,-3096.0868038775,6369.1839458574,-6513.6848640621,2697.6808200252,-3582.7298070504,-6527.2785396043,5522.7528934373,-4009.5258000207,-6105.8957166705,-2510.2214770479,2107.041881807,-6292.0770968948,5833.6749249228
1949,7239.5,2288.7187751339,-5872.7991546869,6620.9551997867,-2224.2111826044,7014.7512648021,-7083.1760326444,3437.4026124994,-4260.7618681133,-6868.1967515753,4233.2718243351,-2928.021941929,-6889.3573622783,-1789.867297583,1496.3213360011,-6371.3910199879,5852.8854895028
1950,5582,4539.3857554871,-5314.9588562438,5462.7832700146,-863.3144457401,5538.9836948212,-5552.1158225141,3079.8861267841,-3629.028986098,-3248.4921060211,1705.8535565621,-1147.4854878595,-5514.8356428616,-691.6528236805,576.8309053693,-4655.4296736223,4241.32910985
1951,6297.5,6297.3516012619,-6297.4629002062,6297.4835111938,10.808236476,6297.4940640281,-6297.4958777971,3931.2538374112,-4456.8246049855,43.2326275372,-21.6164411153,14.4109764652,-6297.4907250447,8.6465907089,-7.2054929492,-4919.7306344799,4449.1820248666
1952,4568.25,3678.1342937526,-4340.0198761028,4466.3395118536,722.0153265317,4531.4744474023,-4542.7009332293,3160.0335890447,-3476.1512177931,2709.2870242226,-1425.880618261,959.5412588085,-4510.8316229664,578.4871606525,-482.4689562423,-3298.9537399923,2963.9974314321
1953,7210.75,2185.4905189575,-5820.3926552284,6581.2450291269,2238.9192955321,6981.9719372301,-7051.6178340958,5434.4289604614,-5836.9171174841,6871.5752745675,-4256.5179315332,2946.5453380344,-6854.3530657965,1801.9387975822,-1506.5196594673,-4739.3984255597,4233.8297233263
1954,8494.5,-2672.6401803056,-4972.6144148925,6862.3462558874,3867.5998437465,7894.2849975299,-8076.1603042732,6876.4075277117,-7246.0284681577,8063.0964719899,-6886.9177525801,5006.4692263418,-7562.9492725161,3136.3664689851,-2632.9004898936,-4987.1384342958,4433.0127101834
1955,8144.75,-6615.9040812942,-2495.2021758145,5438.6118255523,4796.5693282301,7132.9068370142,-7437.5092009579,6995.1851456072,-7259.607792388,4750.4490050536,-7753.1231554974,6062.8750583748,-6582.54321991,3931.7416772948,-3319.7002045616,-4171.8505895078,3692.5664873092
1956,7058.25,-7058.1518951721,18.6071008166,3518.3767281421,4997.5107119365,5705.8662297653,-6109.5202595584,6361.5683728785,-6522.7514533755,-37.2140723201,-7058.2254737504,6118.8167370308,-4984.353493341,4154.7543405746,-3534.495050293,-3057.6691939601,2696.777065311
1957,6048.75,-4875.8685864287,1883.4099992221,1859.6645319253,4897.941036563,4405.2443311117,-4890.6043798279,5664.5533906085,-5753.859461588,-3579.5645112748,-5748.0556136254,5755.7818227587,-3549.3027716515,4145.0209825414,-3559.4051978538,-2121.3701816153,1865.6038858222
1958,8773.75,-2672.5296735392,5173.5182342041,903.6232099234,7822.0791567795,5586.3290177811,-6515.6294093727,8459.1129575736,-8532.5159262756,-8356.8100496872,-7086.1412731371,8727.0931103654,-3974.1372305918,6765.4724275247,-5875.8201523036,-2328.53967832,2043.2476674043
1959,6624.25,2074.1830049891,5367.5224654071,-701.9017094135,6302.2416152498,3544.6204572972,-4428.9454537123,6518.5237662597,-6543.2527110879,-6291.1408285234,-3882.0601033279,6586.9584827007,-2040.2055498193,5596.1016677872,-4925.9649035028,-1178.7858037858,1032.7303720433
1960,6045.5,4905.0809728536,5753.335435701,-1875.823514549,5972.012208064,2569.6736131754,-3550.1957124076,6021.4711477167,-6027.1000511793,-3533.8719416173,-1856.6641091772,5747.1172245105,-939.7555196617,5472.1885723858,-4893.2791309717,-538.4751314735,471.3122352269
1961,7096,7095.9519570295,7095.9879892472,-3555.5351592375,7095.9969973112,2187.8172373319,-3544.23041788,7095.9990195301,-7095.9992493278,26.1117507871,13.0558974921,6140.9596751181,6.5279515084,6750.3090104108,-6147.4910935254,3.7302583591,-3.2639760995
1962,6235.75,5032.479274428,5927.3038009712,-4177.7206612506,6158.1556792357,1164.345022513,-2533.1163069534,6210.3775822126,-6216.3211523897,3682.2181378828,1936.9170641751,4629.3874474989,980.6613547994,6126.0818416872,-5698.0610595137,561.950486121,-491.8631850962
1963,7702.5,2357.9028477446,6224.5583351252,-6236.0420967278,7323.7001176421,478.965809112,-2376.4881653349,7578.1191154598,-7607.2106059363,7332.7212145695,4536.8909820078,4521.0933653087,2385.7751019007,7687.5937720266,-7326.7189280075,1378.6286381414,-1207.8298915538
1964,6206.75,-1934.0649677696,3641.3931278974,-5672.4383574876,5528.3343946924,-393.1000125642,-1287.6992636411,5982.4334231283,-6034.7632541284,5897.7231422767,5026.3308337795,2519.3627454186,2821.5712613651,6194.2891394108,-6071.7029051921,1653.5525090959,-1450.9920844449
1965,5214.25,-4225.7776890412,1605.3257842907,-5101.1738189718,4216.5728401889,-979.5172223694,-542.9583211107,4881.1327341003,-4958.5616863389,3054.7022744127,4960.9809704122,1080.0133013705,3067.3957269777,5121.4206108834,-5185.9039061707,1833.8337696188,-1612.7830186583
1966,4809,-4808.9895256409,-5.0185253229,-4808.998836182,3398.7017309351,-1487.9717572542,1.6728420442,4332.136962608,-4442.4563939372,-10.0370451805,4808.9973814095,-3.345683886,3402.2503647055,4573.0100644558,-4808.9997090455,2087.838676049,-1841.4836920176
