Year,Mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1971,1190.25,1190.2498544824,-1190.2499636206,-594.955088843,-0.1471403774,-963.0016624009,595.2099495156,742.042998251,-841.5818227201,0.588561487,-0.2942807525,-1030.8848164367,1190.2499909052,699.516161867,-1030.7376865613,930.6273428428,-841.6858666789
1972,795.75,643.6929639015,-756.7815862336,-245.8558851049,-124.5172985062,-697.3345308686,467.7489935466,438.3595794657,-516.7849756977,467.8433826867,-245.9668539411,-756.8176439931,785.9475204317,383.3309465178,-643.7615564292,664.1226856467,-605.1044136289
1973,1968,608.4122949374,-1592.2279039819,-205.8050328469,-608.0787304962,-1829.7794651292,1316.8142798735,932.608825496,-1156.7897515071,1871.5924982135,-1156.6478728557,-1957.209311355,1871.7008995879,724.5212964375,-1462.5403079305,1732.9930117017,-1592.1248289026
1974,1394.5,-430.3126111059,-819.9266167813,145.5517767836,-632.9465154729,-1350.6572302812,1036.243746115,548.1578723617,-728.6927796311,1326.4468729366,-1127.9851918769,-1386.8831710981,1242.5815701799,346.9226085008,-933.1822697831,1282.2453731513,-1188.9647105417
1975,2291.25,-1852.6096385384,-708.8845915235,707.4688598057,-1346.4016381028,-2273.1380041024,1853.4851749515,708.2778859637,-1040.4046830914,1348.2077323969,-2178.8320720975,-2179.2921729096,1853.9226497926,287.5242195108,-1347.0038117003,2179.0293707876,-2041.4173159601
1976,1447.25,-1447.249127328,-0.7946617561,723.1661533266,-1023.0792951364,-1447.2499650931,1253.2228010019,322.2647714088,-554.0221352139,1.5893232726,-1447.249781832,-1253.6200689136,1023.641205874,0.3178647158,-723.8543869792,1410.9138810037,-1337.0086148537
1977,1301.75,-1054.2208014465,401.3858083048,870.5838369189,-1052.8668098247,-1291.5314881913,1189.0827498979,174.9992212232,-402.4821069381,-763.6567057897,-1238.3224521067,-967.8000027875,765.5223989339,-162.7866011391,-529.7502018833,1289.9334614899,-1237.9665650148
1978,1574.5,-489.1449231276,924.3623663195,1273.2617449012,-1402.5795513571,-1525.1699854142,1497.2977104349,71.0295828747,-367.8917954972,-1496.5919598135,-1274.5997276527,-926.204501701,715.4165584574,-391.0329469388,-486.9803038384,1572.897024079,-1530.9166785968
1979,1895.75,582.1148757969,1532.5489124808,1731.3255305918,-1802.664370222,-1762.9102768085,1854.1882910211,-84.4968562927,-297.0413124901,-1804.164719164,-1115.8682240095,-772.2564144252,586.7446044339,-697.1480606177,-394.7832873112,1893.8659783038,-1872.333976932
1980,1868.5,1509.0385709762,1776.3629724621,1827.3610223597,-1845.3219860021,-1637.8059340681,1858.1867936619,-250.1873414863,-147.153184055,-1101.8597194317,-579.5056859647,-389.9281266599,293.3922595728,-899.3797709151,-196.0461421718,1851.674524359,-1862.6964837092
1981,1891.5,1891.4931522817,1891.4982880697,1891.499239142,-1891.4995720174,-1530.8537520583,1891.4998097855,-420.1894469489,-0.6362111102,-5.0896828352,-2.5448437209,-1.6965627649,1.2724221483,-1110.9721147757,-0.8482814677,1844.237804263,-1891.4998930043
1982,1538.75,1247.5910814512,1464.1520308839,1505.4447847674,-1519.9861019139,-1122.3342505932,1530.4010463047,-474.8707131554,120.1518792613,900.7042000476,473.2973620869,318.4141368039,-239.5700575796,-1052.6715501264,160.0756070411,1463.6425001643,-1534.0518532338
1983,2634.75,822.5169984999,2134.1314655262,2408.1511879266,-2506.4726650509,-1680.8036784519,2577.477827731,-1034.3707926018,411.0831474635,2503.0727815385,1545.1182641957,1068.9786801372,-812.0974952876,-2028.9915123042,546.3658207239,2423.2178246935,-2602.4830851269
1984,915.75,-279.8046672134,539.6141855527,741.5110100067,-816.317877092,-491.2471334948,871.1018223818,-433.5250991515,213.3717021456,871.9560830143,739.8747145634,537.3634566463,-414.9978145004,-772.835245271,282.4529651875,806.6312979954,-890.5451022961
1985,1224.25,-987.5781190809,380.6215641652,820.3848579713,-991.1518583016,-522.1385548762,1118.7368378827,-673.8567945226,377.7369454887,723.5174643452,1163.5786554387,908.7115864296,-718.6139828067,-1107.320817113,497.2081556696,1022.1081562026,-1164.518296341
1986,1285.25,-1285.2382090321,2.7526661124,644.2135981414,-909.7816844224,-398.2111233657,1113.5176445641,-800.7252256533,491.2080275179,5.5053195983,1285.2470522547,1112.1404598655,-907.8352544319,-1222.0046905507,641.8302094358,1005.3390848378,-1187.6793490677
1987,1340.5,-1088.1018249721,-411.3026584068,416.1924784948,-789.1733131593,-252.396489459,1085.0913020162,-925.7322931802,607.8870880805,-782.9269879704,1275.8410454236,1274.2543195314,-1083.5800532481,-1316.5243112487,787.0940962102,969.5153280703,-1194.7441308268
1988,3143.75,-986.1721894614,-1841.5869843536,333.7389775624,-1430.6772837434,-200.4852821796,2337.9858824651,-2366.0138918058,1640.9558726139,-2985.0675830261,2547.88568063,3125.985021934,-2799.3439539079,-3137.3507477057,2101.6626931775,2070.0585320908,-2681.4973217652
1989,2634.75,801.0433775334,-2127.4934314183,-270.8299460157,-817.4638353073,162.6819521646,1764.7008758194,-2130.3978473663,1547.2709398202,-2510.0273045945,1554.2455603192,2620.7935254119,-2504.7276180185,-2629.7228266378,1956.4606771879,1550.2620986262,-2132.5712652308
1990,2287.75,1843.3267504545,-2173.8066652594,-702.921715401,-361.0220658442,426.1835005488,1346.4194940826,-1962.9840081254,1484.5659014279,-1354.9710526645,712.9969456974,2177.0854655979,-2259.0845779814,-2247.7027575638,1849.5822794497,1174.9441886082,-1740.6504953085
1991,1294,1293.9776598731,-1293.9944149562,-644.8037581053,-1.9009269629,398.421403214,648.0971906326,-1165.3820005807,914.3238486745,-7.6036668285,3.8018498234,1121.9020070993,-1293.9986037383,-1231.1362172648,1120.0026926281,562.4240328458,-915.6680073831
1992,1539.25,1250.8600883062,-1465.3799769045,-1027.5950977035,238.4370284265,653.6547433577,627.520839638,-1440.6203311936,1169.6804603193,897.0170577992,-471.1179107053,1146.0099814905,-1520.6703607209,-1393.5659435369,1405.5277152444,542.1287889899,-1000.5689297831
1993,1497.25,471.9403988584,-1214.1602704525,-1209.3871723499,460.3564366689,800.619232672,464.2211858043,-1442.9221459243,1210.5837924949,1420.9256920844,-876.1120933731,882.689203432,-1424.7208546651,-1265.2139766758,1423.4662810023,399.6664150279,-881.0473561896
1994,1196.25,-361.8805553826,-706.4398233833,-1091.7179099557,541.2649183985,761.2583407656,250.0465083895,-1176.8167460366,1019.4366633426,1140.2002131801,-965.3791164295,489.0460792012,-1066.7925527539,-922.7674686045,1169.82511776,214.7473137151,-625.9096995038
1995,1434.5,-1154.4763286657,-448.1595455466,-1402.4378959372,841.1020692857,1044.3001424052,151.6461148169,-1428.5930317416,1277.5662738955,851.4544359803,-1362.6970579463,301.5927685462,-1162.0402570666,-983.4772303274,1426.4619538778,130.0469133022,-652.3914973425
1996,1950,-1949.9456121111,-7.2820458437,-1949.9939568763,1376.2812231889,1575.8692639902,2.4273536295,-1949.998890038,1800.867622178,14.5639901345,-1949.9864029804,4.8547034979,-1381.430416162,-1148.5364873661,1949.9984892185,2.0805889679,-747.9143048444
1997,1269.25,-1032.6233235701,387.5167151612,-1242.1946617679,1025.3904508085,1111.2985698421,-131.0343238452,-1264.2661616865,1206.7461191545,-738.0275293775,-1208.6464983488,-260.668342488,-748.0441069154,-613.1973998371,1262.4680465162,-112.36830031,-393.394670027
1998,2470.75,-782.5257447124,1444.1572072929,-2259.8495048791,2199.176775798,2295.7677104705,-510.4323649221,-2431.5532653815,2401.8973314136,-2343.556916604,-2004.748244325,-998.8422186701,-1126.155882323,-913.2667639092,2417.4499712176,-438.3540579399,-579.2191052171
1999,1778.25,535.2427004989,1434.2190200005,-1441.5639280262,1690.0551817642,1721.6354549474,-547.1343562085,-1714.7350588438,1756.0628817716,-1695.7854563779,-1051.279632243,-1041.1851439171,-553.070108659,-445.134162661,1691.9861284172,-471.0167093341,-280.0289587952
2000,1923.5,1546.2000686635,1826.7413722356,-1291.2330665488,1899.1562968191,1907.9081655464,-779.7965909432,-1801.6905206445,1917.4044157313,-1144.1667700406,-602.38543223,-1425.6820886337,-305.053454746,-244.4149787586,1758.342835386,-673.6197130577,-153.0116222195
2001,1364.75,1364.6939708308,1364.7359926358,-685.9418102015,1364.7464981545,1364.7477588185,-680.5892583003,-1230.3627555102,1364.7491245383,-12.3664254325,-6.1832761795,-1179.8416823954,-3.0916460227,-2.4733175797,1182.9373711174,-590.5506348768,-1.545824003
2002,1740,1417.2208296063,1657.3418843912,-542.8610430311,1719.2112841127,1726.6856586554,-1020.5444098926,-1494.8954311759,1734.7950360714,1009.4974591994,529.9225209807,-1653.1490821941,268.1651740619,214.8409555786,1409.2867371252,-890.4423899667,134.4848795291
2003,1531.25,487.2837704358,1243.1572378384,-164.981520966,1457.4482980435,1483.8788248547,-1022.7655177314,-1240.0530968498,1512.6870576691,1451.6477153807,894.0283242214,-1522.3362507146,469.6498919727,377.9288235209,1139.5952168378,-898.3289372458,237.7066007927
2004,1334.5,-399.649241358,789.7969161144,135.0609668052,1190.5616814249,1241.7684272091,-990.2345959927,-1006.229291013,1298.0167205898,1273.2520307787,1075.6909785325,-1327.647839318,602.8707429646,488.7754322658,894.6092414564,-876.5802096257,309.9077976902
2005,2431.75,-1952.449163622,763.3936759177,743.4798408033,1971.0137789869,2133.3758454526,-1964.8619754799,-1683.0849583818,2313.7005877546,1449.6035064705,2308.8174804581,-2315.3068455,1424.2586652514,1167.0970673168,1432.7335690258,-1755.1732351449,748.4635279853
2006,2256.5,-2256.371933979,12.0204196348,1121.3028744142,1599.8306671185,1828.368884849,-1952.1798311267,-1409.5882464233,2085.8823253426,24.040498162,2256.4679832676,-1958.1808174504,1591.330916732,1322.4445057983,1131.718232133,-1762.0593706074,860.7480321346
2007,2034.75,-1659.1711805773,-618.1460194891,1355.9737894285,1200.5071739362,1486.3220540617,-1857.3200088487,-1123.5981308291,1814.2408239628,-1177.8618577923,1938.5827454844,-1517.0835985149,1642.8603372861,1389.6238030884,831.0053833942,-1696.3887534694,921.2696647381
2008,1459.5,-466.6540947559,-851.1928684804,1177.5231582736,666.2673106392,932.857463298,-1387.2157906217,-693.6835146292,1245.5033901756,-1382.8861868742,1185.5846450794,-862.3105367148,1298.5484668558,1122.4603347866,453.6216487888,-1284.1119232885,760.8295177377
2009,1310,390.3209895638,-1055.3247121926,1194.6736171797,408.4266317393,704.499430068,-1280.8439480486,-516.8599119151,1060.928576196,-1250.4997101583,776.1377144784,-537.4522754764,1244.7038549334,1104.4367582772,274.8431930161,-1203.7258124071,768.4598598566
2010,2161.5,1733.4114225413,-2051.6884558606,2112.4624806871,344.4979337074,924.9851159898,-2149.2056558186,-671.4422518173,1645.7087430206,-1291.2656931102,680.188745929,-457.8040166812,2133.8705264545,1953.5825514161,230.211422387,-2054.5674855002,1401.3297196398
2011,1560,1559.8830149433,-1559.9707534617,1559.987001516,4.7762223458,485.6990331448,-1559.9967503756,-349.7929699243,1104.7739377039,-19.1044416669,9.5523999198,-6.3682887227,1559.9926883483,1482.4629672279,3.1841509942,-1520.2778950546,1101.3966345374
,,19.6291364162,-98.3450923735,-71.0968183866,353.8192371487,119.0407291714,-317.956407004,86.7587226639,-100.8053312317,30.3081000403,-56.29062882,-151.1937666112,-18.9821824239,-233.432728643,379.710152759,-85.8419977948,-422.2725614123
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1303.8839244988,,,,,,,,,,,,,,,,
20,12840.3920868918,,,,,,,,,,,,,,,,
30,5054.7575847018,,,,,,,,,,,,,,,,
40,125548.375826042,,,,,,,,,,,,,,,,
50,68661.5340033691,,,,,,,,,,,,,,,,
60,245276.076863117,,,,,,,,,,,,,,,,
70,14895.9245436724,,,,,,,,,,,,,,,,
80,188475.830926415,,,,,,,,,,,,,,,,
