Year,Mean_wmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,2450.25,2449.2081824042,2449.9895317568,-1204.4402173918,2450.1848820739,-1973.8602059147,-1235.4241012372,1535.6734087698,-2450.2337204644,71.4446761095,35.7261358402,-2133.7874367493,17.8635426622,-1451.7578827086,2115.9991381336,-1909.3015068599,-8.9318306745
1882,2590,2050.5779041755,2451.4380240804,-776.6344218287,2555.1247016896,-1877.7695362567,-1532.4191410093,1797.5508384757,-2581.2664505409,1582.1599978849,835.7940021876,-2470.817470966,423.6009428883,-1783.8389974172,2088.0113927535,-1864.6476833695,-212.5170847533
1883,2192.5,617.7717219181,1755.2094960867,-208.4356523267,2080.3068367635,-1387.8915993189,-1474.7984747541,1656.9738152645,-2164.2699680959,2103.6668818039,1313.8857921628,-2182.5697763964,692.3725261122,-1697.2958370715,1622.3519066045,-1435.7903835616,-350.7018038135
1884,2728.75,-916.0867870261,1572.6259476434,310.7348189467,2422.5378858887,-1449.1167684011,-2036.4177125164,2214.0502112964,-2651.0919277365,2570.38159835,2230.0054240514,-2710.999895757,1255.9405853519,-2312.1715234902,1816.3368252198,-1595.0104151254,-646.3653403383
1885,1992,-1643.5842888014,589.0857733419,633.1463970258,1603.3594201702,-838.0860094455,-1616.9866454111,1714.0868678705,-1892.3472150981,1125.4753154135,1902.9035581569,-1888.7005162104,1182.0755347064,-1807.1181037142,1163.3650280812,-1014.8744796249,-622.1623723036
1886,1730.75,-1730.0922851301,-23.8572841196,879.1127099875,1215.3609686036,-525.7469410591,-1502.8339704224,1562.2973706641,-1596.7124911691,-47.7100349339,1730.5855634711,-1490.8576074322,1232.2310166909,-1648.9650440404,858.4786659228,-744.7969442178,-667.8358952951
1887,2651,-2101.4498855081,-853.4803317939,1791.687373489,1543.5712876985,-482.547965116,-2426.681296248,2485.5661427196,-2357.944919171,-1616.0783949728,2509.8550402844,-1953.8826361069,2155.2699784001,-2606.7121938109,1067.2482777875,-921.8253360405,-1211.5678925077
1888,1970.75,-558.3009804982,-1179.7423246589,1604.7052028693,882.8585323194,-113.1481608395,-1877.0093687905,1901.7329581701,-1676.8644869322,-1890.0147030314,1578.6271282062,-1144.0178208333,1761.9354058565,-1967.4991883604,600.5758836089,-516.9790308219,-1035.3651795216
1889,2358.25,788.1648728643,-1926.1402952449,2162.7929556778,713.8006413694,160.6013116099,-2308.8687219315,2321.936131153,-1903.2424208452,-2222.6423904179,1360.6346407224,-940.0370702108,2247.628017907,-2352.7750171254,480.0711274243,-412.2567953914,-1392.4838778224
1890,2273.25,1873.5936066756,-2171.0380269442,2227.6312871208,340.8470094846,437.7021056155,-2261.8165692588,2264.8480582511,-1723.7308413454,-1287.3665210516,673.9877210027,-453.1273674591,2247.5517521573,-2230.7134350337,227.7089579404,-195.266063452,-1482.0315614367
1891,2434,2433.1788126683,-2433.7946945084,2433.9087524022,-15.806858741,764.1638165666,-2433.9771879937,2433.9832401517,-1715.5002340169,63.2207685981,-31.6130508286,21.0756964301,2433.9486730859,-2310.9326388821,-10.5379469791,9.0325334686,-1726.6774299469
1892,2468,1958.7793309519,-2337.2303468838,2409.5913709379,-401.7085410411,1062.2690327199,-2453.3543877185,2457.2371312705,-1596.8104647563,1501.4018558121,-792.7031636151,533.7540867304,2435.0881396891,-2227.6912941708,-268.4701999526,230.2383128535,-1881.8130458802
1893,2124.25,605.0303884933,-1702.597114008,1933.2318260504,-669.214518323,1147.3051508253,-2075.9462624292,2088.7256791708,-1243.1530722225,2036.2652802373,-1270.2760053908,880.3708134906,2016.0828333592,-1787.7720641597,-450.4277722413,386.8631536764,-1722.5006535627
1894,2410.5,-802.0083081237,-1392.3485955873,1938.2505536187,-1107.7576360235,1545.7857912946,-2289.3954670936,2321.3253880037,-1253.048376633,2273.1680368377,-1967.7082198248,1433.0718898217,2140.8837590658,-1849.6098338384,-754.4392919587,649.5834765521,-2059.2183021276
1895,1700.75,-1400.2081556201,-505.5425510425,1127.5780882529,-1008.1540231568,1245.5302580711,-1550.8512172507,1590.1826280054,-767.4414008952,965.3847333757,-1623.8772403065,1273.2314076364,1369.7357511917,-1158.104027594,-698.1483112147,603.2161901755,-1517.7563238847
1896,2008.5,-2007.9029089909,24.4873160215,990.0788737283,-1428.8553153187,1630.6487431184,-1735.3163498169,1806.549309015,-762.9601395821,-48.9709920879,-2008.3507217003,1747.5171168824,1411.5398463683,-1172.6282132742,-1011.3107415915,877.7538630489,-1857.9461982008
1897,2129.5,-1692.1828934628,682.3733502896,641.7840986838,-1730.3011731259,1871.0112264124,-1717.7673719318,1824.3008985498,-651.9562492332,-1292.7827756711,-2017.2101677353,2030.4884684914,1241.3009708685,-1016.9008017693,-1258.5886960904,1098.497374394,-2027.2452488749
1898,2218.5,-635.2608928538,1325.2199740428,214.424439266,-1982.6425248155,2066.5646526546,-1642.7785712797,1790.3701077975,-511.4928194495,-2125.6024670692,-1779.1948376718,2208.1133145392,995.4249689419,-806.8784210762,-1490.9798173497,1310.0828703198,-2158.7304939829
1899,1350.25,447.219225524,1101.5972090024,-151.6222472493,-1286.5859267759,1309.388491079,-899.5685418999,1013.8556818237,-207.3190956845,-1274.0369016719,-780.8064111021,1341.710012126,409.7215097139,-329.6617083163,-1006.951588173,891.7800844007,-1334.2390546917
1900,2392.5,1967.5526916275,2283.7935616775,-756.8293611994,-2365.1672611375,2374.9950256092,-1398.8105667549,1647.6492298547,-180.8225341717,-1361.1732643824,-712.9819195748,2269.6399644055,360.6106998459,-288.8855799997,-1940.9753342932,1734.7357912257,-2385.6570292345
1901,1576.5,1576.0905544311,1576.3976352844,-798.5995426625,-1576.4744086134,1576.4836214966,-783.058130343,978.9133270403,4.4913706696,35.9279032639,17.9651181364,1359.2612039116,-8.9827048848,7.1861779063,-1368.2734428848,1235.7511675669,-1576.4936021404
1902,1934.5,1539.0968315053,1832.9856887803,-1305.1659528577,-1908.9527318592,1918.1367544959,-780.2072526569,1060.5215241532,157.1960403737,1171.9518732654,618.4284232848,1427.876775321,-313.3523855458,251.0809452185,-1770.188377801,1617.8950357819,-1928.102604866
1903,2117.5,609.5702983041,1699.2014825586,-1722.2381444399,-2010.2071273028,2048.6213944715,-646.902998582,997.5103382824,337.0405449915,2027.8634819498,1263.5349507119,1231.9504956923,-665.4874569374,535.6833319356,-2016.2645561597,1867.8274478709,-2090.5047048576
1904,1569,-517.3134006542,908.3216044919,-1437.9598477517,-1394.0799111686,1456.2829578791,-320.6259494158,612.1527511603,370.4386719664,1481.2656228724,1279.3407922884,627.7200620132,-719.932081016,583.9528633297,-1535.8906212883,1444.6556715172,-1524.6429714237
1905,1738,-1427.7260069291,519.2572579932,-1702.5685675784,-1400.5558029569,1519.4036471894,-175.4705524422,531.9879958589,541.5154727526,991.0814543408,1658.6186722756,349.1479238004,-1029.119741723,843.8344369055,-1729.1194537179,1654.5793339281,-1651.4856925719
